jennif,1116
check,435
carolyn,19
invoic,86
confer,494
verifi,42
85k,2
wa,3577
process,437
colleen,97
jeff,733
charg,448
account,645
woodland,17
lunch,75
room,136
fax,665
per,1026
pleas,2899
person,469
breakout,13
forward,1410
the-woodlands.net,6
thi,6942
1,1311
packag,103
day,1557
includ,1091
dine,16
attende,80
order,882
12/04/2000,34
PM,3809
johnson,54
beverli,9
enron.com,2377
wallin,4
kelli,44
strateg,265
sourc,704
enron,11942
question,914
see,1212
post,414
adjust,118
total,508
40,155
guarante,227
100,298
box,146
20,518
permit,48
We,1543
281,34
leath/na/enron,2
01:57,5
beverly.johnson,2
01:48,2
To,5696
'jeff.leath,2
',4063
jeff.leath,2
cc,3096
kelli.wallin,2
hudson,10
coleman,13
coleman.hudson,2
subject,5246
folio,3
336135,2
10/8-11/00,2
mr.,424
leath,2
phone,524
713-646-6165,2
713-646-6313,4
convers,156
morn,456
list,748
item,209
also,1420
depart,191
follow,911
well,896
servic,1600
18,219
contract,859
comp,5
ticket,214
show,366
hour,343
recept,39
hous,215
back,1050
handl,142
451.35,2
wireless,112
mous,16
156.41,2
In,1216
regard,693
guest,112
rate,1215
57.00,2
80,96
complet,729
meet,1463
howev,475
coordin,85
tracey,10
kozadino,2
5.50,9
surcharg,27
golf,36
thu,174
80+40=120,2
would,3053
leav,267
bill,467
amount,336
2,1169
120,35
allow,375
particular,71
5,696
audio,38
visual,18
addit,552
base,525
a-la-cart,2
price,2721
onli,1054
av,2
part,463
alloc,20
soon,295
possibl,565
remit,2
payment,221
feel,295
free,657
call,1921
thank,1933
busi,1824
J.,152
plan,980
manag,1509
resort,84
center,407
364-6234,2
direct,270
dial,30
364-6338,2
shweta,12
cost,669
CD,36
quot,264
karen,136
figur,150
AM,2718
case,356
2,011.50,4
koenig/na/enron,34
sawhney,4
Hi,168
postag,4
detail,444
vendor,33
ani,2716
time,2492
gam,2
told,351
6,695.97,2
inclus,26
speak,149
found,213
cd,13
postage/handl,2
current,874
tabul,3
10:56,6
10:54,9
origin,302
project,970
As,772
'll,745
sawhney/na/enron,2
10:52,14
10/30/2000,2
05:53,2
karina,6
prizont/na/enron,2
hunter/enron_develop,2
enron_develop,96
reciev,15
150,222
Cd,2
black,112
print,86
plastc,2
jewel,9
886.50,2
distribut,232
minimum,166
500,178
355.00,2
pad,5
envelop,16
address,630
label,22
pack,27
deliv,161
offic,1045
3,1037
artwork,5
insert,5
output,64
trim,27
770.00,3
So,325
approx,28
8,262
approxim,99
If,1892
hunter,245
x56228,2
reach,204
x55706,2
spend,164
estim,296
T,375
E,282
ee,350
corp,253
cash,693
traci,63
date,573
jan,259
aug,77
action,266
trade,3104
credit,1200
may,2098
applic,268
identifi,80
exist,147
new,3276
categori,38
assign,62
ramsey,14
carri,146
blaskowski,2
janel,16
daniel,61
12/7,14
repres,404
ha,3332
spent,62
10m,3
2000,1262
At,274
least,287
one,1975
held,210
offsit,12
everi,341
workday,3
year,2362
2.9m,2
580,000,2
3.2m,2
640,000,2
note,759
food,108
beverag,10
spa,20
etc,142
let,798
know,1497
ifyou,2
x68311,2
tbd,16
discuss,765
opportun,559
eb,551
provid,903
network,331
bbi,8
well-sit,2
report,1463
system,753
send,471
data,359
across,126
mayb,271
vbn/ipnetconnect,2
updat,554
site,336
find,561
team,517
attach,737
newest,16
orgchart,2
ago,306
made,515
interest,877
chang,928
click,599
url,81
go,1768
intranet,7
sort,84
inform,1318
relat,344
market,2713
competit,187
high-tech,18
compani,4993
actual,247
keep,546
veri,882
frequent,37
unlik,48
intern,603
web,506
norm,16
levin,3
market/comp,2
info,259
http,2382
//websource.enron.net/,2
want,1296
make,1269
sure,506
'm,857
siemen,7
like,1720
resourc,202
request,352
engag,56
today,1121
good,984
kim,503
either,354
e-mail,1663
futur,1062
target,203
gss,94
abl,346
add,231
valu,928
effort,250
sinc,608
're,719
end,625
sale,766
hold,381
open,464
focu,148
involv,221
bring,280
bear,71
DO,31
exampl,163
point,742
recent,578
develop,724
last,1555
commun,1461
receiv,1032
nyc,28
via,382
telephon,130
novemb,576
3rd,26
primari,71
look,1169
medic,24
group,998
chicago,243
sever,452
unsuccess,10
follow-up,27
attempt,95
place,607
dormant,2
yesterday,369
CA,52
comput,220
associ,431
u.s.,714
internetwork,2
american,263
express,479
surfac,21
consequ,28
think,1504
probabl,293
idea,319
focus,87
right,1398
realiz,129
prc,16
and/or,279
tomorrow,346
perhap,95
friday,844
work,1547
monday,1108
18th,21
avail,841
late,276
afternoon,193
decemb,500
27th,2
28th,9
29th,25
//www.baltimoresun.com/content/cover/stori,7
section=cov,7
pagename=stori,7
toryid=1150540202173,7
arnold,1899
klarnold,35
flash.net,39
01/08/2001,3
09:14:44,3
john.arnold,1065
matthew.arnold,18
rememb,116
famili,161
vacat,127
put,635
notic,319
eol,414
due,429
mlk,4
close,746
sunday,350
offer,1498
nymex,532
product,1360
4-7,11
john,6224
ye,274
ect,4500
bubbi,10
next,987
thursday,633
7:00,49
pm,100
arnold/hou/ect,1851
Re,923
help,909
01/09/2001,3
04:10,6
jeffrey,194
shankman/hou/ect,56
herebi,12
invit,264
tenth,7
annual,146
spectron/enron,7
celebr,88
toni,74
dinner,267
featur,167
brian,329
mike,443
maggi,88
regret,10
chart,508
herein,537
sobland,269
carrfut.com,280
contain,596
carr,413
email,1299
ga,3019
matrix,259
01/10/2001,8
hot,281
link,526
crude,372
nat,360
spread,862
07:42,13
06:42:29,4
daili,445
matric,51
1/10,4
believ,545
reliabl,161
accur,168
noth,327
consid,476
sell,1317
solicit,153
buy,1522
financi,1305
instrument,145
opinion,230
sole,308
author,383
differ,476
materi,307
respect,271
publish,245
behalf,232
director,628
employe,505
affili,326
reason,387
unabl,178
contact,898
//www.carrfut.com/research/energy1/crude82.pdf,4
natur,1159
//www.carrfut.com/research/energy1/ngas82.pdf,4
distil,116
//www.carrfut.com/research/energy1/hoil82.pdf,4
unlead,123
//www.carrfut.com/research/energy1/unlded82.pdf,4
strip,159
//www.carrfut.com/research/energy1/stripmatrix82.pdf,4
//www.carrfut.com/research/energy1/spreadmatrixng82.pdf,4
//www.carrfut.com/research/energy1/spreadmatrixcl82.pdf,4
S.,293
wacker,120
dr.,120
suit,332
1500,134
IL,140
60606,120
usa,241
tel,131
312-368-6149,86
312-368-2281,88
//www.carrfut.com,88
monkey,12
yeah,32
sorri,174
've,470
taken,177
long,590
tri,706
fend,4
chick,18
life,136
sooooo,11
hard,207
sometim,92
o'rourk,4
01/04/2001,3
10:04,5
hey,260
littl,486
bastard,3
fuck,54
pictur,134
e-compani,3
score,37
women,60
say,1101
balanc,211
sheet,161
B,142
schedul,460
round,111
interview,334
griffith,53
scott,258
phillip,165
tom,137
asap,66
thx,59
01/03/2001,27
amanda,24
access,552
ina,218
import,377
colin,41
tonk,13
rangel/hou/ect,66
hubl,8
huble/na/enron,8
databas,94
mean,304
04:12,4
rangel,82
03:52,4
maggi/corp/enron,65
larri,211
may/corp/enron,33
dutch,184
quigley/hou/ect,41
craig,91
breslau/hou/ect,10
K,128
allen/hou/ect,91
grigsby/hou/ect,33
keith,69
holst/hou/ect,20
frank,301
ermis/hou/ect,11
steven,69
P,319
south/hou/ect,11
jane,29
M,257
tholt/hou/ect,14
moniqu,13
sanchez/hou/ect,10
tori,18
kuykendall/hou/ect,14
matthew,156
lenhart/hou/ect,10
kenneth,150
shulklapper/hou/ect,10
jay,72
reitmeyer/hou/ect,14
03:49,4
03:43,26
becki,12
young/na/enron,7
laura,68
vuittonet/corp/enron,4
jessica,14
presas/corp/enron,4
airam,28
arteaga/hou/ect,18
kimberli,87
brown/hou/ect,17
immedi,270
03:42,5
03:39,10
excel,109
x58885,4
intend,423
stop,193
within,231
month,1041
spreadsheet,83
function,148
subsequ,58
attain,7
solut,254
need,1427
build,429
inventori,53
potenti,318
problem,641
success,177
15,478
ken,112
lay,481
skill,222
cnnfn,20
ceo,166
iptv,2
view,539
pleasur,31
simpli,139
browser,80
//iptv.enron.com,2
special,416
event,330
choos,107
minut,235
dec.,34
coupl,171
come,1032
talk,714
peopl,705
floor,401
posit,676
road,66
My,216
assist,219
rangl,7
Ed,75
past,495
n't,2215
hi,919
head,489
prove,79
He,463
option,720
variou,122
desk,352
tell,262
mention,186
It,1249
issu,770
doe,662
public,310
lavo,29
okay,133
get,2661
individu,190
approv,390
everyon,220
mcmichael,13
08:37,5
inquiri,109
sincer,65
appreci,205
give,651
much,861
pain,33
worthi,11
job,416
befor,668
condit,198
guy,375
take,1139
top,353
chanc,171
neg,136
influenc,55
decis,301
experi,158
real,236
matur,74
doubt,54
abil,138
overcom,9
valuabl,70
ena,102
01/02/2001,15
09:04,42
mcmichael/hou/ect,10
start,659
two,1080
week,1832
earlier,254
appropri,127
manpow,8
run,602
certain,169
circumst,45
'd,238
anoht,7
role,194
permiss,56
greg,205
correct,131
formula,121
devis,12
profit,456
mid,45
love,198
enjoy,151
never,241
glad,46
even,651
though,311
didnt,33
ny,32
great,478
orlean,13
freez,7
nice,105
away,233
vega,23
weekend,235
watch,199
footbal,36
game,423
01/01/2001,6
08:59:53,3
got,466
NY,127
blizzard.,3
stay,204
dalla,82
white,299
eve.,3
addison,4
cafe,9
eve,9
bad.,3
cook,48
fresh,54
salmon,7
home,364
hope,528
wonder,138
quit,141
sidney,3
brought,59
bang,7
happi,171
healthi,17
prosper,7
2001,3371
wish,198
best,475
you.,19
mom,46
drink/dinn,4
wednesday,734
night,355
edi,40
leschber,19
name,790
join,222
05:48,5
Is,227
man,175
henri,94
quigley,80
sent,2332
previous,88
anoth,421
HR,35
necessari,125
x30669,10
imag,3160
expans,81
joint,164
bellow,27
alaska,29
nitrogen,30
technolog,311
emerg,77
bellows/pt,18
pipe,50
inc.,1364
mail.pipingtech.com,15
48,48
support,467
catalog,36
llc,89
custom,870
enew,9
diamet,9
respons,357
ship,312
on-sit,18
use,1429
PT,151
24x7,7
manufactur,99
|,756
dia,6
24,164
x,79
7,284
quick-turn/emerg,6
replac,180
deform,6
dure,460
plant,567
engin,72
07/22/00,6
saturday,174
quick-turn,6
forum,107
desktop,44
technic,122
regist,145
present,317
bellows/pip,6
fill,147
unsubscrib,112
form,345
mail,220
04:59:48,3
ptp-announcetemp,3
compens,55
www.pipingtech.com,3
www.usbellows.com,3
www.swecofab.com,3
respond,372
divis,97
onc,234
shown,26
dedic,18
devot,17
rush,14
llc.,3
upon,92
aid,35
g417,3
pump,18
fail,248
suddenli,19
startup.,3
timelin,9
demonstr,73
quick,76
u.s.bellow,3
07/21/00,3
5:30,48
p.m.,223
readi,165
shipment,19
locat,413
field,307
basi,346
fulfil,23
requir,424
might,533
aris,20
cours,191
shut-down,10
start-ups.,3
uniqu,62
internet-bas,24
on-cal,28
30,473
minutes.,3
refer,151
//www.usbellows.com/emergency.html,3
press,340
releas,265
//www.usbellows.com/news/pr03.htm,3
extens,82
situations.,3
instal,99
guidanc,35
inspect,6
mainten,77
resolut,67
shutdown,23
turnaround,8
comments/quest,3
//www.pipingtech.com/discussion.htm/,3
statu,175
anywher,39
world,518
anytim,41
night.,3
secur,599
integrat,3
MS,13
//www.pipingtech.net/cd_regmain.asp,3
pre-insul,3
specif,204
topic,83
e.g,11
gener,838
outsid,114
+1-713-731-0030,3
setup,15
inc./pip,3
unsolicit,6
relev,88
third,324
parti,363
//www.pipingtech.com/forms/unsub.htm/,3
repli,225
line,619
internet,386
connect,179
messag,3172
friend,240
subscrib,122
//www.pipingtech.com/forms/unsub.htm,3
e-newslett,5
inc,104
pay,609
stock,1497
activ,760
jame,238
W.,73
joseph,135
M.,131
R.,67
A.,100
F.,58
C.,61
L.,109
canada,130
aol.com,85
D.,43
T.,84
microsoft.com,14
K.,50
P.,71
grant,100
thornton,14
llp,67
taylor,121
howard,39
jack,42
jonathan,59
US,477
grantthornton.ca,6
ian,7
crow,33
mci.com,6
O.,7
jci.com,6
thoma,158
jacquelin,6
conagra.com,6
H.,44
bms.com,6
email.mot.com,6
janet,35
statestreet.com,6
austin,38
winstar.com,6
murphi,36
jim,271
joann,12
prosser,6
joel,16
mcimail.com,6
us.ibm.com,6
E.,41
simco,6
uswest.com,6
randal,26
gsc.gte.com,6
champint.com,6
advisori,59
firm,528
full,240
expand,106
forc,285
oper,626
analysi,215
moncton,6
brunswick,6
506,6
entiti,157
motaylor,3
01:41:40,3
low,309
hlow,3
bechtel.com,3
uffer,4
newsysgroup.com,3
I.,8
brad,84
king,48
bking,3
investorsgroup.com,3
david,385
housbi,3
ian.housbi,3
unitedkingdom.ncr.com,3
icrow,3
ford.com,3
ichiro,3
kadono,3
idadono,3
fedex.com,33
ira,11
riahi,3
ira.riahi,3
iren,3
masterton,3
imastert,3
cscmail.csc.com,3
izumi,3
yamamoto,3
izmi,3
sun.co.jp,3
babik,3
pestritto,3
jbpestritto,3
thehartford.com,3
gordon,22
prunti,3
jprunti,3
novell.com,3
gregori,15
elli,19
jgelli,3
webtv.net,3
grey,10
greyj,3
tdbank.ca,3
J,325
mark,613
schleyer,3
js9255,3
msg.pacbell.com,3
orton,3
rsmco,3
bellsouth.net,3
roy,23
cloudsdal,3
roy.cloudsdal,3
recotta,3
recottajt,3
corning.com,3
walter,3
berger,12
walt_berg,3
em.fcnbd.com,6
jaan,3
meri,4
jmeri,3
celestica.com,3
gaylord,3
jack.gaylord,3
bdk.com,3
hyland,3
jackhyland,3
metlife.com,3
brophi,3
74701.1531,3
compuserve.com,3
salerno,3
salerno_jacqu,3
tandem.com,3
wilson,16
jkwilson33,3
ableson,3
jamesab,3
iacobazzi,3
jiacobaz,3
martin,60
jamartin,3
mail.donaldson.com,3
sladack,3
james.sladack,3
alliedsignal.com,3
goodman,3
jamescgoodman,3
bellatlantic.net,3
frey,4
james.d.frey,3
exxon.sprint.com,3
caldwel,4
jim.caldwel,3
aig.com,3
doran,3
jdoran,3
trinitywallstreet.org,3
dommel,3
james.dommel,3
hbfuller.com,3
o'hara,3
jimohara,3
o'neil,4
james.oneil,3
bnsf.com,3
harbaugh,3
james.harbaugh,3
winter,310
james.wint,3
alcoa.com,3
maloney,3
maloneyj,3
squared.com,3
desmond,3
jim_desmond,3
timberland.com,3
gade,3
jpgade,3
notes.up.com,3
duport,3
jrd60,3
email.amdahl.com.inct,3
shaw,9
james.shaw,3
daytonoh.ncr.com,3
jim.taylor,3
notes.ntrs.com,3
scannel,3
james.scannel,3
stpaul.com,3
sharkey,3
cmp2,3
daimlerchrysler.com,3
brook,18
reapd1,3
lawler,6
jlawler,3
steelcase.com,3
mose,3
moses_jam,3
prc.com,3
nixon,3
jamesw.nixon,3
us.arthurandersen.com,3
yao,3
r23154,3
spencer,17
wesbi,3
janewesbi,3
ml.com,3
richardson,3
janet.richardson,3
south,140
janet.south,3
captialone.com,3
bechtel,16
jbechtel,3
cisco.com,3
driller,7
jayjd,3
banet.net,3
poswolski,3
jposwolski,3
corp.fmcna.com,3
jean,101
baudrand,3
jjbaudrand,3
hayhurst,3
jhayhurst,3
kudlac,3
jkudlac,3
ebmail.gdeb.com,3
chenen,3
jeff_s_chenen,3
email.mobil.com,3
jefferi,25
B.,16
forrest,5
jforrest,3
unisourcelink.com,3
rock,52
jrock,3
mmfn.com,3
chaitman,3
jeff.chaitman,3
haworthinc.com,3
cramer,43
jeffrey.r.cram,3
monsanto.com,3
georger,3
jeff_georg,3
bc.com,3
eli,8
jeff_eli,3
kaplan.com,3
sweeney,6
jsween,3
uswnvg.com,3
jeff.austin,3
firstunion.com,3
sherri,26
jsherri,3
gartner.com,3
sigan,3
jjsigan,3
ftb.com,3
stewart,64
jarnold,480
ei.enron.com,35
jeoffrey,3
moor,60
jkmoor,3
jeremiah,3
hover,10
jhoverl,3
jeri,3
bogan,3
jbogan,3
ets.org,3
jerom,5
crylen,3
jcrylen,3
egii.com,3
jerri,39
jerry.murphi,3
owenscorning.com,3
pond,10
jimpond,3
mentorg.com,3
tousign,3
j.tousign,3
telops.gte.com,3
kiley,3
joanne.kiley,3
aspentech.com,3
corp.bfg.com,3
blockowicz,3
jblockowicz,3
cvty.com,3
bloom,7
bloomj,3
pictel.com,3
johanna,3
hellenborg,3
jhellenborg,3
wella.d,3
feltov,3
john_feltov,3
sonymusic.com,3
hilliard,3
4948263,3
allan,15
jallan,3
easynet.co.uk,3
anthoni,20
linden,3
eur1jal,3
europe.ups.com,3
balkwil,3
jbalkwil,3
kaisaero.com,3
bisanti,3
jjohn_bisanti,3
manulife.com,3
clyne,3
john.clyn,3
firstdatacorp.com,3
martz,3
john.martz,3
anheuser-busch.com,3
mulhern,3
jmulhern1,3
allstate.com,3
byrn,16
jdbyrn,3
betsil,3
john.betsil,3
db.com,9
zimmerman,41
jzimmerjohn,3
netscape.com,3
buckley,21
jfbuckley,3
harbord,3
john.harbord,3
ndcorp.com,3
john_matthew,3
warnerbros.com,3
stier,3
john.stier,3
clorox.com,3
G.,73
malino,3
jmalino,3
loews.com,3
degnan,3
jdegnan,3
hay,17
jrhay,3
wal-mart.com,3
igo,3
john_igo,3
peoplesoft.com,3
chapman,5
john.chapman,3
crisel,3
crisel_john_j,3
lilly.com,3
jcrow,3
advanta.com,3
demarsh,3
jdemarsh,3
gtech.com,3
guba,3
gubajj,3
centeon.com,3
keogh,3
john.keogh,3
trw.com,3
jacob,12
jacobjo,3
mail.northgrum.com,3
john.austin,3
central.sun.com,3
sneddon,3
sneddojl,3
wpsc.com,3
stein,3
john.stein,3
anheuser.busch.com,3
hogan,14
john.m.hogan,3
ac.com,19
meyer,27
john.p.mey,3
mail.sprint.com,3
john.thoma,3
unisys.com,3
parro,3
john.parro,3
harrisbank.com,3
payn,6
john_payn,3
ici.com,3
popolillo,3
jpopolillo,3
sbhcs.com,3
ferrari,6
john.ferrari,3
libertymutual.com,3
peter,219
john.pet,3
totallogistic.com,3
evan,4
randy_evan,3
csx.com,3
robinson,23
john.a.robinson,3
bankamerica.com,7
sweat,5
john.sweat,3
lmco.com,3
terela,3
terelajg,3
sg.ibm.com,3
trendler,3
jgtrendler,3
voorhorst,3
john_voorhorst,3
denso-diam.com,3
brannock,3
brannock.john,3
orbital.com,3
coon,3
jcoon,3
jic.com,3
corbett,3
john.corbett,3
green,107
john.green,3
tai.toshiba.com,3
hildebrand,3
john_w._hildebrand,3
oxy.com,10
zalewski,3
johnzal,3
jo-lynn,3
jo-lynne.bus,3
weatherford.com,3
jon,28
crockett,3
jonc,3
cadence.com,3
keef,3
jonathan_keef,3
tufts-health.com,3
coun,3
jonathan.coun,3
prudential.com,3
tucker,29
jl2mtucker,3
jordan,59
hemphil,3
jordan_o_hemphil,3
amoco.com,3
jose,58
oncina,3
joseo,3
ellsworth,3
joseph_ellsworth,3
buckman,3
jbuckman,3
ppsmail.ameritech.com,3
winarski,3
jwinarski,3
textron.com,3
patterson,18
jpatterson,3
glic.com,3
procopio,3
procopioj,3
nimo.com,3
maccani,3
maccanj,3
jostens.com,3
cowan,6
joe.cowan,3
usa.xerox.com,3
milano,3
joseph_milano,3
merck.com,3
jmurphi,3
wpp.com,3
patti,16
jpatti,3
turner,20
joe.turn,3
joshua,8
figueroa,4
figuej,3
juan,14
cano,3
jcano,3
nortelnetworks.com,3
judith,5
judith.a.taylor,3
judi,37
schultz,8
jmschultz,3
cmsenergy.com,19
julian,3
atkin,4
bob.j.atkin,3
jurg,3
grossenbach,3
bataadm,3
iprolink.ch,3
nicol,40
escu,3
nicole_escu,3
timeinc.com,3
amo,3
karen_amo,3
hermanmiller.com,3
couto,3
karen_couto,3
reyrey.com,3
balko,3
balkok,3
krandal-dusik,3
exeloncorp.com,3
karl,12
myer,4
karlmyer,3
p21qs.com,3
kathleen,27
carrington,3
kegrrin,3
lead,367
forti,3
corpor,559
north,322
face,181
fewer,28
satisfactori,3
altern,102
rel,134
larg,281
train,111
lower,422
increasingli,21
estat,98
labor,22
verif,4
tax,267
comparison,22
incent,40
negoti,183
us,903
unit,480
state,1083
serv,210
canadian,89
857-0100,3
cell,148
381-1450,3
mmacbrid,3
michael,342
macbrid,3
cma,4
senior,248
consult,112
charter,54
PO,19
1005,3
633,3
main,149
street,550
e1c,3
8p2,3
confidenti,317
privileg,79
review,541
dissemin,111
copi,258
addresse,94
prohibit,163
error,204
sender,192
delet,179
bmc,327
profession,93
chaz,50
deal,1590
cummin,46
youngflesh/na/enron,98
stephen,156
done,349
MM,15
tcv,14
purchas,536
commit,179
14th,87
15th,24
smith,202
doug,87
net,260
12/13/2000,57
mors,27
vaughan/enron,24
nebergall/enron,8
softwar,247
steve,361
broadband,320
enron.net,163
vaughan,26
12/12/00,16
morse/enron,28
revenu,196
4,851
still,806
13mm,13
properli,40
convey,17
accepable-to-bmc,10
method,41
prof'nl,10
svc,14
sign,450
6pm,35
youngflesh,77
eric,166
attract,105
matson,42
bob,303
martinez,17
ogg,32
appar,64
type,200
flip-flop,7
bless,14
highlight,63
bunch,16
bottom,118
qti,5
60,000,19
assum,206
2k/hour,2
way,772
