market,1816
present,147
price,1043
staff,44
tim,118
ferc,319
meet,570
scarciti,15
wa,432
load,183
investig,135
wholesal,201
thi,1474
would,463
iou,21
provid,364
scott,12
made,140
attach,313
power,993
west,38
california,821
previou,30
caus,60
take,231
ani,570
high,141
commiss,195
incent,24
gener,621
like,182
inform,500
addit,194
miller,15
also,299
version,66
friday,208
convey,9
messag,156
enron,776
buy,114
last,152
thursday,216
first,147
particular,15
ellen,3
wolf,12
tabor,6
caramani,3
creat,65
build,44
belden,15
dave,81
parquet,23
In,249
follow,260
point,105
n't,186
much,87
becaus,141
spike,42
We,356
discourag,15
action,132
hurt,3
vibrant,3
rest,15
well,128
logic,6
result,136
doe,93
anyth,41
1,242
whether,89
exercis,39
parti,78
2,164
necessari,66
protect,60
still,72
need,280
establish,43
cap,444
rent,5
level,113
equal,6
interrupt,69
properli,9
prepar,78
risk,98
fail,42
hedg,36
underschedul,6
therefor,32
fill,16
larg,44
percentag,6
iso,1691
real,98
time,471
My,35
analog,3
day,294
trade,393
retir,9
fund,23
asset,42
alloc,18
scheme,3
function,87
better,51
whatev,7
particip,631
To,422
see,186
detach,3
save,45
view,75
powerpoint,6
find,125
mani,105
hidden,3
slide,6
part,75
oral,3
hard,21
copi,74
accord,48
head,63
got,32
alot,6
base,99
numer,21
phone,82
call,390
've,26
get,197
look,129
data,159
revis,70
sent,169
differ,66
approach,21
On,80
talk,51
answer,33
question,286
said,475
favor,30
elimin,39
mandatori,20
PX,156
requir,213
abl,72
onlin,49
He,244
explain,26
fulli,33
exist,48
8/28,6
IS,5
record,47
ON,16
'prior,3
'S,3
',146
sheet,6
netscap,12
4.74,6
ha,767
roll,30
portland,21
offic,256
complet,96
fresh,3
login,9
notic,211
start,106
menu,12
click,45
icon,3
new,454
instal,21
automat,9
If,312
problem,102
dure,204
upgrad,21
pleas,619
feel,60
free,57
IT,42
person,157
regard,184
paul,40
report,205
otc,21
confer,144
PM,335
path,75
26,45
studi,129
elim,9
smud.org,18
wscc.com,9
wscc,20
know,193
forward,412
belden/hou/ect,72
richard,59
08/17/2000,42
ect,342
cc,222
subject,363
RE,47
increas,126
info,9
2800,6
3000,6
approv,183
eddi,9
lim,6
oper,507
otc-path,6
26-2000summer,6
update.doc,6
oss,6
support,147
MW,144
review,174
reliabl,77
system,326
chuck,15
Wu,6
cywu,6
caiso.com,312
mailto,75
name,102
check,39
let,108
everyon,63
08/20/2000,3
09:16,9
ingersol,3
01:11,3
cdt,3
heizenrader/pdx/ect,3
haeeeri,3
reason,151
believ,113
uprat,3
balanc,39
summer,184
ingersoll/hou/ect,6
01:09,3
08/16/2000,30
04:41:52,3
maiser,3
transfer,32
capabl,33
polici,119
group,126
dear,12
CA,81
otcpg,3
member,99
move,61
thermal,3
limit,147
coi/pdci,3
scit,12
nomogram,30
remain,38
unchang,6
caiso,254
schedul,410
discuss,211
seek,69
PG,111
short,57
interest,137
full,27
util,330
thank,235
advanc,57
expedit,22
comment,212
e-mail,445
CC,3
sec,3
post,179
distribut,120
accordingli,6
smud,3
916,240
732-5362,3
access,124
us/canada,3
dial-in,3
number,161
877,28
381-5996,3
passcod,39
owner,53
ID,19
784377,3
compani,421
leader,48
date,203
8/18/2000,3
10:00,15
pacif,18
august,522
2000,596
jeann,39
Is,69
privileg,75
detail,150
monday,117
21,60
-origin,60
sole,28
18,41
4:15,3
fuller,78
happ,24
susan,71
memorandum,12
stakehold,200
document,111
basi,80
31,84
M.,43
sol,27
regulatori,138
counsel,45
608-7144,21
____________________________________________________________________________,24
_______________________________________,18
forego,18
commun,159
togeth,57
thereto,18
intend,135
design,93
recipi,68
onli,271
term,80
may,281
Be,24
confidenti,126
By,66
attorney/cli,18
applic,105
unauthor,18
use,263
dissemin,60
Or,18
reproduct,18
Of,48
strictli,18
prohibit,57
8-18memotostakeholders.doc,3
separ,27
appendix,54
C,31
comprehens,15
redesign,27
cmr,120
recommend,186
websit,69
http,275
//www.caiso.com/clientserv/congestionreform.html,54
byron,102
woertz,102
director,205
client,320
relat,330
expost,6
10,126
minut,78
6/15/00,3
hour,170
12-24,3
except,27
area,138
//www.caiso.com/marketops/oasis/exceptions/,3
.csv,3
file,168
contact,223
ginger,12
seitl,12
916.351.4420,3
crcommun,36
rob,23
set,78
1:30,9
pm,21
bob,181
next,156
16-18,15
avail,91
As,148
remind,31
.....,3
rememb,27
rsvp,63
colleen,24
grant,75
608-7069,12
email,85
cgrant,24
plan,227
attend,89
soon,99
rfb-ga,18
000817.doc,18
Le,9
vine,9
debi,9
request,259
bid,294
contract,178
ga,218
curtail,72
condit,68
rfb,24
'm,39
open,98
Do,45
word,24
95,15
keoni,14
almeida,12
independ,135
916/608-7053,9
pager,17
916/814-7352,9
alpha,9
page,58
9169812000.1151268,9
pagenet.net,9
kalmeida,9
17,22
6:29,3
suppli,176
lo,24
angel,24
basin,18
winter,39
2000-2001,9
respons,259
due,72
5:00,27
p.m.,60
septemb,141
16,60
direct,129
brian,36
theaker,21
btheaker,21
608-5804,15
complianc,51
No,29
tom,70
'll,35
today,165
month,131
carl,42
caiso-crm-feedback-ena-cfi-072800.doc,3
natsourc,12
optimum,9
input,42
good,92
afternoon,47
chang,344
thier,3
natsource-tullet,3
tullett,3
deal,44
done,57
llc,11
ee,341
sdg,341
E,420
jame,48
D,54
offer,111
mari,47
hain/hou/ect,33
steffes/hou/e,27
karen,30
steven,37
J,75
kean/hou/e,15
mark,138
palmer/corp/enron,9
jeff,132
dasovich/sfo/e,42
shapiro/hou/e,30
residenti,71
02:26,3
denn,3
02:13,3
Re,17
care,21
posit,110
concern,86
perceiv,6
re-ent,3
even,111
though,24
're,60
propos,203
rather,26
end-us,12
custom,313
compar,27
eight,9
receiv,195
steff,9
01:38,3
denne/corp/enron,12
write-up,3
make,276
public,152
territori,24
probabl,39
someth,42
readi,21
late,50
03:35,3
melinda,3
mccarti,3
03:07,3
marcia,3
linton/na/enron,3
case,67
futur,54
refer,78
play,28
gave,15
simpl,13
alway,12
delet,54
mm,3
model,71
john,111
christi,12
robert,168
L,50
transmission/pow,6
exchang,108
doug,9
mike,106
steve,89
bracepatt.com,12
rto,20
02:15,3
01:04,3
nicolay/hou/ect,3
send,91
western,39
trader,35
continu,154
consid,61
shortcom,3
sure,34
kept,12
loop,12
project,210
e-tran,3
possibl,119
jim,60
03:02,3
nicolay,6
02:33,3
kevin,15
M,12
presto/hou/ect,3
lloyd,3
will/hou/ect,3
edward,11
baughman/hou/ect,3
terri,21
clynes/hou/ect,3
mangskau/corp/enron,3
sewell/hou/ect,3
oscar,3
dalton/hou/ect,3
zachari,3
sampson/na/enron,3
curry/hou/ect,3
david,46
fairley/hou/ect,3
walton/hou/ect,3
brown/hou/e,3
dan,42
staines/hou/ect,3
delaney/corp/enron,9
joe,49
hartsoe/corp/enron,18
sarah,13
novosel/corp/enron,9
charl,3
yeung/hou/ect,3
ron,5
mcnamara/na/enron,3
robin,3
kittel/hou/e,3
janin,3
migden/dub/e,3
kerri,6
stroup/dub/e,3
montovano/dub/e,3
wibbi,3
compuserve.com.,3
may/corp/enron,3
roger,38
herndon/hou/ect,3
zufferli/hou/ect,3
king/corp/enron,3
mitch,3
robinson/corp/enron,3
tca-us.com,18
dwatkiss,3
sbuchheit,3
dana,6
davis/hou/ect,3
howard,9
fromer/hou/e,3
daniel,13
allegretti/hou/e,3
hoatson/hou/e,3
suarez/hou/ect,3
broderick/hou/ect,3
frank/hou/e,3
harri,3
kingerski/hou/e,3
stalford/na/enron,3
bill,213
rust/hou/ect,3
dutta/hou/ect,3
patrick,12
hanse/hou/ect,3
corri,3
bentley/hou/ect,3
benson/corp/enron,3
berger/hou/ect,3
carson/corp/enron,3
gilbert-smith/corp/enron,3
clint,3
dean/corp/enron,3
llodra/corp/enron,3
georg,12
wood/corp/enron,3
janel,12
scheuer/hou/ect,3
kyle,18
schultz/hou/ect,3
ashton,3
soniat/corp/enron,3
larri,6
valderrama/hou/ect,3
greg,62
woulfe/hou/ect,3
alonzo,3
williams/hou/ect,3
comments/discuss,3
gov't,3
affair,30
draft,136
includ,278
flowgat,3
transmiss,189
right,76
work,290
tariff,81
10/15,3
resolut,36
board,325
calpx,57
day-of,15
day-ahead,15
polit,42
state,459
measur,48
AM,217
16.doc,6
pressur,36
electr,616
feder,135
governor,111
lawmak,30
effect,154
elow,3
artic,3
bruno,29
gaillard/sfo/e,24
11:48,3
e._jesus_arredondo,3
calpx.com,42
11:41:33,3
bgaillar,5
enron.com,152
2nd,16
tri,70
keep,71
mind,24
respond,113
fyi,30
dow,211
jone,220
newswir,75
ask,150
reduc,71
cave,6
jason,45
leopold,45
spot,6
bought,9
sold,15
wednesday,102
author,111
impos,24
350,6
per,99
megawatt-hour,36
admit,24
intens,6
place,84
gov,74
gray,30
davi,115
suicid,3
carolyn,26
keherein,3
serv,84
we'r,3
percept,6
current,115
2,500,3
technic,90
comput,93
stabil,23
pass,64
retail,82
notabl,3
consum,144
san,206
diego,161
ratepay,18
pay,102
market-bas,18
rate,201
seen,20
nearli,12
tripl,9
past,57
two,137
energi,803
befor,119
goe,18
indic,54
OK,12
directli,49
-eja,3
E.,9
jesu,9
arredondo,15
manag,401
corpor,49
tel,48
626.537.3155,3
produc,147
complaint,108
export,57
reject,74
DJ,90
grid,102
compens,33
transact,114
calif,60
welcom,39
probe,27
urg,66
pergher,168
dowjones.com,147
say,136
noth,50
regul,88
conduct,69
dynegi,48
event,139
