aol.com,1978
wa,6913
get,5209
date,1279
colleg,489
well,1568
dormitori,27
fire,270
hi,6913
love,1137
know,3967
thi,16046
craig767,12
letter,215
befor,1229
He,5321
kind,256
',4943
yahoo.com,1042
window,105
exact,40
daughter,60
dad,396
It,2377
ha,6418
sinc,782
veri,1386
read,680
sit,311
pretti,628
skull,8
fractur,96
concuss,150
jump,145
caught,395
hospit,73
pregnant,26
welcom,227
famili,496
although,642
differ,484
want,2524
classic,67
______________________________________________________________________________,53
_______,68
web,536
free,4288
msn,218
explor,188
download,168
http,12621
//explorer.msn.com,87
content-transfer-encod,18
7bit,18
return-path,66
full-nam,14
message-id,97
3c.4138f91.27540c2e,4
mon,103
27,492
nov,119
2000,2617
14:12:46,4
est,47
subject,8021
To,9451
b2marina,14
dbarber,4
iglou.com,4
mbosc,4
greaterlouisville.com,4
krcord,4
cgeorge462,4
imbah,4
rickh,4
spectracare.com,4
grahamh,4
dellnet,4
com,4
bttoomey,4
javezeau,4
mime-vers,88
1.0,291
content-typ,92
text/plain,50
charset=,16
us-ascii,11
x-mailer,45
aol,167
sub,46
123,10
An,126
replica,5
wrote,115
parent,79
dear,346
mom,250
three,996
month,630
left,1696
remiss,4
write,215
sorri,344
thoughtless,4
written,92
bring,561
pleas,3910
TO,508
ani,3121
unless,340
okay,60
along,242
got,1154
shortli,50
arriv,240
heal,134
onli,2564
sick,98
headach,18
onc,568
day,3178
fortun,46
wit,51
attend,399
ga,882
station,102
near,215
dorm,8
one,4059
call,1791
depart,258
ambul,5
also,1508
visit,1243
nowher,13
live,461
becaus,1755
burn,91
enough,644
invit,376
share,287
apart,134
realli,906
basement,8
room,490
cute,32
fine,533
boy,322
fallen,43
deepli,19
plan,721
marri,52
We,2918
n't,7262
set,606
yet,564
pregnanc,4
begin,527
show,875
ye,340
mother,129
much,1682
look,3274
forward,3053
grandpar,15
babi,62
give,1497
devot,11
tender,32
care,352
gave,169
child,93
reason,449
delay,85
marriag,34
boyfriend,16
minor,108
infect,41
prevent,73
us,1433
pass,3088
pre-marit,4
blood,40
test,446
carelessli,4
soon,362
clear,240
penicillin,4
inject,24
daili,448
open,632
arm,179
educ,103
ambiti,4
race,144
religion,19
often-express,4
toler,27
permit,27
bother,148
fact,445
skin,21
color,122
somewhat,79
sure,932
background,17
good,2952
told,472
father,180
import,383
gun-bear,4
villag,80
came,288
brought,250
tell,798
engag,106
syphili,4
man,656
life,480
howev,635
'D,7
histori,239
F,854
scienc,47
see,3184
mark,811
proper,22
perspect,54
8/2-8/8,2
239/night,2
ritz,3
carlton,2
st,43
thoma,541
confirm,430
82744876,2
mayberry_1.jpg,3
receiv,2750
due,617
week,8794
repriev,4
If,3577
110,27
sunday,3094
forfeit,37
My,478
address,651
2302,52
travi,260
St,57
8225,52
houston,1213
77006,63
-eric,410
ant,140
dog,362
grasshopp,120
egroups.com,290
bite,86
said,2147
________________________________________________________________________,80
hous,435
summer,228
last,4038
sep,108
messag,2856
insur,120
Re,2022
peopl,1128
winter,200
home,803
-0400,59
caninesolut,36
sandra,53
anderson,607
sandraan,36
concentric.net,36
text,204
file/seminar,36
format,152
year,3585
food,178
bill,805
list,2183
10,1299
sun,410
fli,466
goos,32
claim,252
make,2940
new,4263
group,749
case,385
work,1582
peter,154
joe,775
melissa,273
sardog,24
sensible-net.com,24
leonard,82
lesson,64
go,4478
encourag,122
homeown,24
bull,102
state,983
version,107
hard,454
away,411
allow,2289
back,3090
number,1516
old,470
11,922
owner,709
anoth,1170
need,2676
team,4263
gees,23
take,2245
coverag,170
pit,560
compani,641
percent,292
bitten,23
michigan,58
wither,37
heat,136
long,734
build,223
lay,81
suppli,84
think,2834
fool,120
laugh,75
danc,122
play,5671
come,1870
warm,126
fed,31
die,130
cold,167
shiver,16
cb,337
next,1834
america,1596
appear,722
sing,60
green,844
hillari,42
clinton,72
dan,207
jess,38
front,244
immedi,221
tax,492
pay,461
fair,228
retroact,24
govern,240
stand,343
dawn,74
caninesolutions-own,16
caninesolutions-unsubscrib,16
camp,118
bird,54
honk,19
glsar,16
/,2582
aggress,31
breed,24
chow,16
medic,69
counti,354
shelter,15
demand,159
whi,773
provid,770
tabl,922
suffer,705
concern,243
everyth,284
deni,73
law,234
repres,174
tri,1137
feder,134
hear,442
PM,4703
lose,434
bit,336
happen,461
found,295
neighborhood,31
hp.egroups.com,12
post,696
subscrib,427
caninesolutions-subscrib,12
unsubscrib,775
url,145
page,476
//www.egroups.com/group/caninesolut,12
17,609
1,2769
3,1676
drill,67
sark9trnr,12
lynn,37
12,1040
search,130
john,814
lauria,12
sister,71
saint,280
right,3409
'll,1915
follow,1096
hey,497
way,3115
greater,80
common,78
sens,102
help,1280
two,2142
protect,161
sar,12
seriou,181
detroit,434
metlif,12
nation,525
often,218
bernstein,12
cost,456
associ,305
result,551
someon,456
're,1242
spokesman,27
lot,715
report,1937
1996,39
farm,35
jeff,913
modern,31
press,267
confer,360
starv,20
nbc,35
abc,218
pictur,220
video,144
comfort,126
fill,243
stun,18
sharp,212
contrast,14
countri,479
wealth,20
poor,100
kermit,8
frog,15
oprah,8
everybodi,41
cri,239
easi,197
special,1157
guest,98
even,1326
rather,123
prosper,17
deserv,88
benefit,155
unfairli,15
dure,1404
reagan,80
refer,165
temperatur,54
80,104
jackson,528
stage,48
demonstr,26
news,583
film,54
shall,123
overcom,46
kneel,15
pray,80
god,222
sake,41
Al,455
gore,1314
exclaim,9
interview,74
jen,63
gotten,122
rich,88
hike,20
final,1005
eeoc,9
draft,558
econom,62
equiti,27
anti-grasshopp,8
act,160
fail,112
hire,82
proportion,12
bug,27
noth,338
confisc,12
firm,116
defam,8
suit,131
panel,12
judg,218
appoint,43
single-par,8
welfar,11
recipi,387
thursday,1499
1:30,46
3:00,46
talk,892
schedul,1264
stori,444
end,1501
finish,295
crumbl,8
around,888
doe,1531
maintain,50
disappear,30
snow,286
TV,144
bought,46
sell,241
wildli,12
applaud,19
democrat,313
announc,321
era,19
dead,77
drug-rel,8
incid,30
abandon,43
taken,238
gang,18
spider,8
terror,15
peac,47
sentto-1293958-144-968674576-mjb5778=aol.com,8
returns.onelist.com,8
rly-yd04.mx.aol.com,8
esmtp,58
+0000,8
digest,9
30,690
rate,638
2,2339
ya,164
4,1608
invite/glsar,8
5,1318
articl,194
uh,8
kinda,22
question,2035
engelbert,8
weekend,1051
dora,11
sosard,8
interhop.net,8
16,681
speedy.cc.uky.edu,8
margaret,28
error,215
hell,106
situat,412
everyon,668
mind,334
heard,315
feel,632
No,1323
may,2691
mel,20
head,911
V,104
might,1094
consid,547
As,827
By,254
flock,8
least,489
quickli,181
alon,59
power,445
stay,455
posit,588
keep,1439
heart,133
core,23
wound,34
abl,975
difficult,101
time,4593
guy,1164
wo,757
acr,8
hill,207
sat,487
kid,270
join,361
sand,25
cancel,278
pooch,8
longer,272
attitud,83
increas,346
polici,183
At,385
larg,130
rottweil,12
institut,37
treatment,59
carrier,40
whose,103
particularli,45
anim,83
center,1065
million,276
harbert,8
neighbor,76
throat,23
problem,555
gari,485
son,186
nearli,103
injuri,2361
like,4453
attack,154
su,29
postal,9
liabil,28
carrol,27
either,619
Ky,8
kentucki,38
madison,33
tornado,9
rly-yd04.mail.aol.com,4
172.18.150.4,4
air-yd02.mail.aol.com,4
v75_b3.11,4
08:17:18,4
208.50.99.201,4
v75_b3.9,4
08:17:01,4
10.1.10.143,4
nnfmp,4
12:16:19,4
12:16:16,4
144,10
reply-to,16
968674576.21312,4
unknown,26
preced,14
bulk,68
delivered-to,4
mail,389
mailing-list,4
contact,763
x-egroups-return,4
list-unsubscrib,4
mailto,1602
egroup,11
sponsor,138
-~-~,4
font,10720
color=,1139
000099,212
nextcard,4
visa,16
second,729
2.9,9
intro,14
9.9,6
ongo,27
apr,36
annual,134
fee,217
appli,249
/font,10630
href=,3991
//click.egroups.com/1/9146/8/_/9872/_/968674577/,4
B,3970
click,1630
/B,3648
/A,3337
-_-,4
issu,340
topic,84
6,1267
7,1212
8,968
9,729
kelli,177
campbel,76
resqk9,4
hotmail.com,1871
lengelbert,4
home.com,92
danczrr,4
13,537
14,814
Fw,451
viru,82
warn,84
15,852
11:42:40,4
there',12
terribl,60
mistak,125
explain,103
'd,578
nun,4
straight,219
tomorrow,528
beg,11
orgi,4
tonight,691
must,616
Of,299
cours,394
appar,103
plight,4
slip,55
morn,558
phone,387
pick,1048
pete,64
maggi,7
never,677
12:02:41,4
oldi,5
light,233
matter,247
spell,61
fall,252
south,264
discov,81
flap,7
wing,43
creat,486
uplift,5
whole,160
71,19
rang,83
flew,8
direct,317
commun,2316
easili,64
travel,1804
thrust,26
suddenli,73
drag,23
resist,18
advantag,210
lift,141
accept,294
harder,67
someth,601
togeth,449
lead,418
tire,114
rotat,367
point,2579
sensibl,7
turn,681
task,44
leadership,106
interdepend,4
skill,116
capabl,60
uniqu,61
arrang,120
gift,530
talent,230
resourc,151
behind,384
speed,133
In,1224
product,1207
valu,1082
qualiti,134
seek,63
discourag,19
shot,292
drop,308
lend,14
launch,64
catch,767
colleagu,89
angel,339
arrien,4
14:32:50,4
E.,58
manag,880
kathleen,19
dave,337
holcomb,62
resum,108
14:40:20,4
lil,14
overnight,14
wilderness/work,4
properti,118
120,29
surround,85
4000,4
land,179
north,1405
cadillac,4
east,277
mi-wa-taka,4
mich.,4
roll,352
tough,689
terrain,11
etc,137
friday,1529
night,1865
break,346
water,100
food/warm,4
cloth,46
tent,21
track,180
map,170
though,696
member,409
ever,375
find,1005
wildlif,7
wife,83
breath,70
interest,813
15:12:53,4
supris,4
threaten,33
charl,178
V.,40
tine,4
four,1422
charli,261
cain,7
lans,4
bureau,15
chief,246
sizabl,10
sever,407
metro,10
increasingli,22
forc,260
display,134
bad,584
auto,78
five,495
german,84
shepherd,60
terrier,12
overal,67
household,12
believ,601
match,115
risk,450
richard,248
vice-presid,11
tend,46
emot,38
traumat,4
costli,15
inform,1433
york,581
