cost,1554
outsid,526
specif,923
ena,2720
busi,6686
final,1457
expens,683
pleas,10280
plan,3671
year,2686
group,4779
unit,1543
manag,7564
deal,3032
charg,500
support,2846
guy,523
attach,3110
find,1663
cut,219
2001,2697
budget,534
review,4993
make,3282
ani,6186
adjust,394
exist,508
appropri,852
hit,177
net,1167
target,464
In,2514
order,968
stay,503
flat,137
split,202
remain,653
posit,3888
varianc,66
equal,41
across,619
As,2291
discuss,3854
earlier,464
alloc,388
track,373
incom,174
statement,282
line,765
account,2122
variabl,18
relat,970
eg,24
legal,1013
tax,829
technic,322
expertis,122
facil,426
research,411
increment,59
back,2573
mid,503
offic,5543
asset,714
entertain,71
etc,904
look,2744
thi,21554
structur,758
minimum,125
capac,186
need,6257
oper,6403
evaluate/manag,7
risk,5721
one,3953
page,462
headcount,195
chang,3232
regard,3343
delainey,299
ect,32457
center,869
enron,27291
global,4056
market,2701
holli,49
thank,8263
could,2477
breakdown,75
3,1312
much,1133
call,3559
question,3157
3-5843,15
PM,7465
bob,1991
M,1251
hall/na/enron,379
column,100
help,2708
still,1419
inform,4825
see,2910
prior,785
e-mail,1558
If,3909
follow,3672
respond,497
soon,1081
possibl,1416
logist,506
2,2003
settlement,961
confirm,2194
control,2945
energi,2229
1,1954
forward,6671
heath/corp/enron,6
11/07/2000,88
01:59,17
heath,16
11/02/2000,30
04:25,22
To,9909
robert,1240
superty/hou/ect,151
dian,237
H,333
cook/hou/ect,77
heather,243
choate/hou/ect,67
vanessa,211
kyama/na/enron,3
sheri,854
thomas/hou/ect,325
lola,12
willis/corp/enron,12
mari,1967
solmonson/hou/ect,403
marvia,109
jefferson/hou/ect,51
julissa,26
marron/corp/enron,10
salli,13511
beck/hou/ect,4581
patti,1736
thompson/hou/ect,456
cc,7177
subject,9015
file,1035
contain,363
get,4979
everi,573
team,4398
affect,162
explain,271
percentag,106
list,3333
break,231
apart,65
B,752
J,965
feel,1194
free,738
may,3921
submit,487
explan,163
tomorrow,1068
afternoon,799
increas,1001
resourc,2159
eol,1238
ha,6892
transact,1661
result,1216
sarah,205
high,539
level,1242
includ,2638
2000,1959
forecast,101
5.1,3
million,542
let,4642
know,6836
experienc,280
140,12
growth,403
activ,4132
requir,2028
addit,2055
new,4753
howev,1139
onli,1944
rate,833
11,394
due,1208
effici,265
use,2866
per,1064
individu,943
decreas,141
significantli,107
100,241
400,52
rang,107
brian,756
timelin,336
lisa,786
corp.,1863
09/27/2000,87
AM,4919
cousino/hou/ect,71
jim,730
laura,472
E,937
scott/cal/ect,55
templat,160
monday,2425
guidelin,124
check,918
mean,502
leav,672
voicemail,108
messag,3100
give,1526
north,1924
america,2299
beck,2506
09:00,18
Is,460
08:58,19
darin,14
talley,9
09/26/2000,129
02:37,17
mark,2596
frank/hou/ect,19
thoma,685
myers/hou/ect,63
georgeann,164
hodges/hou/ect,65
coffey/hou/ect,47
lynn,281
ruffer/hou/ect,36
susan,727
helton/hou/ect,11
jeff,1846
smith/hou/ect,232
faith,92
killen/hou/ect,32
michael,1815
S,729
galvan/hou/ect,23
cheryl,168
dawes/cal/ect,19
jodi,250
pierce/hou/ect,7
angel,65
beltri/hou/ect,7
hope,2090
vargas/hou/ect,20
pam,87
becton/hou/ect,7
todd,1127
warwick/hou/ect,7
troy,70
klussmann/hou/ect,13
pond/corp/enron,14
brown/hou/ect,83
stephen,782
thatcher/corp/enron,7
karri,21
kendall/hou/ect,25
melissa,422
graves/hou/ect,20
yvett,112
miroballi/hou/ect,15
note,2432
earn,335
consolid,516
octob,1355
2nd,168
latest,373
trey,40
hardi,99
sever,1048
calcul,407
e.g.,39
IT,1439
sent,3136
becaus,1035
receiv,2012
enw,1235
therefor,552
recommend,531
avoid,197
delay,273
anyon,522
particip,1637
process,4682
x58694,10
DT,10
provid,3004
contact,2606
mike,3282
bill,677
month,1592
want,3118
updat,2127
progress,416
aec,73
bryce,271
baxter,190
hi,2382
member,699
bennett,82
hogu,23
understand,1351
We,6532
initi,889
request,3502
i.e.,72
data,1958
await,50
approv,2255
befor,1604
complet,2260
analysi,691
confid,203
establish,426
clear,522
point,1363
within,1577
continu,1986
work,7523
solidifi,23
relationship,304
rob,362
futur,698
report,6739
directli,576
milnthorp,100
canada,742
abov,875
bring,548
attent,284
met,568
morn,1204
place,1310
appris,10
outcom,104
situat,291
resolv,237
refer,435
concern,1322
harrison,124
713-853-3960,3
06/28/2000,45
04:07,18
harrison/hou/ect,162
brent,2317
price/hou/ect,743
