thi,3519
inform,786
ha,883
particip,174
gem,20
rollout,10
In,372
As,341
awar,80
busi,849
unit,305
select,96
project,278
global,224
enron,2679
migrat,39
window,25
2000,126
prepar,107
imper,10
gather,24
workstat,12
applic,176
use,484
To,1636
begin,138
data,251
collect,46
autom,20
process,502
fact,50
system,343
inventori,35
onc,99
receiv,454
work,573
local,45
depart,105
coordin,63
consolid,35
ensur,108
transit,40
smooth,16
possibl,193
team,426
would,1042
like,572
thank,1049
If,734
ani,1125
question,493
pleas,1752
contact,421
lee,36
steel,89
713,286
345-8259,8
move,185
tuesday,288
februari,111
27,70
2:00-3:00,6
terri,32
x33565,7
financ,198
ect,1338
approv,376
commod,159
embed,73
deal,677
document,242
million,366
AM,868
david,643
tim,145
abbrevi,29
cc,412
subject,1481
/,105
transact,407
10/31/2000,20
forward,597
W,96
dave,128
dash,286
credit,747
issu,595
manag,962
delainey,104
7/06,16
11/02/2000,12
delainey/hou/ect,16
mark,487
john,446
J,120
lavorato/corp/enron,20
need,889
rac,704
structur,125
fund,199
flow,76
risk,1110
belden/hou/ect,13
belden,47
rick,2738
buy/hou/ect,351
PM,1035
joseph,44
deffner/hou/ect,8
E,235
haedicke/hou/ect,16
requir,452
close,222
full,99
amount,174
standard,115
exampl,85
counterparti,184
contempl,14
via,110
avail,349
ii,21
egf,9
cost,249
appropri,187
syndic,21
two,260
signatur,44
origin,136
know,699
regard,483
adequ,26
underli,27
capit,182
see,422
We,984
power,480
period,104
grant,32
counti,19
7/2000,8
7/2001,8
9/2001,8
eugen,8
water,34
electr,92
12/2002,8
11/03/2000,12
09:16,5
gort,182
07:28,4
Re,77
today,293
500,000,7
howev,130
finish,20
new,848
prepaid,6
tilt,4
swap,52
base,155
upon,73
specifi,30
rate,284
matur,41
25,97
five-year,5
exposur,207
aaa,6
onli,329
meet,1060
criteria,14
capac,48
creat,95
confirm,183
iii,17
price,306
met,80
threshold,37
includ,510
spread/reserv,4
premium,23
intend,176
expedit,6
rel,46
straightforward,4
impract,4
ineffici,4
It,359
present,304
could,307
either,123
bill,253
bradford,258
mine,19
weekli,71
updat,264
welcom,46
thought,164
event,164
provid,431
propos,109
review,508
concurr,8
befor,223
implement,103
sinc,184
preponder,4
expect,163
ena,52
let,588
comment,269
09:25,4
gorte/hou/ect,24
argu,11
pursu,27
long,106
compens,60
b,80
veri,204
good,255
paper,38
c,26
solid,16
charg,82
adjust,61
abil,73
posit,730
cash,196
e,66
comfort,38
reach,53
goal,79
imbed,5
5M,4
joe,40
key,147
fatal,4
flaw,4
strategi,62
priced/manag,4
well,351
watch,55
09:15,4
01:54,4
10:57,7
11:54,6
10:56,5
11:52,8
christoph,32
F,30
calger/pdx/ect,4
follow,565
deliv,72
muni,8
short,115
term,199
get,681
paid,39
back,258
later,69
