tech,145
servic,2430
pleas,4089
team,1402
great,986
deal,707
input,242
larg,517
group,1041
peopl,570
hope,446
almost,113
final,433
draft,385
2000,1635
attach,2142
take,1508
look,1000
oper,1851
director,254
meet,2723
next,868
week,1464
go,1570
may,3784
find,925
appropri,251
use,2575
individu,440
object,197
If,2993
ani,3465
question,1684
let,992
know,1718
thank,2106
rick,382
cate,26
see,2321
file,1779
respons,951
submitt,125
annual,484
cetif,3
It,1428
also,1869
cover,334
role,163
responsibl,12
entir,287
air,991
complianc,487
program,1046
review,1303
spreadsheet,123
thi,12886
document,724
excel,140
wa,4114
updat,909
environemtn,3
januari,212
12,448
evergreen,13
period,586
june,380
1,2223
decemb,905
31,228
environment,957
s/enron,1759
enron,7986
like,1628
larri,2625
duck,13
help,1370
receiv,2795
leo,58
07/18/2000,6
butch,142
would,3459
mighti,6
think,733
need,2288
We,2374
campbel,949
PM,3808
To,3909
cc,1465
russell/et,78
subject,3119
campbell/et,428
prepar,291
audit,186
'll,661
put,415
item,584
kept,52
probabl,257
talk,298
august,548
05:52,2
nichols/et,24
cates/et,35
note,855
place,803
notebook,6
much,509
forward,1491
04:57,3
san-juan,8
09:05,4
AM,2711
rich,398
jolly/et,156
smith/et,50
san-juan-laplata/et,6
smith,182
russel,132
mega,39
time,3461
busi,1239
schedul,2915
us,1651
greatli,107
appreci,379
extra,100
effort,382
still,527
fling,5
high,329
recognit,10
tremend,27
american,304
express,214
faith,18
number,1603
one,2460
goal,202
phil,123
2001,3255
eh,8
support,1282
et,222
william,698
kendrick/ots/enron,186
01/24/2001,39
john,1419
submit,768
lowri,33
mike,500
terraso,36
make,1662
everi,493
identifi,516
implement,475
allow,680
continu,731
growth,104
commit,248
function,238
due,873
recent,395
develop,622
travel,771
bill,889
01:51,3
shafer,301
07:36,6
lowry/ots/enron,26
michael,463
terraso/ots/enron,23
bcc,29
health,142
safeti,180
activ,1056
includ,1671
point,767
relat,640
EH,23
S,444
stan,45
horton,8
02/13/2001,12
riedel/et,39
07:44,13
kendrick,189
09:37,7
kyle,48
purvis/gco/enron,18
chang,1805
09:36,3
02/12/2001,3
04:12,9
michel,148
nelson/et,42
dan,178
pribble/ots/enron,12
randi,386
rice/ots/enron,30
craig/ots/enron,12
hawkins/ots/enron,6
nick,35
rahn/gco/enron,3
wilson,25
barbee/hr/corp/enron,3
morri,37
brassfield/ots/enron,6
amelia,10
alder/ots/enron,3
jerri,132
D,249
martin/enron_develop,3
enron_develop,200
R,305
keller/ots/enron,11
loui,394
soldano/et,187
summar,44
year,1488
advis,174
mention,199
sorri,104
delay,226
diamond,797
x,136
price,2525
depth,91
measur,351
carat,129
tabl,274
cut,280
RD,36
cert,44
color,390
clariti,132
mm,207
ID,280
VG,30
F,595
gia,31
ideal,61
ag,34
vs2,21
inert,15
tripl,25
N,167
56,28
vs1,15
request,1493
best,670
custom,1886
weight,90
percentag,77
60,207
diamet,33
qualiti,309
give,852
email,1870
call,2588
http,4071
search,252
consid,433
recommend,316
list,2292
valu,658
becaus,964
beauti,200
millimet,22
import,579
size,242
person,726
three,404
3,1568
check,708
certif,299
57,15
1.28,6
7.14,6
stone,189
wholesal,144
7.17,6
7.21,6
vvs1,9
EX,6
4.30,7
favorit,170
1.37,6
55,39
G,90
sinc,545
work,1924
mount,42
manufactur,92
catalog,28
click,1624
better,372
Hi,133
complet,1038
inform,2989
form,602
//www.dsourceva.com,45
preliminari,121
found,537
follow,2100
mani,540
extrem,103
nice,61
substanti,62
budget,125
longer,234
usual,91
select,557
determin,728
filter,349
80,215
90,101
poorli,9
onli,1803
present,997
primari,157
factor,217
especi,114
sparkl,6
fire,122
round,102
actual,288
regard,964
appear,374
doe,765
necessarili,22
mean,243
exampl,197
less,495
gener,1570
larger,90
greater,130
even,694
though,148
could,1007
top,424
class,155
prefer,449
combin,124
matter,264
tast,11
choic,162
longest,4
shortest,4
letter,779
code,557
