bidder,89
employe,3923
D,195
offer,564
sever,579
would,2865
ect,4443
offere,12
thi,6199
david,1119
like,1053
want,1060
design,205
continu,473
We,1399
possibl,457
hire,407
ena,401
To,4303
ask,611
PM,3034
turn,104
provid,1241
coven,18
make,810
think,726
close,282
give,511
may,1773
howev,369
compet,41
abl,269
buyer,120
doe,610
interfer,25
made,381
question,1158
whether,415
bind,65
enron,7662
say,631
group,852
etc,254
ani,2224
michel,6344
11/26/2000,12
cc,2032
subject,4222
tripl,48
lutz,53
matter,371
oxley/hou/ect,176
get,1119
list,580
certain,203
us,668
employ,2423
n't,981
point,318
moot,2
time,1319
becaus,580
last,458
tuesday,564
deal,313
D.,112
ok,81
legal,911
go,818
way,401
although,184
potenti,173
liabil,154
warn,99
act,723
plant,159
law,1022
probabl,206
schedul,552
around,157
exposur,40
though,120
everyon,139
affect,124
60,40
day,623
',3208
notic,247
practic,330
favorit,25
approach,99
'd,204
prefer,132
could,862
abil,93
top,231
perform,502
manag,901
work,2043
person,735
identifi,179
present,301
inform,1842
meant,18
mean,143
counteroff,4
answer,260
unlik,32
unless,113
It,614
easier,38
commit,156
onli,596
wholesal,101
rather,146
corp.,943
ee,322
broadband,42
abid,18
agreement,2282
recommend,263
limit,266
includ,1013
pipelin,26
given,291
involv,325
transact,274
let,1314
know,1637
oxley,316
06:50,2
cash/hou/ect,1560
fran,219
L,209
mayes/hou/ect,43
view,169
forward,1696
06:43,4
timothi,151
J,133
detmer,16
11/15/2000,30
07:32,2
brian,309
redmond/hou/ect,6
patrick,61
wade/hou/ect,10
ann,386
C,214
koehler/hou/ect,25
respect,183
i.e,98
case,627
payment,542
df,6
propos,436
someth,170
follow,768
1,759
posit,359
histor,29
compens,438
2,631
___,11
pool,36
e.g,17
commerci,201
oper,322
engin,125
trade,615
3,544
allow,387
success,150
claim,728
construct,199
dismiss,162
plan,1599
4,357
sign,634
intend,524
5,262
6,223
If,1347
write,149
free,325
owe,83
intent,81
abov,253
encourag,58
take,591
right,712
opportun,443
anyon,170
bold,50
enough,96
keep,253
also,1122
cap,26
oblig,136
requir,711
specifi,29
mani,298
must,372
uncomfort,6
ca,105
pleas,2803
advis,222
date,1689
clonch,52
spilmanlaw.com,43
304,45
tim,336
C.,98
carrico,29
tcarrico,30
deposit,87
offici,155
counsel,347
richard,121
phone,310
wa,1857
depos,7
11/28/2000,32
07:15:09,6
AM,2098
cash,2121
e-mail,881
michelle.cash,643
enron.com,1962
charl,90
L.,85
woodi,28
cwoodi,12
yesterday,122
call,1272
request,739
januari,137
He,333
1/3,19
1/4,6
1/5,6
1/8,6
1/9,6
1/10,6
1/11,6
1/12,7
1/22,6
1/23,6
1/24,6
1/25,6
1/26,6
told,189
send,686
avail,449
soon,284
hear,235
thank,2839
spilman,17
thoma,117
battl,29
pllc,15
email,991
-340-3856,15
cell,89
-549-2681,15
fax,589
-340-3801,15
address,466
300,28
kanawha,15
blvd.,18
east,109
charleston,19
w.va.,15
25301,15
12/12/2000,88
gari,196
understand,295
hoyt,130
thomas/na/enron,22
Mo,21
hickerson/hou/ect,4
floor,141
nigel,66
one,1114
mhc,239
01:23,8
melissa,160
laing/lon/ect,46
urggghhh,2
01:22,12
hickerson,6
12:19,10
ted,61
murphy/hou/ect,4
port/market,2
risk/corp/enron,2
gentlemen,4
thought,329
might,250
As,557
dr.,16
still,335
payrol,293
regard,924
12:14,7
trena,2
mcfarland,2
12:07,3
fyi,297
Dr,2
got,187
onto,14
MG,63
photo,20
loop,44
left,168
HR,933
notifi,193
T,149
diane.good,47
resourc,387
handl,217
04:26,2
arsystem,8
mailman.enron.com,18
02:59:26,2
submit,121
access,462
receiv,1061
click,187
http,4098
//itcapps.corp.enron.com/srrs/auth/emaillink.asp,17
id=000000000010092,16
page=,16
approv,496
review,1355
upon,252
ID,128
000000000010092,16
creat,293
12/12/00,18
3:00:54,16
name,391
unlist,4
application/softwar,4
type,269
applic,282
04:27,8
02:59:25,2
vpn,15
02:59:23,2
westlaw,4
02:59:22,2
lexi,24
nexi,4
research,135
davis.ca,84
celgar,90
heard,91
anyth,227
suggest,349
stand,74
meantim,33
dean,79
crawford,38
dcrawford,30
03:04:53,4
hiebert,44
bfh,26
voicemail,77
actuari,36
ceas,21
due,479
dilig,255
pension,324
supplementari,8
non-union,51
bonni,38
mcconvil,8
white,123
languag,226
713,675
My,224
first,554
sentenc,55
second,288
convey,37
lawyer,226
05:03,2
04:59,6
consult,297
ha,1908
addit,533
mere,30
represent,136
milford,2
certif,82
incorpor,100
appli,257
effect,316
cooper,71
least,143
unreason,15
oppos,58
kevin,145
indemnif,81
situat,198
aris,61
draft,545
along,78
line,198
Is,169
consid,237
agre,471
litig,215
unit,491
1400,287
smith,368
st.,158
suit,374
4824,2
houston,782
TX,115
77002,282
Ph,7
853-7244,2
853-6576,2
hello,79
No,487
need,1638
canari,40
save,163
event,234
reviv,11
look,704
happen,140
dead,12
stop,61
press,61
help,557
appreci,288
effort,289
explan,43
perhap,67
togeth,150
futur,197
molli,103
interview,161
bechel,2
mark,621
haedick,39
elizabeth,99
sager,14
sheila,272
tweed,19
dan,127
lyon,28
lisa,111
mellencamp,14
lot,186
daniel,96
accommod,51
reck,11
04:31,2
Re,698
'm,218
week,865
noth,60
els,130
reserv,81
reschedul,39
anytim,20
03:50,4
georg,139
mcclellan/hou/ect,8
reck/hou/ect,10
michael,249
beyer/hou/ect,4
andrea,318
bennett/hou/ect,6
tom,116
mcquade/hou/ect,8
best,318
rang,49
prepar,360
find,535
overlap,19
03:48,6
__________________,19
slight,13
chang,847
meet,1220
thursday,368
11:30,13
confer,227
room,189
eb15c1,5
=20,861
=01,255
team,379
ga,155
product,475
report,988
power,291
increas,465
goal,86
organ,340
market,318
origin,308
ooc,40
respons,589
lead,251
EA,21
develop,404
asset,170
incom,211
capit,132
busi,822
and=,29
flow,44
mid-market,28
offic,728
america,596
2000,568
gener,542
hpl,32
e=20,34
the=,37
overal,77
coverag,112
util,83
form,501
central,102
current,635
north,523
1999,90
sale,212
ytd,10
natur,95
target,144
consist,101
In,822
a=,49
qualiti,57
structur,143
statement,133
book,104
account,326
the=20,22
ipp=01,8
ena=01,8
s=20,18
west,76
to=20,16
