brief,126
pleas,1538
e-mail,851
march,538
attach,446
redlin,2
redraft,1
joint,40
initi,128
oppos,11
limit,236
lift,15
rate,800
cap,63
exclud,22
pipelin,537
short-term,37
servic,1057
let,420
know,718
compani,1883
intend,147
petition,1
interven,9
support,207
consist,59
receiv,719
joan,36
dreskin,34
furnish,8
ani,1135
comment,248
wednesday,412
21,120
final,198
draft,121
tuesday,426
27,131
jame,133
D.,45
mckinney,1
jr.,106
redline.98-1333.brief.doc,1
enron,3206
program,328
grandfath,42
requir,489
thi,3333
meet,946
use,683
may,903
revis,151
rule,147
need,816
written,85
ergonom,21
PM,675
last,468
allen/ots/enron,9
enron_develop,9
offic,557
modif,33
appendix,13
standard,247
group,450
novemb,178
houston,617
russ,30
ha,1667
prior,131
stephen,46
commun,275
ee,9
As,245
report,897
place,208
addit,399
area,207
chang,903
time,1020
relat,223
record,142
set,299
establish,74
II,38
desir,26
name,362
number,438
implement,100
14,157
2000,314
week,632
issu,635
In,585
light,130
challeng,63
offer,528
ensur,87
within,176
understand,141
import,190
schedul,354
thursday,348
30,215
1,509
cst,18
get,716
togeth,129
crisi,43
center,346
eb4554,6
join,100
via,91
confer,792
call,966
877,9
795-3687,6
access,226
code,121
539773,6
told,109
hour,184
depend,78
question,515
He,168
also,763
inform,909
read,120
document,280
hi,380
memo,51
thank,851
advanc,157
particip,177
steve,372
forward,282
11/27/2000,3
02:55,3
russel,28
tucker,3
11/22/2000,3
03:57,3
To,1680
abolar,3
enron.com,660
herb,3
caballero/enron,3
paul,66
duplachan/ecf/enron,3
georg,23
allen,29
orum/ecf/enron,3
roger,13
raney/hou/e,3
scott,184
watson/enron_develop,3
ron,49
E,95
wells/efs/e,3
donni,14
willmann/enron_develop,3
cc,45
shelley,1225
corman/et,12
s/enron,49
frank,41
smith/corp/enron,3
gari,183
marc,25
phillips/ots/enron,3
john,401
shafer/ots/enron,3
michael,114
terraso/ots/enron,3
henri,11
van/enron_develop,3
edgar.zuleta,3
transredes.com,3
kenneth,69
