mark,57
move,45
earlier,24
1/2,1
hour,139
've,53
reserv,60
cascad,3
caiso,37
brian,5
theaker,2
rothled,2
willi,2
phone,64
give,79
reason,43
whi,26
coi,5
s-n,7
drop,25
2001,401
pleas,344
let,220
know,254
want,106
particip,73
thi,902
call,239
attend,31
make,107
plan,161
west,148
power,308
trade,159
luncheon,2
staff,15
meet,236
date,73
monday,130
octob,117
22,34
place,48
Mt,12
hood,10
confer,95
room,31
time,383
11:00,5
a.m.,43
lunch,14
serv,23
debra,4
schedul,240
conflict,7
group,115
current,59
separ,9
enron,416
wit,6
marketer/gener,3
speaker,5
behalf,17
richard,21
tabor,5
would,328
like,206
caucu,3
sure,81
're,37
ok,6
mccormick,1
schmitz,1
john,75
509-365-5523,1
issu,128
team,106
includ,131
1,172
rto,143
order,92
interconnect,11
alan,70
comn,51
note,47
chang,324
2:30,2
start,73
instead,8
3:00,14
locat,53
bachelor,3
refresh,1
w/,5
govern,40
affair,14
discuss,119
regulatori,18
affect,12
wholesal,13
topic,11
june,31
file,179
price,298
mitig,27
implement,19
utiltiy,1
solvenc,1
/,33
cdwr,5
crediworthi,1
west/pnw,1
overview,14
4/26,1
phase,1
next,91
step,22
bpa,551
coverag,19
desert,3
star,7
status/level,1
effort,49
wscc/wio/seam,1
ani,262
region,98
expect,77
cover,36
roughli,2
interest,81
stuff,3
onli,83
come,65
later,22
member,36
ray,27
alvarez,23
paul,48
kaufman,10
sue,16
mara,20
christi,20
nicolay,16
dave,38
perrino,24
jim,23
steff,11
steve,103
walton,14
thursday,142
=09,95
bureau,78
'll,143
energi,322
chief,52
washington,69
houston,95
us,170
|,65
william,104
hear,73
say,126
speak,19
We,252
live,73
storag,9
new,555
ga,87
p.m,50
ET,61
player,82
l,10
former,47
execut,43
offic,59
skill,11
cook,9
e,66
hi,133
ha,257
talk,115
ridg,16
bring,39
have=,2
compani,196
also,178
develop,48
shell,3
wind,10
ne=,9
industri,63
inform,190
kym,25
dunn,3
committe,34
market,291
wednesday,166
continu,91
window,39
media,69
56k,33
100k,33
300k,32
real,104
If,256
letter,38
receiv,171
800,46
weekday,21
7am-7pm,36
cst,39
dear,35
chuck,27
collaps,16
w=,13
ill,2
appear,27
capitol,5
hill,8
question,124
remain,23
wil=,4
anyth,39
list,76
jeff,39
financi,82
andrew,16
F=,6
astow,1
peter,19
fastow,2
invok=,1
constitut,2
privileg,27
indic,12
he'=,1
report,152
homeland,1
secur,40
director,17
tom,53
to=,24
front,10
nation,107
press,10
club,5
al=,1
detail,48
speech,8
T=,2
omorrow,1
ziff,1
host,11
north,33
american,53
gas=,2
hundr,5
gas-fir,2
plant,26
cancel,33
recent,36
result,44
record,33
level,15
th=,32
ho=,1
w,2
deal,352
much,55
petrobra,1
presid,95
renato,1
bertani,1
problem=,1
offshor,2
brazil=,1
He,41
brazil,3
doe,51
n't,160
access,51
technolog,68
allow=,1
deep-wat,1
explor,23
windenergi,1
acquir,5
llano,1
esta=,1
cado,1
ranch,1
near,13
white,29
deer,1
texa,23
dure,79
1:00,12
wscast,2
resourc,32
product,306
manag,131
britt,1
burt,1
join,41
acquisit,12
se=,4
cond,1
farm,5
enl,16
mcnichola,16
california,120
senat=,1
joe,18
chair,1
senat,51
investig,30
manipulation=,1
state,139
regard,81
refus,23
compl=,1
subpoena,9
deposit,4
raymond,2
jame,20
ass=,1
ociat,1
analyst,18
jon,3
cartwright,1
st.,10
petersburg,1
flo=,1
rida,1
At,28
calpin,19
reaction,5
ws,1
sec,7
request,96
concern,44
select,43
disclosur,20
cl=,1
ose,2
feb.,32
6,62
2002,163
crude,15
19.78/bbl,1
0.29,1
unle=,1
ade,2
0.5710/gallon,1
0.0142,2
heat,23
oil,29
0.5279/gallon,1
0.0090,1
2.101/mmbtu,1
0.027,1
fwd,14
uE,14
mar,6
3.55/mmbtu,4
unchang,5
keep,71
mind,27
thing,57
subject,427
moment,21
notic,94
occasion,18
guest,20
reschedul,15
slot,19
best,61
keep=,1
updat,106
futur,58
interview,36
event,44
Be,33
watch,27
news=,2
cast,6
everi,41
busi,201
day,362
9,33
5,86
top,38
=09=09=09=09,14
=09=09=09=09=09=09,15
=09peter,1
energynewslive.com,23
view,41
today's=,1
wrap,24
video,8
player=,1
requir,81
experi,40
offer,103
re=,8
ceiv,1
first,123
wish,30
subscrib,30
To,491
stop,34
unsubscrib,20
trou=,1
ble,1
e-mail,178
800=,1
-945-5426,1
comment,115
suggest,46
o=,10
r,19
800-945-5426,35
copyright,24
2=,8
001,1
llc,20
right,88
=09=09=09=09=09,16
see,122
work,159
hous,47
realtor,1
suppos,5
charm,2
soon,37
cara,55
_________________________________________________________________,7
send,70
hotmail,1
mobil,13
devic,13
http,984
//mobile.msn.com,1
thank,266
respons,54
'm,106
still,70
wait,8
claim,10
ameren,1
aig,1
cleco,1
coloni,1
conagra,1
dominion,1
enterpris,4
chase,3
nobl,1
cornerston,1
occident,1
carolina,3
light,18
southern,6
co.,4
western,39
anyon,15
noon,12
today,138
help,119
jennif,19
todaysheadlin,740
=========================,200
york,121
wa,288
In,158
said,123
budget,38
money,45
advertis,90
intern,68
vote,18
person,41
headlin,61
tuesday,158
commerc,12
//www.nytimes.com/2002/02/05/business/05enro.html,3
bush,116
account,45
critic,24
debacl,5
cut,34
away,9
job,34
world,68
forum,28
end,79
leader,32
propos,117
profit,31
play,25
polit,57
patriot,14
By,80
human,9
feedback,82
nytimes.com,68
web,74
visit,66
got,16
year,131
chairman,27
contribut,11
aggress,7
short,43
administr,67
strategi,25
prevent,11
amount,53
fiscal,5
flag,14
//www.nytimes.com/2002/02/05/opinion/05krug.html,2
tax,10
kick,8
winter,16
game,26
safe,2
onlin,52
direct,55
opportun,66
econom,51
problem,70
iraq,9
attack,39
man,21
lead,76
coalit,5
ex-enron,2
republican,19
democrat,22
compel,4
kenneth,9
L.,34
lay,50
insid,15
ernst,2
young,8
auditor,8
servic,147
side,25
point,63
rate,40
muslim,3
track,45
As,78
sport,43
super,14
bowl,14
coach,10
beyond,10
great,27
net,33
art,54
restor,18
Is,78
decis,29
program,33
back,80
fail,12
NY,43
electr,69
crisi,14
citi,58
