martin,735
put,154
cuilla/hou/ect,37
PM,536
want,418
johnson,218
'll,596
bid,138
ahman,54
got,163
system,123
befor,218
leav,77
3ish,6
forward,136
11/03/2000,9
01:19,3
michael,202
W,76
morri,58
11/01/2000,6
04:58,3
To,882
ect,185
cc,84
subject,584
week,2298
10,396
charl,31
phi,104
kurt,35
warner,61
stl,126
IR,12
15,295
green,315
GB,110
cut,57
toni,132
mia,122
50,124
k,12
St,37
loui,111
2,1509
gone,33
bye,106
replac,113
san,304
francisco,128
atlanta,117
detroit,121
gari,162
1,1317
free,839
agent,449
cuilla,317
0,1417
31,165
K,139
yeah,12
forgot,37
email,666
Re,35
make,485
sure,185
also,360
get,875
25,485
batch,40
3,691
10/19/2000,2
04:12,2
william,178
E,63
kasemervisz/hou/ect,11
taylor/hou/ect,8
jeffrey,11
C,73
gossett/hou/ect,11
lamphier/hou/ect,8
scott,119
earnest/hou/ect,14
harris/hou/ect,11
greg,82
martin/hou/ect,11
mark,154
friedman/hou/ect,11
morris/hou/ect,11
harri,58
grbac,50
30,222
mason,38
taylor,126
richardson,43
lamphier,41
herman,18
moor,89
45,49
thrash,51
autri,10
pittman,78
jackson,130
11,243
jet,116
bill,189
kasemervisz,23
denver,175
mike,219
philli,6
pt,88
D.,105
M.,93
H.,28
21,206
J.,91
graham,49
elvi,33
grabec,3
5,728
avail,353
pick,129
would,493
like,636
david,93
drop,146
richard,59
huntley,46
steeler,45
need,392
kicker,38
thi,3407
aker,10
eagl,64
If,701
tim,109
seder,12
cowboy,53
D,96
bye-week,3
tampa,127
bay,192
hanson,15
My,64
follow,383
falcon,43
christi,13
blanchard,3
anderson,107
gary:1,3
thank,317
travi,94
prentic,12
62,32
around,110
01:18,3
enron,726
north,100
america,131
corp.,83
11/02/2000,3
09:19,3
AM,374
cole,41
26,202
vinni,21
6,328
drew,54
bledso,61
point,789
sinc,87
ha,976
n't,1066
approv,104
yet,74
starter,108
bank,77
eddi,74
georg,134
biakabutuka,17
isaac,37
bruce,45
boston,101
troy,39
brown,163
rather,31
curti,61
conway,45
tennesse,73
jerom,62
pathon,44
jerri,37
rice,56
16,178
jame,239
allen,134
35,70
kaz,18
sylvest,11
littl,159
brother,16
nedney,17
friedman,36
107,11
derik,6
johnathan,3
linton,3
player,471
WR,882
QB,478
testeverd,9
kevin,71
dyson,19
add,139
broadband,24
servic,278
offic,163
713.853.6446,15
fax,100
713.646.3271,15
mark.friedman,15
enron.net,15
wish,91
KC,105
derrick,45
may,596
sea,104
fantasi,1073
RB,582
play,861
receiv,677
gonzalez,38
offici,70
lineup,108
beurlein,3
wheatley,62
smith,391
robinson,58
morton,37
ward,58
new,1266
orlean,122
ca,96
log,46
cb,75
sportslin,12
server,72
'm,158
way,220
golf,22
ani,602
abov,82
wide,58
instead,96
think,262
bench,97
plummer,50
chauncey,3
sander,50
mathi,31
injur,125
J,20
13:17,3
15:58,3
T.,45
pleas,989
enter,169
W.,18
wall,85
101,13
7,286
R.,67
chancey,9
9,204
C.,55
minn,9
clev,3
detr,3
n.o,9
def,11
mcnight,3
onli,511
first,250
two,325
wesley,34
westbrook,54
dedric,8
terranc,4
wilkin,37
jaqez,3
4,585
richi,10
andersen,13
trent,57
st.,181
sean,42
dawkin,13
seattl,129
In,224
order,200
morten,3
viniatieri,3
cunningham,6
part,99
rhett,6
back,566
offer,553
NY,74
giant,108
robert,59
jake,20
reed,7
jacquez,25
By,272
minnesota,78
D-,3
cleveland,125
philadelphia,137
buffalo,77
one,638
wa,1098
hurri,45
mention,42
anyon,85
claim,15
releas,91
09/07/2000,6
02:58,3
ON,81
web,291
site,400
SO,10
earli,96
tomorrow,42
P.,61
holm,59
S.,49
jefferson,21
36,44
19,169
howard,26
TO,146
abl,196
start,1038
1pm,19
year,661
team,553
becaus,307
wr,158
thursday,336
score,202
forget,46
turn,114
til,17
friday,316
pickup,10
WE,12
work,239
DO,22
peopl,151
bother,26
ME,13
IF,9
heard,26
