pleas,17714
see,11493
attach,9520
date,6769
version,2412
retreat,247
agenda,2235
thank,12871
delaney,591
agenda.doc,28
PM,20134
next,10852
AB,1830
1890,413
implement,3398
group,16136
meet,19209
note,6819
time/loc,2
chang,11079
tuesday,7254
august,3166
22nd,125
1:30,301
5:30,176
california,60194
chamber,773
OF,1588
commerc,1997
confer,8322
room,3465
1215,47
K,610
street,5138
14th,205
floor,1282
rsvp,307
BY,509
email,6615
OR,499
phone,4854
As,7855
alway,1674
contact,6670
us,8317
ani,24386
question,9725
concern,6225
would,47840
like,17429
add,3837
issu,20293
hunter,758
legisl,8444
director,10188
smith,2926
kempton,31
916,1715
446-5508,25
locat,2842
memo.doc,47
monday,9397
28th,103
2:00,387
5:00,512
We,21169
discuss,9907
draft,4798
letter,5703
governor,11355
davi,21342
happen,2701
sacramento,4893
apolog,1004
inconveni,164
creat,6162
fluid,93
natur,10192
schedul,6919
hope,6107
market,47151
price,46866
forward,14043
contract,18402
auction,1813
continu,9037
call,22173
trade,13430
power,79048
caiso,1120
use,23831
particip,7285
edward,1090
cazalet,215
e-mail,36704
apx,198
comment,9674
relianc,654
singl,1608
ancillari,316
servic,29025
provid,24028
opportun,4081
feedback,1033
becaus,12788
allow,7313
load,3491
encourag,2158
408,240
ed,621
apx.com,744
G.,495
ab1890,309
electr,44896
howev,6541
doe,8982
includ,19816
volatil,1451
sever,6643
exampl,2445
lack,1481
effici,2693
manipul,2233
impact,2885
commod,1576
develop,17153
posit,6828
ha,59287
recent,7691
polici,6403
short-term,1274
udc,721
publish,2844
occur,1448
reduc,5171
decis,7855
voic,1362
-origin,7048
messag,13082
mailto,5638
sent,12524
friday,7614
25,3412
2000,14485
9:12,11
AM,11514
To,29440
dhunter,569
smithandkempton.com,499
Cc,2507
robert,4859
berri,577
subject,25043
distribut,6113
list,6080
word,4043
file,14218
bodi,1652
thi,72188
core,2024
purpos,1638
restructur,1965
wa,47111
decreas,733
regul,8735
increas,12657
alloc,1307
resourc,5453
written,1582
direct,9712
refer,2227
way,9030
address,6349
problem,9347
high,8563
report,16676
express,1864
seriou,1121
reserv,8447
calpx,430
An,2243
calpx',6
daili,2594
set,7684
hour,5827
day,14722
real-tim,1027
energi,59761
procur,1448
react,333
bid,4234
offer,9581
counter-off,3
sourc,6190
clear,3635
attempt,2199
success,2724
greater,1180
transact,3747
instead,2105
reli,1187
gradual,162
recommend,3426
follow,8394
announc,6615
intent,936
acquir,3459
3000,50
MW,2131
least,4222
year,28422
cpuc,5183
grant,1662
pge,851
sce,3952
make,17567
2005,387
serv,5730
repres,4991
wise,363
shift,1454
almost,1955
exclus,654
day-head,2
hourli,361
adopt,1706
tend,392
bifurc,50
veri,9562
long-term,4921
In,19545
varieti,623
differ,4103
durat,257
standard,4040
meaning,194
discoveri,316
improv,2478
consider,1344
less,5184
exist,4001
basi,2851
establish,2789
prudenc,87
spot,3387
purchas,10350
dampen,167
rise,2754
begin,4603
demand,9979
sell,9004
back,12449
previous,1835
gener,32300
support,8483
invest,14983
new,44077
plant,20028
properli,267
time,29571
mainten,1078
open,6349
west,3564
coast,1189
buyer,1998
seller,4641
contribut,2895
stabil,1375
lower,4545
need,19230
inter-sc,20
self-provis,8
==============================,3
ph.d.,110
chairman,6729
autom,592
exchang,6659
inc.,11783
techmart,2
build,7255
suit,3195
522,28
5201,26
great,3685
america,3503
parkway,194
santa,1313
clara,454
CA,6422
95054,24
compani,64607
517-2100,8
517-2102,2
fax,5878
517-,2
2985,2
web,5012
page,4232
www.apx.com,14
markets.doc,5
latest,1992
think,10628
got,3961
want,14033
If,14868
tomorrow,3729
ltr,84
option,4709
list.doc,32
propos,14933
rate,26657
folks-,112
inform,15621
extend,1868
freez,1818
apparantli,6
sinc,8553
creation,504
document,6132
senat,8179
alarcon,55
hi,16798
mind,1215
SB,1512
1217,22
vehicl,779
