get,946
n't,1178
live,249
good,518
becaus,381
got,225
thi,3203
right,277
thing,297
alway,148
It,491
onli,422
life,240
old,121
cell,76
grand,16
shape,9
time,1194
it',21
also,402
never,141
afraid,32
someth,155
built,13
hurt,38
us,378
even,209
one,739
death,31
doe,205
go,647
If,946
day,1032
My,160
forev,30
like,438
outlaw,6
frustrat,12
brain,66
come,464
age,25
begin,194
stop,107
laugh,47
grow,26
unusu,4
word,192
TO,149
BY,10
1,452
love,447
divorc,15
hundr,11
2,445
round,6
3,216
may,677
great,271
healer,4
lousi,7
beautician,4
4,251
tri,292
new,705
rememb,164
amateur,3
ark,6
profession,36
titan,7
5,164
conscienc,5
everyth,79
els,106
feel,163
6,115
talk,170
cheap,7
suppli,69
exce,3
demand,20
7,95
stupid,9
mess-,3
whi,143
can't,9
8,98
track,36
run,126
sit,45
9,71
politician,6
diaper,5
common,32
chang,337
regularli,5
reason,105
10,107
An,32
optimist,4
think,342
best,137
possibl,146
world,127
pessimist,3
fear,31
true,77
11,73
tax,37
howev,95
wors,16
everi,247
year,296
12,108
peopl,361
accept,106
idea,21
much,172
readili,3
tell,157
benjamin,8
franklin,8
said,256
first,164
13,50
easier,21
fight,47
one',4
principl,7
14,73
mind,76
nowher,3
long,162
interest,117
path,18
15,163
anyth,155
free,506
worth,59
pay,122
16,77
indecis,3
key,58
flexibl,10
17,93
cut,26
edg,6
18,55
ai,14
broke,13
fix,18
till,4
19,93
odder,3
20.in,3
two,224
tomorrow,125
yesterday,58
21,43
want,552
procrastin,3
around,138
22,37
dijon,3
vu-th,3
mustard,3
befor,328
23,46
nutrit,3
overachiev,3
24,60
inferior,6
complex,7
25,86
money,231
experi,45
26,98
plan,123
So,136
far,66
27,47
heights-afraid,3
width,3
28,58
practic,17
safe,27
eating-alway,3
use,581
condiment,3
29,58
without,155
sunshin,4
night,216
30,101
kleptomania,3
bad,49
take,501
31,62
marriag,21
would,683
in-law,3
32,5
perfectionist,3
parent,52
though,74
33,10
endless,3
struggl,10
full,63
challeng,23
eventu,16
find,227
hair,33
stylist,3
34,5
're,304
sensat,4
rock,9
chair,26
onc,116
roller,4
coaster,4
35,11
mysteri,21
two-pound,3
box,79
candi,121
make,543
woman,106
gain,14
five,40
pound,9
36,12
know,1056
answer,141
nobodi,6
bother,9
ask,363
question,454
37,6
real,52
art,50
convers,34
say,299
leav,169
unsaid,3
wrong,51
tempt,3
moment,47
38,15
fat,14
39,5
bring,132
wisdom,27
sometim,72
alon,45
40,68
forti,3
show,79
41,3
_______________________________,3
jame,57
D,49
houston,241
technic,28
analyst,27
im-dss,3
desktop\network,3
support,232
compaq,3
comput,91
corpor,88
tel,12
281-518-3935,3
james.houston,3
compaq.com,19
password,356
dss,101
gpg,74
expir,91
decis,92
modul,67
e-mail,730
date,381
procedur,80
follow,338
save,157
thank,1027
To,2402
user,219
current,138
week,362
execut,55
window,62
must,215
pleas,1355
double-click,22
drive,104
fyi,101
forward,1154
sharon,45
tanner/gpgfin/enron,8
05/30/2000,23
04:02,23
PM,1601
05/08/2000,8
11:06,21
AM,1640
a-b,8
c-d,8
e-ha,8
he-mc,8
me-q,8
r-,8
t-z,8
cc,1183
subject,2348
act,42
mechan,14
On,85
2000,866
put,144
effect,117
function,74
