2000,1337
given,549
tremend,82
energi,974
market,1903
volatil,63
stretch,34
resourc,431
make,868
commerci,599
goal,333
wa,1312
decid,126
would,3269
appropri,297
postpon,14
ena,2075
offsit,176
earli,160
next,680
year,1176
trust,26
thi,7195
meet,2206
approv,777
thank,1745
hard,178
work,1542
regard,3557
dave,1766
john,1864
paragraph,34
e,118
issu,1165
refer,106
We,1476
forc,75
majeur,20
definit,94
petrobra,73
6.02,9
polit,118
expect,413
legal,328
opinion,125
period,185
term,513
clearli,81
includ,974
alloc,162
chang,752
languag,61
price,886
16.02,6
gener,1001
ani,1637
event,219
agreement,540
b,295
permit,237
within,311
instal,98
licens,28
riogen,14
allow,205
us,824
eletrobolt,10
As,735
follow-up,25
call,1144
last,569
night,153
attach,664
matrix,39
detail,511
major,160
develop,894
task,69
current,867
statu,260
addit,624
fax,127
FX,3
lastli,7
follow,1128
comment,226
relat,201
rais,114
contract,439
calcul,60
monthli,102
outlin,92
due,435
consortium/capit,3
contribut,116
natur,347
structur,625
montli,3
ha,1993
need,1916
clearer,19
prefer,41
add,121
clarifi,39
ga,1331
reia,3
equival,35
US,259
concept,23
receiv,441
econom,239
benefit,169
capac,289
paid,130
dure,197
FM,3
adjust,51
state,375
h,27
onli,584
suppos,23
delet,16
16.01,3
22.01,3
referec,3
3.01,3
respect,185
stategi,3
deliv,171
letter,189
feema,3
coupl,206
day,527
ask,454
environment,83
start,337
certain,102
common,19
facil,267
civil,7
time,1856
process,810
constraint,31
15,187
million,408
budget,249
consortium,46
end,399
month,391
begin,118
januari,104
brett,198
david,6050
11/28/2000,112
AM,2484
descript,39
delainey,3686
date,834
forward,3711
W,5173
delainey/hou/ect,4234
11/22/2000,48
02:53,8
PM,4156
invit,188
chairperson,11
steve,284
pruett,12
10:30,24
11:00,53
review,1237
sale,466
vastar,4
asset,801
BP,31
25,78
MM,279
cypress,4
S.,59
ricevil,4
prospect,72
recommend,160
repeat,12
occur,107
weekend,71
scott,535
josey,35
C,482
thompson/corp/enron,70
craig,123
fox,12
ect,12612
steel,20
wheel,35
pittsburgh,8
file,349
bankruptci,43
fyi,395
08:31,12
william,167
S,284
bradford,33
11/21/2000,20
08:09,4
To,3729
cc,3453
jeffrey,383
mcmahon/hou/ect,55
rick,395
buy/hou/ect,111
subject,3727
wheeling-pittsburgh,4
corpor,245
send,246
respons,542
queri,4
slow,28
payment,205
allegedli,12
week,894
tri,343
obtain,77
solidfi,4
potenti,373
claim,67
exposur,144
approxim,199
1.55mm,4
1.07mm,4
375k,4
mtm,19
team,1343
deal,1684
orgin,12
tammi,174
mulrooney,4
determin,226
right,401
keep,357
post,108
updat,387
let,1195
know,1361
question,760
bill,248
assum,356
cell,110
view,311
go,871
board,235
tex,12
mex,12
ercot,16
mexico,154
transmiss,285
line,270
ppa,152
desarco,4
ahlstrom,48
QF,112
purchas,182
crra/fuel,4
fuel,233
conn.,12
regul,67
pastoria,100
LV,55
cogen,76
ecp,24
hpl,143
joe,582
jeff,800
rubin,4
confirm,311
hi,556
avail,499
decemb,399
14th,60
4:00,76
5:30pm,4
give,573
macro-econom,4
overview,75
technolog,358
focu,288
capit,506
specif,218
cut,88
power,1553
busi,1775
model,207
guy,928
present,322
like,1550
new,1014
product,631
ipp,56
abl,206
sourc,89
short,289
medium,33
commod,367
liquid,95
syndicat,4
side,211
Go,8
speak,220
opportun,601
It,679
may,1061
also,880
interest,694
initi,240
coal,571
emiss,127
control,263
quick,69
particip,332
gasif,16
talk,383
emerg,30
distribut,236
sector,48
ie,236
user,43
VC,4
etc,248
overal,309
posit,577
ourselv,51
PI,8
strategi,515
dori,152
hitchcock,60
sheppard,16
lot,160
heavi,19
lift,39
howev,603
first,431
8th,24
2001,742
system,502
beth,109
put,392
togeth,344
one,1019
hour,184
topic,238
plan,1173
identifi,165
prioriti,88
key,309
mainten,26
ini,84
mayb,107
futur,393
leav,142
audienc,12
come,429
away,64
pretti,75
good,533
understand,431
agenda,88
could,666
