firm,483
enron,4725
counsel,518
could,487
use,639
particular,77
attorney,183
info,41
fee,69
also,686
legal,668
develop,305
thi,3791
question,375
forward,664
stephani,259
harris/corp/enron,87
03/20/2000,6
PM,1122
topic,51
gener,495
4,199
5,154
1,344
outsid,232
top,109
data,90
base,207
includ,514
know,892
idea,85
wide,32
posit,285
increas,186
web,164
page,949
group,497
ha,1396
vacanc,6
hire,66
answer,92
clerk,28
central,82
process,170
candid,28
manag,474
possess,11
person,261
corpor,504
one,527
04:26,3
michael,152
moran,10
04:14,3
To,1891
cc,497
subject,1722
off-sit,5
jim,1210
follow,689
respons,341
request,337
suggest,156
offsit,14
april,267
-should,4
-could/should,3
paid,159
previou,73
year,579
much,233
pay,222
basi,149
-what,3
take,394
probabl,72
toi,3
cover,89
tremend,7
salari,24
recent,227
gave,20
associ,182
2.legal,3
mention,111
immedi,248
abov,187
We,779
pass,77
announc,264
new,1031
short,72
bio,15
ani,1478
expertis,19
may,1063
someon,82
swap,31
hart,5
scott,88
dot,21
regul,109
look,330
inhous,6
first,280
rather,102
pick,51
phone,160
call,680
simpl,26
3.summer,3
program,277
summer,67
recruit,18
tri,171
somewhat,18
minimum,21
set,161
mechan,17
let,526
variou,89
good,280
interview,48
becaus,227
mani,213
strong,63
success,83
think,260
identifying/evalu,3
individu,272
current,414
specif,79
capabl,40
move,168
rank,16
function,81
thu,67
doe,283
occur,54
merit,14
consider,65
across,111
help,356
ensur,74
get,528
best,347
job,113
6,121
enron-,3
sinc,194
theme,7
make,418
sure,103
happen,43
houston,320
p.m.,160
norma,3
tidrow,3
say,303
flight,32
leav,94
sunday,56
night,82
8:00,5
return,223
cancun,5
monday,366
5:00,19
compaga,50
ga,448
petrobra,34
suppli,122
would,1494
copel,25
agreement,375
board,411
suit,125
sign,236
sharehold,92
interest,342
plant,159
contract,243
vote,69
solicit,39
bid,83
issu,619
tozzineii,4
fine,120
robert,246
C,108
william,137
enron_develop,300
12/06/2000,27
02:20,4
rob,408
wall,257
jame,1058
derrick/corp/enron,196
potenti,133
lawsuit,85
versu,15
member,455
privileg,226
confidenti,320
attorney-cli,18
commun,341
work,711
product,272
need,673
file,485
week,466
next,328
enjoin,12
As,401
dutapar,7
three,131
along,81
El,12
paso,11
power,716
alreadi,143
tomorrow,110
20-year,10
term,148
worth,79
1.2,27
billion,239
ground,38
brazilian,9
law,560
requir,362
arrang,87
sought,24
justifi,20
onli,390
supplier,29
incorrect,12
among,90
opinion,92
support,373
special,124
',367
meet,1069
discuss,464
anticip,45
despit,53
obviou,20
conflict,75
forc,85
favor,50
nonetheless,14
tozzini,7
freir,7
advis,229
us,537
excel,35
If,906
approv,609
like,598
continu,413
litig,298
necessari,60
pleas,1692
randi,70
comment,251
thank,1165
attach,726
updat,143
dealflow,9
summari,53
Q4,9
pend,101
close,216
transact,286
questions/com,3
jordan,68
draft,236
polici,300
review,708
final,211
propos,335
u.s.,216
foreign,134
corrupt,19
practic,126
act,199
morn,107
result,199
month,215
mari,92
nell,24
brown,99
bob,98
joe,170
dilg,38
vinson,42
elkin,29
martin,89
