staci,558
go,26
gisb,78
meet,18
wa,108
concept,12
jeff,30
thank,140
rais,4
jeffrey,16
T,30
To,244
E,236
ect,252
cc,184
subject,244
look,38
work,48
earli,4
termin,26
law,10
firm,150
shook,4
next,8
see,52
No,28
tell,14
long,16
HR,2
take,38
hodg,12
02/16/01,2
03:05,2
PM,200
dickson/hou/ect,194
Re,36
messag,52
appreci,6
cover,20
know,133
return,16
mix,2
feel,18
realli,8
forward,148
back,30
As,28
asid,2
get,38
approv,28
It,32
5,18
still,20
wait,8
final,22
verif,2
human,2
resourc,14
dickson,84
02/15/2001,2
10:26,2
AM,152
hodge/hou/ect,12
session,2
excit,2
would,76
expect,4
altern,6
damag,6
provis,52
hammer,2
volunt,6
draft,66
languag,54
agre,20
time,28
friday,18
committe,6
lot,6
discuss,56
california,2
process,6
enron,260
fine,28
except,12
push,4
extrem,2
broad,2
set,26
right,14
n't,32
think,44
cross,2
affili,4
across,6
contract,94
We,82
actual,8
word,6
attend,2
like,28
phone,22
hope,18
thing,11
well,24
13,2
day,30
credit,86
russel,28
deirdr,8
wepco,8
sale,30
debra,20
term,50
need,108
place,18
nymex,4
respons,18
call,90
morn,16
per,82
voic,6
mail,20
diamond/enron,6
enronxg,64
03/12/01,2
04:45,10
mccaffrey/hou/ect,2
perlingiere/hou/ect,10
RE,28
given,2
qualiti,2
wisconsin,2
electr,2
power,22
compani,30
-origin,32
mccaffrey,2
sent,92
monday,20
march,18
12,6
2001,64
3:49,2
diamond/hou/ect,2
Cc,22
perlingier,4
tri,14
month,26
said,14
possibl,6
attach,224
special,30
section,42
deal,92
interest,10
5,000/day,2
anr/alli,2
price,96
plu,6
0.14,2
fix,8
ani,183
requir,8
materi,30
advers,2
chang,128
letter,46
guy,12
39685,2
gregg,84
If,104
alreadi,12
done,8
run,8
thi,250
want,40
includ,38
allegheni,50
master,140
agreement,358
3apr01.doc,12
pecorp.com,36
enron.com,140
comment,118
ga,126
sheet,14
',44
purchas,44
clean,20
pleas,300
review,124
enov,88
mark,62
mari,36
busi,14
decis,4
arbitr,6
r.rodriguez,6
revis,46
K,16
memo,6
04-10-01.doc,4
april,42
09,4
file,46
cicg,4
NY,8
swap,32
balanc,4
servic,80
inform,76
intend,30
person,42
entiti,30
My,10
thought,6
similar,8
gener,10
1,54
counter,2
lower,4
liquid,2
10,2
cent,2
ultim,2
2,30
In,22
respect,4
disput,4
aris,2
type,20
even,8
import,14
let,102
talk,20
anyon,10
04/11/2001,6
01:50,2
m.klyasheff,14
04/10/2001,6
04:23,2
rrodrig5,2
gregg.penman,14
t.hermann,2
r.dobson,10
stacy.e.dickson,44
jeffrey.t.hodg,6
s.halfin,4
propos,14
short,6
answer,16
oppos,2
least,4
two,28
item,4
consid,8
rodriguez,14
roy,14
5:02,2
'rrodrig5,2
'greg,2
penman,14
hermann,2
timothi,2
klyasheff,10
P.,6
dobson,4
richard,10
E.,8
provid,42
wed.,2
afternoon,12
earlier,8
everyon,2
kostin,2
barri,2
mailto,16
bkostin,2
exchange.ml.com,2
4:53,2
pecorp.com',2
kapoor,2
ravi,2
FW,30
made,38
addit,46
cct,2
cpt,2
zone,2
blacklin,6
version,92
confirm,96
transmit,14
onli,26
address,32
may,68
contain,24
confidenti,16
and/or,14
privileg,14
retransmiss,14
dissemin,14
use,56
action,14
relianc,14
upon,24
recipi,14
prohibit,14
receiv,54
error,16
contact,45
sender,14
delet,18
comput,18
convers,28
paul,36
recent,6
above-referenc,20
incorpor,32
negoti,20
depart,10
one,60
4.2,8
