interview,23
jeff,76
success,96
enron,2097
15,159
ken,42
lay,24
skill,32
cnnfn,4
discuss,75
ceo,86
We,408
put,63
iptv,7
view,125
pleasur,11
simpli,42
point,201
web,172
browser,36
http,649
//iptv.enron.com,6
click,295
link,110
special,127
event,123
choos,23
plan,181
avail,364
everi,92
minut,47
friday,215
dec.,33
research,125
site,201
esourc,58
esearch,18
desktop,31
inform,619
launch,66
bring,96
group,377
decemb,259
employe,435
train,135
request,163
time,748
premier,11
new,719
product,334
8,128
2000.,6
team,211
creat,81
offer,197
mani,73
resourc,108
access,219
databas,80
search,79
purchas,90
book,77
articl,62
report,548
use,338
conduct,63
vehicl,26
submit,74
industri,238
specialist,8
busi,445
unit,175
provid,351
cost,108
effici,38
work,358
individu,52
fulfil,10
one,262
design,71
ongo,16
custom,168
monitor,55
project,149
news,59
updat,125
prefer,41
internet,181
explor,103
join,154
us,226
demonstr,28
session,69
15th,27
1:00-1:30,3
2:00-2:30,3
room,39
eb5c2,8
//esource.enron.com,14
discov,15
wealth,4
=01,239
=20,1608
next,199
ameriflash,15
=09,51
coo,16
gari,52
trade,392
look,185
michel,16
vitrella,12
deadlin,61
get,211
=018,17
i=01,12
john,91
MD,6
origination-ena,12
weather,105
manag,542
public,109
relat,71
depart,85
quot,47
traders=,3
see,271
exampl,28
add,103
newslett,42
If,502
would,283
like,232
you=,24
e-mail,229
entri,33
tomorrow,48
at=20,9
2:00pm,3
anyth,27
turn,37
ad,59
issu,249
thank,315
rain,15
forward,227
airam,16
arteaga/hou/ect,12
11/14/20=,3
00=20,3
09:15,3
AM,937
=09from,3
11/13/2000,3
04:30,3
PM,1226
what=01,9
messag,457
we=01,7
tri,46
across,77
ray,8
bowen=,3
eim,29
micro-manager=018,3
lavorato,11
ena,115
make,290
number,224
one=018,3
shankman,5
egm,79
high,74
veloc,6
capital.=018,6
brian,34
redmond,8
president/hpl,6
assets/upstream,3
thi,1620
hickerson,6
equiti,36
trading-egm,6
result,109
reasons=018,6
craig,25
breslau,6
vp/industri,6
middl,17
market=,9
s-ena,6
okay,6
deal,375
jean,10
mrha,6
beach,6
vp/upstream,9
bigger,7
faster,14
dave,28
delainey/ceo-ena,6
four,47
bid,23
five,30
want,135
arnold,11
vice=20,8
president-financial/nymex,6
taylor,55
risk,324
anyon,35
speak,15
energi,619
cours,140
princeton,80
programm,67
oxford,62
2001,533
schedul,1195
nov.,26
colleg,25
petroleum,35
studi,37
princetonlive.com,33
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,26
workshop,32
houston,366
e-mart,9
5,167
novemb,621
6,156
gold,12
silver,9
futur,168
~~~~~~~~~~~~~~~~~~~~~~~~~~~~,9
