thi,2214
inform,380
ha,613
particip,33
gem,8
rollout,6
In,273
As,128
awar,35
busi,300
unit,106
select,77
project,31
global,25
enron,1838
migrat,22
window,83
2000,193
prepar,44
imper,3
gather,14
workstat,6
applic,100
use,525
To,1951
begin,35
data,176
collect,17
autom,13
process,79
fact,40
system,175
inventori,25
onc,57
receiv,419
work,528
local,11
depart,32
coordin,13
consolid,22
ensur,32
transit,16
smooth,3
possibl,82
team,66
would,493
like,548
thank,335
If,659
ani,1063
question,323
pleas,842
contact,268
jose,7
favela,2
713,22
345-5878,2
get,955
daili,296
go,861
back,397
apr,2
98,6
thanx,412
chri,2712
need,484
bring,109
margaret,39
help,177
visa,36
Do,209
know,618
document,53
border,28
wa,829
plan,175
follow,225
passport,3
driver,29
licens,41
birth,3
certif,6
univers,36
transcript,21
Is,111
anyth,78
els,70
dorland,1328
ricardo,31
sorri,48
forgot,31
milli,14
let,389
minut,64
want,399
quick,24
chat,84
jon,16
chanc,51
afternoon,96
'd,65
tych,7
grab,30
five,56
derek,55
address,195
n't,999
brad,88
chang,177
fund,148
compani,503
mom,58
dad,71
heard,64
nurs,3
yet,122
leav,85
next,298
week,382
sure,222
clarica,11
transfer,54
doe,216
smoothli,3
pjm,47
think,523
/,118
product,149
histor,32
power,143
price,301
relev,113
NY,21
suppli,45
gener,132
includ,274
cost,103
outag,19
load,40
paul,127
west,57
east,30
nypp,6
cinergi,14
-tva,3
market,602
temperatur,7
max,30
min,8
mean,59
philadelphia,4
allentown,6
pittsburg,6
washington,16
DC,6
newark,6
baltimor,7
nyc,3
ga,232
transco,6
zone,6
6,116
non-,3
pipe,9
close,83
abov,59
citi,41
plant,9
fuel,7
type,48
capac,27
typic,9
vs.,44
maximum,20
effici,5
heat,16
rate,157
margin,52
forecast,52
oper,100
facil,20
reserv,32
tri,240
understand,46
curv,30
look,487
ask,253
correct,41
part,154
puzzl,8
miss,66
demand,81
interchang,4
import,104
export,10
associ,104
wheel,97
info,106
may,585
403-974-6910,42
extens,11
talk,235
avail,160
calgari,435
send,278
offic,223
attent,19
canada,245
corp.,370
atten,2
3500,18
canterra,11
tower,22
AB,34
t2p,19
4h2,17
wonder,66
sent,1366
yesterday,110
today,396
come,382
everyth,60
seem,116
ok.,16
hope,234
hear,108
mover,19
could,293
400,29
3rd,18
ave.,12
SW,27
good,405
along,31
confus,63
convers,20
jeann,3
reloc,24
servic,300
morn,74
way,217
move,274
household,20
time,512
countri,57
US,167
return,145
befor,152
shed,5
light,60
keith,21
holst,14
went,70
coupl,80
year,463
ago,52
said,285
ladi,29
name,162
janic,5
priddi,3
houston,236
set,194
paperwork,4
victoria,8
run,146
around,154
chicken,13
head,55
cut,50
readi,36
red,78
deer,56
weekend,243
play,164
littl,127
golf,93
pretti,119
relax,16
much,185
shit,83
better,99
hop,32
feel,107
free,651
new,549
veri,186
join,45
desk,73
octob,87
speed,16
kevin,53
prestor,3
thought,138
abl,116
find,233
excel,26
format,19
might,121
nepp,3
tva,3
ercot,5
hdd,3
cdd,3
philedelphia,3
york,43
cinncinati,3
exprot,3
nat,10
non-ni,3
chicago,4
make,361
suggest,65
world,137
overlook,4
someth,64
obviou,7
messag,1628
park,85
tag,7
kim,75
worri,32
book,186
fedex,8
got,176
thursday,310
start,118
wade,7
health,62
care,99
differ,46
canadian,79
coverag,80
quit,44
comprehens,13
keep,169
loop,12
download,53
mp3,15
file,327
128,3
kp,3
CD,58
qualiti,49
sound,84
30,124
music,14
32mb,3
memori,20
player,50
sort,37
napster,3
mine,40
32,12
MB,2
buy,302
card,63
check,231
www.riohome.com,2
stuff,51
pira.com,52
email,430
pira,44
greg,40
12/13/2000,39
PM,890
cathi,8
flash,13
distribut,196
report,1032
jane,10
212,20
686-6808,16
forward,365
georg,124
hopley/hou/ect,10
04:53,3
04:10:18,3
natur,78
retain,18
client,86
cc,300
subject,1750
weekli,38
12/13/00,3
attach,329
unauthor,37
prohibit,160
direct,48
shuttlesworth,4
tom,17
howard,28
tazh,3
richard,57
redash,4
rich,30
nobu,4
tarui,4
nobuo,4
hsu,4
reach,42
john,135
graziano,3
regard,132
jgraziano,3
aga121300.pdf,3
carla,12
confirm,48
packag,58
left,56
fax,92
copi,208
diploma,2
soon,118
reciev,2
carol,8
refer,45
e-mail,838
late,69
benefit,70
tonight,86
suspos,14
call,465
forgotten,8
done,102
except,44
order,128
probabl,69
wo,42
earli,47
tee,22
saturday,112
1:44pm,3
one,580
lot,91
shop,50
thing,230
crazi,58
still,190
date,159
everi,105
assur,13
store,35
futur,72
internet,269
chapters.ca,40
electron,56
stereo,4
take,355
easi,68
complet,93
await,5
HR,21
2-3,4
day,323
wait,97
togeth,69
account,192
rrsp,37
500,54
per,87
month,188
wrong,25
unregist,2
forget,38
cancel,65
pac,10
later,119
cover,47
program,69
provid,204
save,69
ect,403
vacat,30
alloc,20
explain,159
pretent,4
4,189
old,77
detail,87
medic,8
dental,7
vision,9
enough,50
supplement,7
b,111
life,90
accident,16
death,7
dismember,4
disabl,7
insur,120
c,13
concern,75
retir,43
match,49
pension,18
sign,102
told,71
opt,5
social,19
secur,162
e,16
unus,4
f,6
spend,96
1000,16
toward,27
eye,38
glass,24
club,39
membership,17
similar,35
exist,39
g,6
requir,130
2,360
tax,136
h,21
allen,14
center,69
offer,317
-origin,1216
mckee,3
steve,82
mailto,552
smckee,3
sunkistgrowers.com,3
wednesday,327
decemb,198
13,68
5:31,3
AM,947
ryan,138
baker,7
kirk,3
dawson,5
latto,3
fraser,3
fwd,37
playboy,3
review,237
end,162
altern,16
jan.jpg,3
feb.jpg,3
mar.jpg,3
apr.jpg,3
may.jpg,3
june.jpg,3
july.jpg,3
aug.jpg,3
sept.jpg,3
oct.jpg,3
nov.jpg,3
dec.jpg,3
septemb,181
contribut,88
leverag,8
idea,260
give,261
home,190
phone,112
number,206
charlott,2
matern,2
fed,23
Ex,7
deliv,51
thanksgiv,11
novemb,88
23/24,3
night,113
nov.22,10
sunday,46
nov.,20
26,48
dawn,29
apart,21
408,3
100,51
10a,3
st.,48
NW,13
t2n,11
4t3,3
peopl,121
despit,22
seen,65
formal,16
stuck,6
someon,59
jennif,40
penson,2
lavo,24
80k,3
usd,40
promo,3
feb.,43
see,539
______________________________________________________________________________,3
_______,3
web,56
msn,71
explor,33
http,1477
//explorer.msn.com,7
12-13,3
1600.xl,7
fine,39
earlier,24
bullshit,5
kcd,2
actual,81
trade,440
electr,110
interest,131
We,356
hook,15
settl,19
longer,53
boston,6
far,41
dalla,4
touch,79
nice,126
No,122
winter,109
'll,331
snow,32
'm,244
cours,33
cd,82
mustafa,2
final,43
found,37
nav,18
nrahemtulla,4
thecampus.com,2
northeastern,2
ta,22
My,150
group,127
asset,31
congrat,17
cfa,28
cowan,99
finish,17
level,72
watch,56
hell,18
3,174
NE,9
volatil,20
heart,12
attack,18
well,291
w/b,51
dope,3
bank,87
statement,22
700,9
sell,170
chequ,21
top,179
hot,87
never,98
housebo,7
trip,45
fun,32
weather,51
though,47
becaus,149
whi,169
north,77
write,47
larri,50
hotmail.com,332
dorland/hou/ect,90
jester/corp/enron,22
02:39,4
america,91
jester,13
12:38,9
bear,62
01:37,11
baughman,20
12/11/2000,11
04:00,15
shannonty,11
email.msn.com,11
mstewart,11
pdq.net,11
reidstav,11
houston.rr.com,12
travieso74,11
prhe,11
dynegy.com,19
kori,11
loibl/hou/ect,11
patrick,35
hanse/hou/ect,11
matt,82
lorenz/hou/ect,15
twomarshal,11
don.c.baughman,11
marshmc.com,11
baughmanpatricia,11
salmon.asf,11
It,362
500/month,2
april,47
wife,35
hous,141
liver,5
india,8
chris.dorland,560
enron.com,882
ps,5
non-regist,3
',1086
michel,28
alcohol_1.ex,12
dorland/cal/ect,189
09/04/2000,3
07:22,3
molloy,6
mmolloy,6
oebi.com,23
08/29/2000,6
04:20:06,6
'angela,6
apothi,6
capescott.net,6
'angeliqu,6
angeliqu,6
jbswireless.com,6
'brad,8
elli,17
big1red1,6
'chri,41
'gareth,6
gazfair57,6
'ken,6
fuller,7
island.net,6
'leah,6
anderson,21
leah___,6
'mari-ann,6
karley,6
netway.ab.ca,6
'michael,6
mcdermott,36
michael.mcdermott,23
spectrongroup.com,23
'sandra,6
mti,6
mill-tech-ind.com,6
'scott,7
scottrogers05,6
'todd,8
toiser,6
'toni,9
tong,6
tonyt,6
apbenergy.com,6
'trisha,6
taboulang,6
excite.com,8
FW,214
target,60
practic,32
basic,16
speaker,10
shoot,10
anyway,29
3000,4
3300,4
13500,3
3pm,7
tricia,22
tuesday,491
1pm,5
've,122
must,65
09/01/2000,3
07:37,3
valu,170
vehicl,56
retail,61
expect,116
dealer,29
cnd,21
kelli,21
blue,18
pay,139
came,60
jeep,24
exactli,14
montana,3
closest,4
state,70
15330,3
22750,3
20945,3
31061,3
high,81
23,37
000,5
25000,3
fair,20
01:41,4
toronto,95
dan,323
king,30
dandorland,11
ucalgary.ca,12
