request,1435
thi,18525
approv,493
resourc,733
ha,4381
pend,54
16,320
day,4316
pleas,10515
click,1033
http,1869
//itcapps.corp.enron.com/srrs/auth/emaillink.asp,8
id=000000000008162,3
page=,6
review,850
act,86
upon,149
ID,303
000000000008162,3
creat,1423
date,1468
11/22/00,3
2:04:02,3
PM,9309
stacey.neuweil,79
enron.com,3110
name,1284
unlist,3
application/softwar,3
type,501
applic,431
sale,2233
tenaska,1243
IV,874
We,3825
receiv,1836
money,281
spot,786
octob,1124
2000,4142
except,604
0.04,53
fee,978
megan,1371
buy,555
apach,256
384247,33
william,655
384237,18
384258,115
tran,20
capac,205
lone,330
star,350
452491,70
452475,47
variou,123
ticket,2949
throughout,102
month,3462
deal,13779
cleburn,278
intramamonth,4
posit,594
sitara,3096
D,4069
unifi,901
sybas,40
12.0,14
password,311
convert,50
get,3786
reset,15
houston,1168
onc,612
login,70
chang,4190
unavoid,4
side,250
affect,217
migrat,120
thank,7666
chri,230
meet,2044
offic,848
plan,1150
attend,641
brief,69
11:00,56
monday,888
aug.,33
21,256
project,391
cornhusk,211
goal,108
gain,159
better,299
understand,471
requir,649
everyon,466
involv,213
bob,2093
gracious,8
offer,789
let,4478
us,1455
hi,744
salli,291
beck,59
old,515
see,3255
dave,545
volum,5736
ga,8942
7/31/00,72
record,631
flow,3450
5,684
hpl,5012
logist,732
need,6739
writeoff,126
unaccount,250
daren,9879
dure,719
period,625
1/1/99,52
thru,680
abov,925
meter,9200
follow,2757
mmbtu,2052
3/30/99,3
22,202
4/30/99,16
8/3/99,17
8/30/99,3
73,10
10/28/99,3
10,476
10/29/99,3
1/30/00,3
7,345
1/31/00,27
29,166
4/27/00,3
13,199
18,358
203,33
current,1409
book,684
stranger,391
contract,4012
either,608
pipelin,1336
clem,674
PS,44
___________________________________________________,16
OR,162
_____________________________________,3
deal/deal,77
ticket/custom,3
seller/shipp,3
hpl0819.xl,6
attach,3493
file,2190
20.000/,46
enron,15279
teco,1373
tap,1068
120.000/,18
iferc,581
lsp,29
kati,500
storag,462
new,3685
At,267
earliest,33
conveni,62
add,494
flag,142
find,912
portfolio,279
shown,101
field,556
use,1996
global,788
feed,59
physic,366
facil,437
synthet,16
park,293
treat,75
differ,722
account,1102
purpos,235
epenergy.com,144
gari,2061
jame,808
weir,18
gordon,95
weirg,9
jimmi,44
robert,3179
brown,139
jurecek,6
fyi,956
forward,6504
hanks/hou/ect,484
08/17/2000,15
03:44,16
R.,267
08/16/2000,37
05:40:30,3
To,11845
blake,13
schwarz,15
schwarzb,6
charli,358
mcgariti,3
mcgarityc,3
david,1175
quinn,8
quinnd,6
deborah,6
valenzuela,12
valenzuelad,6
dwight,32
gentri,3
gentryd2,3
garald,3
ross,9
rossg,3
martinez,67
martinezgm,3
gregori,96
nees,3
neeseg,3
harri,81
zimmer,6
zimmerh,6
armenta,3
armentaj,3
johnston,3
johnstonj,3
logan,4
loganj,3
steel,12
steelej,3
kelli,189
prespentt,3
prespenttk,3
kent,26
barn,19
barnesk2,6
larri,113
jaquet,104
jaquetl,3
pat,1711
phillip,240
phillipsp,6
phil,28
tibbet,3
tibbetsp,3
richard,424
caster,3
casterr,3
shimek,18
shimekr,3
young,422
youngr,6
ronni,40
benson,5
bensonr,3
russel,32
cowart,3
cowartr,3
ryan,86
coffey,40
coffeyr,6
