mark,1669
fisher/ewc/enron,296
distribut,117
use,729
thi,2770
intend,85
forward,762
05/01/2001,4
10:09,7
AM,836
holli,952
kimbrough,93
04/10/2001,4
01:31,4
PM,1039
To,1353
enron,3330
cc,997
subject,1231
disclaim,4
sinc,167
heard,37
back,107
legal,22
let,392
phrase,26
data,1665
disk,9
exclus,11
nrel,12
HK,33
thank,783
avail,1206
provid,485
becki,39
know,591
pleas,1215
As,223
graph,133
usual,28
machin,117
request,413
ask,161
email,196
discuss,289
yest.,6
attach,557
copi,214
origin,80
file,1006
contain,97
europ,59
US,51
bayn,6
also,447
includ,407
reflect,37
1,359
n't,359
info,70
form,102
locat,122
coordin,63
germani,100
recent,95
number,626
monday,155
altern,16
procedur,85
obtain,41
2,455
definit,181
b,26
current,314
standard,114
contractu,86
ani,726
question,549
advanc,57
ilan,195
213,7
452-5109,6
send,231
need,726
We,610
european,63
notic,83
walker,122
wa,944
memo,30
hand,21
offic,190
wednesday,100
If,652
electron,51
document,263
respect,50
make,248
us,227
respons,106
leverag,12
counterpart,9
compel,9
day,259
want,232
avoid,25
set,274
expect,106
clearli,44
beyond,21
control,154
howev,98
give,139
shot,21
stop,99
sep,9
01,16
6,110
month,441
fill,51
gap,46
ha,517
unabl,29
caplan,37
04/12/2002,12
11:16,6
V,258
walker/ewc/enron,199
kimbrough/ewc/enron,484
alan,42
nueman/ewc/enron,31
1.5,174
fleet,47
appreci,57
recogn,14
input,36
move,97
issu,351
concern,109
sometim,23
doe,177
import,106
said,28
quit,17
posit,61
updat,158
sep01,3
access,99
sourc,35
sure,144
store,120
inform,589
thu,41
presum,9
latest,27
sent,386
could,228
would,676
Bo,173
georg,71
date,120
park,72
pc,29
instal,112
clear,167
ski,274
veri,176
much,96
spreadsheet,113
expedit,23
onlyl,6
show,125
april,214
late,38
march,224
ad,130
futur,105
releas,76
load,209
addit,280
next,193
week,277
project,178
prioriti,37
system,283
perform,225
group,274
mon,54
site,494
indic,78
backlog,3
minana,71
statdat,30
trent,273
order,93
close,121
custom,156
conduct,24
analysi,118
near,17
fisher,343
say,45
gave,7
highlight,28
star,73
10,212
min,43
Is,142
adequ,12
3,169
04/15/2002,56
07:46,7
patricia,164
hunter/ewc/enron,64
rabi,46
sahoo/ewc/enron,21
john,294
M,82
ruiz/ewc/enron,25
visupro,333
upload,94
statu,151
meter,114
read,147
test,227
turbin,1535
russel,15
kurt,472
kwh,86
valu,211
problem,221
calibr,6
differ,141
alreadi,79
bachmann,28
oper,389
help,271
natur,10
must,103
determin,90
kevin,220
cousineau/ewc/enron,150
anderson/ewc/enron,223
ron,123
val,51
jeff,570
He,97
watt/watthour,3
note,253
onli,278
well,119
within,117
accuraci,47
coeffici,3
confirm,76
suspect,9
record,359
correct,193
report,947
program,179
get,356
mix,5
total,150
reset,39
determ,3
place,103
loop,10
download,211
raw,33
actual,111
product,230
compar,64
substat,75
servic,290
scada,396
feedback,44
sub-stat,3
point-of-sal,3
especi,16
mesa,244
hat,3
put,126
togeth,83
regard,563
klc,39
04/14/2002,3
11:29,3
anderson,93
11:03,6
fyi,110
11:13,3
leach,6
10:50,3
thisted/ewc/enron,118
89,6
It,250
still,153
look,303
like,268
ok.,5
russ,7
soft-copi,12
new,421
caplan/ewc/enron,55
gentlemen,40
good,145
afternoon,25
hope,142
find,195
see,360
stood,6
follow,335
4,185
2002,285
02:42,6
11:49,6
Re,288
atp,99
24hour,33
collect,91
repair,139
hour,415
worth,34
ronald,171
brzezinski/ewc/enron,138
alaadin,76
dure,212
night,35
morn,143
miss,86
fine,39
rest,29
transfer,108
folder,95
04:04,14
realti,11
advisor,11
suliman,20
11:33,11
fischer/enron,12
enronxg,120
stanley,14
tehee/ewc/enron,14
Hi,125
13th,11
11:40am,11
CT,14
4:40pm,11
utc,28
last,197
databas,105
observ,43
47,23
48,39
major,59
98,51
24,25,19
27,34
applic,64
lost,97
suggest,123
shift,11
start,256
time,1074
31,62
