john,664
attach,134
excel,15
spreadsheet,18
paramet,1
use,231
thi,1473
morn,71
calcul,39
revenu,13
less,26
O,12
M,4164
let,155
know,240
thought,51
ken,40
frontera,247
rev-vom,1
calc.xl,1
agenda,26
includ,78
black,65
claudett,13
ginger,2
ferc,63
discuss,149
rto,64
docket,6
market,278
-origin,526
messag,618
nicolay,17
christi,33
L.,101
sent,584
thursday,124
octob,156
18,26
2001,671
2:06,1
PM,7783
To,578
herndon,11
roger,27
belden,13
tim,30
presto,49
kevin,59
M.,436
tamara,42
jae,42
harvey,8
misra,8
narsimha,10
meyn,5
jim,20
aucoin,7
berney,7
C.,19
dernehl,1
muhl,1
gil,1
subject,552
east,51
propos,30
10/24/01,3
meet,276
develop,44
northeast,8
southeast,6
interest,80
doe,79
gridflorida,1
midwest,10
also,212
separ,12
item,51
reliabl,63
secur,23
oper,164
electr,73
design,48
structur,26
TJ,21
pleas,452
forward,95
group,134
thank,496
time,384
3125,2
set,68
grant,7
zimmerman,1
come,66
nov.,7
8th,3
interview,76
per,62
see,154
schedul,356
baughman,34
2:30pm,2
forney,410
3:00pm,5
hi,95
resum,40
next,93
week,170
t.jae,17
power,204
trade,291
assist,46
713-853-5800,17
fax,49
713-646-8272,23
cell,63
713-539-4760,17
curv,21
ercot,845
mark,159
traders-,1
We,350
go,186
live,22
manag,173
monday,204
novemb,238
5th,1
south,101
R6,1
primari,4
depend,4
upon,34
first,61
day,254
learn,25
experi,19
readi,22
'll,27
sit,7
guy,77
andrea,11
848971.3,1
price,324
chang,193
25.5,1
25.0420,1
kayla,25
harmon,22
enron,500
volum,32
713-345-1778,14
1,5343
wm,38
wholesal,26
client,45
qse,183
project,74
attend,51
hailu,28
ted,31
thailu,18
friday,135
request,162
issu,298
9:45,13
10:00,13
11:30,14
instruct,162
12:30,15
1:00,23
1:30,14
If,337
ercot.com,52
make,174
sure,81
one,167
us,276
goe,15
testmail.ercot.com,7
02,17
5:13,4
sub,10
Cc,172
servic,226
rep,35
mickey,8
joel,8
doggett,7
trip,42
grendel,8
steve,96
bojorquez,9
william,57
bill\,6
noel,8
thoma,22
jone,15
sam,10
tindal,8
heather,14
Li,7
yonggang,7
Yu,7
jun,7
sc,7
lead,27
buckl,9
maxin,9
saathoff,37
kent,39
joint,15
/,31
sever,29
particip,46
forum,9
commun,51
current,120
upcom,9
formal,10
basi,58
In,111
respons,68
renew,5
prior,29
open,38
address,132
conduct,20
jointli,6
subcommitte,6
tuesday,133
13th,7
tent,7
follow,159
9:30,6
introduct,7
review,140
futur,31
balanc,103
involv,25
congest,90
interim,18
resourc,80
specif,91
deploy,89
lunch,20
settlement,148
mismatch,20
phase,10
II,11
system,133
progress,21
updat,74
3:30,10
plan,174
rsvp,14
terri,14
waggon,5
twaggon,5
later,32
9th,8
ani,383
question,248
may,243
contact,170
number,104
call,296
assign,12
repres,29
relat,80
council,24
texa,77
e-mail,180
telephon,28
512,21
248-3873,14
smith,100
05,25
8:21,4
AM,2536
miller,87
jeffrey,77
FW,86
7,43
9:00,8
claude-pleas,1
send,75
wednesday,93
gener,233
proceed,4
expect,65
signific,12
action,30
becaus,70
still,100
take,130
comment,34
industri,42
outcom,1
howev,104
new,195
commiss,32
ha,298
surpris,1
befor,61
anyth,42
import,59
happen,34
notifi,49
immedi,39
sarah,8
compani,83
credit,37
transact,34
look,113
rate,64
board,27
sec,22
lower,14
ee,78
're,21
line,63
billion,2
support,98
dean,32
committe,5
parti,56
media,5
work,260
put,56
level,32
bbb+,2
invest,30
busi,2107
sign,22
three-year,2
agreement,39
home,39
depot,2
store,23
energi,189
facil,34
deal,227
tough,4
coupl,24
hope,78
daili,45
help,151
understand,62
rundown,1
event,47
last,99
execut,10
commit,12
letter,4
jpmorgan,1
salomon,1
barney,1
provid,168
addit,101
worth,4
northern,5
natur,15
ga,47
transwestern,1
pipelin,3
asset,46
receiv,241
total,33
4,94
pay,56
short-term,6
commerci,12
debt,1
maintain,8
liquid,8
director,34
