enron,30644
thi,8953
guidelin,104
ha,3945
tag,68
line,1021
item,248
busi,1550
offic,1135
chairman,532
employe,515
brand,57
consist,212
ident,94
follow,1128
one,1861
get,2636
new,2696
card,64
thank,3642
To,5878
chang,1449
us,1587
endless,28
possibl,614
immedi,338
goal,185
make,1612
correct,142
corpor,662
book,202
may,2139
avail,1009
recent,521
pleas,3981
Q,250
eci,11
done,429
late,198
forc,240
lot,215
DF,2723
forward,3130
drew,6604
fossum/et,4313
s/enron,23182
12/13/99,33
09:20,37
AM,3446
12/10/99,11
05:49,19
PM,4923
sent,1023
worldwid,111
cc,5074
subject,5928
dear,84
addit,1214
commun,1131
core,105
appropri,271
modifi,127
exist,358
simpli,123
effect,576
replac,194
current,1325
natur,1023
ga,3630
electr,1497
achiev,84
unifi,33
respons,770
imag,127
strong,205
partial,36
accomplish,117
applic,423
logo,15
revis,450
develop,836
assist,392
standard,345
obain,11
copi,543
complet,547
form,643
request,1613
order,1225
42629,11
also,1933
made,619
electron,180
site,449
home.enron.com,22
We,2119
'd,713
like,1946
take,1067
opportun,537
remind,183
import,301
maintain,137
look,1324
especi,99
stationeri,11
It,997
come,866
attent,146
produc,236
outsid,245
vendor,148
establish,212
must,372
stop,100
use,1698
intern,289
resourc,554
ensur,149
correctli,49
If,2336
question,1664
contact,595
marg,11
nadaski,11
marge.nadaski,11
enron.com,1421
name,629
compani,2495
....,118
reorgan,47
bring,418
anoth,432
step,244
closer,76
realiz,134
sure,784
part,649
protect,157
strengthen,29
around,452
world,301
continu,945
support,574
cooper,120
shipper,760
letter,615
agreement,1564
releas,437
consid,354
mari,2405
acquir,247
paid,153
invoic,164
pursuant,73
notic,346
servic,2794
revert,12
back,822
extend,155
execut,514
day,1197
12/16/99,32
dari,448
go,1357
novemb,498
northern,570
includ,1616
2003,69
per,914
rate,2420
case,965
even,610
without,519
date,660
amend,111
want,1403
know,2338
pl,770
print,678
df,995
05:37,7
dornan,47
11:02,19
kay,1729
miller/et,1639
darveaux/et,433
lou,245
hamilton/et,31
glen,663
hass/et,591
john,1022
williams/et,98
loren,30
penkava/et,30
karen,124
brostad/et,30
zuela,4
carter/et,10
patricia,26
steele/et,4
extens,143
cap,196
rel,197
contract,2102
attach,1662
find,468
2,1000
draft,1067
send,738
tariff,640
give,966
termin,191
At,338
point,1201
shipper.th,4
B,90
origin,415
expir,33
10/31/99,4
payment,289
constitut,38
acknowledg,51
2002,101
administr,241
rollov,19
