thi,2196
It,282
self,7
evalu,33
form,42
hope,120
find,144
inform,293
year,270
collect,12
similar,23
list,185
folk,18
report,170
updat,149
request,296
thank,794
bank,225
l/c,24
ani,649
would,916
letter,343
credit,107
enron,1927
trace,188
n't,473
requir,209
marcu,20
contract,249
arab,8
brazil,92
draw,26
confirm,108
01/10/2001,6
To,1323
ee,73
cc,1022
subject,1263
believ,126
talk,145
petrobr,6
deliv,55
side,53
correspond,12
restrict,26
petrobra,42
stephan,5
PM,1083
ect,1779
richard,345
lammers/sa/enron,176
rob,867
G,511
gay/na/enron,384
Re,231
NY,4
question,266
work,378
limit,52
locat,87
fuel,104
If,582
meet,266
later,35
wa,828
new,529
one,295
institut,11
issu,353
regard,380
bersani,51
pleas,888
branch,4
R,53
send,168
FX,4
trade,104
problem,146
kind,13
standard,49
defin,5
discuss,311
simpli,34
want,282
use,265
exce,4
arrang,51
robin,15
verial,2
let,401
make,292
bigger,7
task,52
12:18,2
bersani/hou/ect,75
As,205
told,82
phone,95
good,204
idea,24
befor,175
becaus,217
may,346
name,180
margin,39
right,200
sinc,95
option,73
besid,21
dure,253
day,442
argu,6
location/nam,2
contract/sid,2
ask,168
time,530
obtain,70
anoth,98
financi,62
rick/rob,2
We,690
like,414
opinion,13
consult,24
prior,62
get,509
point,192
view,84
unfortun,16
ha,598
yet,42
01:17,2
stephan/sa/enron,12
look,194
see,263
abn,4
amro,2
local,52
rel,2
straight,10
forward,798
howev,115
york,7
way,166
-petrobra,2
fax,55
indic,123
-arab,2
fund,53
brazilian,23
convert,14
dollar,20
fee,45
associ,83
assum,57
pick,17
cost,130
need,548
consid,47
take,214
approxim,26
24,67
hour,100
involv,62
08:34,2
AM,918
Hi,36
tozzini,39
lawyer,60
said,211
languag,61
reput,5
doe,202
correl,2
rate,122
So,48
wo,15
also,451
read,56
realiz,12
except,41
amount,86
issuanc,3
go,405
abl,141
friday,158
regards/marcu,2
allow,48
say,133
joe,74
next,253
week,261
01/11/2001,7
barbara,61
enron.com,1172
01:33,3
boehm,30
bboeh,47
opic.gov,216
01:52:39,3
'rob.g.gay,41
',732
rob.g.gay,149
tom,28
travel,53
Is,65
possibl,119
postpon,7
1/22,3
1/23,3
attend,61
give,180
frank,120
come,103
=20,98
sires,23
gabriela,32
yabog,12
amend,44
aguilar,19
gabi,8
aguilar/sa/enron,8
01/04/2001,8
federico,24
cerisoli/sa/enron,14
dlefler,18
velaw.com,277
sent,279
pretti,30
administr,22
banks=,2
proceed,70
christian,12
01/05/2001,6
06:55,4
mention,64
could,344
f=,6
ax=20,4
number,118
01/05/2001=,4
09:55,15
lammer,107
03:52,4
christiaan=20,4
huizer/enron_develop,79
enron_develop,554
enron=20,4
fine,60
sure,126
christiaan,137
receiv,326
final=,4
copi,192
02:10,6
a=20,4
attach,353
english,17
version,90
spanish,4
transrede=,4
s=20,7
99,5
reflect,75
dean=01,4
draft.=,4
transred,30
onli,253
made,107
slight,5
chang,310
wait,59
sirese=01,4
carta,10
sirese-respuestatbstrd.doc,4
Do,77
expert,13
concern,147
eletrabra,10
guarante,92
review,360
present,89
along,20
thing,146
lender,285
project,200
In,239
light,39
numer,16
construct,38
delay,111
increas,65
sponsor,79
contribut,52
unusu,5
central,118
exposur,60
etc,67
conduct,27
comprehens,12
insur,189
coverag,70
cuiaba,224
availbl,5
conveni,14
begin,61
exchang,70
info,68
fulfil,3
endeavor,5
person,84
behalf,4
My,132
assist,109
blanca,67
bollom,25
us,384
know,594
memo,75
e-mail,654
arriv,26
huizer,31
03:42,1
lain,306
powell/enron_develop,146
dick,48
vincent,6
afternoon,31
relat,84
gasmat,11
explain,84
plan,159
two,213
remain,90
ridg,21
ga,839
plant,97
date,260
He,152
're,95
cover,101
epe,165
gob,1
gom,1
extend,79
focu,26
polit,48
risk,47
commun,35
call,492
today,177
shape,6
01/12/2001,11
10:18,2
rob-,22
morn,137
.pleas,4
deliver,2
pop,9
eot,55
agreement,330
email,315
siemen,177
cliff,93
scc,49
settlement,33
01/16/2001,18
crankin,60
document,130
intend,169
negoti,171
still,96
suggest,128
powel,62
E,228
owner,188
case,105
rankin,41
draft,128
recipi,89
notifi,153
taa.doc,8
siemens/scc,8
eot.doc,8
1,300
.doc,8
guy,88
finish,13
doc,4
provid,246
clear,88
pictur,26
outcom,10
financ,118
standpoint,2
apprais,2
progress,12
though,22
concess,38
balanc,20
strong,23
packag,42
area,91
respect,49
handl,59
nois,22
instead,33
write,35
test,206
relax,26
world,51
guidelin,2
clarif,20
mayb,29
break,38
action,51
03:23,2
peter,199
weidler/na/enron,89
spoken,11
eng,16
tri,180
set,147
someth,66
hear,71
back,201
latest,39
pl,21
reach,56
tomorrow,111
close,104
sign-off,4
real,58
rgd,44
07:19,4
06:54:01,4
laine.a.powel,45
dan.shultz,4
guidri,6
john,343
john.guidri,4
larry.bishop,4
'christiaan.hu,4
christiaan.hu,18
stephen.p.stein,6
clean,73
black-lin,4
among,18
contractor,87
claim,67
comment,171
V,37
ii,32
initi,62
AG,4
taa,67
difficulti,7
open,79
repli,73
messag,229
++++++confidenti,27
notice+++++,27
confidenti,89
and/or,72
privileg,80
individu,51
organ,43
abov,121
author,77
repres,57
herebi,41
dissemin,41
contain,86
herein,47
prohibit,59
error,79
immedi,121
sender,32
return,92
delet,79
system,177
tfts.tozzini.com.br,30
jbarquin,39
john.novak,65
ceb,67
houston,134
conf,14
termin,130
strategi,29
11:00,9
avail,231
great,57
barquin,55
12:57:23,2
novak,81
gay,329
'ceb,2
call-in,2
-origin,105
tue,28
jan,34
16,17
13:52:03,2
2001,221
claudia,27
8:00,23
3:00,29
pm,49
'll,144
dial,24
dash,25
713,46
sign,50
rick,128
michael,66
tribolet,4
final,101
'm,191
readi,47
happi,98
12/01/2000,10
12:33,2
felip,93
ospina/na/enron,59
conni,11
F,25
estrems/na/enron,4
novak/sa/enron,100
kishkill/sa/enron,36
signatur,2
jeff,47
skill,6
noon,10
monday,206
buy,73
offic,100
853-3820,2
cellular,7
515-3577,2
home,104
729-7910,2
Ok,6
8:30,16
cst,38
join,41
brad,42
sue,55
S,118
W,95
05:58,4
bollom/na/enron,17
statu,73
opic,111
11,69
2,275
55,30
65,9
9981-6071.,4
word,21
long,81
probabl,68
substanti,67
exist,42
free,105
file,111
07:49:28,2
RE,74
spoke,32
late,62
last,166
well,171
given,66
impract,2
short,49
frame,18
determin,43
commerci,44
reason,75
deal,222
due,135
cours,51
think,317
face,46
feel,135
chime,2
've,131
misstat,2
anyth,80
mailto,30
tuesday,121
januari,68
3:23,2
Cc,66
peter.e.weidl,6
opic/kfw,12
perhap,21
listen,12
follow,224
04:35,2
anyon,55
togeth,51
G.,40
05:57,2
econom,59
equilibrium,21
arbitr,45
litig,14
put,78
result,126
mean,66
help,222
particularli,54
tabl,19
realli,86
start,191
bring,67
decis,78
interest,159
dresdner,20
conflict,32
dkb,15
advis,85
mark,126
provenzano/enron_develop,13
kleinwort,15
benson,15
potenti,46
contact,208
graham,10
loft,5
shock,21
surpris,16
situat,62
tonight,28
01/17/2001,32
04:55,5
heard,40
yet.i,5
neal,10
turton,11
furna,271
consent,84
matter,64
im.thank,5
12:42,11
KB,5
current,199
evalut,5
purchas,58
equiti,43
hire,42
advisor,25
800k,5
pay,144
closint,5
check,58
either,57
ceas,8
transact,66
britaldo,22
atenor,24
detail,85
brian,61
anderson,58
summari,36
eduardo,13
note,143
caa,12
expans,24
swinford,15
activ,50
dan,40
