enron,2263
ect,309
capit,295
charg,267
terri,102
stephen,187
revis,205
2001,2181
plan,976
02/01/2001,20
06:20,6
PM,1451
west,149
enron_develop,61
ee,177
commun,211
use,429
busi,505
restat,28
februari,103
forward,328
west/corp/enron,11
To,2067
traci,2205
geaccone/gpgfin/enron,250
faith,71
killen/hou/ect,13
nadia,11
rodriguez/na/enron,6
niamh,17
o'regan/lon/ect,10
wood/lon/ect,13
evans/lon/ect,6
agatha,123
B,53
tran/enron_develop,9
jeffrey,146
E,105
sommers/enron_develop,12
thoma,93
myers/hou/ect,11
jeff,104
smith/hou/ect,6
kent,65
castleman/na/enron,18
kerri,80
roper/gpgfin/enron,18
michael,332
S,42
galvan/hou/ect,11
wade,49
stubblefield/hou/e,14
debra,20
brannen/hou/e,6
carolyn,57
barrett/enron,18
howard,105
selzer/corp/enron,20
pamela,33
rush/corp/enron,13
dave,134
gunther/na/enron,13
jame,392
hollman/corp/enron,6
robert,218
wilcott/corp/enron,11
karen,50
choyce/corp/enron,10
linda,12
armas/corp/enron,6
krysti,8
knight/hou/ect,7
cc,381
schwarzbach/corp/enron,16
gregori,30
adams/corp/enron,8
subject,1993
attach,517
explan,60
It,247
substani,3
differ,83
methodolog,17
prior,60
year,365
appli,106
onli,315
unit,278
level,199
includ,496
format,79
file,419
due,186
24,126
We,756
send,272
templat,67
calcul,58
next,227
week,434
actual,179
januari,95
book,173
If,692
ani,1023
question,561
pleas,1618
let,561
know,751
ext,20
3-6910,3
employe,233
2002,815
alloc,323
assumpt,36
BU,66
regard,128
global,82
servic,424
group,327
've,109
also,351
list,273
case,88
make,318
number,427
inform,711
wa,578
provid,337
tim,34
callahan,7
thank,1136
patti,22
draft,29
mmf,9
note,196
compani,321
veri,138
close,136
amount,175
except,52
plain,8
dawn,74
-origin,1512
messag,1716
geaccon,1219
sent,1852
septemb,413
Cc,676
derr,38
thursday,428
13,77
6:28,3
AM,1053
RE,469
percentag,25
chang,369
wednesday,394
12,93
4:38,2
corp_2002_alloc_mmf.xl,1
edi,78
ena,87
schedul,503
support,211
smith,199
S.,77
HR,64
depart,72
contact,297
leschber,37
addit,277
onc,82
effici,34
resolv,31
person,188
request,333
base,143
basi,82
19,89
E.,218
talley,23
darin,27
cockrel,23
rainier,30
galvan,48
spoed,18
ami,47
kirk,100
varga,39
hope,145
ruffer,17
mari,351
lynn,51
roquemor,15
tobey,15
moryl,17
heidi,24
wood,42
copeland,91
erin,107
tran,105
pierc,16
jodi,23
free,248
darryl,17
bu,50
consider,13
caus,41
bonus,12
may,491
In,227
separ,68
variou,41
way,125
disagr,8
directli,67
',249
name,129
happi,55
assist,107
answer,73
unabl,18
without,62
alloct,3
made,110
dure,80
either,62
assess,196
monthli,51
potenti,42
tru,5
quarterli,19
x30669,6
5:28,7
FW,386
advis,67
ha,575
subsequ,6
thi,2546
result,114
2:53,4
killen,48
find,118
updat,307
increas,142
mani,73
decis,36
bonu,49
histor,18
data,356
high,220
therefor,30
varianc,68
need,764
issu,226
manner,14
resolut,29
final,107
agreement,96
via,44
e,40
mail,61
line,169
apolog,19
delet,102
20,120
tax,184
incom,104
3rd,115
sheet,128
O,95
M,86
erron,4
mei-l,29
kaster,25
discov,16
toti,2
section,33
begin,70
49,19
submit,111
steve,512
record,64
FI,27
june,28
CS,10
march,49
error,31
found,31
small,25
adjust,101
necessari,60
correct,95
everyon,97
review,554
jan,229
april,26
yet,49
time,789
sinc,123
balanc,97
cash,201
flow,114
continu,126
statement,72
difficult,26
accur,11
current,298
month,210
suggest,66
welcom,10
much,109
delay,47
last,254
night,87
signific,44
buiness,1
monday,536
tuesday,488
schwarzbach,77
remov,42
sign,35
requir,190
previou,35
would,705
ibit,57
0901,3
0915,3
0936,3
0941,3
hyperion,20
replac,53
02/20/2001,20
previous,43
follow,301
ad,52
dr/cr,1
clarif,6
3,212
total,185
increase/,1
decreas,6
reflect,67
proper,10
backward,1
word,14
inflow,1
reduc,57
third,54
parti,100
interest,130
C,23
relat,166
net,101
intercompani,35
alreadi,116
part,71
tot_share-equ,1
0218,2
tot_inv_consub,1
D,11
clarifi,7
refer,25
usag,21
oppos,3
amend,5
1615,1
1679,1
1750,2
1719,1
1710,1
1722,1
1755,7
1725,1
