contract,6708
enron,12288
storag,3700
ect,17392
ga,11736
tco,1914
chri,14080
transport,2513
capac,4586
steve,704
PM,9645
virginia,371
natur,957
angel,88
pleas,7668
unifi,678
inform,2132
volum,5565
demand,2208
37634,29
gillespie/corp/enron,165
To,13210
cc,9193
subject,12884
columbia,1605
victor,1296
joann,1860
alvin,225
question,2543
ani,6208
know,5360
fss,231
charg,2016
type,850
38079,18
10-31-04,6
1.5240,6
35889,16
60536,19
10-31-14,6
53004,16
0.0293,6
60537,16
forward,5683
germani,5718
11/22/2000,69
12:13,19
Re,3406
would,4161
get,4229
thank,5860
germany/hou/ect,6115
11/21/2000,32
scott,3083
collins/corp/enron,802
thompson/corp/enron,179
katherin,1015
L,1619
kelly/hou/ect,652
brenda,985
H,953
fletcher/hou/ect,497
sherri,266
anastas/hou/ect,126
manag,1601
day,4632
vng,437
group,1035
agent,404
pay,1579
us,1761
set,1648
soon,689
possibl,627
effect,1428
If,3559
let,3648
K,568
pipe,690
expir,333
amount,799
49,030,3
3-31-04,3
0.76,5
52,090,3
0.3040,3
778,500,3
14,625,11
No,2671
avail,2181
2,848,655,3
731,250,3
sg,42
11/27/2000,37
02:41,40
detail,447
thi,17516
email,1705
north,1262
america,794
corp.,1246
lamadrid,189
01:27,34
fuller/na/enron,22
goodell/corp/enron,706
gillespi,108
oper,1323
asset,468
mgt,18
deal,10182
logist,93
includ,1438
queri,21
It,1437
understand,487
cost,739
In,1122
turn,453
invoic,2136
re-imburs,15
goodel,512
trade,1550
respons,870
tie,111
chris/scott,13
5,1374
valid,171
....,519
termin,839
8/31/1999,13
fuller,21
09:47,23
AM,8451
lamadrid/hou/ect,940
Hi,619
As,890
octob,1072
1,2815
ena,3967
becam,27
tri,1120
load,263
begin,602
balanc,1290
actual,883
10/2000,23
appear,342
follow,2492
vng/cga,13
number,2963
master,239
x-133,13
lng,140
sst,244
iss,256
appreci,174
help,1389
give,1155
need,6198
addit,1007
dti,144
12/06/2000,21
637,141
judi,612
townsend/hou/ect,337
rebecca,109
W,476
dominion,1742
intend,1118
propos,473
shorten,9
make-up,33
period,499
12/07/2000,66
11:04,37
cantrel,62
03:42,14
john,2081
hodge/corp/enron,103
paul,1252
tate/hou/e,22
ee,2670
robert,1445
superty/hou/ect,126
colleen,898
sullivan/hou/ect,514
donna,362
greif/hou/ect,54
stephani,302
miller/corp/enron,28
fyi,537
obvious,66
call,3450
cantrell/hou/ect,36
03:39,22
randal,51
rich,119
rrich,4
bracepatt.com,4
08:19:48,4
rebecca.w.cantrel,6
enron.com,7595
We,3714
learn,216
talk,934
rep,102
modifi,127
exist,591
appar,69
light,275
custom,2072
opposit,18
withdraw,1014
imbal,842
20,528
72,18
hour,550
instead,183
develop,528
new,4107
rate,2245
schedul,2564
electr,731
gener,509
claim,144
entiti,253
drove,12
first,974
instanc,29
power,2502
pipelin,1914
coordin,232
probabl,812
interst,87
mike,565
dave,363
guarante,107
So,503
august,748
howev,762
assign,464
golf,66
shirt,74
timothi,106
Up,54
establish,75
nomin,1560
still,1697
tier,163
think,2168
gar,101
G.,43
corp,266
caus,199
financ,56
guy,718
scrambl,8
littl,605
bit,110
lot,265
LC,6
could,1667
pretti,172
expens,210
chang,3444
ce,5805
suppli,1544
come,1005
sept,65
kathleen,6
ensur,262
ha,4128
approv,1022
directli,328
continu,838
sure,1306
whenev,56
produc,1161
........,12
meanwhil,35
've,721
got,569
iou,4
07/17/2000,46
01:33,33
ray/hou/e,47
credit,550
inters,7
use,3441
corpor,762
also,2643
prefer,269
bill,1263
free,686
lunch,389
ray,149
07/10/2000,23
10:44,46
dick,923
jenkins/hou/ect,537
henderson/hou/e,18
provid,1201
assist,286
busi,1252
welcom,145
offer,1253
appropri,234
individu,251
intern,350
conveni,85
sinc,1114
upstream,216
moment,69
tremend,36
sens,74
urgenc,22
like,2737
move,845
ahead,132
quickli,102
anyway,183
see,2696
transco,1738
sonat,1135
tetco,624
requir,1391
cng,2379
ngpl,156
anr,456
panhandl,49
second,248
product,3320
png,243
juli,1309
local,709
columbiaenergygroup.com,2862
angie.zeman,49
00,509
angi,579
07/19/2000,23
n't,4296
kara,344
escript,43
password,295
chris.germani,2721
dkinney,462
month,2584
kdestep,274
clear,231
sampson,50
pleanza,51
phillip,523
agre,584
doug,996
pool,2656
chat,297
alan,26
might,442
one,2521
thing,641
softwar,142
instal,214
respond,492
destephanis/ces/columbiaga,91
columbiaga,2690
e-script,89
ca,411
someth,453
user,304
id,121
work,2567
07/18/2000,49
onli,1733
4,000,113
enough,275
sometim,100
well,989
report,842
clinton,379
heidi,732
chris_germani,162
yet,582
wa,4636
make,2127
bet,96
current,1482
zeman,80
09:46,40
zeman/corp/enron,289
09:42,9
09:06:47,3
eoh,3
ebb,124
log,114
pngaltra,3
eohaltra,3
onc,438
click,447
mayb,341
walk,112
10:03:20,3
seem,313
My,770
login,47
start,1005
es0___,3
assum,462
similar,108
08:33:08,3
sound,264
wonder,181
east,1130
ohio,525
boydh2,6
boydh4,6
peopl,1024
boydh1,6
boydh6,6
cpa,427
nyseg,227
abl,709
better,315
'm,2784
glad,67
05:22:49,6
john.m.sing,13
300,121
429,17
spoke,377
samson,17
super,47
fantast,21
say,876
good,1127
boss,123
someday,49
act,130
way,825
ID,459
figur,202
run,538
back,2282
januari,1523
septemb,519
1st,576
transfer,529
brand,42
singer,449
said,1457
doe,1492
ldc,1133
activ,924
fairli,91
easi,94
02:02:39,17
kinney,515
friend,245
maintain,181
behind,630
7500,42
dth/month,56
He,664
usual,179
clinton/c,20
right,1272
hi,1061
side,358
17th,61
baseload,167
thru,542
443/day,20
check,1043
nom,1472
',2604
want,2292
word,239
done,798
last,1422
'll,1289
veri,675
much,881
clarif,81
D.,53
aka,28
lone,252
ranger,22
price,3707
7/20-31,11
sold,1010
174,6
dt/day,78
335917,4
20th,64
31st,284
deliv,957
4.395,4
purpos,270
10:10,11
collin,255
09:21,31
coh5-7,4
purchas,1330
174dth,7
23n-7,25
k61822,13
was=0,7
now=174,7
sorri,421
dude,41
finish,131
civil,7
war,18
book,681
invest,186
money,235
scott.goodel,534
match,485
bid,657
Is,474
handl,621
jporte1,327
07/13/2000,102
08:14:25,4
block,143
confirm,981
10/01,7
track,211
buy/sal,126
show,1495
3,1482
patricia,80
5,000,187
total,1119
system,1998
tenn-wright,24
send,1463
week,1600
ago,181
problem,1030
04:30,14
11:31,20
sale,1875
april,2244
jame,348
r,58
barker,41
downey,33
donni,130
myers/na/enron,61
dth,2844
iroq,192
zone,1735
3.14,27
150,000,24
140,000,13
forgot,129
put,808
130,000,36
canajohari,65
though,243
ol,35
take,2195
advantag,96
bought,398
15,000,192
add,394
anoth,472
10,000,877
buddi,244
releas,1740
switch,97
keep,821
name,1257
choic,527
parti,1033
04:25,23
03:59,33
michael,347
garred/hou/e,128
issu,1237
face,129
03:56,21
07/12/2000,21
10:25,83
congratul,66
retail,891
touch,116
base,636
befor,932
tnpc,21
expect,393
occur,135
stay,316
proceed,81
mind,144
program,512
util,924
july-,7
maryland,46
space,433
re-releas,47
refund,119
origin,504
shipper,639
receiv,2418
direct,325
Do,1117
gulf,455
submit,252
paperwork,67
agenc,374
erin,18
713-267-4212,7
atlanta,155
unless,298
told,690
otherwis,325
7/19,12
alloc,261
offic,811
7/13,7
return,271
7/21,7
drill,75
believ,969
key,110
look,2141
dog,55
care,373
fell,55
daisi,8
folder,65
jail,8
item,587
Go,106
bulletin,77
board,170
select,315
lynn,81
burk,4
cdc,92
cga,1388
cglf,355
ces/new,17
2000-juli,4
2001,2676
usag,139
235293,12
.11,29
alicia,144
perkins/hou/ect,96
x,449
tonight,141
exchang,389
323558,8
323553,8
tenn,530
.0097,7
04:14,11
12:45,25
tenn/transport,8
uag,8
.0116,8
85,155,8
.0984==,8
8,300,8
12:41,9
09:39,30
algon/transport,16
233358,16
.26,16
.0206,17
155,000,26
.2394,16
==,75
37,000,34
home,480
arriv,123
prepar,233
dinner,123
time,2549
part,491
warm,67
husband,48
relax,30
readi,175
even,518
meal,45
minut,173
rest,248
hair,54
may,4423
lift,83
cloth,68
order,927
children,74
nois,54
greet,37
complain,33
comfort,59
place,622
camera,66
info,576
jerri,293
chad,109
wed,258
to.,4
wisdom,7
whatev,85
happen,323
1950,8
econom,96
textbook,12
high,400
school,180
girl,118
teach,32
marri,68
life,267
plan,875
night,406
delici,8
concern,311
men,127
hungri,13
prospect,49
2,1986
15,462
refresh,47
ribbon,8
fresh,37
work-weari,8
Be,48
gay,36
interest,687
bore,29
away,256
clutter,8
trip,144
main,254
hous,172
gather,829
schoolbook,8
toy,28
paper,197
etc,374
dust,24
tabl,109
feel,447
reach,220
4,1124
wash,39
children',8
hand,135
small,250
comb,8
necessari,260
treasur,15
play,120
minim,60
At,305
elimin,97
washer,9
dryer,10
vacuum,8
encourag,47
quiet,44
smile,26
kiss,20
're,564
6,816
complaint,23
late,292
count,75
minor,47
compar,109
gone,80
7,723
lean,17
chair,44
suggest,281
lay,85
bedroom,25
cool,101
drink,81
arrang,194
pillow,10
shoe,21
speak,135
low,252
soft,15
sooth,16
pleasant,22
voic,85
allow,476
unwind,23
8,500
listen,39
TO,405
dozen,11
tell,601
9,315
never,341
entertain,53
world,144
strain,11
pressur,90
10,870
goal,119
peac,23
dan,940
boston,408
k,580
29667,25
77257,4
6/30/2000,51
comment,730
/,332
energi,3508
express,195
steph,14
go,3191
person,613
reserv,303
season,294
correct,877
OK,230
calcul,318
correctli,138
june,2151
contracts/d,7
779234,7
003589,7
771157,7
003668,7
771224,7
003786,7
779233,7
003581,7
771156,7
003666,7
771225,7
003785,7
thought,484
loop,94
stuff,389
anyth,620
awar,276
EB,56
locat,665
keyr,6
owner,40
manual,199
md,46
eb3224b,5
anyon,661
helloooooo,4
posit,555
market,5289
area,3477
servic,3030
control,472
announc,256
appoint,102
egner,37
director,231
account,1209
held,118
variou,195
join,176
rosemari,12
replac,311
07:38,19
customernotic,57
wgphou,62
wgphou.customernotic,54
williams.com,1379
07/14/2000,38
03:03:00,4
wgp-transco,12
employe,738
FR,8
frank,127
ferazzi,10
VP,128
william,482
pipeline-transco,9
RE,1613
organiz,15
date,1503
14,376
2000,2963
F.,48
iii,68
overse,18
northern,166
southern,153
electron,85
commerc,21
opportun,437
recognit,9
job,480
serv,405
1997,50
prior,613
increas,638
engin,109
train,163
1984,8
complet,732
transmiss,1235
depart,282
corpu,24
christi,72
divis,178
offshor,74
design,218
experi,177
within,348
ideal,22
candid,35
well-deserv,9
c.dtf,60
jeff,826
gang,72
found,354
mistak,133
4.6913,4
sirara,4
03:40,9
08:29,37
cdalpho,203
molli,511
sumrow/hou/ect,8
westover/hou/ect,62
allwein/hou/ect,744
282945,10
daili,1701
10,322,8
309,660,8
IF,334
.0175,11
variabl,98
.02,75
sitara,1606
4.6738,8
apolog,91
sent,4198
alreadi,474
keyspanenergy.com,100
coral-energy.com,104
pseg.com,77
coned.com,9
scoop,33
immer,279
ingrid,396
ingrid.imm,262
03:05:05,4
'scalcagno,8
scalcagno,8
'jmetress,4
jmetress,4
'jean,4
foard,28
jean.foard,4
'jtowns,8
jtowns,27
'cgerman,37
cgerman,151
'mfleme,10
mfleme,12
'john.hodg,8
john.hodg,16
brown,143
daryl,17
daryl.brown,21
fiser,8
michael.fis,8
perritt,4
christy.perritt,4
baker,43
sharon,47
sharon.bak,8
yount,4
e-mail,1508
michael_yount,4
sdlcg.com,4
'david.cafferi,8
david.cafferi,8
'rothmanl,4
rothmanl,4
FW,481
schatzman,28
ii,166
-origin,3176
messag,4336
commun,349
friday,1472
2:33,8
wgp,14
execut,535
mgermani,235
ch2m.com,275
sick,21
303,192
heck,21
toot,3
mary/cor,174
02:21:00,3
'chris.germani,305
babi,172
son,36
doctor,38
afternoon,499
mari,840
payabl,166
payrol,157
support,504
713-2151,94
fax,1326
846-2151,94
KO,104
327869,30
brace,7
6.26,3
today,1673
anasta,33
01:03,31
monday,1518
7/20,3
71.19,3
cover,273
2/00,34
5/00,6
07/11/2000,24
12:19,14
theresa,505
franklin/hou/ect,332
elizabeth,365
hernandez/hou/ect,163
marlen,281
hilliard/hou/ect,90
made,810
236178,10
60094,13
path,798
creat,947
2/1/2000,24
via,390
accord,618
paid,549
