thi,898
congest,65
solut,36
zone,88
local,52
instruct,36
decrement,19
resourc,65
attach,213
recommend,37
energi,240
qse,154
market,322
situat,32
deliveri,21
doe,58
mcpe,11
time,204
see,112
file,137
concern,67
reliev,12
current,91
draft,38
veri,43
order,72
profit,16
languag,30
exist,19
neg,11
could,120
also,123
csc,59
dec.,7
meet,282
6,42
adib103100,6
stoft-game.pdf,6
stoft-intra-zonal.pdf,6
In,114
memo,5
parvi,3
adib,12
date,90
oct.,8
31,34
copi,83
puc,35
describ,11
seriou,5
part,52
commiss,55
regard,94
abus,9
protocol,53
john,47
meyer,5
ha,201
ask,55
suggest,28
follow,179
believ,33
easi,14
implement,22
problem,37
game,15
wherebi,4
entiti,42
deliber,4
chronic,3
place,42
creat,30
state,125
pay,33
minimum,14
0,35
troubl,9
approach,14
reward,11
caus,11
If,273
persist,4
encourag,24
ineffici,3
gener,103
built,9
area,76
output,8
reduc,9
even,33
turn,12
note,81
would,261
onli,114
happen,13
locat,41
within,39
suscept,5
well,45
lead,18
high,50
incid,4
appear,25
like,126
occur,11
rel,8
small,19
i.e.,6
domin,5
number,101
consist,15
overschedul,4
across,11
anticip,10
alway,23
real,24
Do,26
compens,13
charg,28
ercot,537
howev,32
must,52
obey,3
maintain,22
system,140
reliabl,20
pleas,486
give,43
comment,77
concept,9
befor,54
1,230
add,13
item,43
vote,16
rug,8
schedul,168
chang,235
minor,4
section,47
7,42
distribut,51
prior,34
manni,5
piwg,7
DC,5
approv,51
reconcili,6
form,76
109,2
tie,4
exempt,2
brought,4
decemb,50
6th,9
intend,78
concept/polici,1
octob,18
23rd,23
document,86
pip,10
novemb,29
2,95
3rd,5
revis,37
shown,7
reflect,11
receiv,165
improv,11
discuss,113
....,10
gig'em,1
aggi,1
C.,5
richard,7
ross,2
american,21
electr,130
power,257
918.594.4262,1
tie.doc,1
enron,391
propos,38
tabor,8
get,201
forward,99
busi,131
doug,334
We,198
need,233
hybrid,5
',167
It,111
model,34
sign,52
issu,109
trade,180
confid,10
kevin,91
M,15
presto/hou/ect,4
02/08/2001,2
PM,226
review,138
rto,15
feel,44
ani,275
simpli,15
hi,82
understand,47
effort,25
furthermor,6
flaw,4
design,36
interest,50
fail,14
present,50
trust,7
us,86
concur,1
100,17
stop,15
danc,1
around,44
satisfi,3
organ,18
effici,12
suppli,20
demand,18
curv,17
deliv,12
credibl,1
messag,348
12:46,2
gilbert-smith,174
12:39,1
To,351
jame,64
D,3
steffes/na/enron,1
shapiro/na/enron,1
cc,68
jean,2
ryall/na/enron,1
ron,9
mcnamara/na/enron,2
bruce,9
sukaly/corp/enron,1
ect,52
subject,317
visit,20
jim,60
point,60
desk,38
good,41
whatsoev,2
continu,31
alreadi,23
seen,6
counterpart,3
Dr,5
oren,5
expect,45
feasibl,2
impress,5
latest,10
purpos,20
15th,14
real-tim,11
manag,143
mechan,5
two,92
associ,42
say,60
thing,26
achiev,13
goal,18
mean,22
end,45
sure,59
anyon,16
best,53
commerci,23
polit,3
implic,7
california,33
becaus,45
initi,27
foolish,2
equal,4
quick,11
forg,2
ahead,11
gameplan,2
accept,28
bastardis,2
version,41
allow,45
either,20
ee,22
ena,4
oper,113
product,101
ultim,9
hesit,7
use,158
expert,6
case,49
know,159
great,30
fit,3
led,3
jeff,32
brown,8
side,20
tuesday,83
abl,56
accommod,4
request,107
hammer,2
opportun,36
far,19
outweigh,2
'issu,2
ditch,2
hogan,11
undoubtedli,3
variou,11
much,29
effect,24
manner,5
cach,2
util,113
crowd,4
import,44
consider,8
transact,84
look,83
hear,26
resolv,16
today,102
back,48
thank,311
new,229
process,108
appar,8
mark,51
asap,9
send,108
drew,10
texa,259
plant,94
one,142
cost,79
iso,36
data,119
rule,27
may,190
kreb,5
bill,52
n't,127
percent,6
control,117
bojorquez,7
retail,74
softwar,20
develop,67
emiss,11
georg,15
competit,20
rate,47
last,71
studi,13
wa,168
signific,25
law,17
choic,11
custom,106
jan.,9
fuel,14
load,133
servic,159
lodestar,3
supplier,14
DG,3
02/13/2001,3
dsgeorg,2
firstworld.net,2
spotlight,14
differ,38
mayb,7
natur,20
releas,24
accord,16
clip,2
region,27
help,104
compani,143
show,28
set,170
right,52
provid,145
said,49
presid,33
senat,11
price,128
revenu,4
cut,14
2007,4
yet,11
stand,20
immedi,35
talk,27
merchant,3
peak,37
central,39
wo,11
2001,204
2003,8
period,34
prove,5
anoth,37
featur,50
As,80
aggreg,10
requir,98
transfer,22
coordin,20
doroff,2
function,25
estim,40
becom,32
take,60
word,15
told,11
ga,48
site,47
write,7
2000,58
forc,21
unit,36
plan,186
potenti,18
reduct,3
in-area,2
confidenti,43
fyi,16
lloyd,29
will/hou/ect,4
06:02,1
dick,1
S,13
11:07:59,1
AM,177
DS,1
Tx,2
dereg,1
cal,12
CC,1
list,135
suppress,1
compassion,1
tenant,1
white,33
hous,15
Or,8
rivalri,1
republican,1
pork,1
rind,1
democrat,1
brie,1
chabli,1
At,21
mid-januari,4
found,16
email,127
box,18
stuf,1
push,9
press,11
tout,2
restructur,14
lone,4
star,10
actual,26
work-and,1
consult,42
check,40
mistak,2
made,44
purport,1
analysi,25
cours,8
road,3
versu,1
done,28
fainter,1
aect,1
compel,1
evid,9
track,6
benefit,28
act,20
1999,7
then-gov,1
W.,9
bush,6
contain,50
basic,17
assembl,6
1890,1
law-it,1
tariff,4
structur,12
run,30
aground,1
behav,1
freez,1
key,20
level,14
old,26
regul,18
regim,1
mandat,1
guarante,16
top,40
residenti,6
instead,12
10,80
adjust,12
increas,18
So,14
spike,1
warrant,5
mess,2
california-util,1
buy,16
sell,37
low,40
lack,7
drawback,1
ferc,16
enjoy,14
privat,10
grid,45
iso-form,1
council,14
texas-which,1
entir,9
thu,35
larg,9
feder,23
regulatori,11
advantage-a,1
state-regul,1
dedic,9
WE,1
DO,4
perceiv,2
threat,1
OF,16
shortag,3
heard,8
director,36
settlement,12
12,15
friendli,1
OK,7
'd,19
standard,58
interconnect,12
climat,1
construct,14
call,239
nation,16
largest,6
term,40
summer,23
57,600,1
MW,35
tell,9
instanc,2
exchang,11
auction,34
wholesal,59
ancillari,13
settl,5
reli,16
social,4
uplift,2
recov,9
begin,47
june,9
pilot,9
program,34
start,71
least,19
scheme,5
tradabl,1
transmiss,65
tcr,45
unless,14
exceed,4
20,36
million,35
12-month,1
conced,1
transit,16
singl,10
build,38
facil,11
wheeler,2
backup,6
offic,81
austin,82
budget,3
buster,1
offer,52
uniqu,5
learn,6
technolog,12
deal,40
perform,31
forecast,94
profil,33
known,4
delight,1
acronym,1
qse-pronounc,1
quesi,1
-which,1
qualifi,10
steve,24
senior,23
vice,26
jason,4
iacobucci,1
bar,6
pass,29
along,27
ratepay,3
incur,4
enough,22
convinc,2
deleg,2
ordinari,1
includ,107
format,25
commun,40
enrol,6
electron,30
interchang,13
edi,8
xml,4
godsend,1
myriad,1
player-with,1
network-instead,1
fragment,1
job,13
among,5
player,1
meter,9
agent,12
spare,1
alloc,9
dollar,5
sale,27
unregul,1
task,5
minefield,1
digest,1
p,2
8,25
nevertheless,3
free,43
interact,4
smart,5
'll,26
calcul,34
scenario,4
BE,7
problemat,3
outspoken,1
attorney,2
lacled,1
eventu,5
face,15
saw,5
year,94
nov.,3
30,80
behalf,10
cool,1
center,77
linvil,1
conserv,6
govern,18
air,32
small-scal,1
taken,4
feb.,12
5,57
might,24
spell,3
www.tnree.state.tx.u,1
critic,13
polici,50
statewid,2
compli,8
houston/galveston,1
ozon,1
nonattain,1
mani,34
cogener,1
impact,30
ban,1
upon,19
illusori,1
except,16
renew,31
cell,59
ostens,1
ground,1
'increas,1
undermin,1
recent,24
permit,7
combined-cycl,1
50,29
nox,1
25,36
so2,3
grandfath,2
acknowledg,7
januari,254
dallas/ft,1
worth,12
produc,13
dalla,29
report,96
constraint,22
dfw,1
experi,9
adequaci,1
voltag,1
stabil,1
amount,21
unavail,4
north,60
outsid,20
metro,2
greenfield,1
limit,48
encount,3
public,42
opposit,7
sound,7
familiar,13
e-mail,137
privileg,24
name,42
recipi,43
notifi,30
sender,34
disclos,13
content,11
person,87
store,10
inform,253
medium,1
gilbert,14
TX,164
reserv,74
confirm,53
lisa,6
houston,137
smith/doug,2
continent,7
airlin,24
15feb,2
CO,10
Q,11
g.bush,7
interco,7
bergstrom,9
intl,9
termin,25
C,17
non,12
durat,15
aircraft,24
mcdonnel,5
dougla,17
md-80,5
seri,11
seat,14
NO,14
smoke,8
smith/d,2
total,65
usd,14
188.50,2
yahoo,20
question,265
let,99
x39194,1
shoemake/hou/ect,1
02/14/2001,1
02:39,1
vikki,3
anaya,2
vanaya_vitoltvl,2
yahoo.com,8
01:00:02,1
lisa.shoemak,1
enron.com,74
smith==travel,1
tickt,1
agt,1
va/zcg98,1
1400,10
smith,101
77002,10
attn,4
shoemak,2
X,7
3-9194,1
feb,5
13,4
TO,16
depart,28
arriv,20
740a,2
832a,1
1716,2
0:52,1
08c,1
653p,1
753p,1
1711,1
1:00,6
07c,2
fare,10
167.44,1
tax,16
21.06,1
invoic,9
payment,22
ccax378520840791009/0302/a000028,1
co/okj8et,1
ticket,9
co/etkt,4
005,4
7024770435,1
IS,10
ticketless,9
pictur,8
ID,22
avail,96
AT,9
airport,7
vitol,7
travel,30
__________________________________________________,10
address,94
mail,28
35,10
http,111
//personal.mail.yahoo.com/,2
50mw,7
onpk,6
april-01,4
bought,16
cinergi,5
45.00,1
51.50,2
spot,11
puc.state.tx.u,17
sent,254
workshop,24
make,113
februari,69
16,23
yesterday,19
william,28
success,17
matter,32
argument,3
role,18
assumpt,8
F.,6
kennedi,3
-origin,219
mailto,53
friday,105
austinenergy.com,4
texas.net,4
lockeliddell.com,4
worldnet.att.net,4
highvoltagelaw.com,4
bbraustin.com,4
Cc,114
roga,3
keith,6
hand,26
william_hogan,2
harvard.edu,2
commission,7
puct,59
detail,75
ignor,4
hope,47
incent,4
seem,11
elsewher,4
less,14
difficulti,3
pursu,3
balanc,16
summari,16
appli,13
adopt,5
79,3
street,24
cambridg,12
MA,3
02138,2
particip,113
cooper,25
tammi,4
tammy.coop,2
5:13,1
'mwalker,2
ercot.com,212
'tanson,2
smklaw.com,2
'ltownsend,2
lglawfirm.com,2
'john.tempesta,2
'bob.kahn,2
'deena.jordan,2
neg.pge.com,2
'skroger,2
mdck.com,2
'rchapman,2
tlsc.org,3
'akennerli,2
worsham.net,2
'mcarrol,2
'barry.huddleston,2
dynegy.com,2
'dgross,2
'jay.golub,2
bakerbotts.com,2
'aholman,2
'jcheckley,2
'dljone,2
cps-satx.com,4
'brsmith1,2
aep.com,73
'pratt,2
csw.com,2
'pzei,2
tnpe.com,3
'read.comstock,2
'msmith,2
'ktrostl,2
'cmcginni,2
mcginnislaw.com,2
'nneas,2
'ga,2
bbrlaw.com,2
'jocampbel,2
stec.org,3
'psegrest,2
'sburger,2
lcra.org,3
'jboyl,2
jimboylelaw.com,2
'mdavi,2
'dpederson,2
bbraustin.com',2
parviz,11
FW,42
professor,2
shortli,6
addit,102
final,53
find,57
No,60
9,12
afternoon,27
10:17,1
pat.wood,1
judy.walsh,1
brett.perlman,1
keith.roga,1
ouc.state.tx.u,1
via,16
onc,22
courtesi,3
open,33
full,20
pursuit,1
essenti,1
unfortun,5
complex,4
possibl,49
everi,14
obviou,2
easili,2
adapt,1
strategi,14
On,27
emerg,19
explain,13
away,4
type,25
identifi,21
shmuel,2
administr,16
discretionari,3
counteract,1
pervers,1
correct,21
substanti,4
burden,2
undo,1
condit,20
intrus,1
becam,8
unhappi,1
practic,6
offici,22
especi,9
respons,61
without,27
tool,13
avoid,9
wood,5
elimin,4
page,27
chandley,1
colleagu,3
mine,2
focu,13
indic,32
common,7
treatment,2
kind,7
ad,35
hoc,6
reform,1
remain,15
accomplish,4
worri,3
fundament,23
recreat,1
My,24
pjm,26
solv,1
go,82
long,35
way,49
whatev,5
harder,2
fix,7
later,42
robust,4
simplifi,1
true,3
doubt,6
zonal,29
bilater,1
wrong,3
neither,2
complic,3
expens,13
altern,11
sooner,2
commit,11
better,18
remark,5
succeed,1
happi,13
decid,24
p.,3
assum,17
school,20
harvard,7
univers,4
617-495-1317,1
617-495-1635,1
f,4
//ksgwww.harvard.edu/people/whogan,1
puct0216.doc,1
infocast,1
sandiego,1
crisi,10
2-13-01.ppt,1
puct0215.pdf,1
23220,16
dpl,4
OM,2
020222,2
memo.doc,4
010219.doc,2
4:25,1
staff,40
david,111
