n't,2073
printer,32
home,350
know,2280
abl,223
curv,410
open,225
like,1077
driver,98
put,413
network,101
encount,12
follow,730
problem,330
calc,108
1,581
On,159
portcalc,35
screen,83
everyth,131
wa,1933
veri,307
tini,4
It,1060
work,819
could,784
copi,316
post,151
id,259
becaus,525
would,1404
see,1025
new,1589
number,623
2,808
want,1035
look,857
last,534
night,392
error,143
basic,74
machin,29
without,260
correct,237
seem,176
need,1623
mayb,119
upgrad,67
oracl,95
8i,6
3,539
chang,825
print,83
onli,888
concern,177
offsit,7
local,56
think,881
right,645
ani,2286
suggest,163
dave,127
review,465
trv,37
report,750
project,82
system,414
train,83
request,711
thi,5543
region,262
week,632
one,1187
provid,438
pleas,2876
may,1225
ensur,93
dure,240
uat,11
Hi,177
trader,218
viewer,9
statu,122
lead,119
began,25
current,319
kam,965
phillip,938
darron,5007
winfre,72
receiv,993
errol,526
schedul,401
tomorrow,192
5/15,3
came,94
left,352
column,45
freez,16
order,518
scroll,11
across,64
still,459
maintain,31
row,45
hal,13
forward,3025
addit,396
requir,182
publish,48
daili,265
histori,46
establish,66
realist,5
inform,967
also,863
ask,505
much,336
possibl,301
period,135
properli,34
meet,328
expect,233
thank,2312
help,769
support,268
shirley,30
mcdowel,9
/,99
IT,95
manag,577
univers,110
bill,393
texa,820
tuition,20
fund,137
increas,114
year,794
senat,145
retain,46
100,111
indirect,14
cost,179
UT,188
research,69
state,347
two,713
issu,246
legisl,9
repres,81
SB,8
revenu,49
allow,153
time,1213
messag,2272
contact,540
use,1044
alumni,48
austin,215
higher,64
educ,68
rate,376
semest,7
credit,711
hour,194
earn,124
contract,312
TO,170
institut,36
hous,230
http,1593
address,426
appropri,67
million,189
confer,92
committe,78
associ,156
remov,133
list,765
befor,421
legislatur,7
import,199
2005-2006,4
academ,12
award,24
faculti,6
1466,4
2531,4
rob,47
junel,4
first,534
call,964
member,155
say,594
urg,11
location/address,4
field,181
browser,17
reason,145
includ,462
gain,42
OF,56
50,128
whose,36
record,149
e-mail,2286
brought,31
exe,60
If,1488
comment,163
content,42
us,694
mailto,429
utadvoc,2
alumni.utexas.edu,30
respond,191
repli,233
function,35
To,5568
mail,296
instruct,43
bottom,59
dear,95
friend,287
critic,46
WE,19
voic,36
measur,38
unless,110
pass,271
risk,511
less,94
competit,30
peer,3
dollar,109
lose,76
momentum,5
result,115
invest,113
made,277
session,86
teel,2
bivin,2
author,146
five,108
We,1493
move,610
howev,156
full,144
soon,287
HB,4
vote,159
reach,97
senate/hous,2
floor,73
phone,331
avail,347
//www.senate.state.tx.us/75r/senate/senmem.htm,2
//www.house.state.tx.us/house/member.htm,2
rank,44
32nd,5
among,51
total,282
fee,86
paid,90
comprehens,10
colleg,149
necessari,85
part,156
financ,59
oper,145
sinc,255
gener,145
portion,27
22,175
Of,72
amount,181
6,347
flow,84
fifteen,2
percent,73
devot,3
automat,65
student,90
financi,325
aid,19
retent,20
budget,32
offset,50
consid,102
grant,160
make,1029
10,454
rodney,13
elli,18
512-463-0113,2
robert,187
duncan,68
512-463-0128,2
chri,469
harri,62
512-463-0110,2
steve,228
ogden,5
512-463-0105,2
judith,13
zaffirini,2
512-463-0121,2
512-463-0472,2
garnet,3
coleman,15
512-463-0524,2
pete,83
gallego,2
512-463-0566,2
talmadg,2
heflin,2
512-463-0568,2
buddi,47
west,480
512-463-0546,2
ten,27
popul,14
except,73
florida,121
98,10
get,1738
estim,48
16.3,2
per,232
expand,40
capabl,24
seed,27
money,185
purchas,253
research-rel,2
equip,24
three,197
recent,133
recommend,98
coordin,56
board,104
special,225
commiss,44
appoint,21
then-lieuten,2
governor,15
rick,149
perri,6
comptrol,2
public,83
account,381
carol,191
ryland,2
take,941
BY,17
ON,33
ex-stud,3
',2341
regard,239
believ,208
interest,251
ex-students',2
doe,478
sell,138
releas,136
compani,772
vender,2
partnership,68
unsubscrib,60
name,769
distribut,137
enter,180
site,186
//www.texasexes.org/welcome/unsubscribe.phtml,2
individu,145
center,305
O,102
M,817
charg,171
brad,68
analyst,270
show,211
holli,35
heath,5
said,622
appear,70
tri,393
find,446
resourc,192
let,1531
R.,92
mwongozi,10
pehivanova,2
walker,52
bark,6
burk,8
ricardo,10
perez,5
irena,102
psiusa.com,190
snake.doc,72
04/23/2001,39
PM,3931
carlos.giron,79
subject,5408
snake,45
C,5132
giron/hou/ect,3325
02:12,4
carlo,149
giron,1477
01:48:45,20
darron.c.giron,574
enron.com,1620
angela.teerwilliam,45
gte.net,46
glenn,58
home.com,227
ralphmay,26
hotmail.com,1294
yhayn,56
mindspring.com,337
mike.kotar,28
ronniegiron,75
yahoo.com,649
cc,3248
fwd,299
content-transfer-encod,48
binari,28
date,729
mon,82
23,123
apr,50
2001,1513
13:45:14,24
-0500,241
bishop,49
keller,28
bkeller,24
mime-vers,181
1.0,182
content-typ,186
application/octet-stream,27
name=,42
content-disposit,46
attach,570
filename=,28
GC,14
either,138
day,842
spa,10
DG,1919
march,203
jennif,516
ect,12017
valid,77
market,523
question,1108
price,1174
trade,646
whi,261
month,425
shift,92
CG,26
wic,18
Re,421
AM,3979
enron,8040
compar,59
ngi-malin,12
ngi-pg,22
if-cig,12
keith,43
holst,14
hi,902
answer,257
buyer,11
seller,22
henc,9
stronger,3
respons,277
understand,146
v.,22
feb,52
evidenc,5
data,197
specif,122
exampl,83
volatil,11
locat,279
particular,24
condit,58
spark,17
larg,50
etc,77
11:03,22
nguyen/corp/enron,22
februari,172
As,373
way,1284
rocki,19
mountain,23
point,263
similar,62
nguyen,41
04/17/2001,20
11:44,6
jeffrey,1004
gossett/hou/ect,725
send,443
memo,54
powerpoint,15
slide,25
conta,10
'm,458
malin,29
pge,11
pretti,152
clear,79
cig,6
note,318
front,107
drop,108
prior,135
mark,557
mid-year,6
upward,7
approxim,40
0.10,6
sorri,165
joe,506
ee,182
larri,449
ena,400
assign,47
book,2086
hunter/hou/ect,303
hunter,131
systemat,2
mari,212
clinton,87
monitor,74
sure,452
impact,201
10:54,16
yet,157
onc,221
sign-off,1
peopl,582
rather,101
go,1192
admin,85
gossett,252
10:51,13
mean,196
10:42,12
sara,5
shackleton/hou/ect,1
frank,269
sayre/enron_develop,1
enron_develop,30
St,5
clair/hou/ect,1
cook/hou/ect,22
kim,456
S,619
theriot/hou/ect,294
Is,204
anyon,280
handl,97
energy/e,1
deal,2057
rmt,17
10:39,14
sheri,276
L,406
wallac,102
04/20/2001,9
02:48,1
lynn,133
ruffer/hou/e,5
tim,69
weithman/dub/e,1
scott,552
mills/hou/e,1
ron,133
surwill/dub/e,1
enronxg,1967
veronica,579
lesli,650
09:10,28
espinoza/enron,188
09:03,12
jani,277
aguayo/hou/ect,264
dian,426
anderson/na/enron,305
derek,417
bailey/corp/enron,305
david,1104
baumbach/hou/ect,649
jean,301
bell/hou/ect,265
patricia,347
boulanger/cal/ect,288
bob,498
bowen/hou/ect,297
juli,384
brewer/na/enron,159
campbell/enron,207
celest,299
cisneros/na/enron,244
sharon,402
crawford/cal/ect,288
richard,586
deming/na/enron,224
russel,427
diamond/enron,232
cindi,339
feldman/cal/ect,288
gonzalez/enron,172
walter,314
guidroz/enron,192
keiser/hou/ect,767
love/hou/ect,582
mclaughlin/corp/enron,434
nidia,299
mendoza/enron,200
tom,407
moran/enron,200
bianca,175
ornelas/na/enron,156
reeves/hou/ect,311
tanya,309
rohauer/enron,210
diann,324
seib/cal/ect,288
linda,424
sietzema/cal/ect,288
ellen,355
wallumrod/na/enron,315
melinda,293
whalen/cal/ect,276
tiffani,311
williams/na/enron,288
4/23/01,4
candid,101
ha,1336
He,450
intern,217
spec,12
posit,461
req,31
108798,3
back,578
atherton-,3
energi,522
solut,61
divis,37
previou,62
experi,101
anyway,47
strong,65
excel,104
skill,50
intermedi,7
access,385
base,211
38k,3
plu,39
high,115
40,75
opportun,103
realli,324
imelda,51
trevino,61
human,69
ext.5-2539,9
apolog,57
well,513
win,154
ass,151
probabl,152
ca,269
begin,248
enough,106
tuesday,353
wo,118
offer,475
excus,22
guy,388
central,315
desk,429
hung,16
knew,32
around,232
2:30pm,5
worst,16
realiz,68
done,285
later,237
next,460
disrespect,4
sincer,50
conflict,20
stop,239
player,212
kristi,268
saturday,300
golf,74
draft,26
thought,238
LD,6
good,611
great,340
everyon,264
all-pro,4
type,140
long,291
hard,188
SR,4
best,295
pro,65
12:46,28
10:13,34
4/20/01,4
11:30am,12
ye,142
mom,140
sunday,117
leav,206
yesterday,155
feel,259
older,44
today,487
darnellmo,40
aol.com,1864
04/16/2001,15
07:29:01,7
cgiron,126
kristi.giron,239
cfisd.net,288
nice,55
hear,95
easter,7
spent,32
afternoon,75
yard,139
haul,12
dirt,11
transplant,3
stuff,62
went,148
wed,146
earlier,63
near,54
med,7
thing,304
hectic,12
washington,123
DC,28
april,136
29-friday,3
4,454
detail,316
flight,160
hotel,123
So,210
krtisti,3
keep,246
kid,166
hope,419
04/19/2001,17
dozier,6
cook,93
663029,6
dozier/na/enron,10
09:56,14
matt,139
and/or,176
mar,46
15,222
item,224
0.00000,3
7.20000,3
advis,90
complet,405
5-7213,3
09:44,11
matthew,112
lenhart,13
09:41,11
7.20,3
process,280
activ,151
jeff,388
improv,73
involv,85
actual,160
implic,7
incorrectli,4
recur,9
particularli,20
bad,140
varianc,47
small,121
underli,13
caus,86
care,215
OA,80
group,663
approach,61
prevent,35
identifi,140
easier,24
10:23,16
10:05,13
4/19/01,4
topic,47
greg,346
john,520
russ,99
present,129
reviv,11
brown,301
bag,80
sitara,396
couch,116
valdes/hou/ect,30
martha,31
stevens/hou/ect,50
severson/hou/ect,29
cover,108
concept,22
coupl,83
benefit,69
better,251
mandatori,10
transport,182
deals/transport,3
model,65
relationship,35
tagg,438
metacalc,3
curveview,12
pub,10
td,376
mostli,28
01:16,19
RE,324
