curv,129
option,694
put,291
strike,103
attach,1117
base,387
nov,76
settl,101
socal,29
price,836
spreadsheet,136
10,240
market,486
annual,82
john,2391
use,686
valu,296
ace,6
ahlstrom,3
plant,51
CA,18
10,2000,3
look,510
thi,3606
would,691
cost,173
buy,351
follow,516
four,36
assum,74
financi,433
volum,610
10,000,10
mmbtu/day,6
term,414
2001-2002,4
monthli,34
abov,328
last,378
week,544
got,152
bid,174
phillip,54
0.02,3
0.03,3
basi,228
2001,1853
2002,257
respect,396
We,781
like,554
need,848
updat,215
number,546
calcul,133
quot,194
pleas,2011
time,876
let,617
know,1032
srac,27
border,28
chang,750
mike,281
frank,133
previou,66
email,1149
period,210
indicit,3
today,440
firm,452
tomorrow,126
questions/concern,3
relat,106
deal,816
befor,186
done,156
howev,156
1,801
baseload,20
10,000/day,3
2,485
coal,6
i.e,10
fix,148
index,180
3,425
correl,61
especi,40
dure,229
high,114
volatil,206
4,317
ha,929
vs.,14
proper,8
hedg,142
basic,54
delta,33
ani,2222
question,680
concern,159
My,148
phone,141
713,408
853-6247,34
thank,1329
ga,1467
increas,102
constant,16
10.522,9
pbase,9
gpn,9
heat,219
rate,207
MW,6
gray,22
also,513
ratio,12
formula,16
1.0522,6
cents/kwh,6
mmbtu,68
everi,130
Pn,6
gpbase,6
factor,34
tou,6
eneri,6
2.0808,6
.7067,6
move,197
1.375,6
level,62
revis,80
includ,376
actual,127
daili,294
product,619
mmbtu's/mw,3
way,221
first,303
excel,59
tie,19
aug'00,3
edison,3
natur,325
note,358
differ,384
power,278
result,90
convert,39
10.522/mwh,3
mark-to-market,7
profit,15
So,105
mwh,21
next,316
took,80
/gpbase,3
current,298
1.3975/mmbtu,3
affect,30
summer,19
peak,21
1.4251,3
If,1107
piec,59
/,165
take,323
divid,16
depend,47
decreas,9
correct,92
stay,73
matter,65
call,796
say,184
hi,409
como,3
esta,9
write,99
becaus,173
mess,6
famili,99
hope,349
bodi,22
ok.,27
maricela,9
ang,3
martin,19
alma,3
ryne,6
uncl,17
one,628
well,565
back,316
work,604
PS,26
mayb,81
saturday,81
sunday,69
antonio,27
paez,148
purchas,176
import,154
assist,100
ken,49
toni,24
point,254
help,360
forward,694
11/28/2000,30
AM,1171
wilson,19
regard,398
....,200
river,20
ldc,12
detroit,12
cold,146
roll,35
'll,247
sissingh/corp/enron,3
09:26,3
twilso2,3
bellatlantic.net,3
09:12:35,3
To,2273
sissingh,3
ken.sissingh,3
enron.com,599
cc,642
subject,2023
dear,99
spoke,37
michcon,11
citi,102
gate,5
100,66
connect,58
state,152
nearest,8
gibraltar,3
although,30
transport,131
anywher,27
lose,19
ident,19
mix,12
alreadi,120
pipe,62
panhandl,3
roug,3
anr,16
...........,3
willow,3
run,152
great,274
lake,105
transmiss,58
bell,5
still,297
arrang,100
get,837
pickl,3
invoic,16
mani,119
month,429
draft,135
rick,10
comment,105
heard,44
send,243
initi,70
meet,248
made,161
recent,132
hill,19
darren,10
farmer,5
receiv,755
none.copi,2
earlier,67
serv,30
remeinf,2
griffith,1162
enron,2607
12/18/2000,20
12:38,4
PM,1534
sandi,164
M,140
braband/hou/ect,4
ect,1661
Re,252
tenaska,9
agreement,418
seen,59
stand,44
close,258
come,334
final,157
wait,133
onepass,373
gift,35
earn,120
mile,174
http,2433
//airmail.continental.com/cgi-bin5/flo,102
holiday,96
treat,25
offer,807
free,273
order,614
visit,266
TO,152
e-mail,784
season,39
best,157
luxuri,12
shop,52
experi,47
planet,7
dollar,56
spend,57
ashford,5
stun,7
select,139
watch,41
diamond,18
jewelri,3
sunglass,3
fragranc,3
pen,5
idea,33
sure,231
satisfi,13
everyon,90
list,308
valuabl,24
allow,112
quickli,32
toward,27
trip,26
someon,113
special,92
wonder,95
continental.ashford.com,3
On,74
top,78
enjoy,84
overnight,7
ship,116
packag,39
minut,147
shopper,3
even,172
late,117
2pm,9
cst,34
decemb,319
24,308
deliveri,155
christma,45
begin,143
y=ecpq0rucu0530qbkj,3
enter,203
prompt,23
find,233
perfect,15
condit,138
appli,35
see,947
site,143
detail,133
unfortun,74
mail,230
sent,1314
address,275
BE,55
answer,164
direct,109
inquiri,67
mailto,226
coair.com,69
modifi,95
prefer,101
login,97
account,259
y=ecpq0rucu0530nrh,3
unsubscrib,109
program,222
y=ecpq0rucu0530v7u,3
wellhead,118
90,78
merchant,98
invest,123
corp.,518
st.,242
mari,314
upstream,124
desk,327
18,137
day,995
eric,337
volumetr,18
payment,114
llc,109
provid,454
dedic,21
non-oper,21
hunt,92
oil,264
compani,393
oper,124
myett,66
northwest,79
field,272
north,474
america,494
manag,344
sale,234
nomin,99
could,318
us,270
commenc,40
1/1/2001,18
end,350
6/30/2003,18
b.,21
start,261
11,567,18
per,135
declin,42
defin,40
tab,31
label,19
c.,40
interrupt,35
remain,153
keep,180
whole,63
compon,34
fail,30
show,171
given,95
propos,63
ticket,416
georg,587
x3-6992,145
articl,74
phil,81
veri,322
crude,357
short,112
serc,3
written,117
research,56
websit,184
technic,28
corner,15
talk,344
var,6
peopl,195
hear,58
vpp,288
schedul,331
2nd,16
preston,170
wardle/hou/ect,53
mark,179
nymex,212
x33490,6
12/19/2000,35
10:18,18
castiglion,3
11:49,4
ballard/na/enron,18
joan,236
quick/hou/ect,84
bayless,3
El,138
paso,142
san,38
juan,18
tri,205
lou,16
asap,10
10:20,11
ryan,12
synnott,3
12/15/2000,12
03:22,3
enervest,3
greg,67
model,237
avail,535
n't,658
two,333
colleen,30
sorri,173
delay,51
wed,47
thur,22
20th,16
21st,10
whi,117
1:00,73
either,91
vacat,87
friday,443
met,16
12/13/2000,5
03:02,2
sullivan/hou/ect,10
couch/hou/ect,7
stephani,49
miller/corp/enron,21
moon/hou/ect,68
Ed,65
mcmichael/hou/ect,20
zimin,44
agre,117
column,43
want,520
togeth,100
make,479
parallel,10
fomc,12
meeting.pdf,12
file,619
carr,864
futur,1080
150,345
S.,392
wacker,348
dr.,358
suit,403
1500,346
chicago,361
IL,348
60606,348
usa,388
tel,352
312-368-6149,325
fax,518
312-368-2281,331
sobland,331
carrfut.com,337
//www.carrfut.com,331
elba,66
jeffrey,44
demoes/corp/enron,48
janet,19
R,36
enron_develop,34
discuss,476
shankman/hou/ect,9
doug,33
dietrich/hou/ect,9
breese/hou/ect,12
It,429
decis,88
away,74
arnel,6
shankman,7
jeff,78
le,66
webber/enron_develop,9
view,142
southern,139
anyth,149
03:00,3
demo,13
02:33,6
02:29,4
dietrich,8
11:12,5
gil,12
muhl/corp/enron,6
doe,272
sound,52
near,44
suggest,67
burner,3
focu,21
opportun,107
advis,69
closer,26
formul,4
strategi,14
around,139
10:56,11
10:32,3
fyi,13
10:38,9
10:19,3
gonzal,4
co.,68
sever,108
potenti,67
upsid,3
right,288
island,36
give,223
good,401
indic,129
sourc,307
lng,58
noth,291
commit,64
without,171
consid,324
altern,25
full,90
review,347
within,109
egm,24
asum,3
ena,258
exploratori,3
12/14/2000,17
08:17,9
arnell/enron_develop,6
gonzales/lon/ect,3
sign,135
'd,83
trade,910
elsewher,7
ecp,39
transact,415
P,50
epg,21
minor,46
estim,64
L,50
monet,26
upon,122
reaffirm,9
partner,55
consent,137
complet,466
incent,11
occur,70
500k,6
calpin,18
januari,330
transit,60
servic,511
27-dec,9
congratul,17
team,135
yesterday,109
afternoon,46
concert,10
effort,41
bring,93
mileston,3
agenc,21
senior,29
moodi,3
S,53
announc,111
notif,33
isra,25
certif,17
non-applic,3
new,996
jersey,9
environment,9
accord,27
NJ,18
counsel,26
lebeouf,3
bayonn,12
wish,98
buyout,3
interest,202
rather,49
obtain,38
explicit,3
concur,4
approach,38
grant,41
year,302
reduct,15
b,54
extens,48
22-jan-01,3
maximum,40
though,99
negoti,38
largest,17
advanc,45
certainli,23
earli,102
specif,94
behalf,271
phase,20
attempt,18
inform,909
progress,20
major,56
item,144
summar,3
4q00,3
subnot,15
condor,21
21-dec,3
ecpmemotable_bka.xl,3
fee,66
paid,40
valuat,32
date,484
31-dec,3
quarter,61
ii,17
overal,35
sensit,11
epgofferanalysi,3
12-18-00,3
4q.xl,3
1q01,3
slightli,22
neg,26
associ,60
swap,123
quit,44
possibl,153
realiz,23
better,100
forecast,62
8.50,3
suffici,13
offset,19
expens,69
entireti,3
cabot,261
transco,197
bayou,141
continent,207
land,144
fur,135
terrebonn,147
parish,195
LA,207
facil,191
zone,193
tennesse,122
bob,166
mmbtu/d,123
scott,188
victor,83
melissa,193
long,208
expect,317
80,120
11/27/2000,99
weissman/hou/ect,196
olitsky/hou/ect,66
griffith/corp/enron,214
graves/hou/ect,160
jill,120
T,149
zivley/hou/ect,108
linda,123
roberts/na/enron,102
hall/na/enron,93
shawna,66
flynn/hou/ect,63
corpor,157
turtl,77
58,66
514800,66
kent,73
11,151
28,136
820010,66
La,67
quantiti,74
minu,147
set,287
neal/hou/ect,54
lamadrid/hou/ect,48
robert,126
superty/hou/ect,45
edward,57
terry/hou/ect,45
intend,462
document,246
weissman,104
contract,576
20,165
submit,142
've,179
desk-to-desk,21
14,100,15
18,400,16
sitara,194
Is,84
quantitiy,21
flow,90
communc,21
logisitics/volum,21
instead,88
group,183
respons,143
balanc,47
tenn,38
pipelin,107
logist,22
neal,52
guy,144
nominating/confirm,33
passkey,33
go,724
swing,57
prepar,99
spot,136
intern,228
unifi,48
soon,297
0.01,47
execut,301
paper,83
0.005,54
traunch,54
onli,483
hall,15
reflect,46
six,12
tagg,7
requir,156
addit,245
10:04,13
08:50,9
No,185
yet,100
enfolio,9
modif,26
form,200
await,20
legal,86
depart,98
approv,170
immin,10
reservoir,9
engin,23
offic,450
12/5/2000,9
downhol,9
data,299
reserv,138
11,280,12
14,720,12
commun,153
logistics/volum,9
whatev,31
necessari,74
pool,86
thereupon,9
turn,94
duplic,38
exist,71
function,155
06:57,9
06:26,12
ask,244
confirm,255
second,86
third,63
sell,338
east,207
gener,147
origin,246
applic,132
lamadrid,15
05:56,18
george/sandi,18
nom,48
due,117
11:30,33
thursday,352
morn,236
04:37,21
onc,137
walk,90
system,367
mechan,26
similar,41
manner,50
delet,122
11/28/00,15
10:17,9
04:12,21
olitski,27
11:07,21
dec,130
gave,63
zn3,21
WH,21
+.01,21
IT,80
feeder,21
ste,21
65,40
tenn.,21
zl500,21
-.01,21
els,93
cargo,21
charl,43
deliv,117
heogh,6
galleon,6
june,91
HG,6
tailgat,20
total,147
plan,213
5,190
vessel,3
cm,3
ensur,46
31,50
assumpt,23
load,25
capac,35
2,027,824,3
202.78,3
unload,6
1,780,052,3
sold,29
1,753,351,3
x5,3
life,64
8,766,755,3
06/01/2001,3
01/31/2002,3
244,3
B,62
35,929.3,3
a/b,3
approxim,57
3.6,3
fred,37
vika,17
ross,17
bank,90
moon,55
brazo,120
counterparti,91
lagrasta,9
handl,58
97,6
may,1070
physic,121
side,52
arnold,45
trader,147
known,18
exact,7
reason,304
check,275
06:54,2
dwivedi/na/enron,2
prevatt/hou/ect,2
tim,21
proffitt/hou/ect,8
lagrasta/hou/ect,2
vpp',2
share,63
01/2001,12
12/11/2000,18
crockett/hou/ect,21
11/13/2000,12
As,522
re-negoti,3
significantli,12
studi,18
determin,54
balk,3
tier,4
',468
fourth,10
castex,3
remov,79
accept,167
less,76
flat,10
intiti,3
9,406,3
7,049,3
05/2002,3
9,570,3
7,121,3
12/2003,3
12/20/2000,27
08:01,3
07:37,3
referenc,23
prior,152
re-confirm,6
notion,27
forth,21
memo,10
valid,27
cite,15
request,266
07:26,6
02:11,6
part,118
kelli,43
wardl,15
establish,55
gtc,28
08:31,15
08:03,12
gari,132
bryan/hou/ect,102
difficult,21
701,200,3
296,400,3
2003,9
123,000,3
2004,11
100,300,3
2005,5
41,600,3
2006,7
54,400,3
2007,8
21,500,3
2008,5
2,200,3
statu,63
stonevil,42
book,381
coupl,102
mind,73
info,81
chase,49
follow-up,7
open,164
pushkar,6
on-board,3
contact,671
fleet,15
credit,187
margin,42
broad,7
rehypothec,6
procedur,61
risk,134
dummi,3
chanc,98
teresa,114
bond,46
12/21/2000,21
G,86
bushman/hou/ect,51
joseph,39
mahonia,48
seri,45
X,45
bair,12
earliest,4
conveni,37
G.,45
bushman,39
1400,90
smith,139
street,104
EB,77
3835a,33
houston,479
TX,102
77002,83
853-7895,33
646-3393,69
teresa.g.bushman,54
09:15,3
deffner,27
09:11,3
jeffrey.w.dellapina,27
chase.com,105
shous,45
august,81
ashous,30
velaw.com,75
michael,125
garberding/hou/ect,18
deffner/hou/ect,6
09:10,6
pbair,6
jwortham.com,6
10:07:25,3
joseph.deffn,24
earline.kendal,3
joe-i,3
round,27
V,29
E,85
along,64
330,10
million,80
effect,137
12/27/00,15
recommend,42
sureti,21
philip,6
N.,14
713-346-1378,6
telephon,53
713-520-1260,6
telefax,6
mahoniaxdft.doc,6
pursuant,21
extrins,26
sinc,144
adjust,57
simpl,28
simpli,58
step,60
properli,17
intra-,3
inter-month,3
appropri,43
x35514,3
coordin,18
offici,27
accordingli,46
11:28,3
sheet,89
12/19,3
explain,35
went,114
ahead,58
non,27
He,204
enronopt,33
web,533
stock,91
=20,1114
access,312
=01,348
describ,33
O=,4
ption=20,3
contain,925
highlight,17
program=,3
frequent,24
faq,16
click,509
on=,19
//hrweb.enron.com,8
type,113
browser,22
the=20,36
h.r.=,3
repres,370
presentation=,3
s=20,54
throughout,16
tune,15
comput,129
for=20,6
cook,25
cordial,33
38th,6
floor,191
texa,165
77002-7361,6
345-7732,6
646-3490,6
mary.cook,6
brenda,24
cook/hou/ect,6
06:46,3
06:29,3
chri,119
herron/corp/enron,6
jesu,38
melendrez/corp/enron,24
nora,3
dobin/corp/enron,3
funk/hou/ect,3
onlin,121
entrada,16
assign,68
exhibit,14
assignment/assumpt,3
funk,4
sig,3
page,117
parti,181
home,268
661,3
5521,3
limit,201
reward,45
travel,67
germani,5
redeem,14
dusseldorf,3
20,000,3
save,85
50,116
regular,42
amount,81
seat,79
y=ecra0rucu06f0t6,3
y=ecra0rucu06f0qdjw,3
y=ecra0rucu06f0qdkx,3
believ,345
copi,309
ellen,5
x54099,3
prepay,51
anticip,48
fund,106
lynn,28
28th,14
330,000,000,9
financ,124
upfront,10
2,582,500,9
2,175,670,9
4,758,170,9
cash,90
325,241,830,9
ene,45
versu,34
130,501,9
differenti,26
settlement,47
55,11
2,949,879,9
31864,9
libor,36
12/22/2000,39
lynne/john,6
re-ran,6
funds/deal,6
reconcil,11
5,131,161,6
spread,672
87.5,7
bp,9
2,491,673,6
7,622,834,6
mistak,13
04:16,6
global,71
garberd,21
02:35,6
ruffer/hou/ect,12
mahonia/stonevil,9
travelers.com,6
attorney,34
letter,186
04:51,3
09:41,3
09:45,3
09:42:08,3
mdavis2,3
kemperinsurance.com,3
phinei,3
safeco.com,3
roger.bumgarn,3
stpaul.com,3
f.trifiro,3
thehartford.com,3
julie.alleyn,3
patricia.a.osburn,3
re-draft,3
2000,95
opinion,314
photocopi,3
hand,51
later,143
27,74
milbank,28
milbank.com,84
guaranti,39
rosser,30
dianna,30
drosser,33
blacklin,27
checklist,13
melani,12
In,368
houston_414601_1.doc,6
houston_414342_1.doc,6
houston_414358_1.doc,6
houston_414377_1.doc,6
houston_414393_1.doc,6
recipi,358
notifi,121
04:53,3
'mwilson,15
mwilson,33
'rwight,15
rwight,21
melissa.c.vogel,21
philip.levi,24
'teresa.g.bushman,18
'joseph.deffn,12
version,207
12/15,3
subsequ,22
convers,44
oppos,18
1999,9
rais,27
whether,48
understand,145
relay,3
joe,37
dellapina,3
1.2-,3
1.3-,3
1.4-,3
1.7-,3
corp,76
1.8-,3
enac,15
2.1-,3
2.2-,3
inventori,14
appear,72
1.1-,3
1.5-,3
3.1,3
4.1-,3
3.2,3
4.2-,3
secretari,9
tradit,17
lastli,4
5.1-,3
reorgan,20
group.for,3
exampl,51
1.2,8
1.3,3
1.4,4
1.5,4
1.7,3
1.8,3
2.1,8
2.2,8
plu,58
feel,200
warm,64
J.,41
vinson,18
elkin,18
l.l.p,15
busi,319
section,74
3300,15
tower,21
1001,21
fannin,18
77002-6760,15
758-3688,15
615-5899,15
++++++confidenti,24
notice+++++,24
confidenti,158
and/or,105
privileg,115
individu,97
organ,67
name,328
author,409
herebi,35
dissemin,67
herein,1060
prohibit,109
error,101
immedi,100
sender,103
return,101
fleet.com,171
houston_404948_1.doc,9
houston_404950_1.doc,9
houston_404917_3.doc,6
houston_404914_2.doc,6
houston_404942_3.doc,6
houston_404981_2.doc,6
houston_404983_2.doc,6
houston_404980_1.doc,9
04:54,6
06:12,3
'jeffrey.w.dellapina,9
'melissa.c.vogel,12
'philip.levi,12
'jaime_p_,3
buenaventura,3
'kevin_p_kearn,12
kevin_p_kearn,12
'renee_r_nadl,12
renee_r_nadl,12
'richard_aidala,12
richard_aidala,12
'jill_a_calabres,12
jill_a_calabres,12
'james_r_mcbrid,12
james_r_mcbrid,12
'mark_seric,9
mark_seric,9
'sean_o'neil,12
sean_o'neil,12
enron/mahonia,15
clean,34
6,185
7,106
8,100
houston_418197_1.doc,6
houston_418211_1.doc,6
houston_418317_1.doc,6
houston_418230_1.doc,6
houston_418239_1.doc,6
houston_418290_1.doc,6
houston_418301_1.doc,6
houston_418242_1.doc,6
houston_418249_1.doc,6
04:56,3
malon,3
patti,6
pmalon,3
04:38,6
FW,189
except,56
VE,3
particular,44
provis,20
ad,102
syndic,29
crescendo,12
person,239
everyth,150
quick,100
12/24/00,6
04:35,6
