price,1607
today,1642
seen,655
support,736
close,1582
next,982
resist,513
first,736
cent,442
http,8556
higher,619
still,764
low,763
bull,396
level,568
point,816
trade,1220
thi,4663
market,1216
lower,675
juli,388
E,1061
week,2212
june,343
chart,335
area,565
daili,731
bear,302
2001,1472
futur,628
push,249
recent,302
bar,316
high,607
T,466
may,1204
last,724
gain,295
//news.ino.com/summary/,180
M,413
fresh,141
technic,135
stock,309
come,400
score,283
review,289
R,349
_____________________________________________________________________,420
abov,456
1/2,154
downsid,172
u.s.,261
edg,104
S,437
dollar,229
corn,149
wa,1406
action,212
weather,471
soybean,203
new,1876
much,328
see,678
index,723
odd,78
upsid,129
lie,75
contract,370
sell,190
wheat,173
correct,194
jun,113
inc,278
O,191
ino.com,299
US,174
option,418
If,1149
ani,744
need,914
place,477
meal,86
oil,242
bearish,286
day,1072
occur,100
ahead,209
fed,31
N,239
X,149
K,438
move,343
free,1560
trader,410
befor,327
decis,141
hit,96
sideway,238
key,200
My,194
bia,76
strong,138
momentum,316
4,309
7,216
like,1036
bean,58
right,741
would,1326
gap,109
increas,183
confid,79
n.y.,87
good,450
line,335
follow-through,47
10,520
friday,617
cotton,89
currenc,91
rate,375
credit,167
____________________________________________________________________________,144
jul,104
corp,216
pharmaceut,22
Y,147
P,186
nasdaq,110
opportun,172
system,357
let,781
think,270
big,205
veri,307
everi,300
product,696
C,137
sever,141
past,177
ralli,239
solidli,27
rebound,108
oversold,54
feeder,21
bit,86
loss,197
bottom,129
rang,134
report,1145
consolid,157
grain,62
3/4,73
anoth,281
scare,29
even,203
hot,18
forecast,359
go,571
advantag,103
left,361
revers,198
confirm,262
wednesday,471
slight,51
sugar,96
uptrend,104
',1616
significantli,15
insid,187
far,150
around,208
near,440
lumber,51
expect,747
volatil,35
base,216
copper,71
choppi,56
gasolin,81
natur,292
ga,1011
ha,1526
fall,171
100,395
FX,56
//news.ino.com/press/,126
U,132
2002,330
subscrib,376
visit,465
servic,393
//www.ino.com/,83
industri,149
500,120
climb,37
ooo,6
win,163
best,252
news,206
approach,57
profit,255
take,647
deriv,12
profession,39
never,129
//store.ino.com/sale/1e78a/twodn-odd,6
made,201
favor,55
object,46
stori,81
early-april,30
n't,951
dramat,16
cattl,90
condit,108
acceler,29
downtrend,116
control,85
basi,324
22,80
