legal,3055
enron,8802
train,243
trade,3337
includ,2647
form,1046
power,4511
contract,2556
ena,575
develop,1614
risk,2977
websit,412
busi,2991
sale,785
eei,119
master,511
industri,1682
cost,1088
increas,1100
new,5091
rate,1731
ew,219
issu,2927
reduc,431
onlin,510
project,1333
across,369
energi,4369
work,2199
My,243
accomplish,102
year,2896
2000,1413
follow,1644
1,1353
led,185
first,1344
rapidli,59
becom,689
standard,833
north,808
america,897
process,1005
dramat,103
lower,268
liquid,344
In,2619
octob,697
put,662
place,833
PG,447
E,2692
result,993
credit,2489
exposur,374
50,000,000,3
less,447
prior,355
2,1208
methodolog,46
implement,492
system,1878
simplifi,30
review,1683
make,1835
much,835
easier,61
determin,466
whether,1010
appropri,427
compens,166
3,828
ha,5913
gone,68
live,158
regard,2233
major,679
thi,10776
avail,1357
employe,910
4,763
integr,311
part,871
structur,621
bandwidth,178
equiti,607
clickpaper.com,9
insur,573
pulp,38
coal,263
japan,360
australia,276
5,547
litig,748
settlement,361
mani,1018
disput,452
settl,126
favor,190
fort,16
jame,539
california,1942
Px,7
tva,33
bpa,194
6,464
deal,1423
machin,38
never,168
stop,122
lot,299
complex,211
cut,235
multipl,131
disciplin,44
MG,222
metal,338
la,49
vega,28
cogen,20
II,252
pastoria,14
peaker,29
hpl,9
electrobolt,13
JV,3
texaco,28
bridgelin,11
post,283
agreement,2045
east,148
coast,59
QF,22
restructur,602
like,2244
motown,5
summer,289
intern,1460
asset,1195
7,340
deregul,461
coalit,28
isda,2027
washington,359
offic,1735
pass,422
legisl,476
significantli,98
cftc,269
oversight,77
8,373
manag,2380
built,77
deal-ori,4
team,698
understand,545
underli,149
share,870
technolog,580
auction,253
bid,431
C,268
term,963
purchas,828
success,498
document,1296
approv,1116
would,5672
alberta,285
approxim,349
ppa,390
balanc,289
pool,351
qualif,72
need,2383
US,821
thanksgiv,37
us,1365
rule,1470
requir,1743
deposit,203
entir,208
posit,1121
mark,6808
mention,249
plan,1726
B,371
schedul,1273
nov,103
29/00,12
canada,836
one-year,40
three,690
300mw/year,10
130mw/year,10
65mw/year,10
unsold,12
capac,514
revert,30
back,974
last,1507
august,293
friday,717
thursday/friday,11
want,1347
awar,267
ani,4300
corpor,1342
obtain,395
firstli,24
derek,93
