=20,22170
enron,10665
loan,279
juli,517
call,2883
relief,297
pleas,3989
gift,69
thi,9348
inform,3381
donat,174
earthquak,48
match,81
hotel,143
prize,48
offer,682
flood,156
blood,72
join,391
bowl,24
help,1437
event,588
ext,120
peru,18
If,2466
In,1827
lobbi,141
two,1361
field,256
monthli,156
efcu,33
appli,297
drive,359
enron/mda,18
beach,141
al,133
3rd,71
held,237
great,226
time,3324
rais,671
doe,1248
for=,245
make,1931
power,8036
highland,24
saturday,230
ha,4983
peopl,1290
provid,1814
houston,702
dollar,334
t=,646
o=20,370
click,301
give,707
enron=01,66
prefer,169
vendor,95
10,802
build,558
tuesday,1113
10th,15
in=20,339
chanc,190
see,1413
win,133
includ,2154
night,173
packag,104
winner,30
andrea,217
employe,603
purchas,1058
ticket,225
select,174
game,102
hous,294
african,9
art,120
park,220
travel,240
club,207
meet,1611
credit,497
union,171
fix,242
apr,60
pay,1656
auto,60
term,487
90-day,24
No,1832
payment,568
anytim,39
type,157
e-mail,4774
enron.com,33564
must,766
renew,253
continu,977
center,1041
thursday,535
catch,29
wave,41
us,899
strike,61
blow,65
annual,207
year,1368
14th,22
palac,6
lane,21
bellair,12
come,722
money,709
lou,21
gehrig,9
diseas,18
research,234
It,1627
n't,2842
matter,331
50,351
300,77
long,483
have=,81
fun,72
lindsay,33
mead,67
34551,9
geriann,45
warner,47
35036,6
fund,511
begin,549
reconstruct,9
devast,21
the=,1134
southern,711
region,589
andean,6
last,1454
8.1-magnitude=20,6
recent,536
upgrad,219
quak,9
categori,49
-=,683
accord,403
u.s.,249
geolog,12
survey-,6
trigger,75
a=20,682
tsunami,6
crash,30
seaport,6
town,52
camana,6
destroy,50
houses=,6
death,42
toll,48
Up,63
left,275
100=20,12
dead,29
1,374,6
injur,15
47,696,6
homeless,12
lost,228
their=,54
home,405
forc,561
sleep,12
ground,196
frigid,6
andes=20,6
tent,78
armi,33
organ,385
n=,60
ot=20,30
suffici,117
insul,17
winter,72
