pleas,464
If,277
email,317
http,277
//www.enerfax.com,6
today,97
ga,332
power,150
price,179
news,30
version,35
subscrib,32
see,138
15,59
second,20
go,149
doe,66
support,98
thi,913
web,62
free,167
text,17
write,15
enerfax.com,6
visit,40
websit,19
view,42
click,201
deal,126
nng,25
var,29
physic,52
posit,54
termin,11
risk,86
activ,59
daili,71
TW,177
rmtc,5
chang,197
energi,192
valu,68
caminu,43
system,127
previou,13
financi,54
40,31
P,35
L,31
thousand,57
et,68
0,20
earli,25
agreement,53
contract,95
current,109
mtm,14
liabil,7
net,39
paso,19
76.5,6
decemb,106
2001,432
owe,10
zainet,29
index,46
includ,148
unhedg,15
enron,270
corp,30
polici,49
summari,26
data,49
20dec2001,1
71,6
98,4
0.5,2
2.2,1
1,533.8,2
492.1,1
margin,17
account,49
decreas,9
isda,1
effect,43
12/14/2001,1
increas,65
becaus,48
yet,12
replac,18
limit,44
1,000,000,7
compani,164
counter,5
parti,87
asset,33
20dec01,1
EL,3
market,241
18,337.6,1
20,632.1,1
2,294.5,2
2,259.2,1
35.3,1
reliant,6
servic,164
75.2,1
1.3,2
transcanada,3
22,687.4,1
22,067.1,1
620.3,2
620.2,1
0.1,1
grand,3
total,41
45,858.9,1
42,699.2,1
3,159.7,1
3,193.6,1
33.9,1
El,21
close,48
18,41
fair,7
2.3mm,1
fix,8
receiv,215
date,63
14,25
except,6
interest,151
4.8mm,3
33.9mm,3
amount,27
past,28
due,65
definit,7
model,34
form,40
i.e,12
anticip,23
fuel,17
sale,71
standard,26
transport,46
storag,55
natur,98
mark-to-market,11
valuat,11
track,20
origin,43
side,20
hedg,21
along,37
ani,390
specul,13
trade,42
float,17
defin,17
maximum,35
expect,57
one,166
day,216
loss,40
portfolio,11
given,36
95,13
statist,17
confid,24
interv,11
number,112
calcul,20
use,248
varianc,11
covari,11
methodolog,13
rather,16
mont,11
carlo,11
simul,11
per,82
judgment,38
8,30
collect,51
judici,15
call,307
us,159
purchas,49
un,5
We,310
state,72
citi,23
2,110
5,68
ye,15
acquaint,3
Un,2
find,75
help,123
money,77
court,19
right,76
strong,22
acquir,9
area,71
J,13
T,6
C,13
largest,5
firm,33
world,35
special,57
toll,20
1,148
4,86
6,55
e,35
process,55
455,2
million,98
dollar,32
worth,8
unit,36
alon,6
associ,87
offic,69
virtual,24
everi,59
US,31
foreign,7
countri,16
noth,7
lose,8
everyth,22
gain,8
absolut,7
cost,125
reach,33
24,42
hour,44
thank,278
time,253
ad,66
produc,37
sent,314
U,3
n,15
v,3
r,13
l,7
S,5
To,429
taken,18
mail,169
list,110
tammismith,1
freeze.com,1
take,119
subject,310
line,65
give,68
address,175
ebn,1
1st99,1
get,208
n't,143
Ca,4
100,46
It,97
remov,115
mass,4
without,42
isp,2
Do,46
know,203
product,133
traffic,2
site,96
1-877-293-1511,1
plenti,1
fresh,14
verifi,13
name,78
result,48
discount,14
larger,2
order,199
200,25
500,16
650,1
1250,2
easi,28
simpli,40
furnish,1
messag,379
rest,1
guarante,23
deliveri,50
even,54
done,16
full,45
color,12
extra,14
notic,38
hit,7
repli,34
type,33
viagra,6
onlin,46
No,64
relat,44
MY,2
lowest,10
usa,7
opt-in,9
TM,2
Is,19
breakthrough,4
medic,10
ha,211
restor,6
enhanc,18
sex,10
live,30
men,8
women,16
avail,149
deliv,11
via,21
fedextm,2
home,69
found,14
anywher,9
conveni,9
afford,9
confidenti,51
appoint,11
wait,24
room,37
embarass,1
offer,147
onli,137
fda,2
approv,36
pfizer,1
consult,12
mention,12
On,24
internet,100
perfect,13
experi,35
revit,2
life,28
immedi,24
enron.com,108
format,16
firstname.lastnam,5
global,52
technolog,21
necessari,21
make,198
begin,39
week,112
commun,41
outlook,21
arrang,12
import,43
send,80
busi,152
card,53
decommiss,3
non-standard,2
detail,50
come,64
regard,69
cut-off,2
longer,14
lotu,2
note,63
question,121
enron.messaging.administr,11
administr,22
employe,52
firstnam,2
lastnam,2
refer,21
non-support,2
need,185
contact,90
appear,17
alan,3
smith,12
robert,102
updat,44
earlier,9
announc,43
plan,120
As,65
wa,169
first,68
sever,54
group,65
continu,61
provid,133
signific,24
environ,10
work,135
toward,12
januari,46
2002,85
follow,129
firstname.middleinitial.lastnam,1
middl,5
initi,24
understand,19
-origin,263
announcements/corp/enron,1
behalf,6
mon,1
10/15/2001,1
9:15,1
PM,183
worldwid,4
Cc,109
onc,15
effort,17
complet,56
ect.enron.com,1
ei.enron.com,1
abbrevi,1
acronym,1
altern,18
and/or,25
must,41
start,61
alreadi,33
new/exist,1
applic,67
rememb,25
also,114
notifi,11
extern,5
determin,24
space,16
period,57
append,1
exampl,5
robert.alan.smith,1
reflect,16
ensur,7
test,16
confirm,24
prior,23
issu,97
resolut,17
center,63
meanwhil,1
imper,1
particip,79
cooper,6
attach,187
weekli,18
report,114
octob,217
19,54
let,145
jan,33
moor,25
713-345-3858,2
document,36
post,56
bid,53
inform,231
would,272
fax,124
script,6
hand,15
look,80
review,105
like,166
counterparti,3
ident,5
capac,121
packag,34
procedur,32
either,18
explain,7
3,107
custom,90
tobi,9
gone,7
late,19
whether,28
open,56
season,42
advertis,31
dec.,11
01,5
calendar,23
'02,3
'03,3
kevin,38
lorrain,53
TK,68
susan,22
anyon,40
dogfight,3
BP,4
sure,34
arm,4
much,55
relev,12
possibl,58
demonstr,9
rule,22
DF,11
lindberg,52
back,55
two,61
month,113
pertain,2
2000,19
3:19pm,2
fossum,34
drew,42
tuesday,97
16,31
11:48,2
AM,117
kuehl,4
watson,106
kimberli,100
