work,870
order,244
j00136,3
ha,1028
set,188
gulf,6
coast,12
oper,441
Co,24
584,3
accumul,4
signific,102
pocket,8
cost,686
associ,217
elba,13
project,901
approv,573
overrun,18
amount,163
plan,663
level,284
et,639
author,101
obtain,84
appropri,140
includ,536
capit,276
must,150
anyth,108
expect,144
origin,188
go,477
new,740
total,147
.2mm,6
presid,120
gpg,118
ceo,57
rod,2632
per,222
discuss,634
recent,138
've,116
draft,193
languag,25
guidelin,26
event,107
initi,167
onc,79
whether,85
spend,76
limit,189
If,799
proper,16
prior,108
expend,5
commit,87
In,474
case,233
spent,50
without,85
addit,419
To,2495
determin,153
need,1366
add,128
section,68
ie,25
identifi,146
exampl,70
wa,779
1.8mm,9
howev,213
1.9mm,3
It,335
exce,8
decis,154
made,182
enron,5002
offic,360
chairman,49
pleas,1656
see,471
attach,781
find,187
model,218
leverag,30
capac,85
ani,1157
question,592
give,248
call,510
3-6103,3
ben,53
item,208
review,673
thi,3829
write-off,8
2000,667
possibl,253
spreadsheet,54
balanc,92
sheet,88
due,233
follow-up,9
effort,210
potenti,131
util,112
avail,301
non-recur,13
earn,96
corpor,297
2nd,36
quarter,104
notehold,16
report,746
detail,241
breakdown,20
We,962
schedul,366
candid,61
confirm,267
big,67
alreadi,150
reg,4
asset,285
south-end,3
impair,13
reserv,145
remind,48
us,502
dot,25
safeti,70
user,131
fee,137
decemb,313
1.1mm,3
1.5mm,13
annual,85
payment,89
mobil,14
1/1/2001,6
would,1627
charg,206
expens,188
2001,1825
could,446
probabl,174
acceler,17
much,205
visibl,6
karen,89
believ,216
simpler,6
analyz,22
field,49
personnel,56
jame,806
s/enron,807
O,170
M,255
1998,24
elain,94
file,469
cc,966
subject,2387
varianc,32
PM,1529
like,704
split,24
concklin/et,30
1999,49
11/06/2000,63
recur,8
vera,14
histor,32
revenu,157
AM,1348
Re,439
y2k,9
harri,146
reflect,53
11/01/2000,27
04:39,9
apodaca,6
also,573
back,296
hayslett,1409
want,482
variabl,21
pay,102
G,74
shift,17
explan,19
concklin,28
hayslett/fgt/enron,549
traci,302
bob,341
chandler/et,80
year,787
methodolog,52
tabl,69
onli,314
walters/et,24
treat,36
increas,187
deferr,34
chang,427
3.5mm,5
data,569
sub-tot,2
'll,154
market,390
categori,39
help,508
far,59
11/07/2000,24
06:41,12
fix,59
themost,2
forecast,112
obviou,16
reclass,4
vs,9
compar,59
somehow,7
usabl,2
suggest,145
put,141
one,524
bucket,7
avoid,51
around,119
side,99
get,737
broken,9
north,69
south,37
offshor,6
06:43,6
geaccone/gpgfin/enron,70
n't,463
issu,569
truli,13
increment,28
numer,14
philosophi,2
regard,351
versu,21
attempt,51
1993,2
make,464
consist,78
inform,780
send,261
revis,109
incom,88
statement,152
becaus,154
04:59,4
thing,88
realli,64
matter,60
recurring/non-recur,2
11:33,11
apodaca/et,2
henri,20
baker/et,5
steve,307
kleb/et,2
decreas,13
direct,170
nng,288
.4mm,2
TW,232
doe,253
effect,173
ibit,33
forward,815
11:14,8
biggest,15
portion,29
part,190
4.6mm,2
kent,65
price,291
structur,188
2002,198
prepar,141
describ,27
two,313
deal,315
move,321
and/or,120
take,388
advantag,28
near-term,3
drop,50
strip,29
anxiou,3
feedback,125
lock-in,3
yet,130
week,435
remain,121
favor,26
timeli,3
essenti,13
dan,175
fancler,57
write-up,22
account,569
consider,43
memo,105
ask,301
comment,232
appreci,119
info,119
valu,269
tab,37
greg,105
gruber,13
volum,87
discount,42
contact,398
As,297
background,36
tangerin,6
request,534
trading.xl,3
show,69
administr,107
El,50
paso,51
suppli,46
provid,638
rel,46
11/1/00,3
6.5,4
list,414
birmingham,3
titl,33
pannat~1.xl,3
financi,277
swap,20
amoco/pan,3
nat,6
adjust,68
factor,35
simpli,60
cell,128
b50,3
label,18
feel,225
free,170
713.853.6186,3
email,487
address,255
abov,222
pretti,22
confus,17
fyi,243
excel,91
updat,213
link,86
say,85
NO,11
freak,3
understand,216
worksheet,30
muni,3
prepay,15
affect,37
northern,142
bottom,23
line,148
thank,1162
phone,262
messag,1690
look,390
net,94
margin,54
x7176,3
dcf,17
analysi,147
save,70
No,104
consid,135
My,107
analys,9
exchang,53
1-3,3
0,47
0-2,2
mayb,45
ad,87
depreci,54
tax,143
cynet,5
OK,66
except,63
cash,246
flow,111
less,45
amort/depreci,2
10:30,8
deni,105
tu/fgt/enron,33
david,347
rosenberg/fgt/enron,18
centilli/et,42
10:33,6
rudi,7
sutherland,2
ect,451
09:15,2
michael,360
K,36
patrick/na/enron,9
chri,18
behney/corp/enron,2
mcauliffe/corp/enron,2
deborah,36
kelly/enron,2
enronxg,76
gentlemen,15
capm,5
use,699
crystal,5
ball,7
add-in,5
perform,207
mont,23
carlo,24
simul,22
first,226
workbook,16
x39946,5
hope,227
valid,31
offer,206
refin,23
assumpt,66
advanc,41
RS,50
site,132
ca,57
rememb,34
got,65
url,25
flash,5
program,347
sit,30
watch,17
map,33
relat,245
lot,102
peopl,242
time,772
hand,54
wish,63
luxuri,5
cvb,33
http,416
//dossier.enron.com/intro.htm,3
morn,111
omaha,96
holiday,197
parti,162
friday,346
follow,532
tent,16
departur,19
servic,832
present,129
good,218
note,311
shuttl,4
8th,21
happi,71
hollow,6
club,10
4:30,8
p.m.,77
houston,446
8:30,25
a.m.,54
saturday,83
hotel,67
room,192
secur,146
attende,41
6:30,5
cocktail,6
7:30,13
dinner,5
ballroom,6
8:45,7
introduct,11
awarde,3
via,80
powerpoint,5
9:00,29
danc,15
mr.,61
cord,28
gener,258
etc,180
award,44
dress,12
festiv,9
advis,120
men,12
wear,11
suit,17
sport,3
coat,5
accept,92
x33597,11
financ,314
