sara,600
713,954
pursuant,118
shackleton,401
request,401
attach,1270
memo,30
prepar,201
april,14
2000,36
regard,366
procedur,23
open,226
brokerag,124
account,445
pleas,1732
hesit,78
contact,577
either,131
x35620,4
ani,2289
question,483
mari,3316
heard,1734
senior,292
legal,815
specialist,267
enron,2897
north,578
america,642
corp,382
phone,490
853-3907,233
fax,971
646-3490,328
marie.heard,501
enron.com,1887
isda,965
ha,433
list,380
outstand,42
deem,67
counterparti,379
Hi,256
bianca,34
francisco,200
pinto,155
leit,154
ask,163
give,105
mexican,9
send,485
still,95
comment,421
receiv,867
return,86
sign,400
copi,823
thank,1641
atl,8
NA,61
sara.shackleton,90
06/05/2001,3
AM,987
alterson,6
author,283
trader,26
file,662
corp.doc,4
OK,22
outsid,15
cassandra,35
corp.,995
1400,253
smith,275
street,221
EB,136
3801a,5
houston,470
texa,268
77002,161
713-853-5620,5
713-646-3490,30
forward,489
shackleton/hou/ect,4
11:39,4
thoma,20
P,24
alterson_thoma,2
jpmorgan.com,2
11:18,4
To,2041
cc,114
subject,2062
would,595
We,693
updat,180
notic,72
miss,45
form,364
see,341
tom,279
monument,31
sheila,152
tokley,12
monumentderivatives.com,8
term,275
busi,439
201543.doc,3
201544.doc,3
inform,486
intend,753
sole,169
execut,649
broker,98
agreement,2238
credit,897
lyonnai,10
ect,252
invest,288
inc,97
call,358
-origin,1830
messag,2276
jacquelin,6
jtokley,6
mailto,451
imceanotes-jacqueline+20tokley+20+3cjtokley+40monumentderivatives+2ecom+3e+40enron,2
sent,2054
monday,437
septemb,254
17,52
2001,2092
10:58,2
glover,75
convers,37
E,124
mail,122
name,236
new,497
entiti,454
togeth,102
cover,215
letter,218
shortli,17
jacqui,4
thi,2607
internet,53
e-mail,958
confidenti,410
addresse,13
access,81
re-us,2
anyon,203
els,182
unauthor,7
view,66
opinion,31
present,29
necessarili,4
repres,39
deriv,37
affili,372
If,782
recipi,836
postmast,2
equiti,53
market,340
metzler,12
clear,29
transact,289
expand,8
trade,660
european,16
along,37
increas,19
special,76
foreign,47
plan,43
capit,92
purpos,127
order,177
flow,11
specialti,1
italian,1
current,183
document,584
requir,161
exist,63
primebrok,10
goldman,143
morgan,101
stanley,51
bear,89
stearn,60
In,195
addit,134
pariba,56
milan,2
theresa,54
RE,611
provid,232
financi,289
anyth,256
inc.,699
mani,65
repli,235
within,27
group,197
also,320
avail,72
detail,37
sheila.glov,18
wholli,3
subsidiari,55
statement,55
prime,66
may,667
use,762
contract,504
Do,161
share,18
relationship,50
thursday,394
27,82
1:01,2
PM,1284
clarifi,14
us,351
function,3
corpor,339
brochur,2
explain,24
role,6
25,91
14:21,1
Cc,713
kimberley.hopley,1
depart,87
fortun,9
100,111
compani,713
readili,1
web,33
publish,2
sourc,30
doe,155
issu,140
separ,24
sach,110
intern,158
london,263
threlfal,1
207-552-5068,1
NY,158
joe,62
marovich,15
212-762-5227,1
need,750
imceanotes-jacqueline+20tokley+20+3cjtokley+40monumentderivatives+2,1
com+3e+40enron,1
tuesday,415
18,51
2:12,2
could,230
record,35
latest,26
fit,12
arrang,65
assist,203
16:58,1
'sheila.glov,1
enron.com',8
properti,168
and/or,222
relev,161
contain,213
privileg,343
materi,165
review,472
distribut,234
disclosur,155
strictli,157
prohibit,154
sender,237
enron.messaging.administr,150
delet,303
hereto,190
offer,205
accept,352
creat,181
evid,149
bind,147
enforc,179
parti,367
reli,150
basi,175
estoppel,146
otherwis,212
two,199
futur,82
wednesday,390
05,99
hopley,16
kimberli,52
like,256
+44,18
0,36
20,98
7783,12
come,90
back,252
offic,338
msdw,13
gsi,38
option,65
carr,12
given,66
jacki,6
207-3385740,4
4:05,6
lowri,44
donna,58
schultz,21
bradford,76
william,316
S.,131
hickerson,24
gari,45
towarek,7
michael,94
FW,419
relat,162
util,56
research,25
7:27,7
brogan,48
T.,131
charania,11
aneela,13
mike,58
follow,366
institut,14
set,133
ltd,66
11,121
old,67
jewri,6
ec2r,6
8du,6
andi,20
ash,6
robert,68
green,13
0207,9
338,6
0825,6
gross,7
gallustrass,6
60311,6
frankfurt/main,6
germani,7
daniela,9
tresin,7
0039,6
02,83
777,6
1552,6
signatur,143
want,317
let,609
know,814
side,57
tel,187
2644,6
1913,6
email,742
kimberly.hopley,6
deutch,7
SS,8
MH,3
thanks.sg,3
octob,674
01,72
9:13,6
deutsch,19
bank,114
longer,25
presenc,2
coverag,8
wherea,5
fulfil,2
competit,8
rate,54
FX,24
chase,35
user,48
netmatch,8
shane,8
person,101
clair,268
tracey,6
tommasini,6
7777,6
dallmann,4
claire.burley,4
chase.com,7
burley/chas,4
18/09/2001,4
electron,41
schedul,429
manhattan,20
print,45
2,246
settlement,28
instructions.doc,4
usual,19
one,358
assum,68
24,70
8:45,4
JP,7
onlin,23
system,250
get,412
befor,123
correct,51
17:36,2
17:35,3
13:37,2
4880,2
number,160
4758,2
shane.dallman,2
anna,11
bell-booth/chas,2
At,41
burley,2
find,173
chasefx,2
servic,512
singl,19
note,276
edit,11
complet,210
address,187
locat,124
page,91
five,20
well,173
design,12
organ,28
hard,69
attent,40
125,2
wall,71
ec2i,2
5aj,2
unit,60
kingdom,3
incumb,18
certif,71
secretari,17
andrew,43
hamper,2
1803,2
1,264
US,49
law,63
.doc,190
service.doc,2
3,170
terms.doc,2
4,75
users-singl,2
trade.doc,2
5,115
6,73
kelli,44
confirm,432
summer,4
info,54
06,96
laurel,20
ub,5
max,54
+1,5
203,8
719,3
adam,19
paperwork,45
modul,8
go,297
http,79
valeri,2
confirmations.pdf,2
sever,49
written,25
involv,71
10:56,8
site,27
work,389
network,46
consist,11
etc.,20
10:25,11
start,40
verbal,2
confim,1
littl,37
ID,44
password,6
etc,35
squir,1
enter,69
mark,254
agre,115
It,269
sound,26
veri,108
interest,85
think,166
valerie.lambelet,1
ubs.com,1
imceanotes-valerie+2elambelet+40ubs+2ecom+40enron,1
9:55,5
As,169
per,146
enclos,17
tool,5
url,2
abl,73
look,242
//www.ubs.com/e/cc/keylink/modules/confirmation.html,1
feel,53
free,275
lambelet,1
manag,71
keylink,1
sale,62
support,187
helpdesk,2
3800,4
direct,83
3283,1
5510,1
//www.ubs.com/keylink,1
convert,48
book,65
ena,469
arbitrag,32
report,53
13f,13
sec,33
move,94
year-end,6
long,34
includ,185
whether,41
transfer,65
wa,521
effect,73
1qtr2001,2
done,80
',134
rather,21
GS,23
9:12,3
chanc,24
farzad,3
say,80
matter,66
xxx,2
import,190
thing,75
thought,64
though,19
chang,387
agent,46
limit,230
behalf,44
3:00,9
strongli,2
My,57
concern,55
disclos,23
certain,34
posit,80
merchant,46
portfolio,6
put,86
200,000,2
sure,135
much,88
actual,37
total,20
continu,48
calcul,15
base,39
upon,63
select,13
origin,264
assign,361
assumpt,26
1:08,9
farhangnia,1
sensit,12
06/06/2001,6
add,91
afternoon,54
11:44,1
11:31,3
take,166
hate,10
pest,2
midst,1
audit,18
right,109
pressur,4
time,354
12:18,11
link,46
currenc,24
on-lin,4
master,1703
extend,5
major,17
partner,62
11:30,13
grice,10
regan,10
douka,137
first,151
union,28
secur,197
704-593-7032,10
anoth,68
guy,42
anticip,23
urgenc,15
way,193
regan.gric,5
funb.com,10
11:10,6
clearanc,18
mr.,105
On,34
act,35
client,16
kind,71
greatli,15
appreci,73
704-593-7024,5
onc,82
best,107
1-800-735-1470,5
704-593-7278,5
151.doc,5
03,55
databas,61
csfb,63
onli,230
n't,520
eci,33
nexist,1
modifi,18
prior,51
altern,13
process,130
turn,44
unsettl,2
push,6
quickli,12
1:33,10
found,29
lean,1
settl,1
cut,8
help,231
patienc,16
1:29,1
1:06,5
problem,74
guess,31
wait,56
produc,27
12:57,3
error,182
awar,24
spoke,49
12:15,5
gone,23
pend,17
co=enron,3
advis,128
wholesal,142
eb3801a,56
TX,161
Ph,85
853-5620,55
fund,84
ben,6
tim,18
withdraw,3
fastow,5
glisan,5
despain,4
june,68
letterhead,1
individu,48
draft,375
someth,38
signatori,18
exampl,7
cours,27
jill,2
goe,10
lettter,1
instead,28
rout,10
good,113
relianc,9
gs.com,176
daniel,91
arbitr,75
liabil,63
daniel.harri,73
PB,47
languag,100
conflict,57
english,36
court,47
amend,246
par,31
propos,124
harri,35
osla,26
rule,31
gener,126
A3,22
believ,181
claus,42
respect,93
final,236
kara.saxon,29
talya.gordon,29
hear,90
polici,27
non-prim,14
adequ,14
remain,36
