happen,67
bad,45
deal,122
Or,26
mayb,22
rumor,5
quit,14
pleas,616
get,400
stock,121
straighten,1
next,113
day,379
ye,37
go,303
scott.hendrickson,88
enron.com,161
GA,3
right,127
trip,52
vega,28
could,97
call,272
dumbass,1
californian,6
turn,58
-origin,33
messag,184
mailto,68
sent,87
tuesday,81
decemb,15
12,85
2000,72
1:07,1
PM,783
To,398
bruce.s.gr,14
lmco.com,13
subject,130
Re,15
let,46
dog,38
're,89
ok,11
n't,350
know,156
california,27
thi,954
palmdal,1
scott,260
hous,93
outsid,44
would,175
paid,20
problem,74
sell,46
come,177
sweet,16
back,206
it',19
valu,32
price,201
love,86
300,000,6
US,50
ha,389
ca,48
believ,33
put,68
100,66
time,610
soooo,8
difficult,10
end,121
disciplin,2
face,23
think,112
lack,4
understand,45
barbara,6
terribl,10
kind,28
thing,81
haunt,4
sale,94
john,71
woman,9
never,60
came,32
tell,54
rais,35
tax,43
roseland,2
2001,539
231,000,2
joke,3
sure,49
purchas,111
contest,5
win,62
onli,185
190,000,2
fair,8
montros,6
whi,39
abl,49
buy,76
place,110
cheap,9
land,19
cost,85
alon,10
anoth,40
finish,27
incred,25
armin,87
small,55
one,280
bedroom,5
apart,16
150,000,3
check,155
evid,4
bought,5
peak,3
'd,37
guess,23
stay,54
landlord,2
busi,240
We,264
sign,78
new,791
tenant,4
hope,114
've,76
'm,106
realli,79
sorri,23
situat,10
els,27
Oh,9
lust,2
left,45
everyth,51
move,67
germani,20
throw,5
life,46
difficulti,7
mom,41
mdanderson,2
canadian,8
sold,19
nation,106
fuel,33
desk,70
june,401
nx1,16
.235,2
volum,51
9189,2
per,115
ticket,180
782980,2
kimat,2
forward,67
book,87
admin,2
....,279
trulli,3
No,710
offic,156
home,288
look,156
veri,78
Do,103
hang,7
hard,41
may,677
seem,25
work,242
conni,35
-urspr_nglich,8
nachricht,10
von,11
gesendet,10
donnerstag,4
10,177
mai,2
17:05,2
An,44
scharnberger-armin,16
t-online.d,21
betreff,10
sooo,6
must,69
got,86
second,48
rayfael,38
broke,7
last,145
night,87
unrel,4
dow,82
jone,98
interact,83
train,125
eb564,20
esourc,62
present,127
2:00,6
3:00,38
seat,91
ID,51
http,1434
attend,55
personalizing/custom,2
dji,2
custom,155
clip,13
clinic,32
april,119
27,22
1:00,11
4:00,10
fill,67
fast,48
reserv,155
stephani,28
E.,36
taylor,38
5-7928,28
25.00,11
person,109
show,89
charg,79
50.00,16
bring,99
login,20
password,63
If,379
guest,47
provid,203
page,109
//esource.enron.com/training.doc,28
addit,101
session,93
vendor,31
//esource.enron.com,29
=20,1000
enron,995
eye,51
innov,45
futur,97
commun,78
mind=01,16
mad,14
celebr,91
name,124
compani,265
year,238
mind,28
import,50
lobbi,19
friday,230
27th,19
activ,190
requir,99
=01,608
2020,8
dr.,49
peter,20
bishop,12
ami,18
3:30pm,10
the=20,37
environ,238
explor,44
art,93
is=20,8
motorcad,12
1:00pm,28
convoy,17
visit,252
d=20,29
inform,418
introduc,11
synonym,3
innovative=,3
america,87
6th,11
consecut,8
fortun,5
magazin,46
inspir,20
this=20,3
find,149
view,57
highlight,19
advanc,43
technolog,81
enro=,15
n=20,26
week-long,5
take,163
build,158
duri=,6
ng=20,18
lunchtim,5
24th=20,3
detail,141
follow,123
via,51
e-mail,305
etv,5
sever,76
relat,25
afternoon,83
workshop,23
plan,72
that=,4
list,173
imag,1362
oberg=20,5
24th,5
1:30pm,5
join,110
oberg,11
ee,98
chair,23
professor,24
univers,52
houston,387
program,256
imagin,18
tool,56
util,47
to=20,32
consid,27
enron's=20,3
characterist,12
cultur,28
world,104
will=,13
also,174
might,26
play,51
paint,9
experi,64
mr.,24
stewart,5
cubley=20,5
thursday,142
26th,7
5:30pm,5
artist,20
knowledg,20
simpli,39
particip,137
uniqu,28
support,149
process=018,5
creativ=,5
iti,6
and=20,19
risk-tak,5
complet,145
free,243
barrier,5
comparison,23
evalu,25
judgment,6
success,38
failur,7
award,39
prerequisit,5
spirit,13
inquiri,10
9:00am,7
4:00pm=20,3
car,67
sponsor,27
it=,10
enron-design,10
stops=20,3
includ,238
adopt,28
school,28
non-profit,25
organ,84
an=,37
medic,15
center=20,5
facil,141
dedic,13
treat,16
children,185
employe,178
need,250
to=,50
accompani,11
with=20,6
when=20,3
regist,73
design,98
prefer,85
registr,35
fee,56
ani,346
space,52
limit,75
rsvp,18
contact,369
jessica,15
nunez,8
x31918,14
rememb,34
dure,95
lunch,64
excit,50
exchang,45
relate=,3
outag,917
system,314
qa5,6
bbp,4
cst,18
upgrad,85
server,285
see,289
schedul,743
notif,34
2.0,8
qualiti,22
assur,19
sqa5db00,2
start,125
4/20/2001,8
12:30:00,9
4/27/2001,24
08:00:00,2
AM,513
abstract,8
descript,12
unavail,4
2.0b,2
2.0c,2
implic,8
kevin,18
jackson,5
5-5605,2
713,508
pager,283
E,294
origin,120
report,279
S,182
data,227
center,443
fri,404
thru,506
mon,32
4/23/2001,6
sysadmir,6
mainten,40
Y,89
T,94
L,144
oper,175
edi,86
impact,400
CT,383
PT,371
london,330
termin,54
icon,14
sitara,102
unifi,111
help,283
on-cal,99
853-9797,86
W,59
K,47
N,48
D,43
M,54
V,43
B,55
F,161
O,45
R,61
20,94
5:00pm,49
23,25
12:00am,43
ardmor,45
azurix,52
eb34,43
north,108
american,108
lan,44
field,140
servic,397
internet,164
market,253
NT,44
os/2,43
corp,157
5:00:00,47
8:00:00,80
3:00:00,61
6:00:00,66
11:00:00,67
2:00:00,54
user,120
purpos,193
gener,106
cluster,5
avail,160
due,40
onc,55
point,59
2.3.11,2
product,200
develop,48
backout,188
none,16
rusti,2
cheve,2
713-345-3798,2
sun/oss,43
telephoni,44
assist,104
853-1411,43
resolut,46
specif,70
risk,95
manag,235
853-5536,43
sap/isc,43
345-4727,46
284-3757,43
288-0101,43
rus/gops/geotools/apr,43
639-9726,43
oss/ua4/tarp,43
285-3165,43
cpr,43
284-4175,43
327-3893,43
OR,84
888,43
volunt,131
club,143
music,94
keyston,12
event,141
plant,87
us,188
dessert,22
march,47
dime,23
interest,109
and=,60
p.m.,178
student,24
big,107
cafe,35
drink,31
featur,134
wednesday,91
parti,73
entertain,70
tabl,47
benefit,52
concert,47
perform,127
summer,186
jazz,28
texa,74
bar,40
hall,19
symphoni,23
your=20,9
25,88
walkamerica,6
boy,73
girl,57
group,99
career,24
hoop-it-up,15
monday,108
pm,32
antioch,26
park,70
watch,46
In,204
foundat,29
t=20,13
freaki,7
week,285
spend,48
stop,47
call=,4
4:00pm,4
best,75
ball,19
in=20,17
discount,53
be=,13
for=,18
4,159
12:00,34
allen,23
forum,26
floor,44
Da,12
camera,21
offer,257
s=20,28
saturday,122
6,92
garden,115
a.m.,140
singl,39
begin,86
sambuca,13
pre-concert,16
29,73
babi,22
ext,15
ks=20,7
opportun,65
member,106
special,181
hosti=,7
jennif,25
milligan,17
x35272,10
t=,58
o=20,34
scholar,12
senior,16
ceremoni,6
high,76
mental,10
health,72
desert,20
email,233
run,98
speci=,7
al=20,10
famili,187
hoop,10
8:00,23
invit,40
topping-out,6
south,86
23rd,2
3:45,4
ha=,7
ve=20,2
beam,4
........,3
rise,26
arbor=,2
tree,23
sapl,6
hand,41
cater,2
escalant,5
mexican,5
grill,50
choic,41
beef,9
chicken,23
veggi,2
fajita,5
trim,12
5,168
live=,2
salsa,10
tropicrew,5
enron=01,12
ms.,2
ale=,2
x=20,2
villarr,5
lead,78
singer,7
repres,27
search,69
lupu,5
ge=,6
dress,14
keep,78
enron=,5
on-sit,3
wi=,5
ll=20,2
promot,48
creativ,14
want,156
shift,13
take=,2
24th=,2
laser-focus,2
power,242
perspicu,2
press,16
festiv,7
7:00pm,2
11:00pm,2
a=,53
astrodom,2
boast,3
5,000,6
rocket-fueled=20,2
fashion,8
fantast,2
food,50
otherworldli,2
danc,34
unbridl,2
merriment,2
unit,68
respect,29
unexpect,3
space-ag,2
style,27
carolyn=20,2
wonderland,2
marcia,2
royal,13
crown,6
revu,2
visit=,8
40,36
50,71
at=,6
door,32
proce,10
orang,15
www.orangeshow.org,2
brownbag,5
1:00=,7
p.m.=20,5
two,93
7th,8
ying=20,5
quartet=018,5
select,118
20th,5
centuri,16
chamber,10
piec,17
De,8
camera=,5
200/01,5
season,36
final,65
patronage=018,5
ma=,8
at=20,29
wortham,8
hate,10
becaus,57
die,55
lin=,9
da=20,8
gay,22
director,27
mercer,8
arboretum,8
botan,8
humbl,10
teach,25
surviv,13
thrive,9
days=,8
topic,27
tropical-look,8
sun,174
shade,9
ginger,8
fragrant,8
drought-toler,8
8th,25
11:30,43
12:30,27
12th,15
2,204
area,73
classic,45
me=,7
et=20,5
mingl,5
even,138
5:30,9
live,125
blu=,5
e,77
monk,8
909,8
avenu,8
complimentari,18
hors=20,5
d'oeuvr,5
cash,31
At,51
7p.m.,5
across,29
street,35
rou=,5
nd=20,16
befor,104
8,97
david,34
robertson,6
conductor,9
lead=20,5
beethoven,5
idyl,5
romp,6
countrysid,6
pastoral.=,5
conclud,10
prokofiev,5
patriot,5
alexand,5
nevski,5
written,11
eisenstein,5
film,36
legendari,13
battl,12
ice,24
choru,5
35,19
th=,35
e=20,37
round,14
pre-paid,5
reservation=,5
make,218
on-lin,10
www.houstonsymphony.org,8
238-1477,5
cyberauct,2
Of,21
9:00,28
26,32
//home.enron.com,2
biggest=20,2
fund-rais,2
money,85
pioneer,4
research=,3
save,81
born,6
prematur,2
birth=20,2
defect,6
sinc,76
1970,2
1=,11
billion,45
give,105
fight,19
chanc,57
everi,75
dollar,15
match,8
read,150
www.modimes.org,2
kimberli,7
nelson,7
33580,2
gina=,2
37681,2
allow,63
shadow=018,2
aft=,2
ernoon,2
copi,40
file,81
cleric,2
tas=,2
appreci,6
AT,54
caf_,2
BE,13
charter,4
leadership,33
young,29
peopl,82
local,73
age,80
14-18=,2
.=20,5
elect,22
choos,40
impleme=,2
nt=20,2
project,95
educ,22
object,6
keysto=,2
ne=20,5
shadow,5
profession,37
host,38
approxim,19
11:30-4,2
adopted=20,2
times=,2
thank,92
georg,30
R.,5
brown=20,2
convent,8
exhibit,31
A.,12
11:00,81
assist=,2
recognit,2
ceremony/luncheon,2
recogn,13
4,000,2
met,10
program=,3
graduat,11
medallion,3
around,90
nec=,2
hisd,2
childbuild,5
advoc,10
honor,19
awareness=,2
hermann,16
squar,7
actor,6
vignett,5
issu,98
parent,62
zydeco,5
soft,7
be=20,5
receiv,175
t-shirt,10
public,72
even=,5
balloon,22
set-up,6
serv,63
clean-up,12
job,78
phone,88
number,82
address,158
dotti,5
bate,5
dsquareb,5
msn.com,8
932-8440,2
75+,2
olymp,3
track,48
meet,89
held,28
28,11
man=,7
y=20,20
timer,9
escort,2
water=,8
cheer,18
athlet,16
friend,93
contribut,23
hour,85
great,154
caus,36
cindi,21
richardson,19
x3-4770,9
kelli,21
lombardi,19
x3-8491,9
//home.enron.com:84/erc/index.html,10
15th,22
annual,39
5-6,6
way,291
jump-start,5
full,125
become=,5
a=20,41
part,44
jammin=01,5
scene,7
1,200,5
team,94
4,800,5
player,25
join=20,5
greenspoint,5
mall,6
basketball-craz,5
atmospher,12
game,64
simultan,6
110,6
court,36
basketbal,13
fli,18
fun,64
escape=,5
resourc,43
center=018,5
5th,5
6:00,9
sunday,120
5:00,19
hotline=018,5
713-521-4535,5
o=,22
r,24
hoopitup,5
texas.net=20,5
doubl,13
click,446
learn,78
kids'=20,2
//home.enron.com:84/messaging/e_kids_announce423.pdf,2
share,108
post,69
news,80
action,40
eia,21
enron.com=20,20
later,85
noon,35
prior,42
monday=01,20
mailing=,20
sherri,10
espeak,50
answer,45
jeff,36
question,161
suggest,22
categori,13
sera,3
execut,42
skill,41
chang,157
becam,6
ceo,14
transcript,19
wonder,29
pay,63
polici,55
like,201
saturn,5
ring,13
connect,63
chairman,25
emeet,15
respons,50
reduct,5
idea,44
vault,9
thinkbank,19
today,238
cut,52
add,42
4:30,2
arbor,2
rain,17
air,18
iptv,2
distribut,23
plaza,26
bill,44
bump,2
thought,30
law,30
jump,27
20,000,1
rental,35
alamo,22
travel,146
vehicl,15
enrol,21
contract,15
rate,105
level,52
recommend,22
primari,8
rent-a-car,4
secondari,5
agreement,24
total,51
provis,5
insur,32
statu,25
rent,14
regardless,10
cover,86
damag,15
properti,21
coverag,15
transact,46
option,172
intent,5
consolid,16
leverag,3
achiev,19
favor,4
non-pric,2
i.e,3
proposit,2
first,141
',215
sister,3
reflect,6
low,43
solut,55
altern,8
state,74
puerto,4
rico,4
canada,25
1,269
l/dw,2
loss/damag,2
waiver,3
comprehens,9
collis,2
auto,7
It,227
liabil,7
100,000,4
occurr,2
50,000,2
appli,50
long,52
record,61
5000838,2
143974,2
enjoy,54
highest,6
supplier,3
emerald,2
membership,29
quicksilv,2
speed,31
counter,5
bypass,2
rapid,5
return,49
waiv,2
packet,3
mail,118
express,32
cardhold,3
form,46
intranet,9
gss.enron.com,2
//gss.enron.com/,2
comment,29
leath,2
713-646-6165,2
auction,57
astro,24
raffl,19
prize,13
item,62
mani,81
notifi,5
draw,6
onlin,189
open,93
close,59
suit,36
primo,2
spot,14
dinner,27
massag,4
bid,25
//my.home.enron.com,4
//ecweb05e.enron.net/apps/auction.nsf/,4
bidder,5
visa,5
mastercard,3
accept,9
upstair,3
energ,27
On,53
3,132
7,92
roundtrip,12
continent,17
airlin,36
48,4
contigu,2
compaq,10
PA,6
audio,15
manicur,2
pedicur,2
urban,5
retreat,4
p.m,16
winner,22
miss,33
someth,51
everyon,16
reach,32
rate=20,2
60,17
minut,78
hour=01,2
whatev,8
doe,77
whoever,2
be.=018,2
c.,3
lewi,3
11:30am,10
pm=20,2
futurist,2
studi,13
progra=,2
m=20,5
houston=20,2
clay,14
anderson,15
astronaut,2
nasa=20,2
gadget,3
gizmo,2
oxford,2
robot,4
display,16
yate,2
2020=018,2
attende,5
engag,4
this=,16
participatori,2
summary=20,2
the=,53
result,29
rsv=,2
p=20,8
word,32
prescienc,2
\pree-shun,2
pree-shee-uns\,2
noun,7
foresight,5
of=20,10
depend,22
upon,8
focus.=018,2
mark,35
twain=20,2
25th,3
'll,112
meet=20,2
variou,11
discuss=20,2
watc=,2
h=20,17
vinc,3
kaminski=20,2
bench,2
enron.credit.com,2
weather,266
trade,148
xceler,2
cerebr,2
\ser-uh-bray-shun\,2
act,23
use,206
reason,13
mental=20,2
promptli,5
line,70
current,112
agenc,21
major,47
downtown,39
construct,16
repair,9
estim,17
4-6,3
rout,40
713-853-4801,3
713-345-5164,3
send,144
persist,4
apolog,12
inconveni,13
path,6
instead,9
path=20,2
leav,49
trail.=018,2
ralph,3
waldo,2
emerson,2
information=20,2
communicat=,2
workplac,2
ethink,6
planet,17
expert,18
finder,3
gi,2
experience=018,2
class,37
i=,15
verv,2
v-rv,2
n.,2
energi,151
enthusiasm,3
especi,13
composit,19
sat,495
4/28/2001,26
eb,48
30,246
9:00:00,43
7:00:00,94
ossprod,2
portland,30
ecom,2
order,104
mission,3
cirit,2
app,5
oracl,7
function,41
nat,2
network,273
made,59
accomod,2
acl,2
denni,14
mcgough,8
713-345-3143,8
12:00:00,61
10:00:00,84
complinac,2
standard,62
backup,13
emerg,6
disk,28
done,22
charl,10
ballmer,5
713-853-0684,5
darryl,3
vinson,2
713-345-8726,2
everybodi,9
alik,3
somebodi,3
isn=01,3
thinking.=018,3
org,3
s.=20,3
patton,3
jr.,12
motorcade=20,3
c=,11
ar=20,3
visiting=20,3
mirror,4
veggie=20,3
ms=,3
alex,4
searc=,4
zeitgeist,3
\tsyt-guyst,3
zyt-guyst\,3
gener=,3
intellectu,4
moral,4
temper,3
period,18
told,24
write,56
171,000,1
went,46
180,000,1
schrieb,7
unless,12
patch,16
clearcas,10
4:00:00,59
resolv,10
involv,35
mvf,5
remov,54
troy,5
beyer,5
713.345.8316,5
713.406.1782,5
isdn,2
appear,25
telephon,10
test,137
perman,7
effect,46
date,102
affect,25
unbusi,2
trunk,3
cynthia,10
siniard,5
713-853-0558,5
harold,3
william,23
713-345-8917,2
mother,28
men,30
championship,22
tenni,8
friendli,20
afh,12
12=,3
on=20,6
front,50
bayou,30
jan-michael,3
gambil,3
honor=,3
westsid,3
45,12
11th,8
mother's=,6
program=20,6
aid,51
designe=,6
compris,8
friend=,6
ly=20,6
resid,27
facilit,13
craft,14
brunch,7
mothers=,6
opportunit=,6
depart,52
15,83
individu,22
u=,16
janic,6
riedel,6
x37507,6
//www.aidshelp.org/programs/housing.htm,6
11,87
awar,19
actors=,3
drin=,3
attach,38
sign-up,3
sheet=,3
932-8440.,3
//home.enron.com:84/messaging/signup.doc,3
ebiz,36
pge,6
methan,3
manur,7
quarter,22
earn,48
overview,12
3.6,4
trillion,6
2005,3
tom,12
white,24
becom,55
u.s.,117
secretari,15
armi,4
u.k.,6
offshor,8
wind,74
farm,3
cell,18
littl,70
bit,18
poetri,3
latest,78
Go,47
home.enron.com,19
feast,6
cool,14
color,14
find=,2
mailbox,15
might=,3
extra,16
java,9
buildin=,3
g.,2
direct,81
extrem,5
debut,8
stori,168
ride,23
e=,21
dge,2
meteorologist,2
brew,2
scienc,21
good,137
vision,15
crisi,7
spread,24
drive,45
profit,30
least,51
expect,84
insid,21
sprechen,2
zie,2
secur,60
earthquak,2
victim,8
india,5
enter,63
cartoon,18
crazi,4
con=,4
