request,583
entergi,183
mdea,54
transmiss,273
ect,8599
network,142
thi,7271
kayn,214
subject,4506
scenario,32
put,409
oasi,109
bid,434
price,400
0.0,32
bill,267
enron,5965
comment,118
a.,25
Ex,24
day-ahead,33
earlier,106
design,112
resourc,258
sink=mdea,6
sepa,20
coulter/hou/ect,131
04/27/2001,20
PM,3866
To,5548
jim,152
lloyd,112
jeffrey,42
tom,96
clint,64
smith,259
L,503
christi,104
pleas,1866
thank,1294
rust,24
servic,1496
buy,329
megawatt,24
market,470
bring,339
por=tva,4
pod=e,4
avail,388
evalu,55
accordingli,28
unit,163
use,992
mgw,4
schedul,979
prioriti,34
level,95
want,1031
load,101
may,1031
coulter,48
forward,3095
12:55,15
rust/enron,8
enronxg,188
12:53,8
homco/hou/ect,16
will/hou/ect,27
miller/na/enron,16
may/corp/enron,16
dean/corp/enron,30
day/hou/ect,16
cc,2564
nicolay/hou/ect,20
RE,56
see,1398
red,154
would,1421
follow,538
procedur,88
1,919
outsid,135
aep-tva-ees-mdea,8
source=aep,2
interfac,37
2,739
insid,170
lagen-,8
por=lagn,2
source=,2
lagn,8
name,840
If,1632
sourc,177
axia,5
por=e,2
3,580
number,422
contract,106
flow,147
tva,88
border,19
We,1242
find,570
11,166
lge-tva-ees-mdea,8
pod=mdea,2
source=lg,2
state,230
modifi,63
displac,11
exist,100
851472,8
need,1166
clarifi,6
approach,72
recommend,182
note,549
abov,79
consid,170
f-7,8
intra-day,8
hourli,157
must,385
non-firm,11
import,286
native/nst,8
type,158
nn-6,8
rememb,289
becaus,689
charg,84
share,374
ratio,8
think,900
caus,122
problem,288
make,1364
sure,363
everyon,477
page,398
especi,80
-origin,653
messag,2019
sent,1474
friday,363
april,101
27,125
2001,644
7:49,8
AM,3409
homco,8
miller,91
dean,130
day,3276
Cc,155
nicolay,27
attatch,8
file,367
mdea.doc,8
ha,1741
pager,295
laurel,26
inform,989
anytim,28
enpow,65
call,961
tool,86
hous,249
accomplish,39
necessari,62
task,52
work,1230
34873,3
steno,12
635,12
713-761-5792,3
cell,97
281-381-7430,3
home,1019
281-286-2076,3
theresa,25
800-718-1341,3
enrononlin,63
shockwav,15
user,297
ID,253
password,141
instal,62
juan,529
eol60329,3
welcom,59
upper,16
case,131
remind,118
order,341
access,643
found,268
within,172
open,433
right,997
scroll,32
bar,26
go,1409
bottom,155
click,1787
download,245
direct,172
shut,39
reopen,18
browser,224
i.e,11
microsoft,145
internet,820
explor,105
netscap,81
feel,372
free,1907
contact,518
ani,994
question,563
get,2716
system,587
griff,9
gray,53
x3-5753,3
atsi,55
FE,50
ecar.org,25
09/05/2000,26
provid,704
chang,621
control,177
area,225
subsidiari,75
atc,47
novemb,599
mitch,31
new,1371
begin,241
johno,9
rmkovac,9
firstenergycorp.com,9
panel,36
firstenergi,17
path,78
tran,64
robinson/corp/enron,15
patrick,88
E,1704
john,434
american,158
inc.,406
tag,103
TP,6
carolc,6
spp.org,18
ecar,55
septemb,116
updat,282
oper,362
mnemon,9
midnight,21
rather,52
est,177
01:24,6
robinson,16
01:04,19
fyi,52
01:06,10
hans,13
12:58,6
oscar,27
dalton/hou/ect,3
corri,51
bentley/hou/ect,18
jame,124
terrell/hou/ect,3
alonzo,11
williams/hou/ect,75
larri,200
valderrama/hou/ect,6
robert,143
benson/corp/enron,6
edward,25
D,360
baughman/hou/ect,58
zufferli/hou/ect,3
kevin,169
M,245
presto/hou/ect,17
detail,510
letter,208
continu,457
purpos,207
nov.,34
1st,67
refer,64
hanse/hou/ect,49
12:31,3
08:25:51,3
tahern,3
buckeyepower.com,3
andreej,3
dteenergy.com,13
drbarker,3
cinergy.com,23
ssbayer,3
nipsco.com,3
