psig,11
enron,2048
pressur,13
jim,93
would,594
darrel,4
20,153
suction,4
tucker,16
11/22/2000,3
AM,664
day,311
516,3
regul,38
like,273
08:34,2
To,1070
stovall/na/enron,2
cc,341
jack,18
boatman/fgt/enron,8
john,427
hodge/corp/enron,45
tom,43
parker/fgt/enron,2
subject,1006
sta,6
97.8,2
last,165
station,87
look,204
calcul,18
drop,15
50,21
across,28
need,556
435,2
thank,764
respons,275
'll,89
probabl,58
question,509
onc,77
digest,2
info,30
provid,388
regard,306
excus,5
greater,14
forward,420
tucker/fgt/enron,1
08:29,3
attach,581
histori,59
365,1
arrang,60
descend,1
order,177
In,293
nutshel,1
minimum,19
492,21
34,43
54.4,1
mmcf/d,2
propos,123
6.6,1
mile,27
12,128
get,304
458,2
upstream,38
side,21
typic,10
different,1
give,136
us,203
408,1
downstream,10
believ,77
revers,2
reg,1
485,2
31,146
note,377
onli,309
8,155
dure,107
year,273
wa,466
lower,21
time,555
pleas,1380
call,549
discuss,237
meet,268
x5-3455,1
plan,237
report,297
annual,59
ani,1170
benefit,61
copi,187
insur,39
right,203
request,370
depart,84
inform,530
receiv,445
full,49
part,69
administr,115
statement,38
accompani,11
u.s.,73
labor,13
summari,39
incom,25
entitl,18
upon,56
thereof,7
includ,350
obtain,48
1400,75
smith,121
street,98
houston,315
TX,50
77002-7311,4
also,328
washington,13
d.c.,7
basic,38
financi,174
back,147
thi,1961
page,88
well,185
materi,91
ha,648
file,346
intern,119
revenu,11
servic,576
requir,295
employe,243
retir,13
secur,113
act,47
1974,2
erisa,2
may,464
particip,181
base,135
provis,107
addit,223
sale,182
commiss,49
paid,31
carrier,7
shown,12
write,23
corp,99
713,424
853-6161,2
charg,142
asset,165
liabil,24
expens,96
If,711
two,154
legal,329
protect,54
examin,7
main,40
offic,237
corp.,241
payment,80
cost,132
address,242
public,99
disclosur,29
room,86
n-5638,2
pension,2
welfar,2
200,10
constitut,17
avenu,3
n.w.,2
20210,2
nonjurisdictionalfacilities.doc,4
sinc,114
sound,24
close,117
sign,103
momentum,11
agreement,537
list,276
relat,118
plant.,2
submit,80
ferc,78
application.,2
feel,62
free,131
We,413
soon,79
possibl,101
lando,3
con-,5
80,000,4
dt/d,2
apr-oct,2
ebb,2
transco,230
late,34
bid,39
languag,62
execut,146
ginni,2
see,289
guaranti,68
clean,44
redlin,9
version,76
revis,126
ad,98
concern,89
interest,221
previous,35
approv,218
OK,23
form,261
let,358
know,489
accept,88
go,186
ahead,14
