invest,142
email,476
also,805
interest,514
fund,141
'll,267
keep,267
deal,461
set,205
llc,13
dave,117
stan,989
thank,1378
may,967
take,490
offer,414
help,433
point,225
'm,179
glad,93
let,669
know,1003
you/enron,2
opportun,241
My,185
focu,67
exclus,12
business-to-busi,2
e-commerc,10
technolog,107
compani,529
current,354
pretti,63
good,553
place,153
We,1009
rais,66
new,681
hope,280
next,524
year,547
post,138
come,310
across,55
attract,21
earli,132
stage,29
handl,110
get,881
peopl,260
kick,12
frevert,27
rice,39
came,29
last,447
mind,64
talk,333
soon,190
nobl,14
stolberg,2
equiti,67
partner,134
370,2
17th,11
street,40
suit,53
4240,2
denver,23
CO,5
80202-1370,2
main,37
303-592-4900,2
direct,148
303-592-4903,2
fax,196
303-592-4912,2
cell,29
303-887-7005,2
danobl,6
att.net,6
http,295
//www.smspartners.com,2
winmail.dat,4
great,217
present-i,2
realli,139
appreci,192
thought,227
Am,4
go,588
frame,12
put,201
hous,86
heard,71
news,109
debbi,144
you-mi,2
congratul,57
As,344
kid,31
make,602
thi,3735
special,75
place-wish,2
happi,142
joy,12
world,78
well,433
holiday,139
season,44
bill,479
transmiss,49
call,880
attende,22
29th,24
henri,36
cfo,29
craig,35
VP,99
per,234
phone,222
1st,39
detroit,14
edison,22
virginia,15
power,288
attend,299
yet,88
chuck,19
wait,102
consum,37
aep,48
fayn,6
baker,26
energi,479
szwed,6
wagner,13
corpor,150
control,115
character,7
lead,151
M,87
gwen,6
luciano,4
manag,408
e-mail,538
note,349
indic,231
level,196
respect,151
organ,330
made,281
determin,119
avail,234
attendess,4
februari,81
meet,1514
deni,20
desrosi,4
Ed,21
rahil,4
joe,150
welch,8
follow,538
glenn,12
ross,15
harold,31
adam,141
bob,211
mcguir,7
wire,39
busi,511
lunch,77
part,184
day,482
ron,83
materi,162
attach,630
dear,170
board,622
director,327
print,24
copi,168
offic,721
monday,389
book,64
wa,1130
delay,53
includ,457
one,516
report,636
complet,258
task,207
forc,206
yesterday,108
night,71
.pdf,48
version,66
navig,9
easili,8
use,655
bookmark,14
It,485
40,29
page,151
length,31
six,31
section,67
pleas,1472
feel,200
free,160
ani,1237
question,502
best,337
regard,527
rae,169
book0003.pdf,2
project,512
document,230
plan,473
receiv,403
jenni,13
rub,4
shelley,73
corman,33
updat,240
whi,76
incorpor,33
suggest,197
julia,12
white,38
john,453
pravetto,2
feedback,121
scope,80
revis,104
propos,341
work,816
import,220
final,213
scope/work,2
week,726
mani,160
activ,225
march,90
bank,144
debt,80
financ,134
150,32
million,319
would,2015
provid,596
futur,244
list,404
bidder,26
send,347
give,320
heads-up,15
prepar,144
request,453
nbp,241
term,193
facil,131
payoff,8
exist,101
mlp,104
revolv,6
undrawn,6
greater,33
financi,220
flexibl,36
although,108
n't,728
key,130
object,54
addit,308
fee,80
incom,72
commit,115
balanc,81
sheet,36
need,904
i.e,34
commerci,125
strengthen,14
posit,412
acquisit,99
rfp,26
recommend,339
mid,26
anticip,63
late,84
enron,4078
ect,881
behalf,93
transact,166
murphi,2
execut,372
enterpris,5
bambenek,2
tapscott,18
02/25/2000,6
08:36,4
AM,777
To,1587
stanley,831
horton/corp/enron,426
J,145
mark,471
metts/na/enron,30
randal,13
T,59
maffett/hou/ect,6
rod,210
hayslett/fgt/enron,59
dwight,22
larson/corp/enron,6
cc,961
subject,1467
rockford,40
meyer/fgt/enron,35
02/28/2000,4
PM,1175
jordan,47
hunter,13
train,43
employe,475
contractor,17
fyi,107
forward,712
12:09,2
12:07,2
environment,204
phase,67
IV,4
In,463
start,203
construct,126
inspect,42
staff,226
site,150
third,43
parti,153
locat,148
25,59
inspector,12
7,106
fdep,6
pitch,18
3,207
still,231
want,575
coupl,54
doe,398
weekend,130
inning,11
run,123
gave,49
hit,32
thing,203
summer,38
tara,4
like,887
uncl,3
write,45
say,207
hi,417
ask,353
wrote,32
caron,143
ago,56
see,641
told,128
ha,1201
hors,26
show,91
sound,79
excit,51
got,97
first,323
time,1068
florida,44
state,401
number,366
5,135
1,338
guess,26
teach,10
throw,4
strike,6
someday,2
orlando,16
month,168
mention,76
someth,134
internship,5
fun,35
texa,110
wander,2
option,115
stand,61
lot,87
live,78
think,447
oppurtun,2
botb,2
us,555
tell,109
said,417
hello,91
wish,102
everyth,78
kenni,4
kabirch,2
ufl.edu,2
gallup,9
click,130
access,126
ET,5
S,153
If,783
transwestern,47
began,12
expans,49
mid-februari,8
schedul,428
2000,296
digit,6
progress,77
websit,37
troubl,14
pictur,40
logo,2
upper,2
left,78
corner,6
lorrain,12
lindberg,2
x35403,2
kevin,115
hyatt,7
x35559,3
houston,285
web,94
rich,35
abramowicz,2
x39643,2
cross/ingaa,4
nomin,21
ltr,5
mcquade2-28-00.pdf,2
tapah,26
laruzow,30
concentric.net,30
ms.,57
nation,189
today,361
hear,124
TW,64
larri,131
travel,43
tomorrow,207
check,175
effort,186
touch,38
lawrenc,62
A.,63
ruzow,27
02/29/2000,5
10:43:52,1
respond,103
loui,168
soldano,40
louis_soldano,1
enron.com,582
navajo,89
row,52
lou,71
luralen,9
esq,21
