geoff,10
jeffrey,234
T,271
hodge/hou/ect,174
PM,2784
inform,857
pleas,3813
get,1164
credit,627
see,1160
need,1882
go,611
thank,2136
jeff,208
forward,2104
05/10/99,10
01:35,1
storey,2
05/05/99,1
04:18,11
To,3693
ect,4590
cc,2791
subject,3802
mike,278
ee,167
J,2026
05/11/99,38
washington,52
counti,208
purchas,846
dan,3946
D,181
OH,22
name,346
well,336
ga,2099
hyvl/hou/ect,1418
ani,2216
thi,5202
buckey,16
cullen,6
smith,256
smith/dub/e,11
brown,26
energi,789
kimbl,2
peluso,2
bailey,51
edt,6
cmb,5
invest,65
ha,1377
complaint,10
M,150
1,896
2,888
buy,118
ca,102
n't,996
jame,171
bob,198
also,685
check,191
05/12/99,8
07:35,1
AM,2016
05:51,2
Re,907
wait,121
stanley,5
verend,1
michael,261
donney,1
hyvl,751
05:44,3
request,879
search,48
data,65
base,249
fail,74
identifi,77
contract,3968
individu,95
provid,970
04:33,8
hodg,81
04:02,20
could,612
look,547
coordin,43
04:01,6
04:57,6
understand,241
may,878
abl,213
shed,8
light,43
receiv,649
defend,15
file,957
dba,6
alleg,8
hi,450
partner,86
Mr,4
divert,4
payment,710
describ,50
rea,4
marietta,4
b/c,4
allegedli,4
pay,250
wrong,40
person,235
give,429
rise,4
claim,168
besid,9
point,522
find,424
leav,164
Is,302
md,4
04:46,6
enron,4711
servic,687
12:17,6
javins/dub/e,4
loui,24
P,34
bonasso/dub/e,4
christina,18
finelli/hou/e,4
Do,338
know,1520
anyth,237
wellhead,26
samuel,6
ru,6
nepa,4
clearanc,11
aec,20
develop,92
environment,7
clearnac,2
enforc,42
plant,160
exist,220
site,108
christoph,33
referenc,81
actual,159
make,859
sure,243
abid,7
nation,41
polici,68
act,114
co-op,1
ferc,56
regul,6
util,156
issu,631
standard,198
procedur,64
inher,1
type,145
construct,17
new,934
power,176
alreadi,156
permit,93
oper,194
mani,115
year,511
thu,58
posit,111
would,1598
expect,148
grant,348
given,76
past,101
postiv,1
work,628
relationship,50
fact,86
made,466
chang,2001
review,1345
accept,452
peopl,145
central,37
desk,155
send,838
parti,802
replac,166
one,1052
done,213
januari,194
4,370
2001.,10
2001,834
confer,83
wholesal,10
legal,514
held,33
thursday,250
afternoon,67
friday,324
octob,195
11,90
12,138
woodland,2
resort,10
center,51
north,471
houston,508
save,50
date,836
descript,134
comment,656
mark,427
product,375
truequote.com,28
03/01/2001,24
truequot,24
brent,48
shari,54
possibl,235
access,154
agreement,3056
enron.com,2202
trevor,24
atkin,32
502,42
soon,250
true,82
quot,24
march,313
monday,322
senior,81
counsel,149
ena,1137
phone,403
713-345-8897,10
facsimil,46
713-646-3940,10
e-mail,717
mark.greenberg,16
greenberg/na/enron,14
08:53,13
greenberg,16
shults/hou/ect,10
travi,44
trade,503
gener,347
use,847
deal,1607
readi,156
If,1335
trevor.atkin,18
L.,89
let,1317
statu,128
closer,8
anticip,22
complet,278
prepar,341
present,73
assist,113
03/06/2001,12
09:24,6
hendry/na/enron,10
stack/hou/ect,14
jennif,94
deboisblanc,2
denny/hou/ect,2
mccullough/hou/ect,10
We,997
ask,420
provis,395
third,80
platform,6
www.truequote.com,4
hope,278
bit,46
later,167
today,380
In,437
order,587
start,305
system,252
conjunct,16
anoth,209
current,389
enabl,35
counterparti,340
hit,29
post,80
price,1140
transact,1119
time,807
matter,276
rather,62
tight,12
final,434
begin,162
therefor,194
initi,176
pertin,6
area,73
piec,43
interest,225
hesit,38
call,929
09:08,18
shult,20
robert,189
B,101
cass/hou/ect,6
08:54,12
02/28/2001,18
02:55:16,4
bob.shult,18
attach,2526
copi,880
question,888
feel,166
contact,347
800-327-1499,4
password,123
userid,12
shortli,31
project,166
manag,286
llc,156
212-4900,6
800,16
327-1499,6
direct,108
212-4912,6
fax,604
212-4907,6
email,544
TQ,4
9.doc,4
wa,1639
drink,47
man,149
cab,8
driver,10
said,306
left,193
home,130
day,1296
guy,127
bar,54
truck,24
cri,18
life,95
found,131
got,183
free,93
http,181
realli,103
bad,44
littl,129
sit,54
insid,40
He,206
move,172
half,38
hour,100
big,56
trouble-mak,2
step,80
right,290
next,395
took,53
drank,2
poor,32
come,204
joke,32
'll,212
stand,67
No,316
worst,6
first,592
overslept,2
late,114
import,153
meet,427
My,243
boss,17
becam,38
outrag,16
fire,12
build,57
car,68
stolen,4
polic,16
noth,75
return,206
paid,83
gone,58
wallet,4
onli,634
wife,88
bed,36
garden,8
depress,4
came,108
think,683
put,341
end,376
show,183
poison,2
download,26
msn,76
explor,72
//explorer.msn.com,14
__________________________________________________________________,2
netscap,2
webmail,2
account,244
//webmail.netscape.com/,2
darren,121
marked-up,31
version,321
guaranti,721
exelon,16
origin,443
vanek,48
recommend,48
refer,467
02-16-01.doc,8
corp.,722
intend,279
notifi,259
okay,282
sinc,250
document,1247
red,74
line,476
sign,880
vanek/enron,40
enronxg,511
12:37,15
spoke,74
grti,6
last,579
week,401
comfort,43
fit,78
-darren,18
-origin,685
messag,984
lynda.jean,4
ucm.com,4
mailto,487
imceanotes-lynda+2ejean+40ucm+2ecom+40enron,4
sent,1249
tuesday,254
06,30
11:20,10
FW,548
buyer,342
seller,328
explicit,10
respect,272
lynda,4
jean,7
708-236-8042,4
contain,175
proprietari,4
privileg,59
confidenti,321
copyright,4
belong,19
famili,62
compani,996
sole,77
entiti,299
address,413
recipi,84
herebi,48
dissemin,38
distribut,77
action,111
taken,93
relat,331
content,54
strictli,41
prohibit,58
unlaw,4
error,86
sender,78
immedi,142
perman,30
delet,350
printout,4
schedul,441
citi,631
azusa,8
revis,488
tomorrow,75
author,317
group,338
christian,316
yoder/hou/ect,8
abov,333
jan,37
king,29
dial,19
morn,197
palo,74
alto,72
situat,49
tri,222
histori,9
isda,55
negoti,212
comer,2
tromp,2
sensibl,12
physic,391
approach,41
proper,33
along,67
set,242
forth,77
perspect,16
bring,107
convers,101
effici,20
decid,102
proced,2
cgi,2
12:53,4
stack,22
09:40,8
C-,2
yesterday,133
mine,7
pat,81
eas,12
form,505
except,143
plug,8
relev,20
fund,54
want,814
extern,8
opinion,129
M.,73
otherwis,160
though,57
w/,37
ident,36
certainli,12
welcom,22
take,410
care,86
//www.mytexasbar.com/,2
dena,28
melissa,89
barbara,230
shawna,39
john,308
dayem,4
georg,205
grave,27
avail,315
pawlowski,12
11:53,4
graves/hou/ect,38
N,110
gray/hou/ect,94
flynn/hou/ect,37
grass/corp/enron,3
khandker/na/enron,2
weissman/hou/ect,56
pawlowski/na/enron,2
venita,2
coleman/corp/enron,2
saidia,4
matthews/na/enron,4
melani,6
facundo/hou/ect,4
keegan,10
farrell/na/enron,4
taffi,32
milligan/hou/ect,16
kaye.elli,2
temp,43
6/hou/ect,2
re-schedul,2
time/d,2
format,86
upstream,54
support,75
busi,495
confirm,1126
8,138
10:00,26
11:00,9
host,6
attende,4
grass,16
weissman,26
flynn,14
khandker,2
locat,138
EB,131
3765,2
pass,76
anyon,69
inadvert,8
list,457
unabl,70
attend,111
regard,616
3-5073,2
assign,500
hpl,777
sandi,84
updat,143
lodisco,22
us,384
keep,157
As,547
loop,14
believ,287
weismann,4
togeth,149
place,488
match,22
gotten,22
veri,216
complic,6
enter,202
certain,107
market,357
entex,489
etc.,19
probabl,163
braband,8
03/07/2001,12
09:30,6
ple,2
lutz,12
psa,18
exhibit,266
4.13,12
x,8
still,271
accur,8
firm,800
gisb,249
month,569
opc.com,18
master,1046
opc,14
interrupt,116
less,190
phil,310
bergen,10
deliveri,498
laurenc,8
phil.demo,64
suppli,397
limit,272
addit,439
30,215
note,370
larri,72
25th,62
longer,87
31,55
20mm,22
repres,136
letter,603
demo,121
01:07,11
RE,441
discuss,706
laurence.bergen,4
'phil.demo,14
',838
autri,6
bill,237
specif,274
interpret,12
valu,148
term,965
oglethorp,18
either,227
good,267
lock,28
nymex,51
physcial,4
requir,514
due,287
event,250
fulli,130
howev,383
includ,575
mark-to-market,8
exposur,78
custom,604
tend,11
exceed,16
aggreg,21
separ,127
i.e.,22
increas,90
coverag,10
parent,40
guarante,244
demoes/corp/enron,100
05:46:41,2
mitchel,4
clarenc,4
clarence.mitchel,4
walker,14
tara,2
tara.walk,2
james.brown,4
cook,22
jim,203
jim.cook,4
charl,104
ahclaw.com,4
explan,40
process,380
rais,62
statement,146
mail,173
similar,58
state,334
bottom,59
disclaim,7
paragraph,188
page,199
suitabl,18
interior,2
whether,135
intent,65
clarifi,56
agre,665
correct,204
clear,79
whi,234
explain,106
add,238
perhap,12
case,184
cover,350
long,226
combin,27
cycl,21
everi,125
mainten,66
outag,4
lastli,3
wrote,16
offer,151
doe,489
amount,422
nomin,241
write,54
respons,496
02,122
4:14,2
hey,47
seem,111
like,624
thing,210
far,47
coupl,96
clarif,47
answer,127
purchase/sal,201
via,126
hard,92
brief,18
industri,40
board,76
short,123
financi,261
swap,84
deriv,15
perform,307
without,207
ever,84
around,104
5th,10
weekend,46
holdiay,2
invoic,338
oblig,322
alway,89
beforehand,2
trigger,121
section,735
4.2,110
assur,40
materi,97
caus,119
03/02/2001,18
11:26:46,2
quick,77
forgot,34
summer,22
etc,98
cash,53
upon,61
corpor,201
mummi,16
mother,29
say,286
torr,4
balloon,8
die,30
god,96
'm,270
marc,16
wednesday,225
07,27
4:50,2
stan,12
moor,4
sean,11
green,12
terri,14
henri,14
E.,34
gonzal,10
noel,38
butler,34
hector,2
Fw,40
ballon,4
small,99
boy,63
walk,69
room,128
catch,10
topless,4
breast,6
son,23
inflat,4
float,26
heaven,18
incred,6
appear,185
goe,64
quit,49
satisfi,18
two,669
tea,8
rush,11
kitchen,13
aunt,12
eliza,4
mean,208
lie,14
floor,94
dad,9
blow,17
themup,4
yell,13
att1.htm,2
draft,854
default,196
per,352
jay,96
william,147
worksheet,245
enfolio,570
sale,661
sacramento,2
municip,21
district,23
tier,14
collater,107
threshold,92
third-parti,2
cross,29
matric,2
second,101
sheet,178
elabor,5
complianc,31
CP,14
eei,16
ensur,36
consist,85
across,46
three,172
pertain,14
traci,24
503-464-8755,6
frozen,11
husband,48
honey,10
beer,61
differ,201
hor,6
d'oeuvr,6
F,99
G,122
love,95
back,561
face,25
open,128
ye,89
pie,10
glass,4
mug,4
dirti,6
word,292
newlywedgam,2
submit,97
meanbabajean,2
marri,10
although,101
much,218
town,46
old,117
buddi,44
coochi,2
cooh,2
wife.,2
pretti,41
beer.,2
door,50
refriger,6
25,44
kind,95
brand,2
countri,12
germani,7
holland,2
japan,2
india,2
finish,40
sentenc,146
puppi,63
freezer,2
chill,2
hold,105
it.,4
pale,2
tootsi,2
roll,45
delici,2
wo,48
promis,23
OK,119
pooki,2
pooh,2
oven,4
15,199
dish,11
chicken,18
wing,4
pig,11
blanket,16
mushroom,2
cap,61
pork,8
strip,2
sweeti,2
swear,2
cuti,2
IN,102
eat,48
snack,2
becaus,362
anywher,8
IT,79
E,303
kim,313
smud,26
calvin,28
miller,18
natur,355
america,474
corp,132
200100.doc,4
exampl,74
fyi,73
ward/hou/ect,40
03/08/2001,19
08:16,8
cmiller,14
smud.org,22
04:56:37,2
ward,90
kim.ward,60
kim-,8
sampl,20
rate,283
follow,687
occur,53
electr,68
revenu,54
bond,159
bbb-,30
S,154
debt,44
measur,45
mac,24
uninsur,2
spur,2
underli,12
claus,71
w/ani,2
gari,393
bobbi,10
comb,4
damag,113
W,232
lamphier/hou/ect,99
11:18,8
bcomb,2
ameripol.com,2
02:07:07,2
gary.w.lamphi,16
eci,2
mr.,194
stephen,27
schneider,36
extend,166
dure,195
baytown,36
calcul,100
reimburs,48
27,749,2
repair,6
spec,5
lost,40
handl,145
conclus,25
help,450
solv,4
best,158
modif,46
dear,36
tom,121
ron,22
captur,24
blacklin,26
overlook,8
someth,145
amend,445
colleagu,5
carol,17
st.,147
clair,70
depart,202
tel,42
713,369
853-9477,6
pend,59
litig,24
releas,75
demand,91
liabil,60
aris,28
earlier,118
settlement,34
languag,918
might,157
consider,78
coven,15
herein,34
_____,2
acquit,2
discharg,5
___,4
__________,4
director,18
offic,273
employe,231
agent,85
attorney,230
heir,2
affili,40
subsidiari,27
organ,24
whatsoev,6
law,235
equiti,18
assert,2
connect,126
lawsuit,10
minor,45
adjust,77
chanc,78
resolut,103
mention,147
dealt,3
deleg,2
646-3490,24
03:27,7
tingwer,2
rjelici,2
stewart,16
rosman/hou/ect,6
ngo/pdx/ect,6
St,7
clair/hou/ect,7
laird,2
dyer/sf/ect,2
bbrunel,2
marino.monardi,2
code,53
substanc,10
voic,98
tommorrow,15
talk,182
03:38,8
grant_kol,56
city.palo-alto.ca.u,50
edward,62
sacks/corp/enron,4
pgboylston,2
stoel.com,2
9,80
pst,3
dial-in,2
number,717
888,2
830-6260,2
653539,2
particip,196
881292,2
yate,66
gather,146
recent,55
verbal,16
brian,152
lou,19
've,211
p.,20
f.y.i.,4
instal,26
stage,30
compress,22
screw,14
ind,2
must,162
=20,396
secur,133
control,55
charact,17
least,53
english,12
renew,12
only=20,2
=01,96
notic,219
key,38
maintain,16
of=20,8
well-select,2
guard,8
li=,4
ne=20,4
defens,37
stronger,2
select,84
criteria,21
implement,22
f=,8
or=20,10
passwords=01,2
1.,20
eight,10
length.=20,2
2.,16
common,6
dictionari,2
and=20,12
3.,10
alphanumer,2
special=20,2
fifti,12
percent,20
overal,8
in=20,6
4.,11
reus,2
cyclical.=20,2
