receiv,5139
email,3616
'll,1519
leav,632
new,6621
orlean,18
30,881
minut,561
legal,5831
confer,593
It,2329
wa,4352
fun,214
visit,501
miss,477
terribl,12
PG,624
E,2023
guarante,1054
energi,4976
corpor,2434
cover,1001
trade,13971
power,5423
enron,38762
origin,1798
guaranti,988
ect,65110
canada,1679
transact,6999
inc.,3866
physic,1795
return,1807
date,6158
In,2303
connect,496
abov,2248
also,3498
l.p.,597
corp.,4136
march,1424
1998,365
busi,3944
market,3584
execut,4829
isda,5381
master,6137
agreement,11633
ga,4270
issu,2780
umbrella,13
entiti,2195
epmi,171
ceg,19
option,2759
affili,608
financi,4873
parti,1945
sent,5885
105,000,000,6
100,000,000,14
rod,251
resolv,413
whether,908
agre,1050
increas,342
110mm,6
issuanc,65
bilater,245
need,6912
follow,4378
1,3450
28,342
2,2665
june,1179
5,1730
favor,283
3,1871
11,615
1997,137
corp,650
prior,1220
document,3371
paul,2187
davi,495
6,921
griff,582
compani,5973
custom,2893
thank,11985
mari,4349
03/09/2001,108
PM,16274
product,8686
desir,82
type,3053
financial/phys,8
think,1899
forward,9758
gray/hou/ect,166
01:05,28
gray,339
01:00,40
To,19744
walter,1276
guidroz/na/enron,214
tom,4155
moran/hou/ect,1518
cc,14972
tana,21501
jones/hou/ect,10459
william,1938
S,2150
bradford/hou/ect,682
subject,19484
adm08126,16
abil,450
guy,423
call,6298
mike,819
gar,18
admin,174
want,3362
confirm,4013
hi,1185
properli,99
set,1752
eol,6905
everyth,183
fine,544
end,1260
doe,1572
thi,21685
get,5662
credit,8206
north,3280
america,3730
texa,1443
713,4201
We,5981
contract,6921
multicurrency-cross,250
border,385
effect,2565
decemb,966
15,628
2000,3876
counterparti,8759
berri,13
petroleum,202
approv,9646
except,941
foreign,443
exchang,3022
govern,675
law,1151
copi,5242
distribut,1633
cordial,278
susan,2245
S.,566
bailey,440
1400,1009
smith,1296
street,1172
suit,504
3806a,98
houston,3314
77002,731
phone,3047
853-4737,113
fax,4551
646-3490,840
mail,873
susan.bailey,119
enron.com,9475
see,4345
attach,7923
cook,730
38th,307
floor,1779
77002-7361,321
345-7732,297
mary.cook,301
gulf,101
termin,2084
ecc,369
crestar,22
januari,802
2001,6401
resourc,1176
limit,2134
octob,1963
13,600
1995,129
amalgam,14
surviv,43
ha,6148
septemb,889
1996,120
stephani,4601
panu,448
member,4981
nymex,3855
=20,13802
fee,523
individu,691
cent,244
per,3453
clear,3531
program,1065
pleas,18706
01-88,4
board,972
extend,180
proprietari,103
reduct,113
firm,1630
divis,2161
reduc,207
turn,362
side,560
adjust,867
system,2186
to=20,555
click,4483
notic,2560
No,1713
8,733
At,830
meet,2211
7,651
director,882
determin,2922
to=,304
current,2075
=01,2205
program=018,6
thro=,6
ugh,6
april,1576
pursuant,650
seats=,8
12,645
round,130
6=,6
leas,79
seat,254
hold,627
membership,425
abc=,8
2.5,22
rou=,11
nd=20,106
billing=,10
accordingli,292
members=01,16
account,1737
thei=,16
r=20,318
bill,2123
payment,1029
directl=,12
y=20,252
base,1227
upon,790
activ,1247
ask,1438
pay,743
special,886
attent,542
rule,1854
6.18,11
B,1008
ii,576
requir,2671
report,2717
alph=,8
a=20,412
code,416
badg,56
symbol,28
pt,9
ani,11375
question,4199
regard,4499
matter,746
feel,696
free,1173
contact,3613
M.,249
dawn,253
low,395
donna,111
talamo,37
212,1057
299-2370,59
__________________________________________________,654
link,1597
indic,1324
http,2250
//208.206.41.61/email/email_log.cfm,652
useremail=3dtana.jon,292
refdo,492
c=3d,240
note,3260
If,7003
line,1326
noth,883
happen,906
text,701
quot,1581
open,2456
internet,1075
browser,693
past,1016
web,1161
site,1385
address,2202
press,799
place,2252
shari,868
could,2945
know,6501
spoke,581
john,2691
raineri,4
w/the,26
conv,64
appear,883
ena,3299
direct,1320
stack,206
lawyer,779
group,3388
discuss,2023
awar,468
work,4323
headroom,64
soon,975
come,1503
pend,221
resolut,531
verbal,23
let,4587
'd,377
appreci,664
look,2899
travel,860
calgari,206
tuesday,1443
may,6244
incommunicado,4
plane,48
flight,149
possibl,1194
thing,777
01:47,12
classic,47
februari,568
1999,333
expir,1658
oblig,444
thereund,288
fulfil,24
samantha,928
boyd,547
sr.,166
specialist,630
wholesal,300
eb3802a,80
TX,428
853-9188,105
samantha.boyd,72
shall,4994
price,5389
erac,90
wti,130
term,2533
enrononlin,2810
crude,1360
equal,414
volum,1141
deliveri,1165
select,1896
review,3401
US,4643
sell,450
deliv,657
purchas,815
dure,1523
request,4540
AM,9919
datamanag,550
platt,173
index,1006
quantiti,1362
cush,30
section,859
alan,1052
aronowitz/hou/ect,654
10:48,70
urgent,146
robert,1522
step,687
e-mail,3697
phi,930
exampl,369
long,1264
submit,2056
via,1627
websit,1668
part,765
repres,856
currenc,823
unit,2229
barrel,167
day,4361
start,1405
button,611
cluster,550
proce,595
login/password,484
right,1621
mous,535
handl,775
veri,779
similar,281
exchag,4
sign,2728
on.thank,4
02:43,28
jone,5991
cass,205
10:43,24
mark,8512
taylor/hou/ect,2669
jeff,998
blumenthal/hou/ect,172
musch/enron_develop,72
bjorn,228
hagelmann/hou/ect,120
shifali,20
sharma/na/enron,18
lisa,3156
lees/hou/ect,1474
