=20,15876
invoic,489
bill,1859
enron,48498
vendor,636
employe,3123
cell,1084
card,1139
number,5620
time,13770
reimburs,162
forward,20840
account,2641
payabl,200
individu,1430
phone,5311
pager,214
ha,13935
payment,1027
report,5166
If,10817
want,6126
shirley,7580
PM,24020
=09,1890
depart,3380
To,34059
item,959
use,12016
rapid,165
e=20,652
research,12470
request,6087
check,2569
charg,1643
expens,1020
hello,1817
accord,1009
email,7382
go,6551
phone=,5
credit,4361
receiv,7795
expense=20,3
thi,45132
glad,1298
need,10258
credit=,3
think,5880
onli,4892
done,1404
on=,124
e,946
automat,546
let,10091
know,13068
thank,18391
crenshaw/hou/ect,2166
06/23/2000=,15
03:27,42
=09enron,129
north,2940
america,2326
corp.,3651
=09from,151
corp,945
06/22/2000,56
06:54,18
sent,8049
announc,1891
worldwid,457
cc,23480
subject,30975
increas,2177
dramat,205
past,1392
fe=,28
w=20,46
year,8978
As,4611
result,2622
seen,463
increa=,6
se=20,27
higher,861
volum,789
have=20,28
review,4719
process,4294
order,4047
continu,2909
cycl,98
although,954
encourag,577
address,4790
individual=20,6
often,327
mail,2661
directli,1042
At,1701
times=,9
fail,452
list,5034
In,6123
thes=,23
case,2918
return,2248
design,1733
we=20,59
tri,3042
track,567
him/her,24
high,1898
level,2243
of=20,376
movement,262
among,782
job,2215
locat,2332
made,2273
this=20,70
increasingli,131
challeng,1115
either,1536
way,3714
end,2962
someth,1325
less=20,6
product,5845
pay,1536
maintain,400
satisfactori,95
respons,3556
reduc,803
necessa=,6
ry=20,28
and=,410
licens,1239
subscript,1443
etc.,244
pay=,9
person,3318
applicable=01,6
instruc=,6
tions=20,9
usual,564
indic,1330
through=20,34
reports.=20,6
By,1441
submit,1228
help,6776
us,6487
reduce=,13
amount,956
spent,385
of=,438
gener,4943
treasuri,327
databas,995
th=,486
turnaround,17
republican,128
would,23108
vote,472
sourc,1674
bond,805
bridg,320
loan,456
current,4904
last,5534
davi,626
put,2516
today,4802
caucu,22
lack,362
issuanc,79
state,4397
financi,4730
socal,136
could,7417
bankruptci,493
purchas,1801
support,3915
democrat,129
author,1547
financ,5841
california,2749
assembl,133
3:30,404
pst,73
floor,1225
situat,635
veri,7836
fluid,23
pass,1229
simpl,453
major,1397
two-third,29
immedi,1371
take,6606
effect,1744
90,288
day,8780
forc,619
abandon,35
propos,2566
plan,4867
absent,24
minut,1523
rescu,21
new,13448
longer,796
packag,846
unlik,194
seek,517
voluntari,34
main,1553
problem,3925
wait,775
period,1616
relief,129
transmiss,1578
line,1861
assist,2638
outsid,898
chanc,933
defector,3
precipit,150
extrem,610
pressur,411
angelid,26
due,2106
provid,6646
opportun,3980
blame,138
on-go,64
expenditur,89
70m/day,3
power,12894
possibl,3926
gave,693
AB,39
1X,8
repres,1611
campbel,35
lost,324
hi,6057
also,9615
confirm,2609
met,644
sinc,2582
week,8610
got,1517
pvc,16
05:21,54
5/2/01,13
-0500,1383
wrote,1430
pam,333
anoth,2330
team,4720
elena,590
chilkina,194
robert,1971
J.,603
guadett,19
joseph,961
helm,55
kenneth,589
jett,30
todd,318
litton,52
mark,3380
westmoreland,22
grade,405
A-,25
vinc,56172
kaminski,13212
nesanet.org,63
pleas,26660
complex,432
scienc,603
lana,39
moor,967
energi,15587
industri,5311
brown,652
bag,219
AT,252
regist,1345
J,25464
kaminski/hou/ect,18711
03/22/2001,111
07:25,22
AM,18297
lana.moor,14
03/14/2001,115
04:10:46,4
nesa,57
member,2667
nesamemb,16
eva,74
pollard,15
eva.pollard,4
teresa,170
knight,77
teresa.knight,16
'todd,4
carrol,6
',9912
toddcarrol,4
interim.com,4
join,2415
nesa/hea,34
april,3619
18th,243
2001,11654
IF,119
ani,14219
question,5717
call,9551
713,2923
856-6525,35
great,3041
e-business.doc,7
model,10509
zimin,2876
storag,2440
anjam,1423
inflat,233
ect,38195
US,2434
book,3475
Hi,3568
lot,1601
ppi,102
import,2333
stinson,5045
london,3989
regard,9807
x35383,218
spend,749
look,9657
short-term,227
auto-regress,26
long-term,690
fundamentally-bas,2
work,12395
becaus,2486
potenti,1419
larg,1220
posit,4335
P,1106
L,1027
may,11744
unlock,21
move,2717
UK,1115
curv,3049
john,6344
sherriff,237
trena,96
keen,191
produc,1544
vetted/approv,2
houston,7656
initi,1688
onc,1240
readi,847
document,2594
issu,6077
involv,1680
strongli,221
visit,5034
meet,13069
custom,3142
matter,905
happi,2168
act,960
anchor,49
inform,12157
flow,859
mean,2020
Lu,854
21/03/2000,2
19:31,4
ahmad/lon/ect,220
gibner/hou/ect,1960
get,10096
redo,15
exposur,597
cpi,81
risk,13050
huge,328
mani,3299
contract,3389
sign,1606
ee,3516
aduit,6
prof.,598
D.,1123
duffi,717
We,13512
ad,1070
featur,1471
send,6350
version,2512
mayb,746
worthwhil,72
discuss,6952
user,3083
valuat,2049
ahmad,243
03/21/2000,38
11:31,45
lu/hou/ect,885
're,1421
arriv,851
post,1223
ask,4180
give,5076
natasha,56
contact,7634
congress,431
full,1897
copi,4468
brochur,517
panel,766
oliv,378
+44,1024
0,1401
20,2416
7484,286
agre,1549
speak,2086
magazin,601
annual,1198
2000,10762
place,2479
boston,588
12-15,24
june,2495
2000.,24
postal,115
detail,3383
hard,882
hotel,1807
present,8258
part,2812
moder,125
shortli,294
meantim,203
view,2019
and/or,977
download,1447
follow,7661
web,3464
www.riskpublications.com/risk2000u,8
n't,6183
hesit,603
best,5556
bennett,309
senior,1238
confer,7732
direct,2168
9880,69
public,2577
28-29,136
haymarket,197
sw1i,126
4rx,125
fax,6010
9800,85
risk.co.uk,479
www.riskpublications.com,98
tom,1723
name,4477
home,2131
like,11399
good,4822
morn,2889
furnish,69
directori,797
halliburton,157
titl,1361
eb1957,3
5-8539,3
telephon,1312
wife,317
birthday,119
group,12108
staff,1225
everi,1374
thursday,3681
11:30,457
1:00,393
EB,579
30c1,56
lunch,2117
kind,1379
sandwich,50
salad,59
drink,228
3-5290,273
arrang,1961
time-keep,3
train,1477
kevin,3479
mike,3360
brad,628
keep,2020
futur,3095
G,1119
moore/hou/ect,641
keeper,11
Me,49
....,590
08:12,60
crenshaw,2253
07:27,11
mcsherry/hou/ect,38
william,2067
smith/corp/enron,465
Re,7341
HI,42
howev,2667
might,2763
idea,1956
sam,614
smith,1230
mcsherri,45
03/20/2000,35
05:38,79
lydia,52
cannon/hou/ect,6
rosalinda,74
resendez/hou/ect,44
donna,651
baker/hou/ect,70
lydia/rosie/donna/shirley,5
implement,1582
sap,255
HR,727
7/1/00,12
modul,326
program,5878
Do,1916
forget,169
near,570
system,5892
volatil,2697
price,13065
yesterday,1145
option,7430
spreadsheet,884
distribut,1886
averag,976
23,1033
paul/cassim,3
captur,412
regulatori,622
cap,840
adher,36
broken,85
attach,7960
nail,42
valu,2998
arbitrari,136
first,4589
convert,320
scenario,441
q2-q3,3
swap,889
equival,187
achiev,515
fit,911
normal,941
match,489
one,9524
specifi,405
standard,1684
deviat,466
graph,319
illustr,157
method,1005
exampl,1461
annualis,6
come,4512
approxim,676
impli,349
regular,486
asian,419
payoff,54
depend,725
daili,1417
spanish,107
Q2,14
Q3,8
show,1509
15.3,13
pta,3
per,3192
kwh,43
schedul,5405
allow,2429
enron_develop,2278
ga,7293
associ,4074
julian,116
next,5821
forecast,1716
weather,3606
term,2271
capac,2029
grant,2272
masson,485
diego,139
bernardo,20
mario,81
santiago,24
argentina,171
market,14894
improv,1194
hydrolog,34
suppli,1948
phase,594
reservoir,59
develop,6190
pool,470
michael,1950
jeff,2541
kabel/enron_develop,12
rodolfo,8
freyre/enron_develop,12
hollweck/enron_develop,12
andrews/enron_develop,12
aguilar,18
benitez/enron_develop,12
porta/enron_develop,12
BA,23
soon,2546
load,1083
incorpor,503
short,1483
long,1716
natur,2866
demand,1845
histor,908
temperature-daili,12
hourli,265
min,474
max,533
humid,19
cloud,39
cover,1939
region,1338
data,4619
start,3292
okay,195
17/03/2000,2
10:35,37
guerriero/enron_develop,19
doe,2916
tuesday,3224
afternoon,1409
everyon,1178
intern,3165
guerriero,33
03/17/2000,106
03:49,51
poole/enron_develop,6
argentin,43
spoke,787
histori,367
date,6252
summari,1494
lead,1989
benitez,6
hollweck,6
andrew,619
porta,6
complet,3064
befor,3402
1,6811
winter,621
scope,396
advanc,1421
basic,756
build,1922
thermal,84
pipelin,1052
rate,3502
well,5799
head,1449
i-data,6
remot,262
monitor,579
aireal,6
devic,313
laser,16
snow,60
pack,263
densiti,13
mass,73
ii-,8
iii-natur,6
advantag,536
fact,1061
two,4525
collect,672
mfg,35
shall,5095
lawyer,380
session,1624
helyett,238
vacat,869
famili,720
It,6852
spring,753
break,846
stanford,1699
calistoga,3
napa,5
valley,107
famou,24
miner,44
water,738
geyser,3
talk,5260
karla,222
back,4084
speed,624
side,858
typic,380
sit,416
unless,500
american,1580
tend,185
meticul,6
whi,878
citi,887
lo,126
angel,109
alon,257
entir,616
japan,419
site,3312
softwar,2390
europ,1420
honor,364
chair,1399
dure,2716
bacheli,26
world,4004
colleg,635
de,1334
franc,233
mind,1040
repeat,255
francfort,7
pari,417
octob,2191
4,3437
5,3264
fine,798
frankfurt,13
went,508
quit,1004
nice,695
wih,13
alex,1481
p.,831
offic,5478
410,248
5396,222
clayton,856
eb1943,4
march,2778
23rd,269
erica,23
12:16,30
move-team/epsc/hou/ect,12
vasant,2594
shanbhogue/hou/ect,843
vernon/corp/enron,223
19th,460
churn,44
vernon,285
eb1952,2
He,3647
3,4428
box,1412
label,145
deliv,1196
weekend,1118
`,3002
jinbaek,821
__,532
auction,1015
_,587
kim,958
vince.j.kaminski,7144
enron.com,18789
answer,1531
......,363
summer,3170
coordin,1641
'll,3162
internship,906
servic,7910
2,6377
advisor,401
whether,1735
http,16468
much,3997
ieor.berkeley.edu,602
dr.,1983
sorri,1581
still,2850
live,923
offer,4738
interest,8498
forum,812
busi,9056
warm,330
ph.d,331
candid,1913
dept,701
engin,2293
oper,4130
u.c.berkeley,149
//www.ieor.berkeley.edu/~jinbaek,124
Go,562
bear,341
'._,124
.....,301
_.-0-._,124
._,124
_._,124
-',124
.......,157
........,149
On,1677
mar,822
appreci,2998
thing,2085
'd,1218
paper,3684
onlin,2178
appropri,999
e-procur,84
fargo,59
e-marketplac,64
broadband,757
relat,3027
frame,209
cours,3459
fri,1293
wa,12099
deal,2548
bench,135
martin,2620
3.,81
right,2705
eb,1143
07:16,19
03/15/2001,69
01:12:32,23
late,933
took,568
final,2382
almost,506
dont,97
turn,1169
august,1755
say,2420
june.4,26
august.4,26
sever,2114
Is,1140
suggest,2769
OK,581
settlement,269
second,1474
abl,2743
dealbench,63
ross,276
suresh,146
valid,386
write,2160
layman,39
benefit,1187
buyer,386
seller,252
particularli,453
revers,482
explan,140
multi-vari,26
effici,787
price-onli,26
true,908
particip,3855
recommend,1801
success,1690
type,1962
suit,909
versu,212
seal,76
bid,1012
quot,513
opinion,731
strategi,1361
trend,418
privat,1044
identifi,1065
recent,2611
90+,39
obtain,812
approv,2735
creat,2311
list/bibiliographi,26
relev,668
literatur,125
hyperlink,129
consult,1490
third,723
haa,76
school,3879
22,1162
ari,46
segev,48
bank,2397
role,1198
key,1589
player,607
along,1154
citibank,112
speaker,2461
see,7773
perspect,679
link,2023
news,1353
//www.internetweek.com/story/inw20000808s0001,26
fourth,218
My,3141
studi,2166
architectur,137
read,2296
burden,143
easi,606
mon,654
though,728
welcom,909
03/04/2001,30
03:45:40,30
tell,1030
on-going-project,30
understand,2372
less,978
refer,1271
probabl,1636
mid-may,45
mid-juli,45
month,3409
03/02/2001,128
04:43:06,35
Of,658
wonder,1160
compani,9044
surech,38
raghavan,80
express,1068
settl,171
adjust,394
anyway,397
smoothli,80
misc,43
find,4485
rent,158
car,505
etc,1697
avail,5518
without,1468
delay,988
machin,705
desktop,540
high-end,42
comput,2080
ram,209
800,353
mhz,60
17,1223
IT,1654
equip,601
imag,7113
PC,487
512,771
MB,31
flat-screen,10
12:17,30
davidson/corp/enron,14
mark-,14
davidson,36
whatev,290
buy,1938
co.,738
0011,150
RC,169
100038,135
screen,410
anyth,1140
els,1070
04:25,41
ye,1011
ok,236
09:34,44
08:52,69
clayton-,7
coupl,932
-enron,48
-all,7
must,1606
pentium,29
iii,253
128m,7
bump,42
feel,2580
1ghz,8
processor,136
becom,1306
avoid,384
deploy,224
ca,496
multitud,28
reason,1320
hope,4922
questions/concern,7
x,397
39038,7
03/14/2000,36
03:39,47
requir,3537
ultra-high-end,7
perform,1967
calcul,1347
excel,1244
boss,383
'm,2540
compaq,125
850,10
richard,1616
rep,131
600,91
seri,1232
resolv,364
sophist,182
money,1084
sincer,2154
manag,14524
dawn,329
perfectmeeting.com,74
scovil,61
david,3141
chang,5351
event,3263
origin,2185
messag,12073
sobotkad,14
kochind.com,127
Cc,2376
overlap,61
plu,806
specif,1883
vkaminski,2608
aol.com,4092
friday,5016
5:38,7
leav,1541
yet,1327
window,1090
make,7894
close,1695
fast,494
let',14
earlier,1040
04:33,75
03/16/2000,58
08:02,15
sobotka,15
koch,162
intend,1738
portion,352
surviv,153
paradigm,153
add,970
page,1908
treatment,201
deriv,4218
primarili,326
evolut,163
structur,2114
execut,2464
updat,3433
deadlin,814
07:53:47,15
includ,6270
anticip,381
shirley.crenshaw,872
monday,4166
13,1201
1:56,36
electron,1509
file,6309
fpl0400.ppt,29
24,1330
16,1116
9:02,22
dear,4884
ms.feldman,14
enclos,514
d-g,123
agreement,1982
interested.w,7
deliber,61
left,1558
blank,176
appendix,133
workstat,75
dr.kaminski,20
decid,1105
appendices.doc,7
contract.doc,7
H,456
lyett,25
geman,279
professor,2424
univers,6091
IX,20
dauphin,48
essec,17
jeff=20,18
rodolfo=20,4
diego=20,4
bernardo=20,4
aguilar=20,4
santiago=20,4
precipitation=20,4
it=01,92
ok.,140
confim,2
earli,1351
o=,387
ur=20,21
class,1955
enron_development=20,2
julian=20,2
the=,859
we=,117
here=,5
.=20,97
in=,323
to=20,416
forecasti=,2
ng,112
model=20,10
head=20,2
transmission=20,2
t=,687
he=20,237
process=20,5
schedul=,17
ed=20,116
data.=20,2
cera,1813
multimedia,191
webmast,430
northeast,278
spike,271
url,1014
client,1188
director,3502
cera.com,748
15,2120
replay,144
implic,298
refin,389
cambridg,701
04:58,87
03/15/2000,41
04:51:55,4
undisclosed-recipi,87
bcc,533
wednesday,3190
e-mail,8465
categori,588
//www.cera.com/client/nag/media.cfm,12
//www.cera.com/client/nap/media.cfm,16
//www.cera.com/client/rp/media.cfm,4
8,2271
joe,1059
sannicandro,22
veno,14
demetri,11
karouso,11
electr,4660
oil,2332
interplay,7
fuel,793
disentangl,8
inventori,282
run,2224
uniqu,459
listen,280
click,3383
abov,1731
contain,1900
inc.,1969
confidenti,1579
privileg,798
unauthor,334
disclosur,567
content,1219
whole,655
strictli,575
prohibit,632
//www.cera.com/tos.html,94
questions/com,384
copyright,821
att1.htm,243
oracl,85
8i,10
util,2289
global,2494
technolog,3418
base,2944
manual,365
via,1442
step,954
microsoft,871
odbc,19
icon,141
menu,160
mobil,522
environ,754
applic,2951
network,5268
upgrad,549
instal,861
access,3640
retriev,63
connect,871
proper,169
driver,164
re-popul,3
co-oper,36
scott,1271
williamson,41
infrastructur,382
krishna,736
ravi,997
commun,9104
ebs/research,2
offsit,213
hetzel,22
except,798
mandatori,129
11:41,28
thuraisingham/enron,353
ebs/upp,1
research/eb,1
skill,2052
hannon,120
ken,989
rice,1844
hirko,45
yeager,63
griebl,293
bloomer,40
gro,106
jean,211
mrha,63
dorn,62
dian,139
kenni,52
burrough,11
kelli,222
jim,1711
irvin,83
dayn,56
relihan,8
ted,791
seitz,16
phil,404
sisnero,50
ming,80
Li,654
ahi,15
kristi,107
carn,36
thuraisingham,192
samer,301
takriti,85
chonawe,700
supatgiat,227
shalesh,782
ganjoo,292
roman,495
zadorozhni,109
lin,368
samar,7
khleif,7
gibner,1075
shanbhogu,736
krishnarao,533
maureen,1506
raymond,686
castaneda,25
tanya,2178
tamarchenko,716
anyon,1187
1st,524
project,6718
organ,1676
driven,167
froward,12
us.arthurandersen.com,250
dynegy.com,188
reliantenergy.com,126
tractebelusa.com,63
ect.enron.com,976
entergy.com,71
