_______,141
pleas,17059
attend,2532
weekli,984
meet,18686
septemb,1748
locat,1807
video,923
call,13759
sherri,998
thi,63428
By,4534
confer,5259
execut,7471
committe,8760
date,5160
monday,5198
25,1827
time,20591
11:00,211
a.m.,814
cdt,165
50th,120
floor,1497
boardroom,93
connect,1233
establish,2238
remot,275
upon,1318
request,6157
conf,216
AT,536
T,1027
line,7274
reserv,5597
contact,5846
sera,299
713/853-5984,46
katherin,188
brown,1494
713/345-7774,22
dial-in,70
number,8219
passcod,135
indic,2693
whether,4926
plan,16060
medium,168
ye,584
person,2930
No,3240
return,3476
e-mail,19981
respons,7475
12:00,184
p.m.,1380
friday,4484
22,951
thank,9869
activ,3775
next,9043
week,12994
intern,5091
resourc,4298
In,15784
advanc,1417
visit,1973
could,16275
prepar,3534
list,5597
prioriti,910
current,8088
underway,362
goup,5
domest,758
sens,1124
level,4280
commit,2345
extern,1175
might,4533
also,18601
help,9016
respect,1621
short,2676
mid,395
long-term,3021
object,1553
e.g,186
.valu,5
creation,363
identifi,1885
veri,7367
much,8431
look,7681
forward,19057
see,9950
enron,89083
mark,10596
palmer/corp/enron,1677
02/10/2000,85
whi,2425
commerci,3361
wa,32724
name,4290
nice,410
note,5894
06:37,55
PM,19466
mari,3631
berg,35
10:51,54
AM,12888
To,25070
cc,18043
subject,22334
ask,7841
campaign,2246
work,15513
8,1857
1/2,157
year,20204
worth,1318
realli,2002
enjoy,670
recent,6207
ode,11
imageri,12
past,3786
struggl,590
shown,447
video-clip,5
first,8614
class,1160
saw,753
ad,3917
TV,450
caught,256
attent,1061
knew,313
like,14207
even,7264
befor,7002
realiz,681
congratul,373
believ,5165
best,4503
advertis,655
seen,1932
yet,3255
read,1471
brief,2618
articl,2866
morn,2375
may,17125
find,5858
interest,7450
appear,3150
microsoft,567
spell-check,5
dictionari,17
word,1705
2000,10923
releas,4620
certainli,921
becom,3249
household,638
steve,10330
busi,16733
kean,4560
If,11290
possibl,5892
get,14785
close,3972
leav,2165
sunday,869
maureen,2235
____x___,19
sign,4279
public,10364
phase,1550
ha,42917
delay,1755
agreement,6037
II,790
lago,82
project,10457
power,61142
statement,3018
apachi,124
manag,9885
success,2394
least,3258
two,11448
renegoti,652
state,42080
548,13
megawatt,4278
plant,16642
part,6018
ppa,894
origin,1936
decemb,2614
1999,2212
per,6125
discuss,10780
sought,610
avoid,1927
undu,108
result,5277
presid,8249
clinton,792
nigeria,126
august,2196
26,943
27,1100
still,6862
risk,5103
governor,9127
talk,6489
expect,7969
report,16580
focu,2221
emerg,3836
barg,76
anticip,972
signific,2895
furthermor,214
habiba,19
care,1210
develop,10458
minim,359
nepa,75
govern,9299
agenc,4093
mitig,1038
ani,19249
leak,397
attach,13540
Q,731
As,7428
use,15788
qwest,96
commun,9993
fiber,207
kri,35
press,5150
exchang,4270
karen,3340
rout,493
jacksonvil,14
via,1267
tallahasse,32
denne/corp/enron,1326
caldwel,33
updat,3829
mention,1794
relat,4102
caldwell/enron,12
02/10/00,12
matt,215
expansion.doc,12
fyi,2481
announc,4610
schedul,5806
issu,17979
tomorrow,2365
howev,5899
eb,1109
due,4520
sensit,378
pend,804
uswest,6
deal,9186
term,4465
gave,1168
access,5169
denver-to-dalla,6
receiv,7154
new,28603
orlean,35
charlott,108
louisvil,37
atlanta,209
nashvil,97
question,8446
kd,126
05:06,37
04:46,32
left,1883
voicemail,340
doe,7420
n't,18173
1000,220
mile,783
spoken,288
acquir,984
let,6940
thx,56
inc.,7097
503,60
886-0269,6
02:35,60
matt.barkett,6
qwest.com,6
08:18,71
kris-,6
latest,1557
chang,9682
last,12664
night,1300
later,2811
bottom,574
us,7558
disclos,803
inform,13444
write,1016
prior,1618
analyst,3895
onli,10466
