babi,102
nichola,22
tamara,19
new,571
happi,73
announc,37
arriv,22
boy,29
philip,7
arlinghau,35
born,11
thursday,171
12/14/00,7
2:53,7
p.m.,21
6,135
pound,10
5,221
ounc,7
19,78
inch,33
great.,7
enjoy,50
pictures.,7
post,82
web,73
site,94
click,237
stork,7
go,476
photo,18
http,2862
//home.swbell.net/paulw,7
-paul,7
2,473
days.jpg,7
mother,22
baby.jpg,7
family.jpg,7
first,199
christmas.jpg,7
playoff,155
thi,1866
superbowl.com,12
fantasi,584
challeng,20
free,537
nfl,130
sign,169
start,593
week,852
player,289
scorer,6
scout,35
messag,597
email,325
respond,84
join,33
miller,36
lite,6
offer,150
excit,35
way,155
footbal,180
on-lin,14
readi,62
power,108
sportsline.com,157
play,423
//fantasy.superbowl.com/,3
r=essb1211,3
prior,23
wild,6
card,55
game,642
dec.,20
30-31,6
abl,130
assembl,15
team,269
prize,12
award,38
high,52
overal,11
top,141
super,16
bowl,31
although,45
offici,12
kick,10
give,111
plenti,5
statist,28
report,279
right,227
So,64
today,124
get,696
headstart,3
think,246
score,83
point,128
postseason,17
ha,603
provid,105
charg,60
oblig,15
If,395
prefer,38
receiv,427
natur,49
pleas,557
remov,104
commissioner.com,65
Do,216
directli,34
wa,802
sent,454
tkuyken,137
enron.com,483
tori,786
forward,364
kuykendall/hou/ect,250
04/27/2001,28
01:40,8
PM,659
kuykendal,368
04/23/2001,12
11:51,4
AM,661
To,872
melba,71
lozano/enron,8
enronxg,26
enron,466
cc,283
subject,761
RE,96
ep,33
blanco,98
avg,46
let,259
30th,7
monday,225
may,433
1st,24
trade,227
product,310
04/20/2001,8
08:19,7
lozano/hou/ect,16
hey,177
guess,56
come,207
longer,39
need,329
make,271
restrict,91
ahead,30
chang,204
fix,50
index,65
back,383
normal,50
unrestrict,16
know,506
01:14,4
tom,43
broderick,8
tbroderi,8
czn.com,8
12:54:37,8
tori.kuykendal,109
deal,144
confirm,41
correct,19
volum,63
price,181
quot,43
vvmed,8
04-27-01.xl,8
01:13,4
look,336
good,284
cancel,28
agre,40
astra,17
address,204
agent,325
4/25/01,6
2640,6
a116,6
2527,6
2587,6
reconfirm,3
one,428
disregard,3
mispel,3
socal,41
As,75
discuss,26
incorrectli,3
two,218
imbal,4
detail,64
toni,40
socalga,3
said,266
send,237
request,48
date,196
buyer,14
seller,6
therm,3
445,730,3
444,270,3
gtcalendar,3
socalgas.com,3
indic,39
also,209
hit,43
repli,113
sinc,90
'd,109
call,158
downstream,3
contract,115
thank,430
park,39
wesson,11
llc,14
pwesson,3
astraoil.com,3
nomin,61
e-mail,450
2001,641
purchas,112
line,99
month,168
PG,68
loss,53
3,000mmbtu/day,23
apea,27
ga,282
3,236
1,000mmbtu/day,22
strip,24
4,163
We,324
ani,514
time,659
steam,17
unit,43
increas,37
04/26/2001,4
07:29,8
endo,17
steven,46
sendo,14
ci.pasadena.ca.u,14
04/25/2001,4
10:24:35,4
kim.ward,8
jan,33
sutherland,14
jan.sutherland,8
suzann,51
christiansen,16
suzanne.christiansen,8
all-,8
total,84
10,526mmbtu,4
per,56
day,393
odd,11
number,206
made,89
sum,6
follow,121
1,607
4,026mmbtu/day,4
engag,25
malin,10
net,18
enw,12
4,135mmbtu/day,10
kingsgat,10
balanc,18
year,323
behalf,11
azusa,10
7.71/mmbtu,10
2,000mmbtu/day,14
separ,19
500mmbtu/day,10
march,45
feb,34
7.63,10
E,97
decreas,11
april,43
2.63,4
sold,20
still,235
oper,77
onli,210
broadway,10
sometim,37
fourth,20
bring,52
At,24
temperatur,8
possibl,83
iso,7
begin,99
pay,62
gener,54
expect,274
fuel,15
usag,18
actual,64
reach,46
occasion,9
exceed,8
question,304
contact,167
-steve,20
want,306
see,366
bike,38
ride,18
went,58
pat,72
got,169
job,85
anyway,108
write,112
chanc,79
ect,459
04/24/2001,20
M,66
admin,14
asst,12
gift,121
certif,37
03:30,4
03:31,4
moniqu,34
sanchez/hou/ect,16
keith,45
holst/hou/ect,16
phillip,66
K,98
allen/hou/ect,29
frank,129
ermis/hou/ect,23
mike,171
grigsby/hou/ect,19
jane,41
tholt/hou/ect,30
matthew,56
lenhart/hou/ect,16
randal,76
L,96
gay/hou/ect,38
jay,76
reitmeyer/hou/ect,16
susan,152
scott/hou/ect,20
someth,141
ina,51
tomorrow,59
take,212
collect,28
10,203
person,197
foley,12
okay,34
everyon,96
probabl,137
tonight,27
dont,61
stick,11
share,26
bill,80
happen,58
last,326
12/13/2000,18
bracepatt.com,23
file,128
version,30
fyi,12
rebecca,53
W,56
cantrell/hou/ect,28
04:18,7
rich,37
rrich,13
04:13:55,7
jeffrey,14
watkiss,7
dwatkiss,7
jhartso,7
jsteff,7
llawner,7
rebecca.w.cantrel,7
richard.b.sand,7
snovos,7
final,114
comment,44
san,109
diego,46
electr,56
matter,36
ferc,35
attach,127
sandiego.doc,7
life,69
hotmail.com,241
answer,133
yahoo.com,130
integerdenver.com,20
23,77
apr,24
maley,20
someon,50
signifi,20
descript,53
lama,16
merlinm,16
aol.com,419
cmaley,16
-0000,16
true,26
impli,16
improv,50
smile,29
eric,51
groovi,12
uswest.net,12
smtp,31
chri,178
veri,180
surpris,32
wish,58
befor,160
put,123
favorit,132
lenhart,33
ee,41
commun,93
fr,8
dali,8
andrew,40
kate,12
mark,95
uri,8
ryan,43
scott,93
qmail,8
invok,8
uid,8
0,764
18:51:27,8
mail4.uswest.net,8
18:51:26,8
quickmail,8
pro,59
mac,10
-0600,25
chuck,28
dalai,8
read,161
work,263
test,74
cheat,8
like,465
along,33
finish,29
honest,15
cow,8
tiger,12
sheep,10
hors,8
pig,8
dog,47
cat,98
rat,8
coffe,39
sea,50
color,98
repeat,9
yellow,8
orang,13
red,27
white,76
green,93
realli,136
interpret,8
love,178
mantra,8
next,151
least,80
10:02,18
09:47,4
timothi,8
blanchard/hou/e,4
chad,14
landry/hou/ect,4
bryan,35
hull/hou/ect,4
lui,4
mena/na/enron,4
lisa,29
gillette/hou/ect,4
bass/hou/ect,16
val.gener,4
accenture.com,71
mmmarcantel,4
equiva.com,4
tlenhart,4
corealty.com,4
shanna,7
husser/hou/e,4
paul,23
T,61
lucci/na/enron,4
ken,37
shulklapper/enron,4
09:42,4
07:57:00,4
clark,7
amc_97,4
evan,35
r38882,4
email.sps.mot.com,4
b-game,4
chadburlingam,4
billi,13
o'sullivan,4
osullb,4
