Hi,369
We,3053
receiv,1546
e-mail,1960
rosale,753
ken,3435
lay,3530
michael,564
milken,47
mmilken,7
knowledgeu.com,31
07/02/99,4
10:21:40,4
AM,923
To,4026
kenneth,808
lay/corp/enron,269
enron,16762
cc,1146
subject,2133
test,212
night,215
jose,90
lui,97
plan,2346
fli,51
like,2025
saturday,177
parti,313
miami,57
afternoon,244
octob,1382
1,1131
friday,689
meet,2958
stay,220
whichev,8
hotel,248
think,892
candid,376
If,1933
possibl,738
would,3968
go,1135
us,1911
get,1530
opinion,177
well,2142
mention,236
ride,50
back,689
houston,1697
around,397
lunch,145
time,4100
sunday,120
spca,3
ball,32
appear,236
may,1864
also,1751
onli,1031
abl,558
attend,931
let,1077
know,2258
thought,502
engag,136
liz,206
agenda,319
discuss,1213
document,224
23,176
may.doc,6
sec,223
23.doc,9
dear,821
attach,1293
paper,289
next,1094
tuesday,480
pleas,5303
note,567
4,586
6,412
p.m.,546
By,364
thursday,518
send,874
notebook,98
feder,334
express,293
materi,330
background,171
inform,2671
best,1049
regard,1199
jeff,819
2000,1763
chairman,757
award,263
success,709
gentlemen,48
thank,2479
letter,494
memori,89
nomin,59
It,1243
privileg,131
part,564
organ,724
mani,2068
promot,184
cash,177
bonus,17
commend,8
dure,1709
career,124
consid,435
recognit,119
nomine,14
signific,255
acknowledg,40
perform,412
ever,207
My,457
compliment,29
make,1525
one,1803
excel,205
compani,7174
globe,20
wish,412
could,1197
contribut,546
growth,349
continu,815
sincer,1510
RW,3
blakemor,3
wind,87
energi,5589
system,831
corp.,330
center,726
advanc,312
technolog,1009
descript,42
propos,489
field,200
studi,381
program,1181
beal,34
project,826
fyi,74
barbara,160
enron.com,1505
thi,10397
kenneth.lay,459
ramsay,13
ministeri,61
chair,185
good,1043
news,483
come,779
earli,315
new,4600
year,3318
provid,2880
develop,1539
season,138
wcramsay,3
-origin,466
messag,1493
mailto,436
sent,1177
decemb,506
07,23
7:50,3
PM,1208
william,298
iea/exd,3
Cc,138
joe.hil,12
rob.bradley,23
tori.l.wel,16
iea,47
ministerial/oecd,3
mr.,2633
In,1483
request,861
forum,625
segment,68
join,647
dinner,388
session,384
said,843
delight,63
particip,1032
look,1208
forward,1231
addit,851
govern,816
board,1320
ha,3825
i2.com,364
eagl,47
present,745
bod,33
shea_dugg,49
keith,100
shea,83
12-07-00,14
v4-1.zip,14
great,885
day,1342
warm,61
12/06/2000,7
01:38:30,4
bcash,26
interwest.com,19
romesh_wadhwani,23
sandy_tungar,26
vistaar.com,45
sanjiv_sidhu,23
greg_bradi,18
tom_meredith,26
dell.com,58
bill_beech,23
david_beck,20
robert_donohoo,23
keith_larney,7
doug_linebarg,7
antonio_boccalandro,7
kevin_smart,7
claudio_osorio,10
ken_belang,4
tim_leisman,7
infinitecontent.com,7
final,473
larney,46
find,653
packag,163
transact,1145
tomorrow,196
hesit,154
call,2124
469-357-4497,34
ani,2332
question,1091
comment,535
____________________,37
dugger,49
legal,208
dept,55
tel,240
469-357-4195,39
fax,1000
469-357-6566,37
dugger/dallas/us/i2tech,10
12/06/00,10
01:23,11
see,1505
file,518
hi,1903
interest,1103
son,73
richard,392
recent,763
sold,1188
dot.com,30
work,2082
kpmg,14
consult,243
He,1066
move,580
texa,556
copi,575
resum,141
hear,423
anyth,218
might,418
fit,104
keep,1648
mind,151
Is,170
truth,56
rumor,44
secretari,289
treasuri,44
nanci,125
georg,321
rpgresume.doc,3
leadership,488
cornel,88
case,413
commun,2284
school,455
march,358
event,1039
kevin,223
week,1257
leader,535
corpor,1091
As,2199
johnson,106
two,996
confer,1188
want,1484
busi,2870
email,1242
chanc,201
hope,1036
point,516
2001,1547
veri,1376
presid,1178
someth,282
activ,582
recruit,114
sever,584
becom,394
involv,374
issu,1536
pretti,83
includ,1442
corn,31
american,1671
thing,458
appreci,503
hannon/enron,88
11/29/00,26
idea,352
help,2631
believ,722
lead,642
dynam,57
market,1984
faculti,81
student,179
speaker,366
made,4008
focus,187
live,1491
28,197
kind,209
line,579
ford,37
shot,55
still,509
teach,109
creat,451
manag,1918
austin,135
befor,1769
begin,346
rosi,360
hannon,40
11/29/2000,7
08:51:27,7
skilling/corp/enron,107
fleming/corp/enron,101
sherri,242
