cotton,11
bowl,78
impress,45
girl,404
mayb,194
whi,470
n't,3983
understand,115
deep,38
misunderstood,2
hi,1320
man,412
woman,192
ass,253
mouth,121
get,2772
whale,30
tast,42
one,1365
give,580
dirti,73
back,1049
batter,24
like,1577
semen,24
thi,5586
partner,79
abov,89
shit,230
sanchez,37
insert,40
finger,40
face,185
appar,38
eye,125
anu,18
fanni,22
dutch,21
12/19/2000,12
PM,4905
enron.com,7633
',2430
toss,13
salad,16
eat,116
use,1404
reach,90
around,406
moustach,12
shitstach,12
know,1704
wrong,75
dog,499
bathtub,12
nut,46
keep,285
stand,120
found,112
peni,79
come,725
anoth,241
ball,163
call,1098
vagina,14
're,419
head,365
pull,126
front,108
fart,40
oven,12
beef,12
beer,153
make,925
sweet,166
also,603
bodi,50
forward,1220
matthew,4190
lenhart/hou/ect,906
01:31,7
rincon,7
jaim,21
jarx,10
pge.com,11
12:18:52,6
To,8243
'matthew.lenhart,74
matthew.lenhart,6066
cc,1205
subject,7495
FW,835
1,428
cleveland,29
steamer,6
act,81
hover,6
his/her,6
chest,19
2,546
term,140
wa,2938
segment,6
hbo,8
prison,57
documentari,7
3,335
rusti,6
trombon,6
process,57
person,386
guy',6
hand,166
job,174
4,424
fuck,201
doggi,30
style,78
shitti,20
5,366
slimi,6
snatchita,6
basic,38
concept,6
instead,74
bloodi,16
wo,171
anyth,276
morn,232
awak,15
crusti,6
dry-blood,6
6,289
schultz,12
except,96
7,178
In,223
attempt,45
anyon,556
would,1191
want,1114
mind-boggl,6
difficult,35
8,202
samoan,6
pile,19
driver,33
sexual,18
posit,154
occur,38
woman',6
bed,296
perpendicular,6
upsid,19
point,319
gig,6
due,166
south,91
simpli,51
bend,9
knee,152
repeat,49
stroke,19
9,160
privat,90
ever,178
see,883
blue,41
humpback,6
sperm,30
killer,6
etc,24
If,1296
check,434
issu,154
nation,130
geograph,13
10,458
balloon,8
knot,6
backdoor,6
poop-chut,6
fudg,6
factori,8
asshol,67
11,1401
coney,9
island,28
whitefish,6
condom,18
usual,96
float,8
water,85
12,604
new,1208
jersey,24
meathook,6
screw,35
feel,360
cervix,6
effect,98
behind,68
13,172
boston,77
shocker,6
stick,51
put,284
14,170
snowbal,6
spit,12
15,470
teabag,12
dip,9
16,304
britain,6
cours,159
beauti,74
homemad,22
lubric,6
It,425
alway,251
limey,6
roll,69
order,135
fish,12
chip,8
ask,344
haddock,6
extra,73
17,110
brushback,6
pitch,12
yell,35
Up,29
quickli,50
dick,41
ear,25
18,253
cropdust,6
spoon,30
accident,6
sneak,20
bush,67
crop-dust,6
19,140
entrap,6
unsuspect,12
sleep,280
world,117
odor,6
cover,249
well,532
sort,13
thing,477
20,217
treat,43
unexpect,7
result,109
gone,68
terribl,64
veri,428
messi,6
inde,6
21,98
fountain,9
youth,6
sit,80
jerk,53
madman,6
22,198
tupperwar,6
parti,1038
three,254
guy,633
triple-team,6
chick,158
third,60
So,109
name,406
becaus,311
air-tight,6
23,142
arabian,7
goggl,6
seldom-seen,6
maneuv,18
involv,58
testicl,7
satchel,6
spread,26
wide,96
place,559
ride,73
thu,54
rest,104
goggle,6
socket,6
24,255
curtain,7
shank,6
remain,110
labia,6
stretch,33
play-doh,6
hour,278
jimmy-jam,6
a.k.a,9
drape,6
meat,10
tarp,6
piss,121
flapper,6
quim,6
vertic,12
bacon,9
sandwich,9
letter,53
editor,35
've,320
heard,252
stori,290
variou,18
peopl,339
food,83
liquid,28
affect,42
reason,105
without,126
no-no,6
caus,36
bad,301
On,123
plu,78
side,107
though,220
pineappl,6
juic,6
onli,687
good,1257
'fake,6
sugar,7
nutrasweet,6
equal,14
sweeten,6
drink,284
diet,9
coke,9
pass,417
unprocess,6
origin,371
form,62
jazz,10
fest,6
still,646
never,242
go,3812
yeah,311
town,295
weekend,1017
someth,332
fri,328
defin,137
saturday,312
think,1650
jen,286
cougar,57
friend,438
read,269
bottom,49
email,623
idea,96
gift,65
sure,375
courtney,18
walker,43
share,99
special,224
memori,102
buy,254
let,1106
much,459
owe,41
us,491
night,1158
got,793
hotel,129
room,195
caymen,34
six,106
880,8
stay,343
176/ea,8
thurs-sat,14
better,527
dad,95
bunch,51
booz,39
schrutt,3
take,962
somewher,73
nice,324
rehers,7
dinner,358
date,569
watch,429
seri,45
tri,589
could,648
start,939
hard,135
look,1082
st.,149
loui,72
ha,1368
interest,182
next,559
b/c,515
probabl,312
tv,27
normal,61
time,1341
classi,10
05/10/2001,40
12:05,18
ken,79
shulklapp,8
enron,5900
commun,721
11:14,52
AM,3667
ect,1670
daniel,95
diamond/enron,4
enronxg,46
funni,194
heck,9
branded.mpg,4
beach1.mpg,4
boat3_~1.mpg,4
pro_bike.mpeg,4
golf,320
doe,440
pictur,140
max,293
walk,133
flex,7
pec,7
sound,261
gay,71
season,368
readi,220
money,264
best,383
player,437
oop,29
texa,333
bet,279
win,330
championship,35
within,99
year,611
hotmail.com,2203
messag,7352
aol.com,1700
us.andersen.com,100
yahoo.com,1303
stephanie_e_friedman,84
reliantenergy.com,95
h-s.com,113
slut,91
......,126
serv,95
right,597
haha,63
may,1881
leopard.jpg,60
deloitte.com,209
mbeeri,40
hillandknowlton.com,40
aimfunds.com,62
abradford28,40
laurasperri,40
excelonline.com,43
us.arthurandersen.com,80
stephani,110
05/10/01,40
attach,726
file,1454
internet,169
inform,649
'ami,33
clemon,25
amy.clemon,39
'ann,24
anneyow,20
'brad,27
bradf,24
inqueststaffing.com,24
'carolin,25
carolinehead,24
'karen,21
k1p1,20
'kriscameron,20
kriscameron,20
'marci,26
marcyrinehart,31
'maggi,21
work,1106
'rachel,25
rachelarriola,24
'ritter,24
robert,92
H.,26
rhritter,24
utmb.edu,47
'tara,26
levinth,26
tlevinth,24
pecherski,26
svetlana,26
specherski,24
cohlmey,25
lisa,231
M,190
lcohlmey,24
'shirley,22
elliott,106
shirley.s.elliott,40
citicorp.com,34
'holli,23
korman,20
holli,21
layfam.com,20
'mattoso,21
angela,41
amattoso,20
mdck.com,20
'sam,25
missshi,24
texas.net,36
bcc,21
-origin,5666
mailto,4399
sent,6017
thursday,2152
2001,6434
2:12,45
ellie.bullard,27
mail.house.gov,43
christina,46
gulfcoastentertainment.com,27
lacypric,20
henrysmiller.com,20
kawis,27
kafriedman,20
courtneyb,20
johndaugherty.com,20
emily1009,20
elizabeth_bowen,24
alexa_cart,20
asorel,65
mbowen1025,20
mgockturtl,20
mail.utexas.edu,74
allison.f.blanton,20
vanderbilt.edu,26
amcge,20
thealexandergroup.com,20
bware,27
rnchq.org,34
christine_lawhon,20
amsinc.com,20
caleder,20
texaschildrenshospital.org,20
c.domercq,20
worldnet.att.net,35
erin.e.fowl,20
hbuch,20
kingadvisors.com,20
jana.m.dupre,20
jennspink,20
jsiff,20
central.uh.edu,27
jwunz,27
ncta.com,27
lara.wright,20
bakerhughes.com,20
mmalon,27
loomissayles.com,27
ssempl,20
sicolamartin.com,20
E.,41
friedman,20
corpor,83
tax,54
depart,64
713,192
207-3084,20
E,257
friedman/adm/houind,20
02:08,20
gemma.moor,20
us.an,20
dersen.com,20
amanda.gaskin,20
02:06,23
carrie.a.henk,20
mgmateer,20
silvia.c.melendez,20
rabitbear2,20
bear4242,20
ksm_00_99,20
leticia.ramirez,20
meredith.riekert,20
us.pwcglobal.com,29
haley.c.smith,20
wallace_ashley,20
confidenti,651
footer,24
privileged/confidenti,20
contain,673
addresse,24
indic,78
respons,105
deliveri,40
copi,690
deliv,72
case,102
destroy,54
kindli,26
notifi,218
sender,473
repli,528
pleas,1062
advis,66
immedi,188
employ,39
consent,27
kind,103
opinion,50
conclus,20
relat,99
offici,107
busi,275
firm,58
shall,70
understood,20
neither,67
given,83
endors,21
02:52,4
sorel,32
andrea,51
L,145
02:39:15,16
03:02,7
03:22,4
03:45,7
tonight,580
meet,422
grasshopp,23
need,989
joint,37
cell,92
hit,360
last,818
ani,2717
thank,767
xma,20
card,43
real,216
spa,13
whatev,242
gillett,125
loos,20
relax,97
whoop,6
everyon,247
prettiest,7
boon,168
lui,112
whoever,8
broker,30
goe,127
free,935
went,391
said,674
wed,348
hurt,76
wedn,24
thought,247
babi,129
gon,237
na,273
rock,132
sunday,687
woodland,11
hung,49
might,455
flight,134
passeng,120
pickup,10
felt,58
fine,167
