http,2694
//public.resdata.com/htmlmail/bullet.gif,19
market,4393
power,2817
mart,6
workshop,233
ga,5302
ftenergy.com,12
//public.resdata.com/htmlmail/email,6
201,10
thi,9575
energi,3253
new,3449
confer,920
mailto,309
20round,4
202.gif,4
'01,133
issu,961
exchang,241
in-depth,21
natur,1195
electr,1146
u.s.,345
three,446
analysi,311
pipelin,2327
risk,598
manag,1485
today,814
versu,65
gener,1607
storag,1016
regist,352
visit,399
If,2344
wish,128
cancel,53
promot,136
click,1034
ikristufek,4
type,311
subject,2465
line,1225
send,536
unsubscrib,149
20top.gif,2
20top,2
octob,1135
15-18,2
2001,1734
houston,1788
TX,255
georg,176
R.,52
brown,236
convent,30
center,1070
year,2160
ignit,23
Do,377
n't,1231
miss,192
opportun,581
learn,294
latest,297
well,963
network,234
industri,821
peer,24
give,541
edg,94
featur,221
arthur,9
levitt,2
former,59
chairman,463
secur,368
commiss,560
cup,2
golf,97
tournament,166
vega,116
night,174
win,150
harley-davidson,2
trader,98
happi,115
hour,362
//public.resdata.com/htmlmail/25px,1
20spacer.gif,1
sponsor,205
txu,19
track,162
includ,1506
ha,3330
divid,25
seri,124
focu,150
key,180
emerg,165
'll,392
abl,391
custom,1246
program,937
fit,71
agenda,100
pick,119
outlook,344
transmiss,457
busi,1522
scenario,72
understand,279
maxim,60
auction,160
bull,17
bear,38
identifi,227
turn,162
use,1901
technic,264
region,719
roundup,1
four-market,1
weather,777
price,3383
servic,2584
embrac,3
idea,250
volatil,226
bandwidth,37
revolut,16
We,2432
onlin,460
commod,187
trade,904
public,466
privat,147
first,890
trend,61
strategi,307
capac,2999
build,674
make,1258
expand,180
grid,65
tradit,68
reservoir,48
high-deliver,6
option,994
valu,403
asset,460
air,135
regul,304
easi,70
way,674
1,1502
//www.powermart.com/customize.asp,2
2,1047
call,2334
800-424-2908,2
toll-fre,6
within,487
720-548-5700,2
direct,345
3,650
e-mail,1194
www.powermart.com,1
inform,3312
futur,562
FT,176
20bot,2
question,1662
bill,562
answer,390
espeak,271
enron,14297
session,369
event,1148
join,781
donovan,13
ethink.enron.com,22
tuesday,600
june,586
6,369
10,626
a.m.,565
time,2084
vice,338
presid,616
properti,127
oper,1556
conduct,232
open,906
mike,581
remot,50
locat,721
ca,206
Go,158
pre-submit,51
dure,1125
schedul,1026
want,861
everyon,313
due,470
high,831
volum,876
anticip,163
would,2507
help,1276
keep,464
short,188
simpl,36
increas,1181
ethink,96
invest,261
mind,117
ET,99
S,166
photo,27
congratul,119
follow,1489
winner,74
contest,79
200,113
entri,74
submit,367
display,89
educ,89
calendar,207
kmi,81
file,1112
chang,1486
shipper,949
order,933
tariff,351
637,86
nitrogen,30
propos,687
protest,63
complianc,104
qualiti,155
indic,398
said,1617
alloc,278
right,623
comment,357
also,1661
downstream,79
coal,114
bed,26
western,799
specif,302
product,1275
ad,396
end,965
rigor,9
review,720
accord,249
imbal,148
provis,99
point,1115
curtail,44
prioriti,43
refus,53
reject,55
onli,1025
day,1842
wa,2396
decis,307
discret,22
standard,188
accept,281
primari,276
signific,277
methan,25
powder,35
river,358
impos,45
suppli,1323
note,885
see,1331
section,193
bottom,70
like,1575
ngpl,167
kinder,67
morgan,159
interst,137
attempt,127
run,622
around,341
ferc,713
wide-rang,7
rate,2072
earli,408
expedit,45
procedur,202
avoid,114
store,90
item,316
fall,209
less,299
13,282
categori,359
balanc,260
small,126
incident,8
purchas,488
sale,400
releas,415
unauthor,155
overrun,32
charg,290
miscellan,12
summari,267
maximum,229
suspens,19
5,651
rp00-316,3
say,329
case,251
repres,365
effort,403
implement,246
element,41
select,412
manner,75
design,266
minim,49
meaning,53
12,378
allow,484
intervent,34
usual,92
routin,15
feder,327
regulatori,241
allot,12
30,582
among,128
group,1085
slate,20
15,499
constitut,26
aim,9
reflect,189
current,1152
climat,45
evolv,32
practic,129
It,1066
acknowledg,28
number,890
herein,23
consist,183
advanc,293
goal,213
No,346
regard,516
neg,97
season,773
inventori,413
swap,157
matter,98
without,233
ani,2598
made,452
default,39
methodolog,31
purpos,123
inject,317
formula,35
predetermin,9
agreement,807
upstream,77
parti,427
In,1408
addit,1303
appear,224
contrari,13
637-a,6
mandat,24
move,567
path,138
bottl,6
quantiti,134
wyom,49
basin,293
content,238
resourc,602
state,1191
necessari,203
accommod,69
transfer,131
interconnect,595
six,131
seven,59
connect,383
affili,190
co.,130
america,433
similar,164
rule,199
enabl,81
transport,1191
therebi,21
foreclos,3
avail,1324
one,1403
princip,47
mean,208
egress,6
area,710
produc,334
shut,120
construct,339
costli,9
facil,730
could,924
creat,410
least,151
temporari,92
gap,30
movement,21
mid-contin,57
eastern,107
thu,126
frustrat,16
consum,157
access,784
form,622
sap,245
expens,215
report,1353
account,837
payabl,121
electron,259
enter,261
websit,242
left,204
menu,27
drop-down,12
arrow,13
macro,7
save,237
excel,124
extens,153
submiss,15
employe,1634
modifi,69
code,260
system,1686
unchang,30
cosmet,3
differ,421
longer,154
requir,953
social,40
instead,101
personnel,78
assign,246
human,154
//hrweb.enron.com,6
receipt,515
envelop,21
To,3077
home,299
page,355
go,1077
intranet,117
site,608
//sap.enron.com,6
choos,82
quick,131
refer,155
tool,174
librari,26
wait,109
load,614
ye,167
data,257
workbook,12
.xl,3
filenam,8
templat,56
.xlt,3
may,1624
print,264
spreadsheet,128
attach,1344
instruct,117
drop,159
box,150
contact,1359
expertis,36
coe,19
713,757
345-7427,3
08:00:00,24
AM,1476
attend,571
deriv,154
class,265
PM,1739
800,84
pleas,4426
juli,909
2000,2010
appli,193
7/11/2000,6
05:00:00,6
7/12/2000,6
12:00:00,13
room,283
eb552,22
particip,861
fee,215
bring,494
financi,429
calcul,83
unabl,91
registr,338
must,390
5:00,132
p.m.,624
prevent,85
RC,14
look,847
forward,1486
11,294
develop,833
team,1419
713-853-0357,12
thank,2067
cost,1077
commun,692
ymca,31
20,393
713.853.6100,27
get,1146
perkcard,18
fun,143
ivolunteeri,15
spay,6
nueter,3
assist,447
s.n.a.p,24
seek,171
volunt,531
care,276
dog,69
cat,6
vari,36
work,1462
anim,24
cleric,3
duti,38
patricia,49
roberson,16
713.862.3863,3
ihappeningsi,18
blood,87
drive,337
7,303
4,630
eb-5c2,20
appoint,132
cpr/first,21
aid,96
certifi,17
month,1063
lifesav,9
techniqu,40
famili,350
perform,526
adult,40
infant,13
cpr,17
automat,154
extern,40
defibril,9
25,323
1:00,135
p.m,121
health,193
iworkperksi,15
delay,293
offer,715
discount,369
varieti,53
merchant,254
proce,95
back,616
workperk,9
//home.enron.com/workperks/programs/,9
sign,365
middle-school,9
age,90
child,142
summer,537
challeng,146
reward,85
ton,19
children,230
valuabl,65
skill,240
recogn,105
contribut,361
enjoy,246
weekli,197
friday,1130
outing,17
recreat,12
cultur,59
160,9
two-week,15
west,879
side,213
713.467.9622,9
south,383
montgomeri,17
counti,178
woodland,55
281.367.9622,9
date,872
14,361
17,272
28,258
choic,121
isav,15
datei,15
foundat,176
literaci,43
topic,175
abus,44
credit,509
complet,876
list,1997
//home.enron.com/efcu,18
august,854
8,351
astro,41
game,262
//home.enron.com/cr,45
coverag,45
dental,23
'd,114
ginger,14
mccain,30
fact,316
benefit,420
recent,521
think,473
set,488
find,532
otherwis,81
let,1002
know,1320
06/30/2000,8
09:56,6
michel,1835
lokay/et,521
s/enron,8434
cc,1283
confirm,378
elect,194
recal,56
phone,364
convers,208
howev,533
need,1796
definit,69
clarif,22
gm,2
lokay,719
07/05/2000,16
08:42,15
mccain/hr/corp/enron,2
Re,331
contract,1766
term,932
As,859
discuss,889
staff,286
meet,1665
morn,318
provid,1504
imbed,13
',1187
i.e.,44
name,773
explan,22
much,457
notic,370
trigger,44
etc.,29
incorpor,91
tri,345
earliest,18
conveni,89
lorrain,623
draft,258
languag,133
decid,161
revis,252
TW,2250
thought,196
receiv,1135
last,1214
week,1639
veri,455
pursuant,32
've,424
address,738
limit,560
liabil,11
except,132
polici,363
probabl,161
cross-referenc,6
applic,491
condit,305
letter,376
sheet,175
redlin,12
come,1174
project,1445
yet,231
believ,328
import,449
plan,1209
pre-fil,6
coordin,172
us,1026
reason,184
becaus,599
still,633
base,663
hear,203
continu,1400
loop,106
leav,186
substant,12
befor,594
next,909
wednesday,681
possibl,550
request,2225
bush,27
ceo,278
ask,493
host,136
colleagu,44
u.s.a.,17
guest,117
speaker,145
respons,782
tremend,57
creativ,27
fellow,51
britney,5
spear,7
61person,5
outsid,223
might,248
interest,835
sampl,51
suggest,275
top,259
ten,75
jack,86
welch,7
motor,31
9,279
scott,209
mcnealli,5
sun,90
microsystem,5
satisfi,28
stephen,117
covey,5
author,336
habit,14
highli,81
effect,815
peopl,373
oprah,5
winfrey,7
talkshow,5
colin,7
powel,31
joint,44
chief,178
alan,44
greenspan,5
reserv,450
gate,12
microsoft,98
texa,690
governor,103
W.,75
promis,77
best,369
special,314
touch,55
enron.com,1026
everybodi,47
littl,205
even,594
plenti,24
intern,473
somewhat,68
easier,48
although,273
quit,59
task,75
=20,5002
v,20
compani,2005
place,529
fortune=01,6
survey,261
innov,104
five,186
consecut,11
energy/commod,3
hous,153
second,258
talent,69
wouldn=01,6
great,370
yesterday,279
250,57
100,365
mail,438
randomli,9
u.s.-bas,8
chec=,3
k=20,11
mailbox,79
survey.=,3
enron=01,182
cu=,7
rrent=20,3
rank,43
24,225
prestigi,9
feedback,352
the=,250
evalu,189
process,924
honest,25
