discuss,264
settlement,70
period,71
9,47
cash,81
result,101
segment,34
identifi,43
releas,110
teb,605
elizabeth,60
nanci,105
mari,164
jim,71
would,719
like,491
tennesse,3
say,250
use,694
thi,2449
shipper,60
believ,146
gisb,18
defint,1
defin,22
someth,138
els,48
We,715
'll,189
bring,85
definit,31
us,313
meet,492
offic,242
rates/revenu,1
question,281
sorri,36
correct,31
day,386
friday,217
8/3,1
alma,50
tuesday,248
2001,632
pleas,794
advis,46
abl,100
attend,97
36503,1
-origin,653
appoint,50
carrillo,9
sent,836
juli,81
31,27
3:09,1
PM,489
To,1238
holm,20
bradley,23
kowalk,26
terri,38
powel,8
januari,413
steven,106
blair,113
lynn,32
betancourt,33
ramona,33
brown,51
medel,6
gerri,6
schoolcraft,26
darrel,28
bianchi,15
rita,23
corman,70
shelley,76
subject,1178
TW,297
order,244
report,369
format,32
data,116
captur,20
mtg,15
august,29
07,43
10:00,36
am-11:00,6
AM,370
gmt-06:00,35
central,67
time,676
US,120
canada,66
hou,2
4102,2
/,12
oma,7
696,1
brad,10
steve,153
fossum,36
drew,84
miller,89
kay,86
kirk,49
porter,66
pavlou,56
maria,93
harri,140
gregori,47
J.,42
mccarti,17
danni,21
watson,115
hartso,29
joe,68
horton,14
hayslett,25
attende,11
kimberli,118
stanley,10
rod,48
transwestern,179
2:00,47
houston,278
omaha,103
via,38
akin,2
gump,2
ron,42
gallagh,2
borland,2
fyi,42
adr,20
seller,11
emili,9
On,91
behalf,24
Of,29
27,53
11:24,2
updat,118
pm-4:00,3
49c2-houston,1
7c2-omaha,1
invit,53
31st,10
4:00,17
p.m,11
It,416
held,53
49c2,2
47c2,1
previous,12
list,154
7c2,1
videoconfer,7
phone,104
washington,56
d.c.,10
stan,55
charli,23
moor,45
nuschler,11
greg,52
stojic,5
kim,46
frank,30
kelli,41
shelli,4
let,280
know,480
thank,483
bonni,2
baum,1
tenn,1
re-schedul,4
thursday,263
9:30,15
11:30am,4
08/02/2001,1
nine,11
greenway,3
plaza,33
call,524
get,635
tim,25
kissner,12
87-7068,1
dave,32
waymir,1
etc,41
wait,46
team,153
workroom,1
eb4001,2
ask,163
debbi,31
join,132
want,375
jame,174
centilli,28
If,563
someon,143
loop,14
confer,67
room,89
need,517
cancel,32
07/26,1
next,180
08/02/01,1
john,211
kennel,6
per,78
voicemail,14
20,98
11:45,6
cobb,52
jr.,122
bayl,5
timothi,5
carrier,6
ppar,1
ferc,160
598,1
monday,219
23,30
2:30,29
EB,10
4001,1
capac,222
credit,101
check,100
prepay,1
turnaround,2
conflict,33
schedul,228
confus,7
ha,656
hyatt,18
kevin,37
keith,19
petersen,10
cost,233
svc,2
sun,28
devil,23
project,222
wednesday,250
18,44
conf,21
susan,23
wadl,8
make,355
16,53
2:44,1
FW,124
mention,48
13,67
4:57,3
develop,106
co,1
structur,23
new,708
ga,579
line,113
serv,49
phoenix,8
AZ,3
market,279
tariff,116
No,173
notic,81
current,133
no-notic,1
daili,112
alloc,46
servic,454
qti,1
maintain,25
contract,246
system,194
accord,54
hold,87
regular,18
op,9
cmte,3
6/29,1
least,83
one,615
kent,2
tomorrow,86
onli,318
therefor,36
tri,187
abov,52
TK,36
michel,73
eric,16
perri,23
park,84
north,64
side,81
richmond,2
enter,61
colquitt,1
charley,1
bass,2
',343
number,258
258,2
note,146
chang,334
locat,106
TO,32
3ac18c3,1
review,165
volum,68
rate,301
record,66
phase,47
IV,18
pack/purg,1
blowdown,2
alic,36
ned,7
tess,2
eb3872,2
dicuss,2
calcul,20
open,146
season,37
issu,235
weekley,2
/o=enron/ou=na/cn=recipients/cn=notesaddr/cn=86256608-65acba-625641c-cb758,2
teresa,3
robert,233
non-privileg,4
weekley/enron_develop,10
mime-vers,9
1.0,9
content-typ,21
text/plain,19
charset=us-ascii,10
content-transfer-encod,17
7bit,12
x-from,2
x-to,2
lokey,387
/o=enron/ou=na/cn=recipients/cn=tlokey,3
lichtenwalt,66
/o=enron/ou=na/cn=recipients/cn=blicht,1
cradi,2
/o=enron/ou=na/cn=recipients/cn=notesaddr/cn=86256608-65acba-6256382-6cb9d0,2
dyar,1
/o=enron/ou=na/cn=recipients/cn=tdyar,1
kilmer,177
iii,170
/o=enron/ou=na/cn=recipients/cn=rkilm,1
x-cc,2
x-bcc,2
x-folder,2
\tlokey,2
\calendar,2
x-origin,2
lokey-t,2
x-filenam,2
tlokey,31
.pst,2
04/12/2001,1
02:00:00,1
cdt,8
2,166
hour,102
chairperson,4
lokey/fgt/enron,16
lichtenwalter/fgt/enron,1
E,61
crady/enron_develop,3
dyar/na/enron,1
kilmer/fgt/enron,3
rob,43
04/09/2001,1
03:00:00,1
estim,61
morn,130
8:00,45
a.m,4
address,225
progress,20
oper,137
kickoff,4
roundtabl,8
remind,53
hope,126
go,377
recent,53
account,135
payabl,3
agreement,70
enron,1137
GE,3
capit,69
et,191
role,42
implement,62
3ac16c1,2
enron_develop,6
imceanotes-alice+20weekley_enron+5fdevelopment+40enron+5fdevelopment+40enron,2
enron.com,223
kenneth,9
krasny/enron_develop,3
1,236
'alic,1
03/12/2001,1
09:00:00,1
cst,25
analysi,34
compani,501
vs.,9
companiesd,1
march,127
12time,1
9:00am,1
10:00amconfer,1
reschedul,23
02/26/2001,1
10:30:00,1
30,75
minut,82
joni,1
moeller/enron_develop,1
margaret,5
doucette/enron_develop,1
tarrif,1
game,39
plandat,1
februari,171
26,73
2001time,1
10:30,15
12:00pmlocat,1
3ac-18c3,1
primarili,12
busi,283
provid,232
high,160
level,65
inform,280
member,151
base,78
function,17
timelin,10
revis,90
date,194
everyon,144
Is,85
avail,141
D.,50
3:30,15
sinc,124
4:30,4
still,195
3907,5
today,261
kua,2
fpc,2
meter,21
notifi,30
thx,12
pm,29
afternoon,39
ecn4194,1
10am,1
point,318
plan,342
current/futur,1
practic,24
pipelin,391
regard,121
reserv,83
relat,79
follow,269
request,188
futur,92
realign,1
firm,95
return,107
upon,48
expir,20
temporari,20
fleet,6
card,111
cheri,5
purchas,53
manag,122
sourc,37
amanda,6
transport,82
procur,4
administr,63
sublet,3
sr.,6
strateg,18
year,351
ann,27
analyst,45
announc,59
accept,57
posit,55
effect,98
come,187
global,88
respons,197
coordin,31
well,233
experi,51
johnson,24
becker,4
inventori,9
organiz,6
within,99
support,194
specialist,6
octob,382
16th,3
travel,49
wa,1179
nation,97
associ,118
nada,1
14,69
knowledg,14
valuabl,10
asset,63
As,196
earlier,27
assum,40
monitor,70
activ,85
ET,1
procedur,35
recommend,59
enhanc,27
bruce,19
martin,37
novemb,83
eight,12
logist,11
bba,1
univers,50
apic,1
certifi,5
product,82
welcom,35
shirley,1
Jo,7
dickens-wilson,1
director,86
suppli,70
713-646-7545,1
shirley.jo.dickens-wilson,1
group,997
yahoo,710
sign,92
garag,46
sale,110
foster,8
908,2
bomar,143
