enronopt,39
web,179
site,185
program,201
stock,285
=20,899
question,1086
access,612
=01,75
option,321
address,474
announc,95
describ,51
O=,9
ption=20,6
contain,302
highlight,75
program=,3
well,469
frequent,28
ask,427
faq,4
click,383
on=,29
http,943
//hrweb.enron.com,4
type,244
browser,14
We,1304
hope,508
find,362
help,973
the=20,37
If,1366
ani,2197
pleas,3249
contact,502
h.r.=,3
repres,77
sever,144
presentation=,3
s=20,32
throughout,18
month,553
januari,850
stay,135
tune,11
comput,89
near,34
for=20,3
detail,292
employe,292
enron,6330
year,639
2000,670
elig,36
continu,246
enron=01,15
may,992
board,152
decemb,272
29,165
It,689
compens,14
committe,66
director,99
approv,205
grant,306
final,231
salari,22
In,381
accomplish,50
e=20,42
busi,426
As,263
know,1784
provid,350
particip,126
valu,326
part,169
expect,315
note,316
new,1626
subject,4243
intern,155
annual,31
on=20,12
receiv,923
whi,167
human,38
resourc,281
commun,412
chang,936
need,1564
amaz,14
yet,115
surpris,29
much,237
ha,1571
the=,75
first,449
six,89
thi,5516
make,799
happen,129
recogniz=,3
work,885
hard,129
everi,215
day,1004
goal,62
w=,33
e,170
are=20,10
mani,213
share,285
company=01,3
financi,492
success=,6
options.=20,3
current,456
also,797
known,27
t=,97
he=20,12
aesop,3
began,37
1994,3
valu=,3
this=20,14
incept,8
realiz,64
1,119,3
increas,70
of=,32
assum,65
price,781
70,14
life,130
valuabl,11
total,297
package=,3
contribut,37
factor,26
perform,147
continued=,3
success,78
therefor,76
execut,117
and=,26
manag,533
develop,170
decid=,3
ed=20,6
offer,304
packag,44
On,150
1,709
for=,14
calendar,28
2001,1752
2005,6
is=20,21
effect,175
eligib=,6
le=20,9
date,530
see,923
to=,31
follow,686
give,559
to=20,16
full-tim,8
part-tim,15
regular,52
domest,19
and=20,9
companies/loc,3
non-qualifi,3
equal,36
25,170
base=20,3
5,349
base,151
5-year,3
period,87
calcul,70
vari,11
some=20,3
locat,406
2000.,3
hire,53
subsequ,23
prorat,3
gran=,3
t=20,9
commit,49
talent,49
energi,650
among,49
good,649
reasons=01,3
that=01,3
come,484
week,1077
To,4442
inform,856
answer,106
question=,3
introduc,15
special,146
link,247
web-sit,82
host=20,3
espeak,6
session,41
regular=,3
basi,304
meantim,11
immedi,146
yo=,9
ur=20,3
representative.=20,3
addit,366
grant=,3
ing=20,3
york,129
exchang,159
state,184
federal=,3
regulatori,13
requir,279
stock=,4
avail,293
howev,189
enr=,14
companies=01,3
due,273
legal,90
account,319
tax,65
labor=20,3
issu,357
