15-25,2
lower,11
saturday,86
actual,107
go,1854
vacat,11
thi,1220
come,361
back,244
next,203
sunday,54
follow,106
ye,168
puerto,4
rico,4
sarah,64
matti,20
around,144
memori,19
day,432
weekend,125
ok,374
owe,8
drink,137
get,703
defin,16
work,563
Im,11
sure,135
cant,139
sorri,194
woke,4
late,109
know,907
feel,151
think,845
somewher,24
unfortun,26
time,545
leav,364
today,463
car,41
yeah,106
happen,50
messag,8785
tout,490
de,491
et,397
ce,393
attach,297
le,294
ou,293
ani,660
see,416
file,122
clcot051101.pdf,6
ngcot051101b.pdf,6
______________________________________________________________________________,42
_______________________________________________________,42
sont,196
se,197
bnp,219
pariba,224
modifi,197
Ce,98
piec,97
joint,109
ci-apr,98
etabl,97
l'intent,98
exclus,106
destinatair,98
confidentiel,98
Si,98
vou,98
recevez,98
par,100
erreur,98
merci,98
detruir,97
d'en,98
avertir,98
immediat,97
l'expediteur,97
utilis,98
non,100
conform,99
sa,98
destin,102
diffus,98
public,122
total,114
partiel,98
est,103
interdit,98
sauf,98
autoris,98
express,113
l'internet,98
ne,98
permett,98
pa,98
d'assur,98
l'integrit,97
filial,98
declin,101
nt,98
responsabilit,98
au,98
titr,98
dan,104
l'hypothes,97
il,99
aurait,98
ete,97
intend,180
sole,136
addresse,101
confidenti,148
If,335
receiv,178
error,133
pleas,604
delet,121
immedi,129
notifi,124
sender,124
use,314
accord,112
purpos,206
dissemin,101
disclosur,113
either,139
whole,132
partial,99
prohibit,112
except,122
formal,98
approv,126
internet,178
guarante,106
integr,109
subsidiari,101
shall,105
therefor,106
liabl,99
outlook,110
migrat,103
email,163
note,84
2000,64
date,76
TO,27
=20,165
item,14
BE,10
e-mail,179
clean,14
mani,53
l=20,6
100mb,6
lotu,8
microsoft,11
IS,11
enron,756
factor,9
convert,20
year,160
notif,9
may,693
15th,11
unabl,8
send,90
unless,15
take,166
action,39
old/un-need,3
emai=,3
possibl,46
befor,71
migration.,3
to=,10
onli,156
alloc,6
mailbox,32
space.,3
more=,6
amount,13
data,132
abl,95
sen=,3
d=20,9
limit.,3
now=,3
prevent,11
enron=01,3
platform,12
ou=,3
tlook=20,3
worldwid,6
access,125
email=20,3
functions.=20,3
whi,480
contribut,20
decis,30
to=20,9
exchange/outlook,3
promin,6
signific,10
advantag,7
move,143
product,68
wit=,3
h=20,3
current,70
app,9
window,12
offic,100
explor,16
effici,19
share,47
PC,4
roam,3
user,82
featur,20
improv,16
support,71
palm/c,3
devic,12
instant,8
capabl,10
schedul,308
last,197
30,112
thirti,3
folder,6
store,29
To,7674
Do,57
journal,20
calendar,27
entri,11
1,134
one,356
past,30
10,74
ten,11
i=,4
n=20,3
futur,95
address,107
book,79
distribut,41
list,65
creat,37
wil=,3
need,311
re-creat,3
thank,316
team,51
anyon,50
survey,26
click,58
