kay,46655
No,1180
problem,1643
rusti,718
steven,827
06/02/2000,113
12:24,62
PM,23763
To,30111
mann/corp/enron,15739
enron,36669
cc,22016
subject,29999
Re,6597
abb,2316
transform,1376
option,5318
agreement,26264
thank,15437
move,1327
quickli,314
thi,43630
one,6196
Hi,3268
jeff,1623
'm,6436
prepar,1975
letter,8436
regard,5055
payment,3420
help,3156
name,5973
address,5847
use,6430
want,6541
check,2220
see,6002
get,9808
copi,10711
need,11635
go,5943
languag,3095
n't,11327
expir,406
paragraph,892
put,1849
If,12947
add,1126
back,2993
5,1976
fred,2594
think,5476
fehr,213
comment,7085
would,12856
us,4566
ha,9151
end,1524
In,4105
We,8925
run,868
account,2177
may,11917
chang,11178
say,1509
avoid,346
also,6186
bound,109
deal,4463
period,988
observ,59
agre,2562
complic,117
thing,1799
second,1066
absolut,206
point,2338
automat,205
extens,725
commenc,152
construct,1353
still,2231
date,4847
certain,887
forward,13911
without,1614
matter,1051
word,1214
suggest,2141
limit,1760
x,143
month,1077
'll,4030
realli,1113
like,5844
inclus,135
request,3593
addit,2920
know,9951
zone,216
parcel,149
09/14/2000,45
04:45,55
karen.way,336
piperrudnick.com,832
mitro/hou/ect,680
ect,27735
receipt,897
review,7152
follow,4432
2,5117
compel,43
buy,1045
land,1244
upon,1737
trigger,154
event,900
occur,590
work,6932
becaus,1544
part,3010
hurt,119
hard,660
cost,3141
issu,5028
care,667
reword,13
previou,276
decid,522
build,553
plant,2119
serv,680
extend,425
term,3662
howev,1459
unexercis,13
year,1882
wo,722
provis,1251
hi,2535
inde,44
parallel,32
anoth,1258
similar,556
document,8662
specif,1949
perform,1871
scare,39
gener,4684
collect,297
call,10159
let,6169
wrap,182
fast,174
resolv,365
soon,1609
leverag,56
ledford,254
influenc,54
He,1783
pick,690
good,3045
vacat,582
monday,2885
told,1048
could,5081
befor,2695
15th,150
185,000,26
vs.,138
175,000,13
sinc,2889
five,235
day,3763
longer,326
promis,187
justifi,65
delay,539
next,2724
week,3648
wa,8211
blow,102
smoke,144
extra,226
10,000,79
refresh,52
memori,198
ani,18651
pleas,21361
discuss,6489
enron.com,24801
commun,3747
messag,16582
As,2832
email,4769
provid,4759
properti,1260
abov,1693
piper,468
marburi,419
rudnick,458
wolf,434
kay.mann,10165
____________________________________________________________________________,487
sender,3418
inform,9020
intend,6343
recipi,3062
spoke,557
shindler,142
hold,977
contract,10715
seller,1520
attorney,843
pend,257
approv,2715
depart,808
per,2080
12,883
post-expiration/termin,3
past,465
exercis,744
ena,5494
entiti,4350
default,321
oblig,1718
acquir,163
altern,340
seem,1059
liquid,489
damag,1189
failur,166
close,3443
consider,379
thought,2200
laydown,37
site,2398
handl,877
karen,1010
S.,497
way,1932
203,292
N.,222
lasal,163
chicago,466
illinoi,598
60601,174
ph,145
312-368-2152,134
fax,5353
312-630-6347,123
-origin,6192
smtp,682
sent,11973
septemb,460
18,368
2000,2925
3:50,34
rusty.steven,108
Cc,2769
fred.mitro,282
e-mail,11087
domain,462
novemb,1299
1,4940
1999,267
updat,1151
record,699
contain,4367
confidenti,7250
onli,4294
legal,5824
privileg,3897
reader,394
herebi,902
notifi,4079
dissemin,3264
distribut,1913
content,1012
strictli,1038
prohibit,1771
receiv,6921
error,3629
re-send,245
delet,4422
origin,3547
comput,1032
system,2191
visit,658
http,1901
//www.piperrudnick.com/,216
meet,4766
due,1358
last,3686
minut,528
conflict,393
reschedul,141
doe,3253
everybodi,93
look,4334
wednesday,2778
sorri,701
