hpl,162
mtg,15
per,474
lillian,20
carrol,11
ina,95
sent,877
email,321
attende,28
lavorato,71
arnold,59
allen,102
grigsbi,56
martin,613
schwieger,70
shive,64
neal,90
03/05/01,4
janet,48
provid,1067
locat,208
may,1934
back,959
sao,12
paulo,19
21st,19
schedul,680
hi,3343
assist,275
ask,1142
book,591
appoint,239
tent,29
case,1227
doe,753
n't,3820
come,1014
03/22/01,2
thoma,567
PM,838
transport,131
suppli,227
idea,240
forward,433
martin/hou/ect,88
03/20/2001,54
03:40,7
10/05/2000,6
02:17,6
To,1357
brian,243
redmond/hou/ect,22
ect,528
cc,149
subject,863
follow,760
updat,259
meet,1163
dave,146
thank,669
tom,670
produc,264
price,1641
enron,25674
10/20/2000,12
edward,118
D,97
gottlob/hou/ect,28
matthew,59
attend,179
p.m.,165
03:46,7
01:54,6
01:50,6
saidia,9
10/19/2000,6
11:16,8
AM,583
barbara,117
N,76
gray/hou/ect,19
shelton/hou/ect,7
steve,126
schneider/hou/ect,11
laura,298
harder/corp/enron,6
monica,30
jackson/corp/enron,6
carroll/hou/ect,6
melani,14
facundo/hou/ect,7
abov,179
ha,5205
request,537
oct.,554
30th,19
2:00,26
3:00,61
eb3533,6
ani,2167
reason,414
're,709
unabl,85
pleas,1013
advis,345
via,103
call,1968
ext,58
5-3878,6
Sy,6
key,292
peopl,1432
winter,60
03:47,6
10/13/2000,12
02:23,6
As,775
discuss,699
day,1465
sever,880
commerci,264
logist,44
risk,808
manag,1858
ga,1665
control,414
personnel,97
must,400
run,686
busi,2627
thi,5319
heard,138
pursu,106
outsid,560
compani,11201
light,188
potenti,504
sale,902
want,1114
ensur,178
stay,167
around,429
transit,91
Ed,103
gottlob,27
elsa,26
villar,9
jame,295
mckay,33
gari,108
hank,13
darren,20
farmer,45
stacey,11
neuweil,8
pat,46
cline,17
baumbach,74
O,77
',1766
winfre,16
let,569
know,1386
think,905
hedg,217
entex,48
weather,142
use,1449
well,997
veri,811
correl,15
03:48,6
01:56,6
taylor/hou/ect,7
Re,113
season,100
befor,1465
work,1641
becaus,1460
warm,28
take,1279
confid,420
closer,51
normal,134
temperatur,27
environ,148
forecast,112
oasi,18
