attend,100
larri,312
may,1102
x6731,3
use,369
number,166
12,83
transco,63
zone,79
6,241
cliff,28
enron,2102
hi,162
compani,367
We,500
his=20,6
join,157
key,50
wholesal,63
busi,443
chairman,45
in=20,16
It,200
sad,5
regret,10
announc,119
baxter,5
resigni=,3
ng=20,15
employe,627
happi,25
though,12
cliff=01,3
primari,25
rea=,4
son=20,3
resign,13
spend,30
time,819
famili,154
uniqu,28
talent,20
creativ,31
intellig,66
sens,10
humor,4
an=,11
d=20,27
straightforward,4
manner,13
asset,70
throughout,24
career,44
He,104
miss,17
1991,4
wa,339
member,108
team,161
built,8
enro=,7
n=01,3
befor,135
becom,126
vice,41
served=,3
=20,1734
varieti,14
posit,132
enron=01,21
culmin,4
i=,17
n,27
appoint,25
chief,33
execut,69
offic,365
north,203
america,163
1999,31
ask,136
ha,561
agre,114
continu,183
consult,13
role,67
fo=,6
r=20,17
conclud,15
negoti,13
asset=20,3
disposit,7
pleas,1528
us,245
thank,374
servic,538
wish,51
veri,112
best,116
nuclear,28
power,439
year,292
price,472
act,113
plant,111
anderson,25
renew,11
process,185
period,68
oper,284
cost,132
could,81
burk,6
bart,6
mention,17
opposit,13
20,112
gener,136
would,270
suggest,27
near,38
extens,227
reactor,6
licens,555
articl,74
within,122
next,113
like,247
new,687
construct,26
neg,24
-origin,192
messag,477
sent,292
wednesday,177
02,17
2001,957
12:33,3
PM,1366
To,744
gaskil,4
chri,35
subject,360
call,417
inform,863
resourc,83
d.c.,10
spoke,14
repres,459
brought,22
past,55
typic,10
breez,3
nir,3
websit,228
seem,6
anti-nuclear,3
focus,34
interest,99
see,352
ani,1527
troubl,16
My,52
perspect,15
account,149
last,148
caus,45
roll,23
black-out,3
ceas,4
polit,12
recent,80
survey,40
turn,41
public,106
opinion,165
highli,10
unlik,4
phase,14
end,95
initi,47
life,38
around,69
30,75
alreadi,59
begun,11
five,27
anoth,49
wsj,4
state,82
15,99
40,31
103,3
u.s.,75
request,138
similar,15
independ,12
buying-up,3
util,39
take,186
advantag,25
high,67
low,45
fuel,24
technolog,48
overrun,3
permit,15
file,246
futur,497
smaller,11
megawatt,11
unit,132
lower,28
temperatur,8
thu,25
less,31
suscept,3
catastroph,3
failur,15
cool,11
system,373
crippl,3
invest,77
modest,3
faster,6
suppli,46
shorter,4
nrc,3
improv,43
approv,93
re-coup,3
make,280
decent,3
profit,34
short,39
even,77
fear,11
road,5
outcom,4
slow,7
plan,151
build,167
exist,57
At,49
minimum,10
base,227
load,36
flat,14
coupl,19
R.,25
jr.,22
corpor,98
ga,1151
fundament,39
research,51
phone,87
713,671
345-3635,3
garag,50
park,118
center,505
offer,505
space,83
thi,1858
via,357
email,1609
open,103
current,445
clay,23
receiv,396
first,196
If,892
accept,65
made,126
avail,553
saturn,11
ring,18
elev,11
exit,13
transport,57
reach,97
st.,15
bell,8
work,344
schedul,926
move,104
777,4
onli,319
dure,166
migrat,151
fill,65
come,136
serv,65
basi,92
allen,46
165.00,4
per,150
month,116
subsidi,6
leav,49
monthli,49
94.00,4
choos,41
add,69
name,273
wait,25
list,174
later,69
day,375
connect,95
summer,107
parker,4
street,44
level,77
entranc,10
access,388
stairway,5
lobbi,39
floor,120
event,197
repli,50
soon,61
decis,64
follow,278
arrang,30
old,124
card,57
transpond,4
along,30
packet,13
desk,156
transportation/corp/enron,4
713-853-7060,4
question,499
enter,105
also,295
pedestrian,4
stairwel,11
locat,104
corner,9
smith,44
respond,36
e-mail,349
acquir,12
one,257
pira.com,1007
pira,1063
contact,1391
distribut,680
flash,69
weekli,103
regard,597
report,832
greg,114
jane,93
212,441
686-6808,430
client,529
sale,488
attach,625
latest,227
content,213
shuttlesworth,46
tom,72
howard,40
tazh,39
richard,63
redash,46
rich,53
nobu,46
tarui,46
nobuo,46
hsu,46
john,370
graziano,162
address,384
chang,418
support,423
note,387
circul,183
outsid,226
area,265
strictli,201
prohibit,257
unsur,182
requir,317
energi,638
group,464
aga050201.pdf,3
electr,264
daili,328
demand,266
forecast,297
morri,287
greenberg,143
victoria,139
watkin,140
vwatkin,133
ed050301.pdf,3
ed050301.xl,3
ed050401.pdf,4
ed050401.xl,4
aol.com,60
10,276
yahoo.com,16
hotmail.com,25
realli,38
cheap,12
think,81
go,183
impact,591
're,96
gasolin,37
need,461
send,133
least,37
hccs.cc.tx.u,8
idea,35
....,41
gallon,8
automobil,8
car,59
pay,71
way,128
consum,22
n't,163
togeth,30
reduc,24
million,94
aimeefish,4
mailto,119
imceanotes-aimeefish+40aol+2ecom+40enron,4
enron.com,243
thursday,239
03,19
12:04,9
cwoods529,4
Cc,34
d_campa,4
dblbrl,4
earthlink.net,10
gwiers,4
erenj.com,4
harli,4
viz.tamu.edu,4
jaynelson,4
karyntay,4
excite.com,6
kim.lopez,4
us.coflexip.com,4
kims1358,4
swbell.net,5
laramansfield,4
magix,4
zoomnet.net,4
mark,105
modovoodoo,4
nick.wiersema,4
ci.austin.tx.u,4
nparikh,4
sparchitects.com,4
rkl2830,4
shon_link,4
gensler.com,4
srobi74080,4
tod311,4
wiersema_d,4
wiersema_v,4
willcoxon,4
yogatm,4
fwd,9
sound,13
good,86
id,21
know,276
author,202
live,80
howev,50
2.00,6
san,57
diego,9
besid,9
fairli,8
compar,16
european,17
countri,35
becaus,65
govt,4
subsid,9
entir,24
industri,102
roadway,4
etc,34
realist,4
mayb,15
start,146
altern,22
sourc,199
individu,64
variou,37
societ,4
'll,58
cut,17
food,20
thought,28
By,37
probabl,33
1.49,4
Me,6
As,291
1.58,4
regular,22
unlead,159
oil,213
opec,71
nation,113
condit,28
1.50,4
tri,73
aggress,9
respons,119
action,96
buy,194
practic,20
option,375
sinc,53
reli,21
rest,11
purchas,42
two,129
biggest,6
exxon,4
mobil,15
sell,183
inclin,4
prices-and,4
liter,7
user,180
doabl,4
42,7
peopl,132
sixth,5
iter,4
differ,200
pass,62
compos,4
hold,41
TO,50
1.28,4
1.29,4
keep,82
outrag,4
attent,21
ee,218
manag,370
risk,149
function,82
provid,351
roger,25
eastern,159
close,107
given,54
growth,35
appar,4
consolid,62
ew,21
expertis,4
necessari,41
grow,20
market,511
opportun,123
mind,42
agreement,77
insid,23
form,197
structur,39
retail,16
commod,56
logist,12
back-offic,6
main,29
herndon,4
president-trad,4
interconnect,22
includ,488
kevin,22
presto,6
black,27
formerli,10
president-e,4
western,66
houston,425
tim,29
belden,6
pursu,11
share,100
goal,39
ensur,48
coordin,31
trade,700
organ,110
effect,84
immedi,89
congratul,30
lavorato,11
louis,13
kitchen,10
outag,1098
5/5/2001,108
thru,768
sat,718
fri,486
5/4/2001,104
AM,1089
CT,515
PT,495
london,540
No,810
server,336
environ,344
purpos,284
backout,265
network,147
7:00:00,124
corp,210
eb,94
pager,332
6:00:00,137
E,312
data,596
10:00:00,108
8:00:00,116
1:00:00,79
11:00:00,93
integr,57
enw,24
S,179
facil,167
9:00:00,73
3:00:00,94
4:00:00,124
eb3405-cx13,12
eb3405-cx14,12
remov,51
12:00:00,121
cisco,16
EI,35
eigrp,12
rout,27
patch,30
Y,96
T,106
L,188
4,158
edi,102
en,16
ena,80
georg,42
nguyen,21
713-853-0691,11
eb3405-cx11,8
eb3405-cx12,8
increas,125
internet,149
reboot,35
2,272
week,291
interv,23
mainten,88
date,408
dss,20
2:00:00,83
