xm,57
expens,179
=20,3757
june,322
system,545
new,2069
concur,29
import,600
user,165
date,763
18th,43
juli,397
isc,9
load,45
upgrad,58
On,422
2,926
solut,114
version,223
6.0.2,6
center,211
transit,142
deadlin,50
monday,604
transact,603
current,908
begin,308
2nd,30
27th,20
thi,8736
report,1158
question,1007
pleas,3743
ani,2440
2001,1227
enron=01,193
corpor,459
manag,1499
unde=,3
rgo=20,3
integr,77
ha,2665
develop,1317
plan=20,3
contain,142
sever,496
affecting=20,3
schedul,752
1,1017
american,245
express,53
longer,107
X=,3
ms=20,3
start,545
amex,3
will=,78
sole,60
respons,1012
ad,176
new=,23
creat,439
sap,30
hr=,3
automat,20
wednesday,385
mark,1839
enter,81
current=,3
open,288
must,272
submit,112
approved=,7
lock,15
3,664
ver,3
goe,81
live,184
list,755
frequent,21
ask,602
faq,4
click,259
followi=,3
ng=20,22
link,305
http,1392
//isc.enron.com/site/xmsfaqs.htm,3
If,1503
abov,183
item,248
contact,910
t=,94
he=20,32
call,1637
713-345-4727,3
sarah,95
vacat,108
tomorrow,269
need,2213
immedi,278
assist,314
domonosk,3
x52521,3
transfer,172
cell,265
phone,418
case,319
emerg,45
thank,3677
shanna,101
would,3760
georg,420
randi,171
wa,2651
mike,6571
koch,25
veri,1597
basil,24
resum,331
damiri,20
balhorn,20
think,1312
well,1107
opportun,1240
know,2347
hi,1124
PM,2615
To,3939
subject,3724
interest,1114
agre,410
origin,778
also,1897
look,1434
egm,796
see,1325
person,488
howev,480
someth,318
n't,2096
like,2212
-origin,577
messag,1293
nowlan,127
jr.,59
john,1400
L.,50
sent,1079
may,1550
23,96
mcconnel,1651
mcconnell/hou/ect,2279
karampelas/enron,14
enronxg,534
attach,1214
say,482
dreyfuss,14
enron,9503
even,561
better,393
file,361
suit,104
spent,93
quit,136
bit,96
time,2196
invest,415
wide,63
varieti,35
industri,558
activ,702
acquisit,101
could,1168
point,600
thu,111
abl,404
reliev,10
burden,14
folk,66
focus,67
trade,1166
happi,232
take,1295
excit,116
leav,223
i.e.,32
feel,403
job,273
tailor,9
made,559
skill,281
set,452
mayb,139
right,537
BK,3
7:28,3
Cc,214
karampela,3
RE,283
known,60
sinc,470
Bp,3
day,956
bright,19
guy,554
use,1117
run,327
group,1932
type,221
level,261
6:16,3
gonzal,141
eric,521
hickerson,58
gari,315
lawyer,116
larri,319
mcclellan,66
price,1051
brent,257
A.,73
seks,37
per,600
jeffrey.shankman,19
enron.com,1706
tawney,101
funkhous,26
fyi,457
consider,213
forward,2371
05/23/2001,48
06:14,10
05/16/2001,14
11:34,10
AM,2151
ect,5459
cc,2863
final,472
got,277
',657
read,214
CV,18
impress,183
go,1560
far,185
smartest,7
knew,23
accomplish,222
electricit,7
de,64
franc,16
terrif,12
addit,824
global,1147
market,2652
news,163
regard,996
recent,402
left,239
due,485
issu,1040
edf,7
JV,23
avail,609
He,815
london,559
joe,385
gold,32
let,1427
anyth,224
help,1234
facilit,59
specif,440
felt,56
fit,166
fact,248
move,636
houston,1260
make,1858
pretti,148
easi,49
us,1488
keep,447
discuss,1522
choos,58
among,109
two,708
impact,189
hire,235
given,312
experi,259
balhorn.doc,3
damiris.doc,3
add,387
david,554
get,2152
believ,741
committe,362
comment,596
revis,108
draft,556
frevert,163
shankman,288
lavo,6
chairman,460
overdyk,36
updat,595
exactli,63
structur,469
wait,138
one,1406
circul,37
greg,524
net,449
work,2419
piec,430
execut,608
assum,215
appropri,248
near,137
futur,455
chang,1465
consid,324
want,1564
peopl,856
differ,345
opinion,136
doe,521
sure,666
organ,470
oxley,27
07/27/2000,26
03:37,3
Re,705
org,77
memo,152
'll,809
review,845
first,975
para,9
back,940
discussing/,3
eblow,3
rest,106
clear,222
emmisison,3
mcgowan,27
thought,692
insur,324
weather,691
Wo,3
elect,66
exec,12
suggest,429
announc,523
remain,257
europ,387
ena,272
next,941
week,1339
busi,3553
plan,1262
address,634
steve,502
sorri,214
miss,159
yesterday,207
lot,515
S,153
america,692
probabl,349
assess,94
clarifi,71
role,460
implement,177
We,3245
thing,435
littl,248
daili,142
project,1414
affect,90
order,311
found,191
reject,41
notic,129
morn,388
'm,467
07:59,8
07/26/2000,18
05:02,4
frevert/lon/ect,4
oxley/hou/ect,16
stab,16
focu,481
word,206
variou,167
name,552
alpha,8
upset,10
anyon,171
inform,1313
includ,1063
success,400
year,1670
jeff,1160
togeth,445
lunch,189
come,616
offic,1308
vs.,46
unit,697
becaus,501
line,375
clariti,16
especi,249
departur,70
destroy,10
send,875
via,412
email,1286
coordin,236
whalley,97
pass,221
100,000,000,000,4
zero,46
congratul,200
predict,17
plane,27
trip,286
idea,402
proud,69
jay,183
strategi,329
across,173
At,200
becom,312
tremend,95
opportuni=,11
ty=20,18
util,187
uniqu,72
strength,61
effort,643
an=,53
entir,160
privat,97
equiti,272
markets=,11
reorgan,34
group=,21
view,320
leverag,117
strateg,316
opportunities=,11
ecommerc,93
technolog,620
space,166
within,513
effect,386
fitzgerald,51
setting=,11
enw=01,14
repo=,14
rting=20,11
horn,76
ventur,172
group.=,15
allan,72
sommer,25
join,689
jay=01,11
team,1336
new=20,25
domest,65
and=,122
intern,548
ecommerce-rel,11
businesses=,11
york,133
reach,232
either,281
212,26
702-3934,11
713,272
853-9914,11
CP,101
afternoon,226
hour,150
to=20,144
enw,89
find,505
error,82
ideas=,4
alan,80
n=,16
ew=20,8
OU,406
alumni,24
gi,9
spreadsheet,36
taken,85
directli,320
fairli,58
accur,56
complet,518
great,853
lexi,76
3-4585,20
karen,109
tarifajusta,20
conway,16
commun,1764
summari,175
en,20
bplan,18
fax,483
conway/enron,12
javier,18
M.,51
director,349
broadband,169
servic,832
713-345-8736,8
713-646-8826,8
07/12/00,8
shawn,53
tarifajusta.com,8
muy,8
estamo,8
la,21
del,13
desd,8
781,8
jay/allan,4
evalu,88
calm,103
tri,412
play,249
ball,66
thru,74
properli,61
san,196
francisco,54
give,858
receiv,803
overal,119
By,225
way,853
haug,18
fiance,4
07/25/2000,19
02:29,4
07/17/2000,16
03:29,4
As,876
request,403
friday,534
exchang,147
pursu,102
introduct,76
necessari,212
altern,150
compani,1605
07/17/00,4
03:19,16
04:26,8
cumberland/enron_develop,14
enron_develop,1619
came,143
DR,4
model,181
appli,106
countri,219
region,287
counterpart,14
southern,128
cone,8
tickl,4
04:24,7
06/28/00,4
05:21,11
karen.m.conway,4
bcc,44
estimada,4
fue,4
grato,4
poder,4
conversar,4
contigo,4
esta,4
tard,7
aqui,4
interesado,4
continuar,4
explorando,4
diferent,4
alternativa,4
trabajar,4
junto,4
el,5
desarrollo,4
nuestra,4
empresa,8
como,4
acordamo,4
te,7
enviando,4
copia,4
esperamo,4
tu,6
comentario,4
novedad,4
fine,375
semana,4
proxima,4
quedamo,4
contacto,4
por,4
cualquier,4
informacion,4
adicion,4
que,4
pueda,4
resultarl,4
utilidad,4
ya,11
mucha,4
gracia,4
rafael,5
blanco,4
tejera,4
goldberg,4
ricardo,7
haa,4
tel,33
239-6117,4
cel,4
248-4566,4
253,4
390-6225,4
laptop,13
last,911
dialup,12
It,1177
steel,66
07/24/2000,35
12:55,7
travi,29
williams/corp/enron,3
check,249
setup,32
mr.mcconnel,3
touch,101
basi,206
tune-up,3
weekend,199
process,724
vpn,38
compaq,59
m300,3
standard,156
readi,243
fill,151
gather,87
feedback,203
form,306
coupl,346
realiz,155
forgot,46
everyon,337
mid-year,17
detail,566
dure,384
prc,146
formal,91
simpli,140
put,664
summer,218
bring,264
big,383
talk,914
network,285
speed,80
later,325
viewpoint,20
understand,445
kishkil,16
10:18,12
SA,33
heard,127
tent,39
agreement,545
conveni,113
mean,209
south,224
amercia,3
stuff,52
matrix,27
approach,254
mani,450
aris,54
blip,3
radar,3
screen,29
weekli,128
