want,206
tell,69
time,1003
place,141
question,328
would,753
answer,86
mari,36
nell,14
happi,42
went,74
well,247
JC,3
surgeri,6
believ,161
miracl,5
also,485
relay,3
someth,70
awhil,2
back,263
never,77
difficult,44
taken,60
true,49
inspir,8
absolut,14
idea,48
go,352
tri,152
mani,250
shoe,13
realiz,42
whi,71
thought,60
react,15
reciev,3
thi,1566
conclud,9
user,56
quot,109
password,31
http,2001
execut,327
version,42
link,132
may,517
find,124
system,234
access,182
thank,182
kelli,17
new,1847
help,267
explain,42
brad,232
send,105
standard,137
form,116
letter,100
contain,201
name,153
understand,52
use,288
prior,33
us,263
option,191
conveni,17
ID,61
bmckay,35
enron43,3
particip,106
test,76
truequote.com,6
still,227
=01,6
view,132
only=018,3
tool,26
fo=,35
rmat,3
ident,8
soon,70
releas,122
capabl,25
've,74
assign,12
specif,47
i.d,3
abov,96
chang,465
whenev,3
like,417
ad,99
secur,500
To,507
homepag,3
//www.truequote.com,3
'm,62
includ,359
messag,283
number,229
tru=,3
e,260
function,36
flash,4
demo,3
give,173
insight,11
//www.truequote.com/download/tqintro2.ex,3
technic,30
page,88
requir,169
optim,24
//www.truequote.com/info/tech.htm,3
frequent,11
ask,175
regard,73
//www.truequote.com/info/faqset.htm,3
attach,67
printabl,3
guid,31
navig,22
applic,29
pleas,423
hesit,9
call,495
713,117
622-5253,3
trevor,4
atkin,4
800,62
327-1499,3
ani,687
sincer,9
stroud,3
account,230
truequot,6
guide.doc,3
get,386
rex,19
updat,142
around,91
5:30,6
wil,3
stamp,3
shell,15
even,201
safe,21
hunt,35
see,235
summari,7
file,321
latest,76
regulatori,57
let,165
know,249
longer,67
report,719
add,61
someon,29
distribut,47
receiv,389
first,276
pipelin,154
relat,165
ferc,49
effect,78
busi,654
enron,4759
legal,48
depart,81
mark,137
ew,18
organ,52
wholesal,42
servic,561
reorgan,9
follow,255
unit,193
across,25
group,307
global,90
market,894
chart,125
As,219
follow-up,6
recent,223
corp.,406
memorandum,3
today,237
goal,30
align,9
close,315
possibl,177
ii,8
speed,14
flow,35
technolog,147
iii,18
achiev,17
greater,19
effici,25
consist,24
end,207
polici,47
lanc,13
schuler,5
america,115
evan,4
europ,38
taylor,22
net,78
work,219
alan,9
aronowitz,3
julia,3
murray,7
industri,195
bruce,10
lundstrom,3
asset,339
comprehens,19
frevert,6
haedick,5
counti,39
gore,20
bush,142
lesli,13
statist,13
countri,61
gripfast.com,6
amaonline.com,9
subject,286
last,495
good,182
one,526
popul,11
million,638
squar,14
mile,19
state,277
averag,77
murder,9
per,219
100,000,32
resid,14
live,107
-origin,147
mailto,71
sent,232
friday,214
decemb,141
01,32
2000,410
1:47,3
PM,377
lindab,3
arn.net,8
margo,3
coredata.net,3
moe,9
completedata.com,3
john,171
lisa.eason,3
med.va.gov,3
beckymcki,3
aol.com,45
import,79
677,3
2,434,3
127,3
143,3
580,000,3
2,427,000,3
19,67
29,58
13.2,3
2.1,10
Ah,6
voter,6
map,20
territori,8
wa,1409
land,25
peopl,224
great,133
citizen,9
citi,115
hous,89
government.and,3
govern,125
sourc,121
professor,10
joseph,11
olson,14
hamlin,4
univers,32
school,53
law,65
st.,29
paul,38
minnesota,11
activ,159
holiday,141
museum,16
noon,24
5:00pm,13
arriv,36
skate,14
greet,7
big,151
brave,10
