thi,980
meet,166
ha,276
reschedul,6
today,111
2:00,19
bill,43
bring,29
chequ,50
power,84
ga,409
245-3500,1
vj2gv7,1
741537,1
randi,20
aucoin,4
....,86
713,227
827,3
2265,1
embed,15
outlook,14
messag,790
attach,308
pleas,624
thing,121
pack,10
move,79
help,189
make,157
sure,91
readi,28
befor,59
leav,24
start,155
first,91
tomorrow,84
morn,63
let,181
know,274
need,354
ani,538
happi,39
thank,465
amanda,29
rybarski,15
fundament,25
offic,91
853-4384,7
fax,143
646-8453,7
pager,66
877,5
482-0772,5
cell,19
560-0934,6
lavorato,26
valid,14
get,338
If,401
eric,29
jon,471
andi,18
matt,4
frank,38
dutch,11
select,49
review,96
curv,64
region,36
12/01/01,1
forward,77
soon,55
receiv,192
announc,17
take,117
place,115
monday,221
februari,144
4th,9
10:00,15
AM,533
At,20
instruct,13
repres,31
price,295
waterhous,1
cooper,25
process,115
time,365
decid,14
attend,30
absenc,10
question,191
ask,75
regard,247
Ed,10
fine,17
Hi,92
quick,25
updat,73
ngx,30
guy,71
data,96
work,222
convers,16
system,226
look,119
end,75
jay,30
ngtl,10
industri,25
involv,23
wa,352
studi,13
It,113
applic,75
particip,43
negoti,18
ttp,2
plan,72
determin,23
set,77
current,80
discuss,72
includ,129
deliveri,84
toll,16
transfer,47
assign,24
initi,14
fee,22
nit,13
appear,26
want,172
P,7
week,151
complet,102
co,1
alberta,44
accord,9
purpos,83
whether,13
cost,55
appropri,37
distribut,56
servic,155
like,182
groundwork,1
new,285
rate,126
underway,1
request,130
juli,147
10th,10
occur,21
second,31
half,9
august,252
continu,91
least,24
earli,20
octob,136
gave,6
preliminari,2
indic,56
area,162
receipt,79
intra-alberta,1
storag,68
extract,2
account,109
manag,229
went,35
similar,7
path,8
part,44
product,162
propos,13
strongli,1
oppos,1
drop,36
go,274
tri,79
provid,137
copi,97
hand-out,1
much,87
detail,29
outlin,11
point,120
requir,131
signific,24
commit,9
enron,865
By,22
mid-juli,1
1,188
level,45
2,151
best,73
person,58
handl,21
respons,57
In,120
last,108
almost,15
exclus,10
capp,1
structur,23
member,38
close,72
We,230
veri,66
issu,82
impact,138
us,109
i.e.,3
etc,36
heavili,4
critic,40
lack,10
later,66
month,122
decis,25
dan,17
password,41
call,188
usernam,4
use,248
left,38
addit,76
'll,80
verifi,14
comfort,5
spec,1
-origin,657
mckay,646
jonathan,608
sent,713
thursday,228
june,138
14,40
2001,848
10:12,1
To,891
webb,13
Cc,90
lambi,36
chri,119
subject,879
talk,97
said,56
address,156
ID,54
side,18
could,188
contact,293
conveni,11
inform,252
403,110
974-4335,2
turnaround,2
expens,60
concur,25
answer,45
isc,10
report,159
link,38
xm,11
document,67
follow,324
button,24
see,151
screen,21
Go,13
click,49
log,25
enter,34
old,47
ye,24
top,32
http,136
folder,11
section,43
custom,156
care,29
group,102
home,59
page,41
also,135
travel,28
polici,40
librari,2
sign,51
train,14
doe,66
convert,29
view,75
713-345-4727,4
print,11
compani,129
problem,61
foreign,18
currenc,125
describ,10
abov,44
direct,84
quickli,17
tour,18
chang,122
statist,2
common,12
find,51
onlin,34
store,7
//isc.enron.com/site/doclibrary/user/default.asp,1
//iscedcenter.enron.com/docentlm/login.htm,1
email,188
birth,2
date,243
format,31
mmddyyyy,1
cours,16
show,27
schedul,223
enrol,5
class,32
250,14
3,137
No,201
histori,5
becaus,62
asp,1
solut,9
4,99
option,46
allow,56
5,118
specif,52
6,53
Is,31
avail,198
