jeffrey,580
C,762
gossett/hou/ect,351
ect,3176
forward,957
11/27/2000,6
08:13,3
AM,1385
susan,258
D,181
trevino,63
11/22/2000,6
01:34,3
PM,1689
To,2435
cc,992
burton,85
mcintyre/hou/ect,37
subject,1881
curv,324
request,1374
form,332
messag,1263
',467
respons,630
account,712
'send,13
secur,310
us,678
use,920
We,1318
respond,145
recent,179
sent,1069
citibank,99
custom,544
care,108
get,758
sign,212
onlin,414
http,1711
//www.accountonline.com,3
take,571
follow,933
step,86
Go,60
help/contact,17
Us,47
find,276
head,140
choos,93
'view/upd,3
thi,4380
email,738
gener,285
automat,115
address,418
monitor,95
If,1137
tri,162
contact,685
repli,129
receiv,738
answer,120
addit,494
environ,124
new,2013
featur,116
section,100
note,405
abov,182
write,50
=20,4113
internet,285
sale,197
depart,199
purchas,311
vehicl,83
dealership,21
price,729
free,446
quot,50
th=,102
ask,228
valid,107
offer,484
e=20,179
special,242
shop,175
=01,694
avail,566
ani,1832
present,125
north,455
car,144
rebat,9
31,68
2001,1222
call,868
rob,39
armstrong,14
jimmi,16
nguy,6
281,25
thru,189
repres,172
see,538
close,309
look,530
onli,468
want,438
make,574
correct,203
you=20,6
tint,6
gold,25
packag,47
say,183
thank-you=018,6
internet=,9
sales=20,6
departmentw,6
would,670
like,547
visit,237
prize,57
locat,264
exit,42
right,262
offic,770
build,173
10:00,66
pm,69
unit,349
time,998
deliv,96
prior,228
jan,68
number,629
101-0397,3
question,948
activ,526
either,121
o=,48
r=20,64
296-5294,3
296-5269,3
thank,2545
next,298
the=20,166
peopl,262
day=,3
discov,229
eas,10
advantag,98
on-line=018,3
just=20,3
gather,42
dispers,3
inform,1240
wi=,29
ll=20,27
actual,101
way,188
final,122
toyota,6
insur,118
complet,594
satisfact,26
all-new,3
painless,4
and=20,139
hassle-fre,5
method,58
hello,64
septemb,129
perform,258
search,38
believ,179
what=,3
inventori,16
following=20,3
2000,371
ford,21
explor,107
6-cyl,3
4-door,3
color,19
exterior-,3
black,29
stock,189
yza51697p,3
mileag,3
28,623,3
approxim,68
includ,658
AC,7
alloy,3
wheel,12
am/fm/cassette/cd,3
tilt,3
dual,17
airbag,3
power,641
windows/locks/mirror,3
fog,3
lamp,3
anti-lock,3
brake,3
run,289
board,125
roof,3
rack,3
sticker,6
24,995.00,3
21,864.70,3
ttl=20,3
we=01,8
left,177
option,798
ad,142
someth,65
don=01,6
hesit,33
goal,144
exactli,30
lowest,7
hassl,3
choic,38
add,102
wind=,3
ow=20,13
plate,7
emblem,3
whatev,17
pre-own,6
No,364
necessari,78
you=,34
docu-standtm,3
absolut,24
document,182
holder,11
keep=20,6
import,252
letter,84
approx,6
50,93
sheet,85
clear,181
view,239
paper,112
stand=,3
straight,32
easi,38
refer,157
type,212
talk,117
the=,198
phone,227
direct,220
i-45,4
1960,3
cypress-holzwarth,3
68,5
stay,82
feeder,3
light,44
rear,5
of=,107
smaller,3
ent=,3
er=20,40
anyon,106
front,19
ey=20,6
escort,3
open,187
9:00,32
monday,487
thru=,3
friday,463
7:00,8
sunday,104
departmen=,3
ts=20,21
saturday,64
disclaim,10
not=,14
conjunct,14
promot,116
factori,21
financ,91
found,78
error,113
all=20,16
specif,127
b=,42
reserv,236
limit,188
refund,19
deposit,31
detail,289
.=,14
sold,44
to=,112
order,724
process,525
jan=,3
to=20,134
dure,238
current,688
month,391
of=20,100
deliveri,144
hear,51
manag,1312
ye,133
migrat,223
Do,254
outlook,158
pleas,3127
access,523
user,413
survey,83
permiss,25
email/calendar,14
updat,351
els,77
book,1697
share,165
calendar,143
list,632
mm/dd/yy,14
ensur,207
experi,117
success,198
individu,212
date,607
minut,129
fill,62
finish,53
simpli,77
click,694
'repli,7
button,107
hit,104
mailbox,93
team,687
full,105
name,564
login,73
ID,276
extens,79
comput,115
desktop,32
laptop,18
pda,7
none,26
ipaq,7
palm,79
pilot,70
jornada,7
doe,294
Is,95
distribut,95
group,1167
maintain,71
mass,9
mail,168
databas,132
applic,331
In,598
effort,253
plan,372
exact,18
date/tim,10
also,775
need,1337
know,1212
normal,39
work,895
hour,168
near,54
futur,632
vacat,61
leav,69
etc,113
even,123
2,554
press,25
trust,57
signer,6
journal,44
critic,54
1,591
schedul,624
OF,54
may,967
10th,9
save,249
My,110
data,392
onc,145
send,313
pre-migr,3
3,246
must,210
connect,104
network,107
befor,240
4,233
pop-up,3
box,108
appear,89
prompt,26
abort,3
cancel,62
OR,25
select,248
5,184
person,278
manual,71
re-ad,3
6,140
failur,13
mean,125
todo,3
day,1092
could,369
result,199
week,512
delay,44
restor,38
encount,28
resolut,58
center,443
713-853-1411,8
owa,47
client,34
web,354
configur,29
abl,208
via,277
5.0,9
entri,208
remot,36
function,182
task,64
concern,141
reason,187
ha,1669
reciev,7
start,354
morn,142
period,102
browser,34
read,162
to-do,3
At,70
enron,5400
lan,21
home,279
travel,248
abroad,6
TO,63
launch,88
window,110
//nahou-msowa01p/exchange/john.do,3
substitut,19
john.do,3
first,383
last,469
enter,227
shown,41
corp/your,3
id,127
NT,61
password,170
logon,34
ok.,16
subtl,3
differ,228
mani,197
thing,121
brief,25
spell,5
checker,3
offlin,8
print,122
templat,22
remind,132
expir,70
rule,168
vote,18
flag,24
recal,13
deleg,13
resourc,397
outlook.2000,3
enron.com,527
otherwis,54
card,283
R,222
check,372
univers,34
cash,103
bank,189
discovercard.com,35
rate,248
statement,139
financi,645
servic,1092
extra,60
studio,12
houlihan,10
today,488
coach,81
money,107
======================================================================,12
theme,6
park,36
SM,32
appli,111
pin,14
nearest,7
atm,6
appetit,6
cashback,16
bonu,34
award,88
fdic,28
regist,93
member,388
balanc,93
payment,234
e-mail,495
chang,1241
privaci,76
enjoy,99
fun,40
orlando,9
resort,8
hollywood,6
admiss,6
gate,35
let,888
thrill,3
excit,71
continu,740
certain,60
restrict,44
one,741
It,477
fast,22
quick,70
checks-accept,3
atm-al,3
go,528
institution-mor,3
32,000,3
institut,12
nationwid,4
honor,23
1-800-discov,6
1-800-347-2683,6
conveni,48
bring,134
earn,80
10,207
restaur,12
januari,388
2002,371
larger,7
So,77
place,281
keep,172
wallet,3
handbag,5
classic,15
design,101
product,656
men,7
women,20
busi,1325
travel-even,3
pet,3
coach.com,3
dazzl,3
credit,483
highest,49
countri,131
certif,60
market,965
claim,35
accord,73
reput,7
bankrat,3
banxquot,3
informa,3
research,129
wish,94
speak,29
1-800-347-7000,3
8-8,3
m-f,3
8-5,3
sat,160
ET,6
familiar,36
benefit,137
sure,220
past,144
12,89
summari,68
transfer,117
pay,170
bill,326
smart,12
tool,121
download,59
transact,444
microsoft,28
quicken,9
softwar,57
n't,533
wait,43
come,275
return,113
post,236
test,896
drive,111
wa,891
emclaug,37
serious,13
safe,33
possibl,242
whi,84
profil,32
unsubscrib,64
simpl,38
instruct,82
set,365
instantli,6
newslett,120
becaus,282
respect,198
polici,232
imag,499
invest,235
tax,402
well,453
fargo,41
help,598
equiti,82
're,157
buy,194
refinanc,9
homeownership,9
interest,191
year,596
tip,40
ira,9
best,263
life,45
must-read,6
climat,11
made,207
simpler,6
reduc,145
potenti,44
whether,75
one-stop,6
monthli,58
'll,167
mortgag,10
valu,423
calcul,98
lower,42
consolid,76
debt,34
good,301
loan,6
incom,62
retir,27
three,154
commit,85
provid,735
alreadi,184
longer,112
probabl,71
ahead,35
essenti,25
spring,36
summer,44
healthi,5
perfect,37
dream,32
true,39
favorit,33
store,54
pull,55
shelf,3
strateg,63
edit,41
challeng,19
reward,34
ever,56
got,91
experienc,21
prefer,129
advisor,8
readi,97
act,111
brokerag,19
rank,42
top,169
gomez.com,3
shopper,3
segment,23
Or,24
sharebuild,3
TM,11
flexibl,16
afford,12
weekli,46
strategi,93
dollar-cost,3
averag,31
smooth,31
peak,38
valley,11
welcom,109
mat,3
solut,124
home-rel,3
sell,144
renov,3
truli,33
interact,23
wise,17
afterward,4
meet,467
drop,33
great,304
refin,10
unlock,3
fit,27
determin,116
've,193
think,237
burden,4
minim,14
show,215
might,97
lot,108
area,200
awar,89
signific,102
tax-reduct,3
tax-deduct,4
instead,60
april,255
whole,25
worth,29
sens,36
especi,25
low,51
thought,120
part,183
everi,177
aspect,17
phase,30
page,213
//www.wellsfargo.com/,3
bookmark,10
news,42
june,123
equal,24
hous,51
lender,6
,2001,3
inc.,109
guarante,43
lose,22
attent,44
anoth,82
compani,660
sign-on,13
session,277
//banking.wellsfargo.com,5
verifi,92
owner,30
announc,341
link,347
//wellsfargo1.m0.net/m/u/wlls/tmp/w.asp,5
e=emclaug,5
40enron.com,14
homer,16
attach,599
dow,8
deal,2462
dec.,87
1997,12
errol,2750
mclaufglin,4
x5-8274,302
lucha,56
instant,27
brad,77
club,87
met,49
p.m.,255
sauc,18
salad,18
mother,57
plaza,23
gift,167
a.m.,75
chicken,15
thursday,374
kid,38
menu,57
11:00,37
tomato,12
smoke,19
green,41
class,100
chef,9
++,9
children,37
assort,22
shrimp,9
roast,9
grill,16
mix,13
chees,9
salmon,10
pineappl,9
fruit,9
egg,9
stuf,9
mushroom,9
salsa,9
rib,9
potato,9
french,9
station,21
17,66
drink,49
6:00,30
game,257
screen,117
brunch,18
buffet,10
houston,681
russel,70
bella,6
rinova,6
15,142
713-652-0700,6
13,90
2:00,16
age,34
basil,6
soup,6
boil,6
peel,9
slice,9
tradit,15
accompani,18
wild,14
prime,12
ham,6
rice,21
pilaf,6
bean,6
omelet,6
condiment,6
scrambl,12
fri,93
cream,6
fresh,12
corn,6
pepper,6
mahi,6
saut,6
ed,22
onion,6
cheddar,6
yellow,10
margarita,6
guest,26
keith,51
robinson,42
713-289-3853,6
8:00,23
cook,33
room,84
draft,31
beer,16
danc,9
gerald,17
morri,12
29,117
27,85
six,45
tuesday,356
wednesday,327
1:00,115
35.00,19
blood,8
craft,9
wonder,30
knott,13
doug,53
georg,129
prepar,89
outstand,113
yet,101
consid,142
spa,9
pamper,3
facial,3
massag,10
pedicur,6
manicur,6
mother',3
arrang,46
26.95,3
adult,14
12.95,3
-12,3
milli,3
713-654-0877,3
daniel,53
713-225-3257,3
bakeri,3
bisqu,3
shell,10
oyster,3
crab,3
claw,3
cocktail,6
remoulad,3
marin,7
veget,3
thai,7
pasta,3
mozzarella,3
trout,4
sushi,3
roll,67
steam,9
dumpl,3
wasabi,3
soy,3
tree,3
dark,3
chocol,14
fondu,3
tray,3
devil,3
cornbread,3
papaya,3
benedict,6
quich,3
florentin,3
mesquit,3
orang,17
scallop,3
amandin,3
glaze,3
carrot,3
primavera,3
du,4
jour,3
bacon,6
nugget,39
dessert,7
cake,4
pie,6
ice,13
sunda,3
bar,17
banana,3
foster,18
cherri,16
jubile,3
spici,3
sweet,7
carv,3
shallot,3
ju,3
eggs/,3
flour,3
tortillas/,3
bacon/,3
sausag,3
breast,6
pan-fri,3
puttanesca,3
pork,3
chop,3
pearl,4
whip,7
barley,3
harvest,3
wax,5
bake,3
zucchini,3
squash,3
red,71
bell,19
mirror,9
display,33
spinach,3
salad/mix,3
dress,13
composit,6
strip,45
dog,12
peanut,3
butter,3
jelli,3
sandwich,4
forget,24
upcom,22
social,31
event,230
mad,5
mixer,3
giveaway,9
mingl,6
fellow,10
measur,28
crawfish,3
24,63
19.95,6
melani,9
matu,3
713-890-8822,3
pre-gam,3
astro,6
night,215
friend,61
dine,6
1.50,3
2.00,3
frozen,3
stadium,3
style,21
food,12
11:30,16
a.m.-,3
western,29
lesson,3
two-tim,3
world,148
champion,7
ten-year,3
22,73
juli,244
august,57
two-hour,3
300.00,3
per,264
couple/,3
150.00,3
singl,48
happi,75
complimentari,4
wine,19
snack,5
teach,11
coupl,55
two-step,3
polka,3
waltz,3
kelley,32
athlet,13
712-654-8077,3
st.,42
luke,3
enhanc,78
program,371
713-791-8680,3
lifelong,3
weight,16
5:30,11
p.m,48
train,145
199,3
299,3
cardio,3
theatr,20
lectur,3
sizzl,5
safeti,26
ritual,3
9,98
12:00,46
headset,3
osteoporosi,3
16,59
specialti,7
6:30,3
8:30,51
a.m./,3
vari,26
cpr,22
4:00,13
t-shirt,5
donat,51
project,264
mom,52
11,137
mid-month,3
movi,29
marathon,3
12.00/,3
child,4
zone,17
sport,38
jam,6
june-juli,3
14,95
headquart,6
karen,62
cadwallad,3
forum,14
-11:00,3
a.m,3
10.00/adult,3
3.00/child,3
subscrib,39
90192-member,3
errol.mclaughlin,125
blank,8
leave-90192-members-111710w,3
lists.clubcorp.com,3
asian,44
excel,171
john,733
griffith,35
implement,109
tagg/erm,39
spreadsheet,140
similar,34
ga,1202
daili,453
dropbox,9
jeremi,207
x3-0573,26
Li,16
prepay,35
eric,112
structur,146
risk,965
sun,87
yesterday,48
basic,61
chase,13
exposur,63
fix,148
commod,160
veri,178
togeth,94
back,326
better,165
indic,80
long,122
counterpart,3
crude,217
01/18/2001,11
04:38,10
boyt/corp/enron,2
Hi,143
pleasur,19
sinc,168
went,37
moon,10
said,176
cage,2
gone,14
gave,12
explain,28
exampl,113
net,197
ena,523
inflow,2
300mm,2
upfront,2
outflow,2
quantiti,14
posit,611
perfectli,6
hedg,97
word,59
expos,4
third,86
parti,101
chart,233
