card,30
new,99
access,27
enron,241
employe,95
center,37
ubs-w,7
issu,24
floor,30
secur,8
south,9
avail,42
ub,89
warburg,31
monday,31
februari,23
5th,5
area,9
allow,15
enter,16
6th,7
pick,13
7,51
collect,6
We,86
human,7
resourc,12
inform,72
offic,40
space,2
friday,31
work,58
transit,30
11,61
requir,290
p.m.,8
8th,4
build,9
arrang,10
plaza,3
north,15
restrict,5
estat,19
regular,2
dear,2
colleagu,2
know,69
mani,11
question,66
benefit,13
plan,36
payrol,15
chang,39
occur,10
next,29
week,46
commun,15
prepar,8
thorough,1
Q,1
send,17
tomorrow,8
regularli,1
updat,55
meanwhil,1
pleas,174
read,8
announc,5
obtain,1
confid,3
share,8
enthusiasm,1
opportun,20
look,20
forward,21
along,3
side,4
come,23
day,70
david,12
oxley,1
head,22
____________________________________________________________________,1
two-day,2
begin,20
a.m.,5
recept,1
thursday,35
7th,3
produc,3
exist,4
photograph,1
simultan,1
old,18
without,6
soon,15
possibl,23
gain,3
fail,283
contact,57
gener,82
number,70
713-853-5360,1
staff,4
point,27
ec,4
5,54
help,40
ani,113
problem,22
might,11
It,37
suggest,7
wear,1
time,95
premis,1
ski,1
ring,1
bodi,2
shop,2
therefor,8
credit,12
union,2
cafeteria,1
either,12
must,29
submit,8
request,27
form,27
call,72
713,42
8535360,1
sign,15
bob,7
mcauliff,1
713-853-7468,1
9th,2
22nd,1
34th,1
ardmor,4
data,94
stay,8
visa,1
complet,25
thi,1315
group,40
assign,26
way,18
If,104
base,7
talk,9
counterpart,1
approv,18
ubsw,12
HR,12
contractor,1
addit,14
badg,1
hourahead,1151
start,891
date,885
2/6/02,31
hour,998
10,49
schedul,1479
download,282
manual,283
intervent,281
No,1183
2/2/02,24
24,56
ancillari,595
award,593
varianc,755
detect,671
log,761
messag,808
pars,749
file,776
O,768
\portland\westdesk\california,755
scheduling\iso,755
final,1139
schedules\2002020224.txt,1
1/2/02,73
18,57
schedules\2002010218.txt,1
health,5
insur,5
hello,4
happi,6
year,21
regard,51
2002,64
arriv,2
home,11
address,13
temporari,1
cigna,1
unit,29
healthcar,1
merck/medco,1
prescript,1
drug,2
metlif,1
dental,1
websit,15
http,48
//benefits.enron.com,1
need,55
ssn,2
4-digit,1
pin,1
system,33
onc,13
select,11
scroll,1
desir,1
note,47
may,64
also,41
site,13
depend,2
care/health,1
care,10
parking/mass,2
spend,3
account,20
reimburs,10
let,43
us,52
thank,75
team,28
grace,17
x8321,5
juli,11
x7404,4
17,54
schedules\2002010217.txt,1
tonight,8
network,6
go,58
print,4
materi,6
take,47
whatev,3
step,10
provid,34
back,26
run,13
El,25
paso,28
ryan,10
16,41
schedules\2002010216.txt,1
15,43
schedules\2002010215.txt,1
14,45
schedules\2002010214.txt,1
13,44
12,41
schedules\2002010212.txt,1
sheet,23
deal,90
epe,36
binder,2
current,74
hourli,1
kept,7
miss,2
12/30/01,1
01/01/02,1
lookout,1
shift,7
period,4
coordin,5
done,12
reconstruct,1
main,3
sourc,3
settlement,9
clear,9
concis,1
energi,76
type,1
deliveri,8
spoke,8
anoth,13
email,30
procedur,9
model,9
bill,55
23,47
schedules\2002020223.txt,1
counterparti,23
cut,105
attempt,28
reconcil,1
daili,8
activ,11
includ,27
move,19
To,75
facilit,3
effort,13
put,29
accordion,3
RT,4
overflow,1
desk,25
kate,11
use,47
sit,4
tune,3
appar,2
toni,7
wa,100
correct,7
fair,2
amount,30
recent,10
track,1
off-schedul,1
So,4
unabl,28
respons,12
find,14
replac,2
phone,17
switch,1
schedules\2002010211.txt,1
tnp,4
MW,18
pnm,17
sp,8
130,2
verifi,7
per,14
follow,48
get,60
pass,17
receiv,38
first,19
ha,84
75,4
see,42
commit,5
behalf,4
keep,12
check,21
real-tim,4
minim,3
inadverd,1
sale,11
second,6
exchang,5
light,2
load,175
eddi,2
tie,7
return,6
power,55
100,13
PV,11
30,17
FC,2
real,26
sps/psco,3
deliv,7
hidalgo,2
25,13
firm,75
like,63
last,36
two,31
50,7
econ,1
vari,1
ask,17
9,44
schedules\2002010209.txt,1
8,47
schedules\2002010208.txt,1
schedules\2002010207.txt,2
user,118
found,177
prefer,197
detail,181
trans_typ,183
sc_id,177
mkt_type,183
2,269
trans_dat,177
transact,91
alreadi,93
progress,77
load_id,116
enrj,117
tie_point,61
interchg_id,61
engy_typ,61
',77
ectstsw,24
sql,66
error,1142
could,60
n't,83
lock,43
'admin,31
machin,34
'ecthou-bps4,6
tabl,126
import/export,46
ectstca,9
malin_5_rndmtn,37
enrj_ciso_3001,6
fcornr_5_psuedo,7
enrj_ciso_7000,7
mead_2_walc,12
enrj_ciso_8000,8
pge1,11
pge2,16
pge3,23
sce1,17
sdg1,27
6,52
schedules\2002010206.txt,1
22,42
schedules\2002020222.txt,1
schedules\2002010205.txt,1
4,65
3,67
schedules\2002010203.txt,1
schedules\2002010202.txt,1
1,116
schedules\2002010201.txt,1
1/1/02,22
schedules\2002010124.txt,1
locat,34
revised_pref,23
match,23
individu,32
interchang,23
pverde_5_ng-plv,5
epmi_ciso_sw,5
enrj_ciso_8001,5
schedules\2002010123.txt,1
schedules\2002010122.txt,1
21,46
schedules\2002010121.txt,1
20,46
schedules\2002010120.txt,1
schedules\2002020221.txt,1
craig,1
wednesday,25
01/02/02,2
import,26
ID,10
wrong,7
on-peak,2
35mw,1
off-peak,4
45mw,1
want,39
zone,8
sp15,7
make,48
flat,4
posit,21
manag,48
bert,89
meyer,68
apx,9
januari,40
DA,4
cali,9
HA,11
market,26
-origin,43
albert,17
sent,49
tuesday,16
01,11
12:27,1
PM,81
solberg,1
geir,4
william,12
iii,7
Cc,4
dl-portland,9
volum,8
mgmt,1
subject,52
ahead,7
taken,8
concern,20
order,12
phase,5
II,3
within,4
ciso,13
agre,15
np15,6
17mw,2
peak,4
built,6
ST,3
took,5
trade,92
zero,22
sure,21
reempliment,2
origin,15
max,4
becaus,18
custom,8
sierra,2
pacif,4
hold,7
give,33
committe,31
bankruptci,26
creditor,24
court,16
outsid,16
financi,26
advisor,5
relat,13
parti,14
member,16
attorney,6
organ,8
ensur,10
notifi,8
dave,13
In,28
better,6
expens,14
chapter,13
repres,6
multipl,9
among,7
thing,11
certain,15
task,2
perform,1073
analysi,1
busi,58
overse,3
process,40
list,20
directli,11
anyon,15
prior,4
personnel,7
relationship,3
i.e,4
motion,5
etc,8
u.,1
truste,2
ernst,1
young,1
houlihan,1
lokey,1
howard,1
zukin,1
blackston,1
batcheld,1
partner,6
weil,2
gotshal,2
mang,2
milbank,1
tweed,1
andrew,1
kurth,1
corp,15
ray,10
bowen,4
chairman,4
butt,3
jim,15
fallon,5
glassford,1
gort,1
mark,11
muller,2
julia,1
murray,1
lou,1
stoler,1
initi,7
meet,39
basi,13
well,30
priorit,1
extrem,7
compani,54
accur,2
accordingli,2
assist,27
newli,2
dynegi,25
said,29
billion,12
claim,12
sever,20
bid,13
judg,9
houston,23
gonzalez,6
york,12
natur,17
ga,17
u.s.,3
contract,26
jan.,4
state,19
pipelin,9
su,3
denn,3
4,500,3
polici,15
payment,9
pay,22
say,8
befor,16
would,75
part,23
lawyer,10
bienenstock,4
potenti,5
bidder,5
book,18
auction,12
full,11
trader,17
feder,3
rule,5
rival,2
right,16
northern,10
texa,5
1.5,4
8.4,2
case,7
harmon,2
former,14
largest,2
dec.,3
nearli,5
worker,2
revel,2
entitl,3
earn,4
stock,19
cent,2
decemb,19
5:39,1
AM,42
ET,1
open,14
By,5
kristen,1
hay,1
associ,5
press,7
writer,1
AP,1
set,8
embattl,1
corp.,24
once-domin,1
oper,1082
wall,5
street,8
insid,4
fetch,1
hear,7
arthur,3
wholesal,9
martin,4
J.,4
none,5
far,5
express,13
interest,16
valu,14
due,14
held,9
wari,1
liabil,1
short,10
frame,1
doe,10
review,17
howev,15
avoid,4
lose,1
decid,6
whether,6
inc.,4
key,4
away,6
co.,1
prize,1
16,500-mile,1
midwest,1
invest,6
propos,6
merger,2
competitor,2
collaps,3
late,3
novemb,17
smaller,2
illeg,1
termin,14
argu,1
massiv,1
district,2
melinda,1
suit,3
heard,5
core,2
element,2
giant,1
seek,3
protect,2
predict,1
burn,1
lawsuit,2
turn,8
promptli,1
acceler,1
trial,1
spokeswoman,1
karen,1
declin,1
comment,8
decis,12
one,65
histori,2
breach,1
800,1
consid,7
40,3
laid,2
gather,3
headquart,1
discuss,10
complaint,1
lack,4
carri,3
display,1
word,2
moron,1
logo,1
think,20
wore,1
t-shirt,1
exec,1
stole,1
christma,3
short-term,2
financ,3
afloat,1
fund,11
600,2
deem,1
critic,2
surviv,3
million,1
retent,7
upset,1
money,3
elig,1
partial,1
employ,7
10,000,2
salari,4
maximum,2
26,2
honor,5
pete,4
chase,2
31,6
servic,33
month,20
abov,8
instruct,11
web,13
www.enron.com,2
assess,2
condit,2
asset,9
everi,8
absolut,2
free,14
formerli,1
fortun,2
500,1
near,6
90,3
ago,4
plummet,2
hidden,1
debt,3
overst,1
octob,6
siphon,1
investor,2
prompt,2
flee,1
world,13
buyer,5
seller,1
abandon,1
buy,13
continu,23
reveal,1
seriou,2
downgrad,1
junk,1
rose,1
3.08,1
close,1078
23.98,1
44,1
nyse,6
park,38
deduct,16
mass,11
89,7
lot,12
tri-met,5
valid,5
503,5
reach,10
resolut,8
otherwis,9
subsidi,2
stop,4
12/31/01,2
12/15,2
incur,4
out-of-pocket,5
cost,9
dure,22
wtc,3
mail,11
1/15/02,26
paycheck,4
action,3
req,2
'd,9
choic,2
pocket,2
debra,3
davidson,3
extra,3
option,16
12/21/01,2
eob,2
monthli,6
longer,8
abl,20
ena,5
kearney,4
464-7404,3
rodriguez,4
464-8321,2
inc,3
profit/loss,2
made,14
style,7
futur,15
color,2
littl,8
simplifi,3
broken,1
similar,6
differ,4
worksheet,1
improv,2
obvious,2
neither,1
fulli,4
integr,6
yet,6
bit,2
