center,823
garag,19
allen,27
card,344
new,1444
space,33
pleas,1628
met,14
park,107
To,1215
enron,1727
ha,620
open,131
accept,118
would,534
return,162
asap,41
back,422
fill,53
wait,164
list,424
deactiv,3
immedi,74
contact,419
transport,54
ani,908
question,298
may,740
hand,86
old,85
secur,136
guard,2
exit,30
end,125
thi,3177
week,403
thank,881
veri,249
much,279
cooper,22
loui,12
ye,180
We,764
're,309
go,897
home,351
omaha,41
tomorrow,100
morn,185
'll,651
monday,299
take,480
care,127
happi,84
easter,57
e-mail,811
natasha,13
product,443
like,628
Hi,280
moniqu,7
mutual,11
friend,185
sim,13
attend,56
church,131
sing,59
choir,71
togeth,74
talk,426
yesterday,139
mari,25
kay,30
told,138
rep,20
work,461
place,218
coincid,4
top,386
receiv,1076
angi,18
collin,10
name,333
wa,1426
also,363
said,314
got,206
send,269
well,359
anyway,140
order,214
cleanser,14
normal,69
skin,44
conceal,9
eboni,4
bronz,5
black,89
liquid,23
eyelin,7
let,464
know,955
item,88
stock,78
charg,144
hook,11
patric,1013
x35772,4
girl,237
prayer,53
dan,41
memo,8
shall,55
confirm,210
agreement,137
deliv,156
3,000,12
mmbtu,39
per,274
day,1320
nation,174
steel,82
abov,89
referenc,14
time,1108
period,122
deliveri,127
ngpl,63
nipsco,26
citi,206
gate,37
call,769
certainli,38
kid,222
last,444
year,326
big,139
get,1363
great,403
Oh,44
hope,321
So,185
nice,122
hear,143
think,285
miss,141
see,772
everi,160
tuesday,215
consid,52
come,254
soon,150
If,941
understand,59
messi,3
finish,21
bridg,11
say,258
organ,55
perform,89
4:00,20
1,834
hour,152
free,1113
rest,41
improv,92
although,40
want,527
us,388
11:00,55
bought,47
truck,13
2001,940
chevi,4
taho,12
realli,390
'm,520
still,209
tri,265
use,505
drive,98
someth,140
sit,33
high,93
whoa,3
pray,69
everyth,174
afternoon,88
love,247
ya,81
p.,63
address,402
often,37
id,50
discrep,12
far,85
good,485
need,646
dress,104
happen,106
mine,30
pretti,75
2:10,3
p.m.,116
nymex,17
close,130
rehears,116
tonight,167
red,33
later,213
heard,60
school,79
becaus,381
snow,13
look,402
ladi,43
charlen,4
jackson,39
n't,878
give,242
check,237
sunday,160
rememb,95
man,48
He,323
specif,97
quot,83
dollar,69
amount,49
9,475.808.18,3
vs.,16
9,298,971.71,3
help,371
much1,3
sitara,75
s/b,16
reflect,68
chicago,199
ga,578
daili,206
price,564
hey,323
lizzi,18
nicor,201
correct,61
664380,17
chang,342
flat,15
664363,7
plu,221
0.01,10
revis,67
ticket,257
darla,33
could,221
someon,90
septemb,100
busi,320
differ,131
176,836,4
owe,28
gener,72
idea,116
coenergi,12
pay,190
april,41
1999,16
10,000,68
scott,48
final,99
resolut,40
invoic,69
tell,175
2.90,4
2.74,4
true,52
0.155,4
volum,149
otherwis,85
patienc,9
sorri,132
took,41
long,159
resolv,23
littl,172
spend,63
night,401
downtown,29
weather,123
boy,176
todd,103
kendal,63
hi,368
It,559
daddi,116
pleasant,7
surpris,22
middl,85
thing,207
excit,70
ask,238
one,594
hotel,585
street,76
suppos,58
ice,22
quit,27
natur,99
nobodi,10
mind,88
needless,15
bit,16
grandma,4
springer,3
hous,151
stay,101
guy,95
bad,69
mom,108
definit,71
tekno,3
dog,19
enjoy,174
celebr,21
2nd,40
birthday,26
fun,97
mini,5
basketbal,5
goal,31
cute,46
On,82
jordan,161
