http,5324
pellucid,4
univers,26
word,174
day,491
2,182
shine,5
phoenix,24
//quinst.com/clk/yuansangxiudezao,4
2002,476
1,198
transpar,3
cancun,9
new,679
york,210
time,428
writer,8
subscrib,128
dictionary.com,94
To,450
email,253
send,130
blank,96
messag,250
lists.lexico.com,94
/,68
-\,35
balanc,30
career,19
educ,11
degre,59
program,70
100,43
onlin,98
work,102
profession,8
attend,22
ani,308
privat,12
unit,286
state,146
learn,36
href=,48
aol,54
user,67
click,341
/a,37
-/,35
wednesday,130
april,184
10,74
\puh-loo-sid\,1
adject,17
clear,18
opaqu,2
easili,5
understand,25
prevail,2
atmospher,1
one,240
cruis,66
kukulcan,1
boulevard,1
busi,188
strip,12
122,1
hotel,127
cluster,1
remain,76
orlando,18
la,46
vega,32
drop,41
intact,1
next,208
caribbean,34
water,21
larri,2
rohter,1
march,208
8,59
1998,15
In,183
scrupul,1
prose,1
appear,39
distanc,6
optimist,1
californian,2
light,68
cynthia,3
ozick,1
write,36
magazin,17
januari,159
2000,25
_________________________________________________________,69
come,96
latin,45
pellucidu,1
pellucer,1
per-,1
lucer,1
refer,75
1.,49
//www.nyt.com/,1
2.,41
//www.nytimes.com/library/magazine/home/,1
_._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._._,47
current,144
matt.motley,69
enron.com,129
list,145
join-wordoftheday,47
unsubscrib,112
via,74
leave-wordoftheday-357530c,47
subscript,93
turn,84
web,190
//www.dictionary.com/wordoftheday/list/,47
//www.dictionary.com/wordoftheday/,47
C,157
lexico,47
publish,101
group,104
llc,48
todaysheadlin,703
=========================,190
monday,195
oil,17
thi,755
polit,65
two,98
say,94
advertis,85
listen,13
price,432
chang,388
e-mail,277
headlin,60
littl,60
israel,35
wa,351
even,72
mani,81
medicaid,3
drug,12
get,198
best,68
free,137
player,52
leader,25
would,200
middl,35
east,34
peac,12
tiger,22
repres,38
could,71
help,126
high,156
includ,216
mayor,15
By,72
receiv,259
deliveri,130
feedback,78
nytimes.com,60
today,146
news,108
visit,135
music,25
bit,10
begin,88
powel,12
secretari,13
palestinian,25
area,46
//www.nytimes.com/2002/04/09/international/middleeast/09mide.html,2
nation,80
boston,18
priest,24
abus,26
roman,11
embalm,4
tri,82
compani,230
jame,24
intern,89
continu,109
said,157
mideast,14
venezuela,9
turmoil,2
year,136
feroci,3
plan,327
sign,75
third,29
crisi,7
stay,99
rise,34
seriou,8
shock,4
system,68
//www.nytimes.com/2002/04/09/opinion/09krug.html,2
salton,2
target,11
maker,15
month,137
still,64
',165
wall,20
street,29
n't,108
hi,143
technolog,51
earn,100
fall,28
estim,17
warn,28
first,132
well,77
