PM,3078
thru,341
sat,315
outag,426
5/19/2001,72
impact,359
AM,1740
schedul,860
server,148
CT,224
PT,199
london,303
fri,196
No,1209
5/18/2001,33
environ,143
713,440
purpos,258
backout,111
contact,857
time,1246
corp,119
sun,147
5/20/2001,22
old,87
7:00:00,54
wed,55
10:00:00,42
pager,102
system,614
data,345
center,217
3:00:00,44
sitara,177
E,196
mainten,87
databas,64
12:00:00,60
unifi,52
19-may-2001,12
sydney,18
S,473
may,1400
facil,286
oper,630
enron,5043
servic,776
internet,387
john,1094
9:00:00,39
1:00:00,34
user,155
EI,45
5/16/2001,9
5/23/2001,9
manag,798
room,123
requir,423
product,597
well,642
6:00:00,55
resourc,230
Y,57
T,195
L,257
2001,1462
edi,46
5:30:00,17
io,8
new,1450
revert,11
note,421
11:00:00,30
2,641
week,1241
interv,11
n/a,19
market,2180
4:45:00,7
2:45:00,7
10:45:00,7
cabl,12
comput,88
date,523
migrat,33
dss,6
thi,4229
4:00:00,43
8:00:00,26
2:00:00,25
move,282
tdsprod,6
also,603
allow,160
instanc,10
restart,45
memori,69
cpu,15
malcolm,21
713-345-3716,20
need,998
power,1118
gmt,32
houston,425
portland,54
test,127
help,635
on-cal,40
853-9797,28
W,285
K,266
N,74
D,160
M,390
V,32
B,96
F,226
O,59
R,132
18,194
5:00pm,21
21,119
12:00am,13
ardmor,17
azurix,20
eb34,14
south,198
north,499
american,110
lan,17
field,258
10:30:00,7
11:30:00,10
8:30:00,11
9:30:00,7
4:30:00,9
upgrad,64
enefw4,3
code,59
ha,1345
bug,40
fix,60
state,220
failov,4
featur,49
back,395
shupak,4
713-853-7943,4
bryan,72
aubuchon,4
713-345-8446,4
messag,1800
cnote,5
reboot,15
ani,1987
mailserv,6
list,507
make,657
sure,266
come,334
trey,9
rhode,14
345-7792,5
local/domestic/foreign,5
site,194
david,409
ricafrent,5
713-646-7741,5
eb3460,3
trade,1294
group,618
improv,101
perform,259
order,357
compli,25
standard,79
sieckman,4
713-345-7862,4
NT,20
os/2,14
ot,7
et,317
29,129
2001/2/2001,3
gthou-appsq03p,3
abl,183
access,349
eneds01_adapt,3
exist,52
outdat,3
sql,6
2000,670
provid,637
increas,429
function,79
conform,79
platform,55
mari,99
vollmer,5
713-853-3381,5
joe,212
hellsten,3
713-853-7346,3
713-545-4164,3
ena,462
give,270
space,52
current,497
use,678
enpow,12
refract,3
expand,77
tnsnames.ora,3
entri,54
chang,748
point,401
jahnk,3
713-345-4398,3
addit,442
moe,7
pep,87
global,165
constrain,3
shutdown,16
configur,12
see,900
abov,265
additionto,3
aurora,3
add,176
remov,68
newli,12
ad,126
config,5
sun/oss,14
telephoni,22
termin,138
11:45:00,6
infrastructur,48
brian,99
ripley,4
713-345-4709,4
charl,71
ballmer,3
713-853-0684,3
bob,174
ward,60
713-345-4409,4
australia,14
5:00:00,32
origin,249
de-pow,3
plug,8
equip,32
uncondit,3
colin,11
wood,18
+61-416-248-353,3
elliott,6
katz,7
+61-292-292-309,3
assist,249
853-1411,14
resolut,25
specif,119
inform,832
risk,253
853-5536,14
sap/isc,14
345-4727,15
284-3757,14
288-0101,14
rus/gops/geotools/apr,14
639-9726,14
oss/ua4/tarp,14
285-3165,14
cpr,27
284-4175,14
support,380
327-3893,14
ee,269
desk,367
OR,44
888,14
file,916
follow,797
contain,254
graphic,41
view,250
ga,2331
averag,509
deal,859
count,119
trader,830
eol,337
compar,92
analysi,184
onli,543
Do,233
updat,845
link,254
open,290
If,1223
question,882
regard,553
breakout,46
pleas,2764
let,757
know,998
thank,1750
adam,41
johnson,56
x54877,7
enrononlin,167
tout,377
de,454
ce,459
le,237
ou,227
attach,994
g050301.pdf,6
______________________________________________________________________________,56
_______________________________________________________,56
sont,148
se,164
bnp,192
pariba,199
modifi,168
Ce,77
piec,89
joint,84
ci-apr,74
etabl,73
l'intent,74
exclus,141
destinatair,77
confidentiel,77
Si,77
vou,80
recevez,74
par,82
erreur,74
merci,77
detruir,73
d'en,77
avertir,77
immediat,76
l'expediteur,76
utilis,77
non,128
sa,74
destin,85
diffus,77
public,136
total,389
partiel,77
est,108
interdit,74
sauf,74
autoris,74
express,217
l'internet,74
ne,92
permett,74
pa,80
d'assur,74
l'integrit,73
filial,74
declin,207
nt,81
responsabilit,74
au,74
titr,74
dan,179
l'hypothes,73
il,74
aurait,74
ete,73
intend,222
sole,138
addresse,88
confidenti,206
receiv,816
error,154
delet,149
immedi,282
notifi,146
sender,112
accord,222
dissemin,92
disclosur,125
either,212
whole,105
partial,99
prohibit,159
except,125
formal,80
approv,395
guarante,111
integr,169
subsidiari,103
shall,163
therefor,126
liabl,84
wholesal,131
roger,100
continu,420
We,949
ask,363
vice,64
eastern,186
report,923
close,288
given,102
growth,83
becom,72
appar,23
consolid,28
ew,59
expertis,14
energi,599
necessari,69
grow,53
take,478
advantag,25
opportun,244
mind,23
agreement,222
two,400
insid,43
america,481
form,207
price,1426
structur,131
retail,37
commod,135
logist,101
back-offic,9
main,115
herndon,16
president-trad,4
interconnect,90
includ,568
kevin,375
presto,46
black,39
formerli,16
president-e,4
sourc,102
western,109
u.s.,183
tim,54
belden,7
work,796
veri,341
pursu,29
share,79
goal,62
ensur,96
coordin,73
organ,121
effect,231
congratul,35
role,107
lavorato,110
louis,139
kitchen,61
coal,95
said,883
year,758
brownout,21
last,701
wyom,19
summer,134
percent,229
natur,461
util,127
plant,324
utah,17
stock,275
In,604
ton,16
project,221
one,660
railroad,12
hill,16
associ,392
could,393
fuel,179
month,542
million,197
high,394
sloan,12
aci.n,9
largest,30
l.a.,9
MW,45
suppli,238
anoth,179
capac,593
basin,27
line,265
mine,25
per,454
mee.n,9
timothi,30
gardner,20
york,186
shortag,16
electr,324
northeastern,14
west,227
thursday,456
industri,196
underinvest,6
oil,290
level,183
avail,923
depart,142
thin,22
led,23
california,121
still,413
would,1195
arch,6
firm,214
situat,48
1,600,7
megawatt,153
intermountain,6
1,000,31
mike,364
day,861
though,89
problem,257
nation',6
major,74
powder,6
river,37
train,47
invest,95
midwest,39
go,616
hanou,6
normal,183
far,69
analyst,256
three,217
eventu,10
+1,18
212,65
relat,122
doubl,31
click,328
rtr,10
By,103
3,470
reuter,53
stress,16
alreadi,144
frazzl,3
nationwid,8
spawn,3
expert,15
countri,44
51,5
record,107
compet,16
push,76
',671
lowest,18
sinc,324
1974,23
januari,289
govern,39
94,12
27,78
less,141
earlier,128
administr,128
number,468
cruncher,3
compound,11
roll,30
winter,135
came,53
fail,26
deregul,37
plan,466
amid,115
bottleneck,5
fallen,43
all-tim,9
nearli,22
twice,25
certain,49
region,265
expect,566
deck,3
spokesman,5
inc.,207
nation,103
second,75
seem,64
likelihood,3
especi,44
reservoir,36
behind,17
hydro-dam,3
lo,31
angel,16
avoid,51
larg,54
becaus,317
cach,15
particip,584
14,126
lesser,3
amount,104
nearbi,13
citi,98
anaheim,3
pasadena,3
part,164
home,170
nosanov,3
agent,234
700,000,7
60,46
enough,83
keep,199
us,513
troubl,53
mayor,4
richard,82
riordan,4
meet,870
governor,16
leavitt,3
discuss,402
500,85
overload,7
potenti,122
stem,23
produc,147
deliv,132
24,235
union,18
pacif,24
burlington,3
northern,75
santa,4
Fe,3
reach,134
64,19
300,9
probabl,130
carri,94
10,330
20,171
beyond,31
get,825
thirsti,3
propos,155
build,130
1.4,6
billion,66
rail,3
independ,60
consult,38
agre,114
limit,183
solv,8
presid,100
drought,3
danger,14
northeast,97
hotter,9
suffer,73
mix,57
massey,9
seventh-largest,3
compani,480
experienc,52
flood,9
appalachia,3
atmospher,5
hell,6
big,135
stori,59
jim,251
thompson,9
gener,378
publish,96
affili,108
eia,8
burn,41
six,106
spot,211
jump,63
long-term,17
contract,472
80,49
mean,72
consum,17
mostli,21
protect,46
rise,124
find,189
themselv,10
scrambl,8
As,402
tell,79
anywher,42
warn,22
spring,56
possibl,206
lehman,3
brother,30
peter,110
gotten,18
complac,3
buyer,102
decad,13
suddenli,4
past,102
mani,251
low,217
inventori,75
scari,4
spur,3
clear,60
threat,17
we'r,5
much,276
least,76
859-1632,3
fax,184
859-1629,3
timothy.gardn,3
reuters.com,7
news,184
U,4
mni,3
eln,3
cgo,3
G,93
rnp,3
dnp,3
pge,9
rrl,3
cru,3
prod,3
enr,3
env,3
US,189
elg,3
len,3
quot,85
03,31
18:04:52,3
nn27675175,3
ect,8103
enronxg,638
emiss,53
strategi,119
best,216
dave,114
robert,355
mark,515
16,170
17,149
lisa,92
jeff,188
scott,3927
environment,45
busi,626
commerci,151
polici,104
invit,108
202,29
ye,125
i/w,2
repres,269
dsm,3
book,303
attend,287
jacobson/enron,2
05/02/2001,21
10:57,6
To,3170
mcgowan/enron,13
daniel,68
reck/enron,2
matt,101
goering/enron,2
commun,345
stuart,34
staley/lon/ect,14
massey/enron,2
andrews/enron,2
siegel/enron,2
kristin,13
quinn/enron,2
roberts/hou/e,2
heather,28
mitchell/hou/e,2
elizabeth,33
howley/hou/e,2
watson/hou/e,2
dobler/hou/e,2
presto/hou/ect,95
lloyd,34
will/hou/ect,24
doug,134
gilbert-smith/corp/enron,21
fletcher,130
J,394
sturm/hou/ect,103
herndon/hou/ect,62
benson/corp/enron,2
dana,95
davis/hou/ect,37
ben,38
jacoby/hou/ect,15
kellermeyer/hou/ect,6
mitch,6
robinson/corp/enron,23
moore/corp/enron,2
nave,2
ahmed/na/enron,2
phillip,277
allen/hou/ect,218
neal/hou/ect,1918
elliot,3
mainzer/enron,2
lewis/lon/ect,18
loui,27
redshaw/lon/ect,2
styles/lon/ect,2
paul,159
dawson/govt,2
affairs/lon/ect,2
jacki,11
gentle/lon/ect,5
fiona,2
grant/lon/ect,2
kate,80
bauer/eu/enron,2
schroeder/enron,2
shafer/enron,2
shelley,5
corman/enron,5
hap,3
boyd/ewc/enron,2
stanley/eu/enron,2
michael,144
terraso/ots/enron,2
moss/enron_develop,2
enron_develop,150
jeffrey,172
keeler/corp/enron,2
cc,2043
subject,2955
....,66
conven,11
mid-may,6
issu,295
climat,11
multipollut,10
legisl,53
explor,83
primari,65
object,53
session,150
1,964
latest,102
regul,46
advocaci,13
effort,108
worldwid,21
feedback,479
interest,387
input,148
option,358
develop,211
short,198
long,152
term,216
member,134
import,318
strateg,46
target,75
like,625
a.m.,113
12,200
p.m.,196
respond,157
final,182
arrang,69
review,429
preliminari,22
agenda,46
suggest,161
advanc,113
hesit,80
keeler,14
look,421
forward,1685
jacobson,13
1775,13
eye,26
street,84
NW,13
suit,97
800,44
washington,53
DC,16
20006,13
phone,297
466-9176,13
331-4717,13
think,421
n't,665
interview,289
tract,16
later,240
've,185
screen,86
outsid,102
resum,239
intern,189
peopl,208
anyon,133
qualifi,21
send,292
name,445
karen,173
buckley,75
candid,242
wait,53
arriv,116
lavo,27
everyon,176
offsit,65
onc,205
climb,84
mountain,32
hello,49
decemb,269
decid,84
kill,17
due,233
volatil,51
togeth,112
late,121
june,514
holiday,117
kid,57
littl,164
fun,58
drive,128
success,132
focu,102
someth,62
els,70
ie,17
'm,229
strong,106
bid,139
4,396
idea,118
start,497
staff,68
first,420
friday,531
11th,12
2:30,51
p.m,33
p/l,26
respons,409
calgari,27
toronto,16
video,62
confer,89
assign,171
8,212
26,146
anayst,3
incom,24
class,86
respect,196
creat,212
process,507
pick,63
assum,81
done,109
thing,177
incorrect,7
someon,84
offic,384
chair,15
cooridin,3
supervisor,47
prompti,3
kam,109
posit,262
transport,235
