ken,777
pleas,8502
review,3495
attach,5428
amend,1134
thi,13985
schedul,1427
agreement,7228
base,580
paul,631
revis,1685
let,3758
prepar,750
trevor,67
creat,438
energi,1161
servic,2724
letter,2018
april,449
19,278
think,1451
much,654
cleaner,14
way,793
make,2006
line,883
calcul,204
clearer,10
If,3535
OK,273
fax,1461
copi,1900
hi,1092
befor,948
execut,1834
know,4675
ani,6413
question,2646
note,1175
We,3784
also,2386
need,4009
declar,104
hpl,1197
manag,1242
partner,199
hcc,17
approv,650
kevin,179
howard,41
sign,954
alreadi,586
document,1688
time,2951
glad,91
ask,910
lunch,426
today,1346
enjoy,259
spend,117
even,592
though,271
tough,37
convers,318
hard,291
right,1236
love,380
vision,63
wildhors,906
ga,3492
discuss,2368
request,1633
pressur,330
system,1156
ha,3291
qualiti,296
product,1513
curtail,102
dakota,123
've,704
issu,1320
increas,364
reason,440
offer,828
abov,550
potenti,271
written,227
notif,103
relat,545
As,1130
enogex,70
due,661
sec,72
past,310
year,1507
refer,547
produc,323
spec,82
downstream,94
gerald,7613
provid,2120
coment,8
redlin,649
draft,1858
howev,587
want,2144
follow,1737
idea,284
list,1380
inclus,65
shut-in,16
statu,627
entrada,106
recent,374
never,314
anyth,556
write,261
histor,49
claim,193
B,386
identifi,206
contractu,108
e.g,31
6,551
detail,669
wellhead,108
deliveri,483
requir,1138
contract,3564
et,135
al,66
initi,412
re-rout,10
two,1277
load,191
san,329
arroyo,140
nwpl,276
subsequ,40
system-wid,8
abil,167
allow,512
problem,498
persist,13
7,476
remedi,63
....,346
partial,58
releas,799
frustrat,15
area,514
receiv,2119
continu,783
non-pipelin,8
coupl,454
gather,657
revenu,100
yet,491
invest,345
process,794
meet,1950
exceed,43
pipelin,1191
use,2396
pipe,265
shut,46
captiv,8
thu,212
far,209
solut,203
therefor,212
critic,139
get,3872
peopl,638
within,426
possibl,718
element,26
e.g.,40
dispatch,11
commerci,287
manner,105
etc.,57
thank,5210
dan,732
ect,8877
teresa,164
enron,11220
n't,3188
713,1274
G,510
bushman/hou/ect,75
07/24/2000,14
understand,539
merril,30
got,756
info,528
pruett,18
gushey,2
correct,358
spell,48
done,392
might,639
consid,307
input,172
richard,227
sander,90
regard,1306
situat,194
G.,64
bushman,26
north,1228
america,1198
corp.,1313
1400,426
smith,543
street,651
EB,323
3812,4
houston,2172
TX,460
77002,370
853-7895,10
646-3393,64
teresa.g.bushman,10
enron.com,4683
forward,4389
12:09,36
PM,6050
J,762
bump,109
10:22,31
AM,4127
To,7947
nemec/hou/ect,2374
cc,4541
joan,435
quick/hou/ect,208
scott,467
josey/corp/enron,125
barbara,639
gray,232
brian,727
redmond/hou/ect,79
subject,7879
Re,1041
contain,718
onli,1563
chang,2854
particip,606
It,1545
red,252
crescendo,440
brett,22
state,984
correspond,70
thought,647
llc,662
concern,690
conduct,161
call,2985
made,921
would,4115
negoti,347
friday,1260
krisa,191
wa,3365
law,849
fact,268
In,1429
second,304
sentenc,167
insert,138
NG,16
resourc,719
member,503
nemec,2452
07/23/2000,2
05:12,10
bump/den/ect,64
confidenti,984
work,3078
materi,492
attorney,698
client,205
privileg,386
sent,3563
commit,220
comment,1741
summar,28
activ,525
date,1907
1,1867
confer,477
frie,6
wednesday,915
summari,194
minut,288
No,998
demand,265
unprofit,62
extent,115
becaus,587
carrier,47
start,702
enforc,137
tighter,6
specif,585
took,185
word,408
check,1088
northwest,98
questar,268
whi,291
straight,28
away,215
He,657
respond,423
altern,133
arrang,243
2,1708
noth,177
realli,658
anoth,502
lone,38
mountain,78
compani,2313
asset,610
econom,91
viabil,7
declin,42
unfortun,141
direct,489
take,1715
posit,358
3,1151
secur,514
local,208
consul,4
denver,283
someon,348
intim,6
familiar,76
utah,38
colorado,207
litig,100
perspect,90
involv,281
may,3102
seek,104
declaratori,32
order,1248
run,373
conflict,87
firm,794
repres,253
either,480
KN,16
tom,605
brown,486
resolv,146
monday,1105
4,893
agre,530
languag,898
jim,511
osborn,34
give,1179
power,1341
ena,1713
doe,920
desir,127
pursu,101
reiter,32
current,1096
black,136
white,180
deem,96
inert,8
suspend,54
receipt,300
without,470
default,139
short,244
report,1413
find,993
dure,677
drive,266
compon,35
test,242
cambridg,2
22nd,26
juli,800
wit,61
chri,1065
bailey,22
dale,77
korver,2
set,744
answer,333
plan,1195
attack,37
cchri,2
week,1504
tomorrow,678
legal,1837
hope,978
field,350
'll,1455
see,2509
attend,499
grand,122
junction,16
signific,178
well,1686
told,363
help,1528
3rd,168
parti,1383
westwat,6
gentlemen,81
road,164
project,1028
20/20,151
miss,260
weekli,30
gener,796
issues/ev,2
acquisit,185
reserv,560
associ,432
look,1805
dedic,97
asap,282
By,188
ng/crescendo,2
behalf,157
aug.,36
tour,189
better,395
option,491
coordin,205
rusti,111
anyon,438
suggest,435
fli,147
directli,250
CO,82
tue,87
morn,715
anticip,103
reinek,12
oper,1264
histori,137
last,1191
long-term,48
improv,167
cost,695
estim,215
low,101
btu,46
said,426
sinc,804
late,331
june,926
propos,793
long,438
mayb,251
prioriti,72
follow-up,59
next,1043
coga,2
O,272
ass,86
',1979
n,72
5,722
purchas,1321
structur,374
lastli,20
repair,47
propan,6
unit,497
plant,451
resum,62
bottom-lin,2
say,521
volum,417
earli,339
least,234
seem,314
tri,882
us,1774
comfort,109
transact,1642
vpp,24
address,1172
e-mail,2505
hereto,174
intend,967
organ,325
chart,73
shonni,548
L.,205
daniel,334
assist,635
counsel,357
suit,374
3871,12
texa,1576
77002-7361,68
853-1463,16
phone,1161
646-3490,80
shonnie.daniel,60
addresse,302
name,1415
herein,228
and/or,361
inform,3673
recipi,577
herebi,134
notifi,424
dissemin,139
distribut,554
strictli,155
prohibit,218
new,2760
oslo,10
offic,1391
go,2588
live,311
24,274
nordic,9
hoffsveien,2
1D,2
postbok,2
637,2
Sk,2
yen,2
0214,2
norway,9
number,1420
per,1213
accept,650
deliv,503
upon,488
startup,8
treat,126
purpos,456
Is,316
mention,220
minor,148
month,997
fee,356
price,1734
transport,1182
compress,503
charg,397
person,750
wire,82
like,2432
.01,9
imbal,96
compressor,234
fuel,185
expect,393
180,000,2
net,380
sever,363
put,633
appropri,338
enogex/og,2
E,889
uncertain,8
spreadsheet,121
email,1840
david,727
defranc,2
account,536
term,1262
thru,359
septemb,625
less,259
kirk,30
harbert,2
s/b,14
plu,116
waiv,81
cent,17
market,1232
calc,66
deal,1586
22,316,2
owe,87
6/01,3
pay,546
top,265
comp,20
amount,449
flat,47
round,51
sys32.hou.wt.net,184
aol.com,685
pdq.net,66
giordano,28
gte.net,23
gateway.net,29
wt.net,38
italian,31
wine,126
tast,64
greg,540
hotmail.com,533
msn.com,63
flash.net,31
andrea_pric,8
yahoo.com,240
cultur,58
commun,1159
center,594
admiss,51
remov,413
07/23/99,8
03:50,18
capit,464
trade,946
07/22/99,12
09:45,18
lisa_wilmor,4
valic.com,4
bylim30,4
tracy.thompson,4
halliburton.com,16
drew,46
food4u.com,4
karent,4
netropolis.net,4
pdv,4
brian.freez,4
tedsw,4
pld,4
coastalsecurities.com,4
jbrownli,4
larry_milo,4
caroltom99,4
carino,4
evl.net,4
mj3,4
zztop,4
adamlisa,4
usnick,4
hic.net,4
jhoar,4
rasbooti,4
ldking,4
ijpc.com,4
mkting,4
daroofguru,4
jstudlick,4
unocal.com,7
waynee147,4
bewley_,4
mciworld.com,4
jechifly,4
lworkin,4
provo22,4
coun,4
cklein3795,4
overjo,4
la_smith,4
juner,4
wendy.kurtz,4
jephross,6
velaw.com,71
brive,4
marblefalls.txed.net,4
sca905,4
swbell.net,67
sandarcool,4
barbara.eckrot,4
tmpi,4
chevron.com,10
skathol,4
hamilton,11
tomj,4
amerstu.com,4
ricstar,4
compuserve.com,34
rgitti,4
coair.com,18
sandracollazo,4
eswish,4
