ga,52
natur,21
agustin,18
sign,31
mexico,7
isda,260
stephani,707
perez,14
enron,846
receiv,154
comercializadora,3
metroga,3
paul,85
de,21
copi,188
soon,28
also,97
send,97
new,126
compani,107
servicio,2
regard,137
To,554
cc,19
subject,523
want,57
We,199
today,54
let,124
know,154
need,142
execut,115
onli,39
draft,74
veri,34
fast,4
becaus,15
alrreadi,1
aprov,1
attorney,4
radou,23
prepar,61
credit,214
worksheet,44
s.a.,15
c.v,3
panu,463
01/11/2001,1
08:59,1
AM,293
perez/na/enron,1
Re,11
check,35
statu,18
agreement,406
email,219
dec.,4
22,34
thank,316
12/22/2000,1
12:10,1
PM,529
radous/corp/enron,1
brent,53
hendri,38
samantha,43
boyd/na/enron,1
panus/na/enron,2
jaim,6
william,133
good,33
ha,127
approv,64
ceo,2
return,24
holyday,1
jan,2
8,8
2,40
sent,556
anoth,14
corpor,51
document,110
thi,503
forward,94
pleas,514
tell,15
us,74
use,117
format,52
go,69
provid,64
guaranti,162
confirm,104
ena,78
ken,61
trade,217
counterparti,114
long-form,3
look,56
would,130
swap,20
01/29/2001,2
ee,27
like,61
inform,114
type,47
depend,4
done,22
rube,2
Hi,31
harrah,1
oper,27
inc.,133
rate,7
bbb-,1
domesticli,1
base,7
buy,3
year,20
plain-vanilla,1
fix,2
price,18
volum,1
small,15
10,000,15
mmbtu/month,1
understand,6
send-out,1
11:58,1
rubeli/hou/e,1
sampl,9
see,170
In,28
speak,3
group,45
befor,16
anyth,18
form,59
vari,2
may,99
differ,17
term,40
name,78
counterparty/trad,1
If,179
ani,389
question,106
contact,222
11:40,1
As,30
discuss,38
standard,12
custom,23
potenti,8
'd,6
review,122
possibl,21
help,47
migrat,18
embed,7
outlook,13
messag,588
attach,285
exelon,16
sara,216
darren,41
gener,42
-origin,483
vanek,28
wednesday,79
octob,320
17,25
2001,618
llc,32
shackleton,152
traci,34
FW,144
sack,30
edward,31
conwel,31
wendi,205
ngo,30
guy,26
regulatori,11
provis,20
713,126
fine,8
5:46,1
itrust,1
Ed,8
opinion,17
one,71
5:37,3
RE,128
reg,1
applic,15
municip,1
cp,3
-e,1
5:21,3
input,1
unfamiliar,1
-d,1
5:16,1
Cc,183
've,18
first,34
Is,10
mac,5
appropri,16
familiar,6
busi,44
event,16
wa,69
northwest,2
util,7
wholesal,146
servic,203
1400,133
smith,148
street,130
eb3801a,7
houston,159
TX,22
77002,124
Ph,23
853-5620,7
fax,203
646-3490,12
csfb,10
tom,84
scott,41
kreuzing,3
doc,12
jeff,17
kinneman,4
abl,29
hi,7
suppli,5
advis,38
tuesday,62
16,23
11:14,2
douka,7
heard,52
mari,110
suiss,3
boston,1
account,9
agre,25
juli,24
6,18
never,13
version,11
feel,24
free,36
phone,58
617-556-5730,1
617-542-1814,1
ensur,6
duplic,6
eci,1
perhap,4
assist,28
unabl,5
extract,1
respons,17
tree,5
lumber,6
jason,80
S.,144
north,126
number,81
georgi,35
landau,33
kimberli,68
dian,57
melissa,42
ann,57
rodriguez,45
johnson,54
master,159
entiti,78
america,118
corp.,217
special,64
handl,55
fyi,10
contract,89
tall,2
96083921,1
CP,21
ID,21
115069,1
-g,7
net,34
work,125
713/345-4435,10
Fx,14
713/646-2495,10
=09panu,20
=20,59
=09monday,3
2:35,2
=09adam,14
laurel,24
allen,34
anderson,51
bell,25
jean,21
bowen,24
B=,9
ob,9
cason,20
sharen,19
cisnero,21
celest,24
fischer,20
garcia,20
jorg,20
A.,23
he=,10
aney,7
gordon,24
hundl,19
hunter,28
larri,41
joe,23
murphi,18
orne=,7
la,8
bianca,22
piwetz,19
seib,24
diann,22
tackett,18
theriot,19
kim,23
brackett,53
debbi,51
R.,60
bradford,87
brown,31
A=,8
ngela,7
Y.,10
curri,56
espinoza,40
veronica,59
gonzalez,25
veronic=,7
rudwel,25
landri,25
shemeika,23
lebrocq,156
mendoza,51
nidia,51
M=,7
onterrey,7
maribel,65
moran,59
carol,19
otto,26
randi,25
radou=,7
rajaram,43
aparna,50
rohauer,153
tanya,217
sonnonstin,20
max,31
R,49
campo,29
anthoni,22
crawford,21
sharo=,7
n,23
ebow,60
amber,58
ellstrom,24
gerard,15
camil,20
hare,53
bill,49
D.,95
C=,13
heryl,7
lambert,53
karen,83
lee,53
lisa,63
moor,30
neuner,20
da=,7
le,7
reev,24
lesli,64
richardson,25
stacey,24
bernic,26
schott,53
samuel,57
sever,72
shiver,24
lynn,24
sietzema,17
linda,25
southard,24
carri,25
bailey=,7
susan,62
boyd,63
cook,48
gray,35
barbara,32
N.,29
hendry=,7
jone,107
tana,105
keiser,45
holli,49
koehler,25
C.,36
leit,43
francisco,61
pin=,7
nelson,32
cheryl,79
sayr,71
frank,71
taylor,68
mark,119
E,88
legal,233
=09tall,1
financi,77
=09=09isda,9
multicurrency-cross,17
border,17
effect,30
date,87
=09=09=09septemb,2
27,11
=09=09=09enron,9
=09=09=09tall,2
transact,96
cover,43
=09=09approv,9
product,90
except,19
foreign,17
exchang,45
=09=09enron,10
govern,30
law,36
=09=09=09texa,5
=09=09no,5
requir,51
distribut,60
ph,127
713.345.3249,123
713.646.3490,123
septemb,29
texa,119
No,124
matt,3
entergy-koch/ena,1
request,68
troubl,1
access,56
http,68
//edms.livelink.enron.com/ena/livelink.exe/96057022_base_contract_02_01_01_a.pdf,1
func=doc.fetch,6
nodeid=10191237,1
doctitle=96057022+base+contract+02,1
2f01,1
2f01+a,1
shell,10
canada,35
limit,34
dean,7
yet,8
tri,36
week,52
monday,208
4:11,4
drozdiak,4
ecc,20
trader,5
wonder,10
comment,65
told,24
3:56,2
dean/randi,3
complet,56
senior,118
specialist,108
eb3803c,106
stephanie.panu,144
enron.com,266
clark,88
eol,100
call,222
global,100
hello,10
gcp,25
adjust,13
highlight,19
blue,26
give,45
N,19
counterparty_enron,11
345-8331,1
646-5797,1
friday,97
19,171
5:44,2
cynthia,30
europ,35
claudia,29
fayett,29
juana,29
Le,29
trang,29
maley,29
o'day,29
lombardi,33
kelli,48
lindsay,32
brian,32
center,77
heffernan,19
ami,19
lafuz,29
molli,29
danni,29
mandola,29
teresa,29
coleman,38
tandra,34
campbel,33
lauer,29
kara,29
banner,29
mcquad,32
jennif,51
georg,32
fraisi,29
guillori,29
michael,55
monterrey,51
lebeau,29
maria,29
escamilla,34
albert,34
clickpap,32
10-19-01,2
file,147
10-19-01.xl,1
3-3835,39
updat,31
vpn,5
web,9
year-end,2
TD,1
font-siz,1
10pt,1
color,2
black,4
background-color,1
white,6
imag,48
follow,77
without,15
calendar,10
pep,2
xm,1
expens,13
report,39
come,12
ehronlin,2
benefit,6
elect,1
oct.,5
29,36
electron,16
pay,4
stub,1
much,15
clickathom,3
portal,10
internet,33
still,29
believ,13
remot,2
home,19
network,27
must,14
valid,3
reason,19
supervisor,1
monthli,1
cost,23
ye,3
NO,2
sure,30
answer,5
survey,2
comput,1
via,28
signatur,13
final,35
resolut,21
doe,38
courier,1
deliveri,19
address,58
thursday,56
18,28
9:04,4
pizzolato,1
wall,2
david,51
import,71
high,75
suggest,20
could,90
scan,10
edit,11
page,21
oppos,2
recreat,2
sinc,37
word,8
howev,17
decid,4
pursu,5
prioriti,15
shut,3
time,159
frame,2
expect,14
walk,13
jdrf,7
join,14
auction,5
ticket,7
cyber,4
sale,9
donat,9
big,4
fun,11
take,23
5.00,3
entertain,3
raffl,4
t-shirt,3
great,22
diabet,4
activ,7
place,18
detail,32
click,38
caf,2
26th,3
p.m.,12
lunch,2
two,40
roundtrip,2
avail,25
enron/jdrf,2
25,37
sneaker,2
continu,57
collect,2
support,61
walker,2
particip,11
sunday,8
28th,2
juvenil,2
research,2
foundat,2
cure,2
greenspoint,1
mall,1
8:00,7
a.m,1
schedul,182
24th,1
25th,2
//ecpdxapps01.enron.net/apps/auction.nsf,1
direct,8
link,20
host,2
eg,1
11:30,7
1:00,5
andrew,7
front,1
build,13
fajita,1
trim,1
taquera,1
del,1
sol,1
live,6
mango,1
punch,1
continent,1
airlin,1
british,2
airway,2
10.00,1
win,6
drawn,1
2:00,6
bake,1
cake,2
cooki,3
halloween,10
treat,6
purchas,1
paper,3
competit,1
unit,10
watch,17
although,19
day,23
remain,11
late,5
It,39
moment,3
fill,10
get,85
hundr,2
employe,31
thousand,1
houstonian,1
blast,1
tent,1
lot,11
food,1
everyon,7
park,5
site,9
attend,9
local,2
fundrais,3
keep,9
stand,4
team,11
gulf,1
coast,1
area,4
entir,13
southern,2
region,9
u.s.,15
well,49
top,6
10,25
nation,5
janic,1
riedel,1
x-37507,1
cathi,1
phillip,12
x-36898,1
make,44
ask,35
generos,1
mike,18
mcconnel,1
cst,9
fund,26
novemb,279
save,7
plan,19
invest,13
option,19
26,33
3:00pm,3
contribut,8
chang,159
20,74
approach,1
move,23
administr,9
last,30
transfer,3
balanc,1
alloc,2
15th,2
payrol,1
deduct,1
enrol,1
hire,1
1,59
remind,3
vanguard,1
lifestrategi,1
replac,24
fidel,1
freedom,1
chosen,2
At,3
system,63
re-open,1
featur,1
dure,16
transit,8
period,13
ext,7
3-7979,1
press,5
8:00am,2
5:00pm,7
pace,1
lifestyl,1
all-employe,3
meet,31
a.m.,14
cdt,5
hyatt,4
regenc,3
imperi,2
ballroom,4
locat,24
london,154
calgari,12
toronto,2
omaha,16
york,15
portland,4
//home.enron.com/employeemeet,1
e,62
prime,53
guarante,59
energi,152
physic,29
gti,53
wherea,12
addit,38
market,69
add,29
claus,13
cap,44
insert,8
2nd,6
matter,22
whether,14
jay,9
million,7
revis,42
ok,5
substanti,3
made,20
written,9
accordingli,7
appear,10
current,41
intend,119
sole,39
jrw,5
3:28,3
coupl,12
excel,4
xcel,4
header,4
fka,3
capit,56
resourc,44
4th,4
short,4
On,13
paragraph,24
defin,5
parti,111
mean,14
repres,15
specifi,8
certain,20
none,7
realli,6
unless,8
11:59,3
charl,5
H.,8
ortiz,4
luci,4
find,55
complex,3
30,8
upon,9
relationship,4
far,5
exist,12
record,32
mucho,3
care,10
side,6
especi,11
refer,37
loan,3
advanc,6
simipli,3
previou,10
present,14
second,7
simpler,3
amount,33
thieir,3
convers,5
structur,4
desir,4
parent.doc,5
marketing.doc,5
partner,13
me=,4
',38
96084111,1
76651,1
1:18,1
brewer,9
garcia=,2
heaney,17
lissa,2
ornela,12
di=,6
willi=,2
angela,13
go=,2
nzalez,2
ndoza,2
ott=,2
son=,2
nonstin,2
sharon,25
bill=,6
ja=,1
son,1
dale,17
bailey,41
heard=,1
leite=,1
pinto,39
=09energi,1
ltd.,16
=09=09=09octob,3
15,15
=09=09=09energi,3
ltd,23
quadra,20
annex,49
letter,50
ross,23
gari,31
gross,13
quadraenergy.com,13
ms.,18
accept,63
13,20
250,000,14
x3-4868,3
10:52,2
9:01,3
3:59,6
patrick,17
J.,13
loftu,6
