PM,733
thru,290
sat,292
outag,286
5/19/2001,72
impact,216
AM,461
schedul,313
server,110
CT,186
PT,181
london,195
fri,114
No,189
5/18/2001,33
environ,110
713,214
purpos,105
backout,101
contact,193
time,351
corp,80
sun,147
5/20/2001,21
old,59
7:00:00,49
wed,46
10:00:00,42
pager,77
system,187
data,69
center,122
3:00:00,41
sitara,62
E,78
mainten,44
databas,24
12:00:00,60
unifi,29
19-may-2001,12
sydney,14
S,70
may,279
facil,47
oper,90
enron,1015
servic,158
internet,79
john,110
9:00:00,33
1:00:00,28
user,62
EI,17
5/16/2001,9
5/23/2001,9
manag,93
room,39
requir,67
product,95
well,140
6:00:00,59
resourc,23
Y,22
T,38
L,78
2001,425
edi,23
5:30:00,11
io,8
new,181
revert,10
note,68
11:00:00,25
2,179
week,183
interv,9
n/a,8
market,76
4:45:00,6
2:45:00,6
10:45:00,6
cabl,10
comput,36
date,92
migrat,59
dss,6
thi,739
4:00:00,49
8:00:00,25
2:00:00,24
move,55
tdsprod,6
also,171
allow,38
instanc,7
restart,10
memori,14
cpu,16
malcolm,23
713-345-3716,23
need,194
power,60
gmt,9
houston,54
portland,11
test,34
help,140
on-cal,31
853-9797,22
W,200
K,38
N,27
D,31
M,35
V,14
B,30
F,52
O,12
R,51
18,27
5:00pm,15
21,25
12:00am,11
ardmor,11
azurix,26
eb34,11
south,23
north,51
american,27
lan,13
field,52
10:30:00,5
11:30:00,6
8:30:00,7
9:30:00,5
4:30:00,7
upgrad,30
enefw4,3
code,8
ha,224
bug,8
fix,16
state,25
failov,3
featur,26
back,148
shupak,3
713-853-7943,3
bryan,9
aubuchon,3
713-345-8446,3
messag,347
cnote,4
reboot,13
ani,317
mailserv,5
list,131
make,105
sure,48
come,100
trey,4
rhode,12
345-7792,4
local/domestic/foreign,4
site,27
david,92
ricafrent,4
713-646-7741,4
eb3460,3
trade,111
group,57
improv,21
perform,40
order,97
compli,8
standard,14
sieckman,3
713-345-7862,3
NT,11
os/2,11
ot,3
et,6
29,38
2001/2/2001,3
gthou-appsq03p,3
abl,88
access,81
eneds01_adapt,3
exist,20
outdat,4
sql,3
2000,34
provid,123
increas,37
function,11
conform,5
platform,3
mari,42
vollmer,3
713-853-3381,3
joe,54
hellsten,3
713-853-7346,3
