jacla,20
necklac,24
measur,24
debra,5560
7,138
1/2,17
cia-g.com,8
rtc,8
en,13
perlingier,4453
005,4
006,4
15,112
5,144
It,196
well,266
ha,580
thank,1887
x-mozilla-status2,4
00000000,4
message-id,8
37fa17ba.2a4dd1e2,2
date,353
tue,5
05,22
oct,19
1999,36
09:22:34,2
-0600,8
x-mailer,7
mozilla,4
4.51,4
win95,4
U,4
x-accept-languag,4
mime-vers,8
1.0,8
To,1508
dperlin,3663
ect.enron.com,11
subject,1458
Re,140
bead,6
refer,79
86256800.007aa540.00,2
notes.ect.enron.com,2
content-typ,8
multipart/mix,6
boundary=,6
4bdf8470d15d50b9e17d21d0,2
dear,92
16,64
internet,203
13,45
also,393
includ,570
might,42
interest,123
match,22
veri,112
spini,2
oster,2
tip,21
price,362
425,4
003,004,2
air,66
richardson,77
trade,267
compani,706
wrote,6
provid,437
two,275
previou,95
e-mail,704
number,331
/,225
shown,54
dead,6
pawn,4
section,609
web,56
page,131
mvc-003s.jpg,4
mvc-004s.jpg,3
rsvp,32
april,75
lunch,273
pay,118
door,28
dp,152
fyi,113
dan,104
hyvl,39
work,371
engag,37
tri,119
get,477
assign,142
contract,1407
issu,279
resolv,29
pleas,3161
contact,643
ani,1880
question,678
etc,76
DP,121
spot,137
master,1101
sale,262
southern,50
termin,206
prepar,216
union,14
still,145
activ,80
system,185
thu,24
becaus,65
thi,2877
old,63
paper,49
replac,101
new,837
newer,3
version,152
gisb,1069
doe,162
longer,31
wish,72
let,716
know,873
want,358
i.e,10
short,38
long,152
term,365
firm,429
agreement,1727
need,714
exact,11
name,394
phone,3673
spoke,58
cinnabar,20
current,251
review,785
Do,291
collater,68
con,6
ED,2
court,29
would,730
like,385
fri,146
custom,309
deal,632
list,233
231047,6
tristar,10
ga,972
market,257
corey,7
4/00,8
5/00-7/00,6
notic,277
one,442
counterparti,140
duke,34
energi,625
field,114
servic,447
inc,116
wa,477
wonder,37
type-o,3
stand,17
sinc,78
think,136
differ,116
ect,904
04/12/2000,15
02:40,2
PM,1437
hobbs/corp/enron,1
enron,6032
cc,515
send,617
copi,388
follow,488
transact,478
enit,6
208308,5
3/00-10/00,3
230882,5
231684,5
214232,5
6/00-10/00,3
220887,5
inadvert,16
gave,13
meet,262
may,854
5th,14
friday,296
correct,122
4th,16
thursday,342
2:00,18
p.m.,66
38c2,5
sorri,157
confus,46
Dp,49
given,76
downstair,16
