meet,85
thi,787
take,110
place,50
monday,171
morn,25
If,313
ani,582
question,194
pleas,581
call,188
lisa,23
kinsey,10
x37628,4
thank,152
irena,17
hogan,16
anyon,35
interest,126
paintbal,1
10th,1
june,8
sunday,51
cost,56
approx,5
40,43
includ,203
equip,16
food,15
paint,1
cloth,1
forward,114
think,21
would,187
like,79
go,64
http,261
//maps.yahoo.com/py/maps.pi,2
pyt=tmap,2
addr=15550+grant+rd,1
city=cypress,1
state=tx,4
slt=30.024000,1
sln=-95.651000,1
name=,2
zip=,1
country=u,2
bfcat=,2
bfclient=,2
mag=5,1
desc=,2
cs=9,2
newmag=6,1
poititle=,2
poi=,2
expens,17
close,66
enron,879
transact,72
process,48
ubsw,10
energi,167
xm,6
system,220
approv,99
report,138
pay,21
pre-clos,2
payment,23
submit,35
In,148
anticip,19
immin,3
outstand,9
employe,189
possess,3
file,119
soon,20
possibl,31
note,207
quickli,11
befor,41
put,15
sent,359
last,68
known,6
address,90
direct,42
deposit,3
account,188
ha,287
commit,12
incur,4
prior,33
complet,84
week,107
hard,12
copi,57
form,83
avail,868
www.enron.com,1
seri,14
e-mail,155
come,60
next,63
day,160
highlight,6
travel,25
entertain,8
polici,25
procedur,20
contact,323
hope,51
varga,4
3-5280,1
georgann,1
hodg,15
3-0430,1
order,95
inform,264
januari,64
25,102
2002,118
honor,6
arthur,1
gonzalez,3
unit,32
state,33
bankruptci,20
judg,1
southern,27
district,1
new,337
york,24
enter,25
follow,326
It,70
herebi,12
court,10
corp.,92
affili,39
debtors-in-possess,1
jointli,1
administ,3
chapter,4
11,84
proceed,13
collect,12
shall,29
preserv,8
refrain,1
destroy,5
dispos,2
record,12
either,11
electron,10
paper,7
obvious,4
violat,4
carri,7
seriou,4
consequ,4
We,173
know,116
depend,3
compli,9
fulli,6
columbia,371
gulf,100
notic,236
repres,145
assist,73
phone,73
number,77
decemb,46
eastern,172
transmiss,202
compani,226
TO,141
parti,167
novemb,254
26,124
2001,864
ID,119
3292,1
5,198
NO,113
respons,144
requir,138
hour,115
busi,192
weekday,6
weekend,25
1st,7
2nd,16
mike,24
williford,1
use,127
713-305-1469,6
713-267-4550,6
navig,90
unavail,11
everi,23
11:00,22
p.m.,90
6:00,17
a.m.,39
routin,19
mainten,67
texa,133
actual,38
critic,30
warn,14
ga,705
receipt,172
To,483
subject,464
infopost,18
duke-energy.com,18
issu,67
oper,420
custom,241
deliveri,161
result,46
storag,34
left,28
fyi,35
-origin,308
messag,434
chri,63
AM,491
TE,16
As,59
weather,36
immedi,53
market,1943
area,2126
continu,109
time,364
capac,426
absorb,8
imbal,143
becaus,48
receiv,248
match,23
action,54
may,179
ofo,6
ordway,9
8:15,1
boudreaux,9
shanna,9
garcia,9
clarissa,9
lamadrid,25
victor,27
townsend,21
judi,23
versen,17
victoria,17
FW,53
mailto,184
12:00,17
indic,85
base,53
condit,13
LP,5
prompt,9
step,25
elimin,11
excess,121
conform,3
schedul,308
system-wid,3
significantli,7
exceed,6
remain,30
unseason,4
mild,5
shipper,72
fill,26
contract,88
inventori,6
winter,5
heat,4
season,25
At,25
eastern',2
approxim,15
98,4
full,11
virtual,5
linepack,3
purpos,107
natur,165
situat,12
fact,11
longer,14
abil,7
request,107
coordin,17
supplier,7
quantiti,129
No,1448
due,72
pipe,33
accept,55
doe,63
reduc,51
current,83
volum,92
forc,19
flow,125
non-compli,3
penalti,9
per,40
dekatherm,3
addit,104
provid,169
ferc,45
tariff,21
necessari,29
protect,25
integr,32
limit,34
suspens,4
oba,5
duke,9
respect,49
onlin,34
privaci,11
email,165
elect,10
subscrib,27
unsubscrib,80
login,12
notif,15
subscript,7
page,29
//www.link.duke-energy.com/script2/notification.asp,7
uncheck,7
appropri,25
checkbox,7
click,137
button,13
rate,113
negoti,17
provis,26
recours,7
pipelin,194
right,139
deal,143
commiss,27
said,158
servic,297
adequ,7
allow,47
demand,15
buyout,4
tennesse,74
signific,17
altern,12
negotiated-r,3
case,22
must,130
nondiscriminatori,3
gener,40
termin,29
robert,38
S.,22
sullivan,8
futur,37
discuss,42
anr,52
previous,7
permit,5
potenti,33
undu,3
discrimin,2
author,53
obtain,11
consid,23
languag,8
ensur,23
practic,14
find,40
risk,48
co.,107
offer,122
similar,6
set,43
reduct,25
applic,42
sinc,25
valuabl,12
grant,50
manner,4
breathitt,2
cantrel,7
rebecca,9
W.,26
11:16,2
concannon,12
ruth,12
muhl,11
gil,11
superti,11
calcagno,11
suzann,16
mcmichael,4
jr.,13
Ed,7
smith,39
georg,18
F.,23
pollan,5
sylvia,5
luce,5
laura,20
shireman,1
kristann,1
miller,3
stephani,11
lucci,1
paul,14
T.,13
gay,1
randal,2
L.,28
patti,6
john,90
tholt,2
jane,3
M.,9
kuykendal,1
tori,1
mahmassani,2
souad,2
south,42
steven,5
P.,8
shive,6
hunter,6
grigsbi,13
neal,22
scott,70
gomez,9
juli,19
A.,13
colleen,2
Cc,53
steff,1
jame,18
D.,19
lawner,1
lesli,5
neustaedt,1
alert,24
dealt,1
done,47
decid,12
thu,24
anyth,11
strictli,30
rate-rel,1
intens,1
scrutini,2
add,36
anoth,22
layer,1
ON,29
act,39
contract-specif,1
sharpen,1
defin,4
lean,1
heavili,1
linchpin,1
abl,33
alway,13
option,77
need,134
cost-bas,1
dure,63
chairman,29
pat,2
wood,7
iii,6
wa,160
import,44
keep,42
mind,6
rush,6
brave,1
world,58
side,11
treat,6
basi,39
proclam,1
reaffirm,1
trend,4
assert,2
want,65
clear,13
unaccept,1
present,45
without,48
substanti,18
unequ,1
treatment,3
declar,1
key,18
factor,4
determin,14
whether,15
materi,37
deviat,2
extent,8
involv,22
gt01-25,1
rp99-301,1
rp96-312,1
et,12
al,7
cp01-70,1
rule,9
unless,5
part,43
',236
buy,54
level,19
end,26
held,19
packag,6
reconsid,2
hold,20
opportun,40
tradit,3
seek,10
term,37
observ,6
howev,30
desir,2
special,20
earli,8
substitut,1
insul,2
certain,17
degre,5
give,42
advantag,5
recourse-r,1
point,225
expir,3
enabl,5
avoid,10
liabil,13
reserv,64
charg,83
ad,22
unduli,2
discriminatori,1
forth,1
best,51
mean,19
assur,5
fair,2
reason,39
onc,33
similarli,2
commission,1
linda,6
applaud,1
shift,6
character,1
much-need,1
shot,9
arm,4
program,57
becom,50
muddl,1
tortur,1
line,140
definit,9
obscur,2
welcom,18
common-sens,1
approach,16
tug,1
war,2
engag,4
past,23
year,87
realli,12
n't,89
serv,15
object,5
zone,72
avg,40
sell,57
cash,42
